,Token,Score,Syllable_Count,Word_length,IsComplex
0,majority,0,3,8,1
1,us,0,1,2,0
2,Indians,0,3,7,1
3,encounter,0,4,9,1
4,Artificial,0,5,10,1
5,Intelligence,1,5,12,1
6,AI,0,2,2,0
7,perhaps,0,2,7,0
8,Arnold,0,2,6,0
9,Schwarzenegger,0,4,14,1
10,displayed,0,0,9,0
11,undying,0,2,7,0
12,machismo,0,3,8,1
13,Terminator,0,4,10,1
14,Unless,0,2,6,0
15,AI,0,2,2,0
16,relating,0,3,8,1
17,Technology,0,3,10,1
18,Business,0,3,8,1
19,James,0,0,5,0
20,Cameron,0,3,7,1
21,perhaps,0,2,7,0
22,person,0,2,6,0
23,introduced,0,0,10,0
24,AI,0,2,2,0
25,Indian,0,3,6,1
26,masses,0,0,6,0
27,provided,0,0,8,0
28,reference,0,4,9,1
29,AI,0,2,2,0
30,capable,1,3,7,1
31,Well,0,1,4,0
32,extremely,0,3,9,1
33,entertaining,1,5,12,1
34,way,0,1,3,0
35,concept,0,2,7,0
36,AI,0,2,2,0
37,termed,0,0,6,0
38,Wine,0,2,4,0
39,aged,0,0,4,0
40,well,0,1,4,0
41,Much,0,1,4,0
42,things,0,1,6,0
43,would,0,2,5,0
44,considered,0,0,10,0
45,fantasies,0,0,9,0
46,yesterday,0,3,9,1
47,least,0,2,5,0
48,comprehended,0,0,12,0
49,today,0,2,5,0
50,already,0,3,7,1
51,reality,0,3,7,1
52,World,0,1,5,0
53,aging,0,2,5,0
54,hence,0,2,5,0
55,percentage,0,4,10,1
56,Working,0,2,7,0
57,Population,0,5,10,1
58,rapidly,0,2,7,0
59,declining,-1,3,9,1
60,Population,0,5,10,1
61,definitely,0,4,10,1
62,Resources,0,0,9,0
63,available,0,5,9,1
64,specifically,0,4,12,1
65,Artificial,0,5,10,1
66,Intelligence,1,5,12,1
67,Machine,0,3,7,1
68,Learning,0,3,8,1
69,Deep,0,2,4,0
70,Learning,0,3,8,1
71,play,0,1,4,0
72,pivotal,0,3,7,1
73,role,0,2,4,0
74,instrumental,1,4,12,1
75,adapting,0,3,8,1
76,latest,0,2,6,0
77,Labor,0,2,5,0
78,dynamics,0,2,8,0
79,increase,0,4,8,1
80,overall,0,3,7,1
81,Productivity,0,4,12,1
82,competitive,1,5,11,1
83,advantage,1,4,9,1
84,ultimately,0,4,10,1
85,help,0,1,4,0
86,Survival,1,3,8,1
87,timeline,0,4,8,1
88,evolution,0,5,9,1
89,Artificial,0,5,10,1
90,Intelligence,1,5,12,1
91,sister,0,2,6,0
92,areas,0,3,5,1
93,illustrated,0,0,11,0
94,graphic,0,2,7,0
95,Source,0,3,6,1
96,Nvidia,0,3,6,1
97,Statista,0,3,8,1
98,role,0,2,4,0
99,Artificial,0,5,10,1
100,Intelligence,1,5,12,1
101,ease,1,3,4,1
102,Human,0,2,5,0
103,Life,0,2,4,0
104,bring,0,1,5,0
105,incremental,0,4,11,1
106,changes,0,0,7,0
107,processes,0,0,9,0
108,involving,0,3,9,1
109,Human,0,2,5,0
110,life,0,2,4,0
111,role,0,2,4,0
112,Artificial,0,5,10,1
113,Intelligence,1,5,12,1
114,perhaps,0,2,7,0
115,explained,0,0,9,0
116,Andrew,0,2,6,0
117,Ng,0,0,2,0
118,Co,0,1,2,0
119,founder,0,3,7,1
120,Google,0,3,6,1
121,Brain,0,2,5,0
122,Coursera,0,4,8,1
123,online,0,3,6,1
124,MOOC,0,2,4,0
125,pioneer,0,4,7,1
126,says,0,1,4,0
127,industrial,0,4,10,1
128,revolution,0,5,10,1
129,freed,0,0,5,0
130,humanity,0,3,8,1
131,much,0,1,4,0
132,repetitive,-1,5,10,1
133,physical,0,2,8,0
134,drudgery,0,2,8,0
135,want,0,1,4,0
136,AI,0,2,2,0
137,free,0,2,4,0
138,humanity,0,3,8,1
139,repetitive,-1,5,10,1
140,mental,0,2,6,0
141,drudgery,0,2,8,0
142,driving,0,2,7,0
143,traffic,0,2,7,0
144,Automotive,0,6,10,1
145,Industry,0,2,8,0
146,perhaps,0,2,7,0
147,Industry,0,2,8,0
148,realize,0,4,7,1
149,potential,0,4,9,1
150,AI,0,2,2,0
151,United,0,0,6,0
152,States,0,0,6,0
153,Japan,0,2,5,0
154,warhorses,0,0,9,0
155,Automobiles,0,0,11,0
156,post,0,1,4,0
157,WWII,0,2,4,0
158,era,0,2,3,0
159,perhaps,0,2,7,0
160,Countries,0,0,9,0
161,actually,0,3,8,1
162,work,1,1,4,0
163,towards,0,2,7,0
164,realizing,0,4,9,1
165,potential,0,4,9,1
166,New,0,1,3,0
167,Jersey,0,2,6,0
168,factory,0,2,7,0
169,General,0,3,7,1
170,Motors,0,2,6,0
171,Assembly,0,2,8,0
172,lines,0,0,5,0
173,host,0,1,4,0
174,Automotive,0,6,10,1
175,Arm,0,1,3,0
176,Automotive,0,6,10,1
177,Arm,0,1,3,0
178,become,0,3,6,1
179,pre,0,1,3,0
180,requisite,0,5,9,1
181,Assembly,0,2,8,0
182,line,0,2,4,0
183,car,0,1,3,0
184,would,0,2,5,0
185,taken,0,2,5,0
186,2,0,0,1,0
187,months,0,1,6,0
188,build,0,2,5,0
189,built,0,2,5,0
190,within,0,2,6,0
191,day,0,1,3,0
192,Automation,0,6,10,1
193,complete,0,3,8,1
194,AI,0,2,2,0
195,based,0,0,5,0
196,process,0,2,7,0
197,would,0,2,5,0
198,wonders,1,2,7,0
199,weakness,-1,3,8,1
200,Achilles,0,0,8,0
201,lied,-1,0,4,0
202,heels,0,2,5,0
203,biggest,0,2,7,0
204,weakness,-1,3,8,1
205,Automobile,0,6,10,1
206,Industry,0,2,8,0
207,Humans,0,2,6,0
208,species,0,0,7,0
209,intends,0,2,7,0
210,serve,0,2,5,0
211,majority,0,3,8,1
212,Car,0,1,3,0
213,Accidents,0,3,9,1
214,happen,0,2,6,0
215,face,0,2,4,0
216,earth,0,2,5,0
217,Human,0,2,5,0
218,error,-1,2,5,0
219,cause,0,3,5,1
220,Human,0,2,5,0
221,error,-1,2,5,0
222,serve,0,2,5,0
223,Invention,0,4,9,1
224,Penicillin,0,4,10,1
225,definitely,0,4,10,1
226,help,0,1,4,0
227,making,0,2,6,0
228,Roads,0,2,5,0
229,safer,0,2,5,0
230,Driverless,0,3,10,1
231,Cars,0,1,4,0
232,come,0,2,4,0
233,picture,0,3,7,1
234,Let,0,1,3,0
235,us,0,1,2,0
236,take,0,2,4,0
237,example,0,3,7,1
238,Uber,0,2,4,0
239,Ola,0,2,3,0
240,Didi,0,2,4,0
241,Chuxing,0,2,7,0
242,attributes,0,0,10,0
243,lack,-1,1,4,0
244,factors,0,2,7,0
245,prevent,0,2,7,0
246,maximum,0,3,7,1
247,monetization,0,6,12,1
248,answer,0,2,6,0
249,lies,-1,0,4,0
250,Drivers,0,2,7,0
251,Uber,0,2,4,0
252,bore,-1,2,4,0
253,brunt,0,1,5,0
254,misappropriating,0,6,16,1
255,behaviors,0,4,9,1
256,Drivers,0,2,7,0
257,also,0,2,4,0
258,seen,0,2,4,0
259,Drivers,0,2,7,0
260,unionizing,0,5,10,1
261,get,0,1,3,0
262,bigger,0,2,6,0
263,piece,0,3,5,1
264,Pie,0,2,3,0
265,scenario,0,4,8,1
266,Uber,0,2,4,0
267,moving,0,2,6,0
268,completely,0,3,10,1
269,Autonomous,1,6,10,1
270,driving,0,2,7,0
271,vehicles,0,0,8,0
272,increases,0,0,9,0
273,Safety,0,2,6,0
274,System,0,1,6,0
275,also,0,2,4,0
276,helps,0,1,5,0
277,maximizing,0,4,10,1
278,Profits,0,2,7,0
279,Although,0,3,8,1
280,definite,0,4,8,1
281,possibility,0,4,11,1
282,future,0,3,6,1
283,take,0,2,4,0
284,time,0,2,4,0
285,get,0,1,3,0
286,implemented,0,0,11,0
287,till,0,1,4,0
288,Level,0,2,5,0
289,5,0,0,1,0
290,Autonomy,0,4,8,1
291,Vehicles,0,0,8,0
292,rolled,0,0,6,0
293,Innovations,0,5,11,1
294,Healthcare,0,4,10,1
295,Industry,0,2,8,0
296,often,0,2,5,0
297,restricted,-1,0,10,0
298,digitizing,0,4,10,1
299,automating,0,5,10,1
300,manual,0,3,6,1
301,tasks,0,1,5,0
302,make,0,2,4,0
303,easier,1,4,6,1
304,machines,0,0,8,0
305,involved,0,0,8,0
306,self,0,1,4,0
307,learning,0,3,8,1
308,would,0,2,5,0
309,Doctor,0,2,6,0
310,Interpretation,0,6,14,1
311,advent,0,2,6,0
312,AI,0,2,2,0
313,restructured,1,0,12,0
314,Healthcare,0,4,10,1
315,Industry,0,2,8,0
316,next,0,1,4,0
317,20,0,0,2,0
318,30,0,0,2,0
319,years,0,2,5,0
320,personalization,0,7,15,1
321,Healthcare,0,4,10,1
322,Industry,0,2,8,0
323,Diagnosis,0,4,9,1
324,Therapy,0,2,7,0
325,Diet,0,2,4,0
326,Treatment,0,3,9,1
327,would,0,2,5,0
328,require,0,4,7,1
329,Doctors,0,2,7,0
330,would,0,2,5,0
331,taken,0,2,5,0
332,care,0,2,4,0
333,entirely,0,3,8,1
