,Token,Score,Syllable_Count,Word_length,IsComplex
0,Artificial,0,5,10,1
1,Intelligence,1,5,12,1
2,Today,0,2,5,0
3,talk,0,1,4,0
4,lot,0,1,3,0
5,artificial,0,5,10,1
6,intelligence,1,5,12,1
7,change,0,2,6,0
8,future,0,3,6,1
9,know,0,1,4,0
10,actually,0,3,8,1
11,means,0,2,5,0
12,Let,0,1,3,0
13,us,0,1,2,0
14,artificial,0,5,10,1
15,intelligence,1,5,12,1
16,Artificial,0,5,10,1
17,Intelligence,1,5,12,1
18,coined,0,0,6,0
19,1950s,0,0,5,0
20,task,0,1,4,0
21,performed,0,0,9,0
22,machine,0,3,7,1
23,intelligence,1,5,12,1
24,human,0,2,5,0
25,use,0,2,3,0
26,complete,0,3,8,1
27,task,0,1,4,0
28,layman,0,2,6,0
29,language,0,4,8,1
30,acts,0,1,4,0
31,situation,0,5,9,1
32,manner,0,2,6,0
33,human,0,2,5,0
34,would,0,2,5,0
35,act,0,1,3,0
36,human,0,2,5,0
37,answer,0,2,6,0
38,question,0,4,8,1
39,conversation,0,5,12,1
40,would,0,2,5,0
41,AI,0,2,2,0
42,analyses,0,0,8,0
43,information,0,5,11,1
44,makes,0,0,5,0
45,future,0,3,6,1
46,decisions,0,4,9,1
47,human,0,2,5,0
48,would,0,2,5,0
49,AI,0,2,2,0
50,basically,0,3,9,1
51,works,1,1,5,0
52,algorithm,0,3,9,1
53,uses,0,0,4,0
54,computers,0,3,9,1
55,intellect,0,3,9,1
56,solve,0,2,5,0
57,problem,-1,2,7,0
58,quicker,1,3,7,1
59,accurate,1,4,8,1
60,human,0,2,5,0
61,AI,0,2,2,0
62,mostly,0,1,6,0
63,consists,0,2,8,0
64,statistical,0,4,11,1
65,information,0,5,11,1
66,find,0,1,4,0
67,trends,0,1,6,0
68,patterns,0,2,8,0
69,data,0,2,4,0
70,AI,0,2,2,0
71,perform,0,2,7,0
72,various,0,4,7,1
73,functions,0,3,9,1
74,like,0,2,4,0
75,analyzing,0,3,9,1
76,planning,0,2,8,0
77,problem,-1,2,7,0
78,solving,0,2,7,0
79,learning,0,3,8,1
80,Another,0,3,7,1
81,part,0,1,4,0
82,AI,0,2,2,0
83,Machine,0,3,7,1
84,Learning,0,3,8,1
85,gathers,0,2,7,0
86,information,0,5,11,1
87,learns,0,2,6,0
88,adapts,0,2,6,0
89,accumulates,0,0,11,0
90,data,0,2,4,0
91,Stages,0,0,6,0
92,Artificial,0,5,10,1
93,Intelligence,1,5,12,1
94,artificial,0,5,10,1
95,intelligence,1,5,12,1
96,consists,0,2,8,0
97,main,0,2,4,0
98,stages,0,0,6,0
99,Artificial,0,5,10,1
100,Narrow,0,2,6,0
101,Intelligence,1,5,12,1
102,stage,0,2,5,0
103,AI,0,2,2,0
104,functions,0,3,9,1
105,narrowly,0,2,8,0
106,functions,0,3,9,1
107,like,0,2,4,0
108,infant,0,2,6,0
109,baby,0,1,4,0
110,covers,0,2,6,0
111,functional,0,4,10,1
112,area,0,3,4,1
113,ANI,0,2,3,0
114,used,0,0,4,0
115,manner,0,2,6,0
116,use,0,2,3,0
117,reparative,0,5,10,1
118,manner,0,2,6,0
119,cost,0,1,4,0
120,saving,0,2,6,0
121,need,0,0,4,0
122,hire,0,2,4,0
123,human,0,2,5,0
124,pay,0,1,3,0
125,monthly,0,1,7,0
126,weekly,0,2,6,0
127,basis,0,2,5,0
128,Artificial,0,5,10,1
129,General,0,3,7,1
130,Intelligence,1,5,12,1
131,stage,0,2,5,0
132,biggest,0,2,7,0
133,achievement,1,5,11,1
134,entire,0,3,6,1
135,humanity,0,3,8,1
136,covers,0,2,6,0
137,broad,0,2,5,0
138,area,0,3,4,1
139,technological,0,5,13,1
140,space,0,2,5,0
141,Humans,0,2,6,0
142,finally,0,2,7,0
143,constructed,0,0,11,0
144,machine,0,3,7,1
145,think,0,1,5,0
146,also,0,2,4,0
147,reasoning,0,4,9,1
148,ability,0,3,7,1
149,AGI,0,2,3,0
150,machines,0,0,8,0
151,ability,0,3,7,1
152,similar,0,3,7,1
153,humans,0,2,6,0
154,Machines,0,0,8,0
155,become,0,3,6,1
156,capable,1,3,7,1
157,things,0,1,6,0
158,performed,0,0,9,0
159,humans,0,2,6,0
160,AGI,0,2,3,0
161,working,0,2,7,0
162,governments,0,3,11,1
163,organizations,0,6,13,1
164,problem,-1,2,7,0
165,solving,0,2,7,0
166,abstract,0,2,8,0
167,thinking,0,2,8,0
168,also,0,2,4,0
169,However,0,3,7,1
170,evolution,0,5,9,1
171,take,0,2,4,0
172,time,0,2,4,0
173,replace,0,3,7,1
174,abilities,0,0,9,0
175,human,0,2,5,0
176,work,1,1,4,0
177,parallelly,0,3,10,1
178,humans,0,2,6,0
179,sustain,0,3,7,1
180,Artificial,0,5,10,1
181,Super,1,2,5,0
182,Intelligence,1,5,12,1
183,ASI,0,2,3,0
184,final,0,2,5,0
185,stage,0,2,5,0
186,artificial,0,5,10,1
187,intelligence,1,5,12,1
188,predicted,0,0,9,0
189,scientists,0,3,10,1
190,machines,0,0,8,0
191,automate,0,5,8,1
192,tasks,0,1,5,0
