,Token,Score,Syllable_Count,Word_length,IsComplex
0,similarities,0,0,12,0
1,Big,0,1,3,0
2,Data,0,2,4,0
3,Marketer,0,3,8,1
4,thing,0,1,5,0
5,stands,0,1,6,0
6,insatiable,-1,5,10,1
7,appetite,0,4,8,1
8,information,0,5,11,1
9,know,0,1,4,0
10,broken,-1,2,6,0
11,able,0,2,4,0
12,fix,0,1,3,0
13,era,0,2,3,0
14,cliché,0,1,6,0
15,Change,0,2,6,0
16,constant,0,2,8,0
17,relevant,0,3,8,1
18,ever,0,2,4,0
19,people,0,3,6,1
20,looking,0,3,7,1
21,Big,0,1,3,0
22,Data,0,2,4,0
23,Analytics,0,3,9,1
24,make,0,2,4,0
25,decisions,0,4,9,1
26,data,0,2,4,0
27,driven,0,2,6,0
28,Big,0,1,3,0
29,Data,0,2,4,0
30,evolving,0,3,8,1
31,necessity,0,3,9,1
32,business,0,3,8,1
33,analyze,0,3,7,1
34,predict,0,2,7,0
35,future,0,3,6,1
36,outcomes,0,0,8,0
37,also,0,2,4,0
38,create,0,3,6,1
39,shape,0,2,5,0
40,slowly,-1,1,6,0
41,becoming,0,3,8,1
42,oxygen,0,2,6,0
43,company,0,2,7,0
44,company,0,2,7,0
45,survival,1,3,8,1
46,long,0,1,4,0
47,run,0,1,3,0
48,might,0,1,5,0
49,depend,0,2,6,0
50,effectiveness,1,5,13,1
51,using,0,2,5,0
52,big,0,1,3,0
53,data,0,2,4,0
54,Humans,0,2,6,0
55,expressing,0,3,10,1
56,needs,0,2,5,0
57,human,0,2,5,0
58,needs,0,2,5,0
59,latent,0,2,6,0
60,people,0,3,6,1
61,even,0,2,4,0
62,realize,0,4,7,1
63,existence,0,4,9,1
64,Thankfully,0,2,10,0
65,longer,0,2,6,0
66,rely,0,1,4,0
67,questionnaires,0,0,14,0
68,interviews,0,4,10,1
69,data,0,2,4,0
70,collection,0,4,10,1
71,Collecting,0,3,10,1
72,customers,0,3,9,1
73,preferences,0,0,11,0
74,online,0,3,6,1
75,behavioral,0,5,10,1
76,pattern,0,2,7,0
77,analyzing,0,3,9,1
78,provide,0,3,7,1
79,much,0,1,4,0
80,better,0,2,6,0
81,results,0,2,7,0
82,used,0,0,4,0
83,take,0,2,4,0
84,level,0,2,5,0
85,customization,0,6,13,1
86,customer,0,3,8,1
87,experiences,0,0,11,0
88,whole,0,2,5,0
89,level,0,2,5,0
90,Big,0,1,3,0
91,Data,0,2,4,0
92,provides,0,0,8,0
93,insights,0,2,8,0
94,decision,0,4,8,1
95,journey,0,3,7,1
96,individual,0,5,10,1
97,buying,0,2,6,0
98,product,0,2,7,0
99,marketing,0,3,9,1
100,team,0,2,4,0
101,identify,0,3,8,1
102,key,0,1,3,0
103,features,0,0,8,0
104,product,0,2,7,0
105,attract,0,2,7,0
106,customers,0,3,9,1
107,also,0,2,4,0
108,indispensable,0,5,13,1
109,understanding,0,4,13,1
110,local,0,2,5,0
111,markets,0,2,7,0
112,helps,0,1,5,0
113,coming,0,2,6,0
114,marketing,0,3,9,1
115,strategies,0,0,10,0
116,regional,0,4,8,1
117,levels,0,2,6,0
118,Fig,0,1,3,0
119,1,0,0,1,0
120,Example,0,3,7,1
121,Impact,0,2,6,0
122,Big,0,1,3,0
123,Data,0,2,4,0
124,Analytics,0,3,9,1
125,Marketing,0,3,9,1
126,Strategies,0,0,10,0
127,Source,0,3,6,1
128,https,0,0,5,0
129,www,0,0,3,0
130,bcg,0,0,3,0
131,com,0,1,3,0
132,Customers,0,3,9,1
133,nowadays,0,3,8,1
134,want,0,1,4,0
135,products,0,2,8,0
136,pushed,0,0,6,0
137,would,0,2,5,0
138,rather,0,2,6,0
139,prefer,1,2,6,0
140,buying,0,2,6,0
141,stuff,0,1,5,0
142,convenience,1,5,11,1
143,Thus,0,1,4,0
144,become,0,3,6,1
145,necessary,0,3,9,1
146,high,0,1,4,0
147,degree,0,3,6,1
148,customization,0,6,13,1
149,accuracy,0,3,8,1
150,required,0,0,8,0
151,marketing,0,3,9,1
152,products,0,2,8,0
153,customers,0,3,9,1
154,Whether,0,2,7,0
155,person,0,2,6,0
156,customer,0,3,8,1
157,depend,0,2,6,0
158,product,0,2,7,0
159,recommend,1,3,9,1
160,Equally,0,3,7,1
161,important,1,3,9,1
162,appropriate,0,5,11,1
163,pricing,0,2,7,0
164,product,0,2,7,0
165,Big,0,1,3,0
166,Data,0,2,4,0
167,analytics,0,3,9,1
168,help,0,1,4,0
169,determining,0,4,11,1
170,ideal,1,3,5,1
171,price,0,2,5,0
172,product,0,2,7,0
173,also,0,2,4,0
174,provide,0,3,7,1
175,insights,0,2,8,0
176,possibility,0,4,11,1
177,differentiated,0,0,14,0
178,pricing,0,2,7,0
179,products,0,2,8,0
180,based,0,0,5,0
181,customer,0,3,8,1
182,willingness,1,3,11,1
183,pay,0,1,3,0
184,Big,0,1,3,0
185,Data,0,2,4,0
186,used,0,0,4,0
187,leverage,1,4,8,1
188,Next,0,1,4,0
189,Best,0,1,4,0
190,Alternative,0,5,11,1
191,NBA,0,1,3,0
192,marketing,0,3,9,1
193,approach,0,3,8,1
194,customer,0,3,8,1
195,centric,0,2,7,0
196,approach,0,3,8,1
197,wherein,0,3,7,1
198,unique,0,4,6,1
199,real,0,2,4,0
200,time,0,2,4,0
201,promotional,0,5,11,1
202,offers,0,2,6,0
203,customer,0,3,8,1
204,considered,0,0,10,0
205,optimal,1,3,7,1
206,determined,0,0,10,0
207,radically,-1,3,9,1
208,different,0,3,9,1
209,traditional,0,5,11,1
210,approach,0,3,8,1
211,creating,0,3,8,1
