,Token,Score,Syllable_Count,Word_length,IsComplex
0,Big,0,1,3,0
1,data,0,2,4,0
2,refers,0,2,6,0
3,large,0,2,5,0
4,sets,0,1,4,0
5,unstructured,0,0,12,0
6,semi,0,2,4,0
7,structured,0,0,10,0
8,structured,0,0,10,0
9,data,0,2,4,0
10,obtained,0,0,8,0
11,numerous,0,4,8,1
12,sources,0,0,7,0
13,Among,0,2,5,0
14,sources,0,0,7,0
15,customer,0,3,8,1
16,databases,0,0,9,0
17,medical,0,3,7,1
18,records,0,2,7,0
19,business,0,3,8,1
20,transaction,0,4,11,1
21,systems,0,1,7,0
22,social,0,3,6,1
23,networks,0,2,8,0
24,mobile,0,3,6,1
25,applications,0,5,12,1
26,scientific,0,4,10,1
27,experiments,0,4,11,1
28,matter,0,2,6,0
29,business,0,3,8,1
30,chances,0,0,7,0
31,big,0,1,3,0
32,data,0,2,4,0
33,already,0,3,7,1
34,transformed,0,0,11,0
35,Big,0,1,3,0
36,data,0,2,4,0
37,already,0,3,7,1
38,changed,0,0,7,0
39,lives,0,0,5,0
40,dramatic,0,3,8,1
41,ways,0,1,4,0
42,poised,1,0,6,0
43,become,0,3,6,1
44,even,0,2,4,0
45,crucial,0,3,7,1
46,component,0,3,9,1
47,business,0,3,8,1
48,world,0,1,5,0
49,prepared,0,0,8,0
50,big,0,1,3,0
51,data,0,2,4,0
52,impact,0,2,6,0
53,company,0,2,7,0
54,time,0,2,4,0
55,start,0,1,5,0
56,looking,0,3,7,1
57,forward,0,2,7,0
58,Today,0,2,5,0
59,companies,0,0,9,0
60,focusing,0,3,8,1
61,overhauling,0,5,11,1
62,data,0,2,4,0
63,architecture,0,5,12,1
64,consolidating,0,5,13,1
65,data,0,2,4,0
66,discarding,0,3,10,1
67,legacy,0,2,6,0
68,systems,0,1,7,0
69,Big,0,1,3,0
70,data,0,2,4,0
71,great,1,2,5,0
72,impact,0,2,6,0
73,businesses,0,0,10,0
74,since,0,2,5,0
75,helps,0,1,5,0
76,companies,0,0,9,0
77,efficiently,1,4,11,1
78,manage,0,3,6,1
79,large,0,2,5,0
80,volumes,0,0,7,0
81,data,0,2,4,0
82,Usually,0,3,7,1
83,type,0,1,4,0
84,data,0,2,4,0
85,aggregated,0,0,10,0
86,social,0,3,6,1
87,media,0,3,5,1
88,networks,0,2,8,0
89,web,0,1,3,0
90,browsers,0,2,8,0
