,Token,Score,Syllable_Count,Word_length,IsComplex
0,would,0,2,5,0
1,rather,0,2,6,0
2,pay,0,1,3,0
3,cash,0,1,4,0
4,COVID,0,2,5,0
5,19,0,0,2,0
6,would,0,2,5,0
7,rather,0,2,6,0
8,make,0,2,4,0
9,online,0,3,6,1
10,payment,0,2,7,0
11,lockdown,0,2,8,0
12,lockdown,0,2,8,0
13,observe,0,3,7,1
14,number,0,2,6,0
15,small,0,1,5,0
16,positive,1,4,8,1
17,changes,0,0,7,0
18,surroundings,0,4,12,1
19,One,0,2,3,0
20,positive,1,4,8,1
21,change,0,2,6,0
22,using,0,2,5,0
23,online,0,3,6,1
24,mode,0,2,4,0
25,payment,0,2,7,0
26,even,0,2,4,0
27,small,0,1,5,0
28,amount,0,3,6,1
29,counts,0,2,6,0
30,big,0,1,3,0
31,step,0,1,4,0
32,towards,0,2,7,0
33,DIGITAL,0,3,7,1
34,INDIA,0,3,5,1
35,self,0,1,4,0
36,development,0,4,11,1
37,well,0,1,4,0
38,According,0,3,9,1
39,Economic,0,4,8,1
40,Times,0,0,5,0
41,42,0,0,2,0
42,Indians,0,3,7,1
43,say,0,1,3,0
44,started,0,0,7,0
45,using,0,2,5,0
46,online,0,3,6,1
47,mode,0,2,4,0
48,payment,0,2,7,0
49,small,0,1,5,0
50,tasks,0,1,5,0
51,like,0,2,4,0
52,mobile,0,3,6,1
53,phone,0,2,5,0
54,recharge,0,3,8,1
55,bill,0,1,4,0
56,payments,0,2,8,0
57,buying,0,2,6,0
58,groceries,0,0,9,0
59,etc,0,1,3,0
60,essential,0,4,9,1
61,tasks,0,1,5,0
62,cannot,0,2,6,0
63,ignored,0,0,7,0
64,making,0,2,6,0
65,online,0,3,6,1
66,payment,0,2,7,0
67,convenient,1,4,10,1
68,Also,0,2,4,0
69,multiple,0,3,8,1
70,schemes,0,0,7,0
71,initiated,0,0,9,0
72,government,0,3,10,1
73,promote,0,3,7,1
74,online,0,3,6,1
75,payments,0,2,8,0
76,like,0,2,4,0
77,Lucky,0,1,5,0
78,Grahak,0,2,6,0
79,Yojana,0,3,6,1
80,Digi,0,2,4,0
81,Dhan,0,1,4,0
82,Vyapari,0,3,7,1
83,Yojana,0,3,6,1
84,details,0,3,7,1
85,follows,0,2,7,0
86,LUCKY,0,1,5,0
87,GARHAK,0,2,6,0
88,YOJANA,0,3,6,1
89,daily,0,2,5,0
90,reward,1,2,6,0
91,Rs,0,0,2,0
92,1000,0,0,4,0
93,given,0,2,5,0
94,15,0,0,2,0
95,000,0,0,3,0
96,lucky,0,1,5,0
97,consumers,0,3,9,1
98,period,0,3,6,1
99,100,0,0,3,0
100,days,0,1,4,0
101,People,0,3,6,1
102,use,0,2,3,0
103,online,0,3,6,1
104,mode,0,2,4,0
105,payments,0,2,8,0
106,get,0,1,3,0
107,weekly,0,2,6,0
108,prizes,0,0,6,0
109,worth,0,1,5,0
110,Rs,0,0,2,0
111,1,0,0,1,0
112,lakh,0,1,4,0
113,Rs,0,0,2,0
114,10,0,0,2,0
115,000,0,0,3,0
116,Rs,0,0,2,0
117,5,0,0,1,0
118,000,0,0,3,0
119,types,0,0,5,0
120,online,0,3,6,1
121,transactions,0,4,12,1
122,included,0,0,8,0
123,DIGI,0,2,4,0
124,DHAN,0,1,4,0
125,VYAPARI,0,3,7,1
126,Prizes,0,0,6,0
127,Merchants,0,2,9,0
128,digital,0,3,7,1
129,transactions,0,4,12,1
130,Rs,0,0,2,0
131,50,0,0,2,0
132,000,0,0,3,0
133,Rs,0,0,2,0
134,5,0,0,1,0
135,000,0,0,3,0
136,Rs,0,0,2,0
137,2,0,0,1,0
138,500,0,0,3,0
139,provided,0,0,8,0
140,weekly,0,2,6,0
141,frequently,0,3,10,1
142,used,0,0,4,0
143,apps,0,1,4,0
144,consumers,0,3,9,1
145,market,0,2,6,0
146,share,0,2,5,0
147,apps,0,1,4,0
148,follows,0,2,7,0
149,Paytm,0,1,5,0
150,33,0,0,2,0
151,Google,0,3,6,1
152,Pay,0,1,3,0
153,14,0,0,2,0
154,PhonePe,0,3,7,1
155,4,0,0,1,0
156,Amazon,0,3,6,1
157,Pay,0,1,3,0
158,10,0,0,2,0
159,BHIM,0,1,4,0
160,6,0,0,1,0
161,Apps,0,1,4,0
162,33,0,0,2,0
163,sellers,0,2,7,0
164,also,0,2,4,0
165,buyers,0,2,6,0
166,taken,0,2,5,0
167,step,0,1,4,0
168,forward,0,2,7,0
169,making,0,2,6,0
170,online,0,3,6,1
171,payments,0,2,8,0
172,exploring,0,3,9,1
173,various,0,4,7,1
174,offers,0,2,6,0
175,discounts,0,3,9,1
176,sellers,0,2,7,0
177,started,0,0,7,0
178,online,0,3,6,1
179,shops,0,1,5,0
180,made,0,2,4,0
181,online,0,3,6,1
182,payment,0,2,7,0
183,mandatory,0,3,9,1
184,highly,0,1,6,0
185,contaminated,-1,0,12,0
186,zones,0,0,5,0
187,buyer,0,2,5,0
188,also,0,2,4,0
189,taken,0,2,5,0
190,advantage,1,4,9,1
191,home,0,2,4,0
192,deliveries,0,0,10,0
193,follow,0,2,6,0
194,social,0,3,6,1
195,distancing,0,3,10,1
196,add,0,1,3,0
197,advantage,1,4,9,1
198,buyers,0,2,6,0
199,sellers,0,2,7,0
200,KYC,0,0,3,0
201,necessity,0,3,9,1
202,make,0,2,4,0
203,money,0,2,5,0
204,transfers,0,2,9,0
205,increase,0,4,8,1
206,services,0,0,8,0
207,provided,0,0,8,0
208,banking,0,2,7,0
209,sectors,0,2,7,0
210,well,0,1,4,0
211,FM,0,0,2,0
212,Nirmala,0,3,7,1
213,Sitharaman,0,4,10,1
214,provided,0,0,8,0
215,directions,0,4,10,1
216,charge,0,2,6,0
217,cash,0,1,4,0
218,withdrawals,0,3,11,1
219,ATM,0,1,3,0
220,Various,0,4,7,1
221,services,0,0,8,0
222,like,0,2,4,0
223,sending,0,2,7,0
224,receiving,0,4,9,1
225,money,0,2,5,0
226,blocking,0,2,8,0
227,cards,0,1,5,0
228,credit,0,2,6,0
229,card,0,1,4,0
230,payments,0,2,8,0
231,credit,0,2,6,0
232,card,0,1,4,0
233,pins,0,1,4,0
234,etc,0,1,3,0
235,provided,0,0,8,0
236,online,0,3,6,1
237,E,0,1,1,0
238,payment,0,2,7,0
239,options,0,3,7,1
240,like,0,2,4,0
241,Paytm,0,1,5,0
242,etc,0,1,3,0
243,open,0,2,4,0
244,investing,0,3,9,1
245,money,0,2,5,0
246,online,0,3,6,1
247,stocks,0,1,6,0
248,insurance,0,4,9,1
249,etc,0,1,3,0
250,Even,0,2,4,0
251,online,0,3,6,1
252,shopping,0,2,8,0
253,apps,0,1,4,0
254,like,0,2,4,0
255,Amazon,0,3,6,1
256,come,0,2,4,0
257,various,0,4,7,1
258,offers,0,2,6,0
259,built,0,2,5,0
260,wallets,0,2,7,0
261,Emerging,0,3,8,1
262,technologies,0,0,12,0
263,high,0,1,4,0
264,competition,0,5,11,1
265,online,0,3,6,1
266,payment,0,2,7,0
267,apps,0,1,4,0
268,providing,0,3,9,1
269,benefits,1,3,8,1
270,buyers,0,2,6,0
271,sellers,0,2,7,0
272,well,0,1,4,0
273,Sellers,0,2,7,0
274,able,0,2,4,0
275,increase,0,4,8,1
276,reach,0,2,5,0
277,online,0,3,6,1
278,shops,0,1,5,0
279,online,0,3,6,1
280,payment,0,2,7,0
281,stands,0,1,6,0
282,guarantee,1,5,9,1
283,Buyers,0,2,6,0
284,advantageous,1,6,12,1
285,position,0,4,8,1
286,ever,0,2,4,0
287,digital,0,3,7,1
288,payment,0,2,7,0
289,come,0,2,4,0
290,market,0,2,6,0
291,provided,0,0,8,0
292,number,0,2,6,0
293,choices,0,0,7,0
294,choose,0,3,6,1
295,well,0,1,4,0
296,make,0,2,4,0
297,instant,0,2,7,0
298,payments,0,2,8,0
299,offers,0,2,6,0
300,sums,0,1,4,0
301,likeliness,0,4,10,1
302,digital,0,3,7,1
303,payment,0,2,7,0
304,market,0,2,6,0
305,yes,0,0,3,0
306,say,0,1,3,0
307,DIGITAL,0,3,7,1
308,PAYMENT,0,2,7,0
309,BRILLANT,0,2,8,0
310,FUTURE,0,3,6,1
311,CHILD,0,1,5,0
312,heard,0,2,5,0
313,statement,0,3,9,1
314,Precaution,0,5,10,1
315,better,0,2,6,0
316,cure,1,2,4,0
317,time,0,2,4,0
318,follow,0,2,6,0
319,proven,1,2,6,0
320,fact,0,1,4,0
321,coronavirus,0,5,11,1
322,persist,0,2,7,0
323,paper,0,2,5,0
324,days,0,1,4,0
325,means,0,2,5,0
326,coronavirus,0,5,11,1
327,persist,0,2,7,0
328,paper,0,2,5,0
329,currency,0,2,8,0
330,days,0,1,4,0
331,Thus,0,1,4,0
332,important,1,3,9,1
333,avoid,0,3,5,1
334,usage,0,3,5,1
335,paper,0,2,5,0
336,currency,0,2,8,0
337,revolution,0,5,10,1
338,take,0,2,4,0
339,place,0,2,5,0
340,poverty,-1,2,7,0
341,population,0,5,10,1
342,India,0,3,5,1
343,start,0,1,5,0
344,using,0,2,5,0
345,online,0,3,6,1
346,mode,0,2,4,0
347,payment,0,2,7,0
348,literate,0,4,8,1
349,enough,0,3,6,1
350,get,0,1,3,0
351,caught,0,2,6,0
352,scam,-1,1,4,0
353,Blackcoffer,0,3,11,1
354,Insights,0,2,8,0
355,18,0,0,2,0
356,Himanshi,0,3,8,1
357,Kalota,0,3,6,1
358,Shri,0,1,4,0
359,Ram,0,1,3,0
360,College,0,3,7,1
361,Commerce,0,3,8,1
362,Delhi,0,2,5,0
