,Token,Score,Syllable_Count,Word_length,IsComplex
0,Even,0,2,4,0
1,though,0,2,6,0
2,COVID,0,2,5,0
3,19,0,0,2,0
4,yet,0,1,3,0
5,halted,0,0,6,0
6,facing,0,2,6,0
7,nth,0,0,3,0
8,wave,0,2,4,0
9,coronavirus,0,5,11,1
10,outbreak,-1,4,8,1
11,across,0,2,6,0
12,several,0,3,7,1
13,countries,0,0,9,0
14,notably,1,2,7,0
15,US,0,1,2,0
16,India,0,3,5,1
17,Brazil,0,2,6,0
18,fact,0,1,4,0
19,Data,0,2,4,0
20,Analytics,0,3,9,1
21,AI,0,2,2,0
22,big,0,1,3,0
23,guns,0,1,4,0
24,artillery,0,3,9,1
25,fight,0,1,5,0
26,COVID,0,2,5,0
27,19,0,0,2,0
28,pandemic,0,3,8,1
29,helped,1,0,6,0
30,us,0,1,2,0
31,several,0,3,7,1
32,stages,0,0,6,0
33,outbreak,-1,4,8,1
34,like,0,2,4,0
35,detection,0,4,9,1
36,outbreak,-1,4,8,1
37,vaccine,0,3,7,1
38,development,0,4,11,1
39,manufacturing,0,5,13,1
40,contact,0,2,7,0
41,tracing,0,2,7,0
42,future,0,3,6,1
43,hotspot,0,2,7,0
44,detection,0,4,9,1
45,interesting,1,4,11,1
46,applications,0,5,12,1
47,discussed,0,0,9,0
48,article,0,3,7,1
49,lesser,0,2,6,0
50,known,0,1,5,0
51,fact,0,1,4,0
52,COVID,0,2,5,0
53,19,0,0,2,0
54,outbreak,-1,4,8,1
55,detected,0,0,8,0
56,Toronto,0,3,7,1
57,Canada,0,3,6,1
58,nearly,0,2,6,0
59,7,0,0,1,0
60,230,0,0,3,0
61,miles,0,0,5,0
62,away,0,2,4,0
63,outbreak,-1,4,8,1
64,days,0,1,4,0
65,issued,0,0,6,0
66,warning,-1,2,7,0
67,help,0,1,4,0
68,Big,0,1,3,0
69,Data,0,2,4,0
70,Analytics,0,3,9,1
71,AI,0,2,2,0
72,specifically,0,4,12,1
73,Deep,0,2,4,0
74,Learnings,0,3,9,1
75,DL,0,0,2,0
76,subset,0,2,6,0
77,Machine,0,3,7,1
78,Learning,0,3,8,1
79,application,0,5,11,1
80,Natural,0,3,7,1
81,Language,0,4,8,1
82,Processing,0,3,10,1
83,NLP,0,0,3,0
84,analyze,0,3,7,1
85,text,0,1,4,0
86,inputs,0,2,6,0
87,traced,0,0,6,0
88,surge,0,2,5,0
89,pneumonia,0,5,9,1
90,cases,0,0,5,0
91,Wuhan,0,2,5,0
92,province,0,3,8,1
93,China,0,2,5,0
94,specialty,0,3,9,1
95,DL,0,0,2,0
96,algorithms,0,3,10,1
97,mimic,0,2,5,0
98,brain,0,2,5,0
99,cells,0,1,5,0
100,called,0,0,6,0
101,neurons,0,3,7,1
102,identify,0,3,8,1
103,patterns,0,2,8,0
104,Big,0,1,3,0
105,Data,0,2,4,0
106,DL,0,0,2,0
107,backed,0,0,6,0
108,software,0,3,8,1
109,used,0,0,4,0
110,inputs,0,2,6,0
111,reports,0,2,7,0
112,public,0,2,6,0
113,health,0,2,6,0
114,organizations,0,6,13,1
115,global,0,2,6,0
116,airline,0,4,7,1
117,ticketing,0,3,9,1
118,data,0,2,4,0
119,etc,0,1,3,0
120,used,0,0,4,0
121,flag,0,1,4,0
122,unusual,-1,4,7,1
123,surges,0,0,6,0
124,potential,0,4,9,1
125,spreads,0,2,7,0
126,infectious,0,5,10,1
127,diseases,0,0,8,0
128,next,0,1,4,0
129,application,0,5,11,1
130,Big,0,1,3,0
131,Data,0,2,4,0
132,Analytics,0,3,9,1
133,AI,0,2,2,0
134,Research,0,3,8,1
135,Development,0,4,11,1
136,drugs,0,1,5,0
137,halt,0,1,4,0
138,COVID,0,2,5,0
139,19,0,0,2,0
140,AI,0,2,2,0
141,used,0,0,4,0
142,analyze,0,3,7,1
143,protein,0,3,7,1
144,structure,0,3,9,1
145,virus,-1,2,5,0
146,findings,0,2,8,0
147,significant,1,4,11,1
148,progress,1,2,8,0
149,vaccine,0,3,7,1
150,development,0,4,11,1
151,preliminary,0,4,11,1
152,studies,0,0,7,0
153,found,0,2,5,0
154,mutate,0,3,6,1
155,fast,0,1,4,0
156,viruses,0,0,7,0
157,HIV,0,1,3,0
158,means,0,2,5,0
159,prophylactic,0,3,12,1
160,vaccine,0,3,7,1
161,better,0,2,6,0
162,proceed,0,0,7,0
163,rather,0,2,6,0
164,therapy,0,2,7,0
165,also,0,2,4,0
166,evidence,0,4,8,1
167,supporting,1,3,10,1
168,fact,0,1,4,0
169,find,0,1,4,0
170,kind,0,1,4,0
171,cure,1,2,4,0
172,chance,0,2,6,0
173,virus,-1,2,5,0
174,mutating,0,3,8,1
175,happened,0,0,8,0
176,major,0,2,5,0
177,mutations,0,4,9,1
178,found,0,2,5,0
179,UK,0,1,2,0
180,Brazil,0,2,6,0
181,South,0,2,5,0
182,Africa,0,3,6,1
183,AI,0,2,2,0
184,also,0,2,4,0
185,assisted,0,0,8,0
186,scientists,0,3,10,1
187,rapidly,0,2,7,0
188,shortlisting,0,3,12,1
189,set,0,1,3,0
190,already,0,3,7,1
191,available,0,5,9,1
192,vaccines,0,0,8,0
193,could,0,2,5,0
194,effective,1,4,9,1
195,coronavirus,0,5,11,1
196,Another,0,3,7,1
197,interesting,1,4,11,1
198,application,0,5,11,1
199,AI,0,2,2,0
200,found,0,2,5,0
201,selection,0,4,9,1
202,right,0,1,5,0
203,candidates,0,0,10,0
204,e,0,1,1,0
205,likely,0,2,6,0
206,test,0,1,4,0
207,positive,1,4,8,1
208,testing,0,2,7,0
209,coronavirus,0,5,11,1
210,case,0,2,4,0
211,insufficient,-1,5,12,1
212,testing,0,2,7,0
213,resources,0,0,9,0
214,method,0,2,6,0
215,exercised,0,0,9,0
216,Greek,0,2,5,0
217,borders,0,2,7,0
218,called,0,0,6,0
219,project,0,2,7,0
220,EVA,0,2,3,0
221,Whenever,0,3,8,1
222,traveler,0,3,8,1
223,wanted,0,0,6,0
224,come,0,2,4,0
225,Greece,0,3,6,1
226,fill,0,1,4,0
227,form,0,1,4,0
228,known,0,1,5,0
229,Passenger,0,3,9,1
230,Locator,0,3,7,1
231,Form,0,1,4,0
232,PLF,0,0,3,0
233,least,0,2,5,0
234,24,0,0,2,0
235,hours,0,2,5,0
236,prior,0,2,5,0
237,arrival,0,3,7,1
238,containing,0,4,10,1
239,information,0,5,11,1
240,origin,0,3,6,1
241,country,0,2,7,0
242,demographics,0,4,12,1
243,point,0,2,5,0
244,date,0,2,4,0
245,entry,0,1,5,0
246,intended,0,0,8,0
247,destination,0,5,11,1
248,EVA,0,2,3,0
249,allocated,0,0,9,0
250,testing,0,2,7,0
251,resources,0,0,9,0
252,according,0,3,9,1
253,size,0,2,4,0
254,set,0,1,3,0
255,passengers,0,3,10,1
256,tested,0,0,6,0
257,test,0,1,4,0
258,results,0,2,7,0
259,found,0,2,5,0
260,positive,1,4,8,1
261,put,0,1,3,0
262,quarantine,0,5,10,1
263,results,0,2,7,0
264,sent,0,1,4,0
265,back,0,1,4,0
266,program,0,2,7,0
267,real,0,2,4,0
268,time,0,2,4,0
269,learning,0,3,8,1
270,question,0,4,8,1
271,remains,0,3,7,1
272,EVA,0,2,3,0
273,made,0,2,4,0
274,allocations,0,5,11,1
275,found,0,2,5,0
276,statistically,0,4,13,1
277,origin,0,3,6,1
278,country,0,2,7,0
279,city,0,1,4,0
280,significant,1,4,11,1
281,factors,0,2,7,0
282,screening,0,3,9,1
283,Ultimately,0,4,10,1
284,variety,1,3,7,1
285,countries,0,0,9,0
286,city,0,1,4,0
287,pairs,0,2,5,0
288,EVA,0,2,3,0
289,predict,0,2,7,0
290,testing,0,2,7,0
291,resources,0,0,9,0
292,allocated,0,0,9,0
293,entry,0,1,5,0
294,point,0,2,5,0
295,particular,0,4,10,1
296,passengers,0,3,10,1
297,location,0,4,8,1
298,technically,0,3,11,1
299,called,0,0,6,0
300,Multi,0,2,5,0
301,Armed,0,0,5,0
302,Bandit,0,2,6,0
303,MAB,0,1,3,0
304,problem,-1,2,7,0
305,chosen,0,2,6,0
306,method,0,2,6,0
307,solve,0,2,5,0
308,problem,-1,2,7,0
309,AI,0,2,2,0
310,algorithm,0,3,9,1
311,called,0,0,6,0
312,optimistic,1,4,10,1
313,Gittins,0,2,7,0
314,index,0,2,5,0
315,algorithm,0,3,9,1
316,identified,0,0,10,0
317,average,0,4,7,1
318,1,0,0,1,0
319,85x,0,0,3,0
320,asymptomatic,0,4,12,1
321,infected,-1,0,8,0
322,travelers,0,3,9,1
323,random,0,2,6,0
324,surveillance,0,5,12,1
325,testing,0,2,7,0
326,2,0,0,1,0
327,4x,0,0,2,0
328,peak,0,2,4,0
329,travel,0,2,6,0
330,test,0,1,4,0
331,results,0,2,7,0
332,found,0,2,5,0
333,positive,1,4,8,1
334,put,0,1,3,0
335,quarantine,0,5,10,1
336,Following,0,3,9,1
337,collection,0,4,10,1
338,significant,1,4,11,1
339,data,0,2,4,0
340,aforementioned,0,0,14,0
341,process,0,2,7,0
342,certain,0,3,7,1
343,period,0,3,6,1
344,policies,0,0,8,0
345,made,0,2,4,0
346,categorizing,0,5,12,1
347,separately,0,4,10,1
348,imposing,-1,3,8,1
349,restrictions,0,4,12,1
350,travelers,0,3,9,1
351,specific,0,3,8,1
352,location,0,4,8,1
353,EVA,0,2,3,0
354,presented,0,0,9,0
355,operation,0,5,9,1
356,August,0,3,6,1
357,6th,0,0,3,0
358,November,0,3,8,1
359,1st,0,0,3,0
360,processing,0,3,10,1
361,around,0,3,6,1
362,38,0,0,2,0
363,500,0,0,3,0
364,PLFs,0,0,4,0
365,day,0,1,3,0
366,testing,0,2,7,0
367,average,0,4,7,1
368,18,0,0,2,0
369,5,0,0,1,0
370,households,0,4,10,1
371,entering,0,3,8,1
372,country,0,2,7,0
373,every,0,2,5,0
374,day,0,1,3,0
375,mentioned,0,0,9,0
376,applications,0,5,12,1
377,show,0,1,4,0
378,tip,0,1,3,0
379,iceberg,0,3,7,1
380,get,0,1,3,0
381,developments,0,4,12,1
382,watch,0,1,5,0
383,include,0,3,7,1
384,use,0,2,3,0
385,Image,0,3,5,1
386,Recognition,0,5,11,1
387,identify,0,3,8,1
388,covid,0,2,5,0
389,based,0,0,5,0
390,x,0,0,1,0
391,ray,0,1,3,0
392,images,0,0,6,0
393,use,0,2,3,0
394,Deep,0,2,4,0
395,Learning,0,3,8,1
396,predict,0,2,7,0
397,3,0,0,1,0
398,protein,0,3,7,1
399,structure,0,3,9,1
400,associated,0,0,10,0
401,COVID,0,2,5,0
402,19,0,0,2,0
403,Blackcoffer,0,3,11,1
404,Insights,0,2,8,0
405,27,0,0,2,0
406,Aniruddha,0,4,9,1
407,Surse,0,2,5,0
408,NIT,0,1,3,0
409,Nagpur,0,2,6,0
