,Token,Score,Syllable_Count,Word_length,IsComplex
0,get,0,1,3,0
1,whole,0,2,5,0
2,discussion,0,4,10,1
3,let,0,1,3,0
4,discuss,0,2,7,0
5,basic,0,2,5,0
6,working,0,2,7,0
7,data,0,2,4,0
8,analysis,0,3,8,1
9,Data,0,2,4,0
10,analysis,0,3,8,1
11,defined,0,0,7,0
12,process,0,2,7,0
13,cleaning,0,3,8,1
14,transforming,0,3,12,1
15,modeling,0,3,8,1
16,data,0,2,4,0
17,discover,0,3,8,1
18,useful,0,3,6,1
19,information,0,5,11,1
20,business,0,3,8,1
21,decision,0,4,8,1
22,making,0,2,6,0
23,Using,0,2,5,0
24,data,0,2,4,0
25,analysis,0,3,8,1
26,extract,0,2,7,0
27,useful,0,3,6,1
28,information,0,5,11,1
29,given,0,2,5,0
30,data,0,2,4,0
31,take,0,2,4,0
32,corresponding,0,4,13,1
33,decisions,0,4,9,1
34,based,0,0,5,0
35,upon,0,2,4,0
36,analyzed,0,0,8,0
37,data,0,2,4,0
38,pandemic,0,3,8,1
39,known,0,1,5,0
40,COVID,0,2,5,0
41,19,0,0,2,0
42,businesses,0,0,10,0
43,failed,-1,0,6,0
44,grow,0,1,4,0
45,whereas,0,3,7,1
46,touched,0,0,7,0
47,sky,0,0,3,0
48,example,0,3,7,1
49,transportation,0,5,14,1
50,raw,0,1,3,0
51,materials,0,4,9,1
52,drastically,-1,3,11,1
53,low,0,1,3,0
54,nationwide,0,5,10,1
55,lockdown,0,2,8,0
56,imposed,0,0,7,0
57,Low,0,1,3,0
58,production,0,4,10,1
59,due,0,2,3,0
60,smaller,0,2,7,0
61,number,0,2,6,0
62,workers,0,2,7,0
63,Storage,0,3,7,1
64,facilities,0,0,10,0
65,shut,0,1,4,0
66,reasons,0,3,7,1
67,hand,0,1,4,0
68,business,0,3,8,1
69,startups,0,2,8,0
70,got,0,1,3,0
71,chance,0,2,6,0
72,compete,0,3,7,1
73,market,0,2,6,0
74,getting,0,2,7,0
75,early,0,2,5,0
76,responses,0,0,9,0
77,companies,0,0,9,0
78,wanted,0,0,6,0
79,tie,0,2,3,0
80,head,0,2,4,0
81,companies,0,0,9,0
82,wanted,0,0,6,0
83,investments,0,3,11,1
84,data,0,2,4,0
85,analysis,0,3,8,1
86,help,0,1,4,0
87,businesses,0,0,10,0
88,ways,0,1,4,0
89,Using,0,2,5,0
90,different,0,3,9,1
91,statistical,0,4,11,1
92,models,0,2,6,0
93,used,0,0,4,0
94,data,0,2,4,0
95,analysis,0,3,8,1
96,businesses,0,0,10,0
97,predict,0,2,7,0
98,approximate,0,5,11,1
99,requirement,0,5,11,1
100,product,0,2,7,0
101,near,0,2,4,0
102,future,0,3,6,1
103,hence,0,2,5,0
104,produce,0,3,7,1
105,accordingly,0,3,11,1
106,makes,0,0,5,0
107,easier,1,4,6,1
108,track,0,1,5,0
109,requirement,0,5,11,1
110,produce,0,3,7,1
111,product,0,2,7,0
112,accordingly,0,3,11,1
113,lockdown,0,2,8,0
114,people,0,3,6,1
115,start,0,1,5,0
116,working,0,2,7,0
117,home,0,2,4,0
118,became,0,3,6,1
119,huge,0,2,4,0
120,advantage,1,4,9,1
121,businesses,0,0,10,0
122,would,0,2,5,0
123,get,0,1,3,0
124,quicker,1,3,7,1
125,responses,0,0,9,0
126,tie,0,2,3,0
127,ups,0,1,3,0
128,Using,0,2,5,0
129,data,0,2,4,0
130,analysis,0,3,8,1
131,businesses,0,0,10,0
132,create,0,3,6,1
133,several,0,3,7,1
134,models,0,2,6,0
135,structures,0,0,10,0
136,measure,0,4,7,1
137,growth,0,1,6,0
138,company,0,2,7,0
139,also,0,2,4,0
140,make,0,2,4,0
141,devised,0,0,7,0
142,plans,0,1,5,0
143,increase,0,4,8,1
144,revenues,0,0,8,0
145,decrease,0,4,8,1
146,losses,-1,0,6,0
147,Data,0,2,4,0
148,analysis,0,3,8,1
149,provides,0,0,8,0
150,different,0,3,9,1
151,analytical,0,4,10,1
152,techniques,0,0,10,0
153,Text,0,1,4,0
154,Analysis,0,3,8,1
155,Statistical,0,4,11,1
156,Analysis,0,3,8,1
157,Diagnostic,0,4,10,1
158,Analysis,0,3,8,1
159,Predictive,0,4,10,1
160,Analysis,0,3,8,1
161,Prescriptive,0,4,12,1
162,Analysis,0,3,8,1
163,Using,0,2,5,0
164,techniques,0,0,10,0
165,businesses,0,0,10,0
166,analyze,0,3,7,1
167,everything,0,3,10,1
168,predict,0,2,7,0
169,almost,0,2,6,0
170,anything,0,2,8,0
171,techniques,0,0,10,0
172,tools,0,2,5,0
173,models,0,2,6,0
174,help,0,1,4,0
175,businesses,0,0,10,0
176,tackle,0,2,6,0
177,horrendous,-1,4,10,1
178,situation,0,5,9,1
179,COVID,0,2,5,0
180,19,0,0,2,0
181,Blackcoffer,0,3,11,1
182,Insights,0,2,8,0
183,27,0,0,2,0
184,SHAILI,0,3,6,1
185,SHARMA,0,2,6,0
186,St,0,0,2,0
187,Xavier,0,3,6,1
188,College,0,3,7,1
