,Token,Score,Syllable_Count,Word_length,IsComplex
0,increasing,0,4,10,1
1,computing,0,3,9,1
2,power,0,2,5,0
3,data,0,2,4,0
4,potential,0,4,9,1
5,value,0,3,5,1
6,algorithms,0,3,10,1
7,became,0,3,6,1
8,higher,0,2,6,0
9,People,0,3,6,1
10,companies,0,0,9,0
11,saw,0,1,3,0
12,possibilities,0,0,13,0
13,embed,0,0,5,0
14,smart,0,1,5,0
15,systems,0,1,7,0
16,companies,0,0,9,0
17,drive,0,2,5,0
18,strategy,0,2,8,0
19,innovation,1,5,10,1
20,power,0,2,5,0
21,algorithms,0,3,10,1
22,computing,0,3,9,1
23,amounts,0,3,7,1
24,data,0,2,4,0
25,increased,0,0,9,0
26,companies,0,0,9,0
27,started,0,0,7,0
28,increasing,0,4,10,1
29,amount,0,3,6,1
30,use,0,2,3,0
31,cases,0,0,5,0
32,AI,0,2,2,0
33,started,0,0,7,0
34,become,0,3,6,1
35,essential,0,4,9,1
36,value,0,3,5,1
37,Companies,0,0,9,0
38,saw,0,1,3,0
39,systems,0,1,7,0
40,could,0,2,5,0
41,move,0,2,4,0
42,closer,0,2,6,0
43,customers,0,3,9,1
44,drive,0,2,5,0
45,efficiency,0,4,10,1
46,enhance,1,3,7,1
47,employee,0,4,8,1
48,experience,0,5,10,1
49,capability,1,4,10,1
50,automatize,0,6,10,1
51,tasks,0,1,5,0
52,decrease,0,4,8,1
53,costs,0,1,5,0
54,improve,1,3,7,1
55,revenue,0,4,7,1
56,AI,0,2,2,0
57,went,0,1,4,0
58,lulls,0,1,5,0
59,spikes,0,0,6,0
60,became,0,3,6,1
61,capable,1,3,7,1
62,enabling,0,3,8,1
63,benefits,1,3,8,1
64,certain,0,3,7,1
65,point,0,2,5,0
66,general,0,3,7,1
67,public,0,2,6,0
68,gave,0,2,4,0
69,AI,0,2,2,0
70,machine,0,3,7,1
71,learning,0,3,8,1
72,whole,0,2,5,0
73,stalled,0,0,7,0
74,developments,0,4,12,1
75,investments,0,3,11,1
76,AI,0,2,2,0
77,uses,0,0,4,0
78,computer,0,3,8,1
79,vision,0,3,6,1
80,deep,0,2,4,0
81,learning,0,3,8,1
82,achieve,0,4,7,1
83,results,0,2,7,0
84,Computer,0,3,8,1
85,vision,0,3,6,1
86,incorporates,0,0,12,0
87,neural,0,3,6,1
88,networks,0,2,8,0
89,help,0,1,4,0
90,computers,0,3,9,1
91,detect,0,2,6,0
92,objects,0,2,7,0
93,within,0,2,6,0
94,shelf,0,1,5,0
95,images,0,0,6,0
96,classify,0,2,8,0
97,accurately,1,4,10,1
98,Deep,0,2,4,0
99,learning,0,3,8,1
100,area,0,3,4,1
101,moving,0,2,6,0
102,machine,0,3,7,1
103,learning,0,3,8,1
104,closer,0,2,6,0
105,original,0,4,8,1
106,goals,0,2,5,0
107,AI,0,2,2,0
108,deep,0,2,4,0
109,learning,0,3,8,1
110,computer,0,3,8,1
111,system,0,1,6,0
112,fed,0,0,3,0
113,lot,0,1,3,0
114,data,0,2,4,0
115,observes,0,0,8,0
116,analyzes,0,0,8,0
117,recognize,0,4,9,1
118,emergent,0,3,8,1
119,patterns,0,2,8,0
120,trends,0,1,6,0
121,ultimately,0,4,10,1
122,generating,0,4,10,1
123,appropriate,0,5,11,1
124,recommendations,1,6,15,1
125,predictions,0,4,11,1
126,Deep,0,2,4,0
127,learning,0,3,8,1
128,applications,0,5,12,1
129,especially,0,4,10,1
130,field,0,2,5,0
131,computer,0,3,8,1
132,vision,0,3,6,1
133,ready,0,2,5,0
134,prime,0,2,5,0
135,time,0,2,4,0
136,Recently,0,2,8,0
137,neural,0,3,6,1
138,network,0,2,7,0
139,architecture,0,5,12,1
140,ImageNet,0,4,8,1
141,challenge,0,3,9,1
142,classifying,0,3,11,1
143,wide,0,2,4,0
144,variety,1,3,7,1
145,objects,0,2,7,0
146,like,0,2,4,0
147,birds,0,1,5,0
148,ships,0,1,5,0
149,cats,0,1,4,0
150,correct,1,2,7,0
151,categories,0,0,10,0
152,accurately,1,4,10,1
153,humans,0,2,6,0
154,Back,0,1,4,0
155,store,0,2,5,0
156,shelf,0,1,5,0
157,even,0,2,4,0
158,subtle,0,2,6,0
159,differences,0,0,11,0
160,objects,0,2,7,0
161,poor,-1,2,4,0
162,lighting,0,2,8,0
163,reflections,0,4,11,1
164,background,0,3,10,1
165,clutter,0,2,7,0
166,overcome,0,4,8,1
167,powerful,1,3,8,1
168,AI,0,2,2,0
169,applications,0,5,12,1
170,tool,0,2,4,0
171,recognizes,0,0,10,0
172,products,0,2,8,0
173,thousands,0,3,9,1
174,possible,0,3,8,1
175,retail,0,3,6,1
176,items,0,2,5,0
177,verifies,0,0,8,0
178,placement,0,3,9,1
179,according,0,3,9,1
180,given,0,2,5,0
181,planogram,0,3,9,1
182,translates,0,0,10,0
183,automation,0,6,10,1
184,shelf,0,1,5,0
185,management,0,4,10,1
186,activities,0,0,10,0
187,centralized,0,0,11,0
188,monitoring,0,4,10,1
189,shelf,0,1,5,0
190,arrangement,0,4,11,1
191,hundreds,0,2,8,0
192,branches,0,0,8,0
193,validation,0,5,10,1
194,product,0,2,7,0
195,license,0,3,7,1
196,agreement,0,4,9,1
197,suppliers,0,3,9,1
198,use,0,2,3,0
199,ML,0,0,2,0
200,powered,0,0,7,0
201,analytics,0,3,9,1
202,solutions,0,4,9,1
203,help,0,1,4,0
204,businesses,0,0,10,0
205,forecast,0,3,8,1
206,inventory,0,3,9,1
207,demand,0,2,6,0
208,high,0,1,4,0
209,accuracy,0,3,8,1
210,Systems,0,1,7,0
211,rely,0,1,4,0
212,machine,0,3,7,1
213,learning,0,3,8,1
214,capable,1,3,7,1
215,analyzing,0,3,9,1
216,multitude,0,4,9,1
217,data,0,2,4,0
218,points,0,2,6,0
219,finding,0,2,7,0
220,subtle,0,2,6,0
221,patterns,0,2,8,0
222,indicating,0,4,10,1
223,changes,0,0,7,0
224,customer,0,3,8,1
225,preferences,0,0,11,0
226,behavior,0,4,8,1
227,satisfaction,0,5,12,1
228,non,0,1,3,0
229,obvious,0,4,7,1
230,humans,0,2,6,0
231,systems,0,1,7,0
232,require,0,4,7,1
233,explicit,0,3,8,1
234,programming,0,3,11,1
235,machine,0,3,7,1
236,learning,0,3,8,1
237,models,0,2,6,0
238,learn,0,2,5,0
239,data,0,2,4,0
240,data,0,2,4,0
241,fed,0,0,3,0
242,better,0,2,6,0
243,handle,0,2,6,0
244,deriving,0,3,8,1
245,meaningful,1,4,10,1
246,insights,0,2,8,0
247,system,0,1,6,0
248,automate,0,5,8,1
249,manual,0,3,6,1
250,tasks,0,1,5,0
251,like,0,2,4,0
252,gap,0,1,3,0
253,price,0,2,5,0
254,scanning,0,2,8,0
255,free,0,2,4,0
256,staff,0,1,5,0
257,help,0,1,4,0
258,shoppers,0,2,8,0
259,increases,0,0,9,0
260,availability,0,6,12,1
261,provides,0,0,8,0
262,real,0,2,4,0
263,time,0,2,4,0
264,accurate,1,4,8,1
265,alerts,0,2,6,0
266,restock,0,2,7,0
267,shelves,0,0,7,0
268,faster,1,2,6,0
269,ever,0,2,4,0
270,increase,0,4,8,1
271,shelf,0,1,5,0
272,availability,0,6,12,1
273,transform,0,2,9,0
274,supply,0,1,6,0
275,chain,0,2,5,0
276,Drive,0,2,5,0
277,supply,0,1,6,0
278,chain,0,2,5,0
279,decisions,0,4,9,1
280,real,0,2,4,0
281,time,0,2,4,0
282,shelf,0,1,5,0
283,data,0,2,4,0
284,understand,0,3,10,1
285,actual,0,3,6,1
286,demand,0,2,6,0
287,avoid,0,3,5,1
288,inaccurate,-1,5,10,1
289,inventory,0,3,9,1
290,management,0,4,10,1
291,comply,0,1,6,0
292,price,0,2,5,0
293,promotions,0,4,10,1
294,Automatically,0,6,13,1
295,detect,0,2,6,0
