,Token,Score,Syllable_Count,Word_length,IsComplex
0,Big,0,1,3,0
1,Data,0,2,4,0
2,word,0,1,4,0
3,suggests,0,2,8,0
4,means,0,2,5,0
5,large,0,2,5,0
6,amount,0,3,6,1
7,data,0,2,4,0
8,Data,0,2,4,0
9,structured,0,0,10,0
10,well,0,1,4,0
11,unstructured,0,0,12,0
12,format,0,2,6,0
13,Data,0,2,4,0
14,collected,0,0,9,0
15,various,0,4,7,1
16,sources,0,0,7,0
17,mobile,0,3,6,1
18,phones,0,0,6,0
19,social,0,3,6,1
20,media,0,3,5,1
21,big,0,1,3,0
22,transactions,0,4,12,1
23,videos,0,3,6,1
24,Internet,0,3,8,1
25,Things,0,1,6,0
26,devices,0,0,7,0
27,financial,0,4,9,1
28,instruments,0,3,11,1
29,like,0,2,4,0
30,stocks,0,1,6,0
31,bonds,0,1,5,0
32,news,0,1,4,0
33,increasing,0,4,10,1
34,use,0,2,3,0
35,Internet,0,3,8,1
36,data,0,2,4,0
37,generated,0,0,9,0
38,devices,0,0,7,0
39,also,0,2,4,0
40,increasing,0,4,10,1
41,rapidly,0,2,7,0
42,data,0,2,4,0
43,helpful,1,2,7,0
44,make,0,2,4,0
45,projections,0,4,11,1
46,upcoming,0,3,8,1
47,use,0,2,3,0
48,data,0,2,4,0
49,largely,0,2,7,0
50,dependent,0,3,9,1
51,company,0,2,7,0
52,analyzing,0,3,9,1
53,New,0,1,3,0
54,technologies,0,0,12,0
55,machine,0,3,7,1
56,learning,0,3,8,1
57,deep,0,2,4,0
58,learning,0,3,8,1
59,artificial,0,5,10,1
60,intelligence,1,5,12,1
61,data,0,2,4,0
62,driven,0,2,6,0
63,technologies,0,0,12,0
64,Large,0,2,5,0
65,companies,0,0,9,0
66,use,0,2,3,0
67,data,0,2,4,0
68,enhance,1,3,7,1
69,client,0,2,6,0
70,experience,0,5,10,1
71,execute,0,4,7,1
72,digital,0,3,7,1
73,transactions,0,4,12,1
74,greater,0,3,7,1
75,efficiency,0,4,10,1
76,minimal,0,3,7,1
77,mistakes,-1,0,8,0
78,Organizations,0,6,13,1
79,need,0,0,4,0
80,understand,0,3,10,1
81,values,0,0,6,0
82,data,0,2,4,0
83,otherwise,0,4,9,1
84,would,0,2,5,0
85,left,0,1,4,0
86,behind,0,2,6,0
87,Big,0,1,3,0
88,Data,0,2,4,0
89,Finance,0,3,7,1
