,Token,Score,Syllable_Count,Word_length,IsComplex
0,March,0,1,5,0
1,Tech,0,1,4,0
2,giant,0,2,5,0
3,Google,0,3,6,1
4,came,0,2,4,0
5,ground,0,2,6,0
6,breaking,-1,3,8,1
7,announcement,0,5,12,1
8,Google,0,3,6,1
9,Fit,0,1,3,0
10,able,0,2,4,0
11,measure,0,4,7,1
12,one,0,2,3,0
13,heart,0,2,5,0
14,respiratory,0,4,11,1
15,rates,0,0,5,0
16,using,0,2,5,0
17,smartphones,0,0,11,0
18,news,0,1,4,0
19,spread,0,2,6,0
20,like,0,2,4,0
21,wildfire,0,3,8,1
22,Instantly,1,2,9,0
23,became,0,3,6,1
24,talk,0,1,4,0
25,town,0,1,4,0
26,feature,0,4,7,1
27,said,0,2,4,0
28,available,0,5,9,1
29,Google,0,3,6,1
30,Fit,0,1,3,0
31,app,0,1,3,0
32,exclusively,0,4,11,1
33,Pixel,0,2,5,0
34,phone,0,2,5,0
35,users,0,2,5,0
36,Google,0,3,6,1
37,also,0,2,4,0
38,plans,0,1,5,0
39,expand,0,2,6,0
40,Android,0,3,7,1
41,devices,0,0,7,0
42,future,0,3,6,1
43,Google,0,3,6,1
44,newest,0,2,6,0
45,endeavor,0,4,8,1
46,acquiring,0,4,9,1
47,Fitbit,0,2,6,0
48,whopping,0,2,8,0
49,2,0,0,1,0
50,1,0,0,1,0
51,billion,0,3,7,1
52,acquisition,0,6,11,1
53,steps,0,1,5,0
54,stage,0,2,5,0
55,potential,0,4,9,1
56,Google,0,3,6,1
57,Smartwatch,0,2,10,0
58,also,0,2,4,0
59,gives,0,0,5,0
60,Google,0,3,6,1
61,ownerships,0,3,10,1
62,Fitbit,0,2,6,0
63,health,0,2,6,0
64,business,0,3,8,1
65,wealth,0,2,6,0
66,data,0,2,4,0
67,assets,0,2,6,0
68,Users,0,2,5,0
69,need,0,0,4,0
70,place,0,2,5,0
71,head,0,2,4,0
72,upper,0,2,5,0
73,torso,0,2,5,0
74,view,0,2,4,0
75,front,0,1,5,0
76,facing,0,2,6,0
77,phone,0,2,5,0
78,camera,0,3,6,1
79,wish,0,1,4,0
80,measure,0,4,7,1
81,respiratory,0,4,11,1
82,rate,0,2,4,0
83,measuring,0,4,9,1
84,Heart,0,2,5,0
85,rate,0,2,4,0
86,user,0,2,4,0
87,place,0,2,5,0
88,finger,0,2,6,0
89,rear,0,2,4,0
90,facing,0,2,6,0
91,camera,0,3,6,1
92,lens,0,1,4,0
93,Mind,0,1,4,0
94,blowing,0,2,7,0
95,right,0,1,5,0
96,measurements,0,5,12,1
97,taken,0,2,5,0
98,users,0,2,5,0
99,simply,0,1,6,0
100,store,0,2,5,0
101,save,0,2,4,0
102,Google,0,3,6,1
103,Fit,0,1,3,0
104,app,0,1,3,0
105,monitor,0,3,7,1
106,track,0,1,5,0
107,day,0,1,3,0
108,day,0,1,3,0
109,wellness,0,2,8,0
110,asked,0,0,5,0
111,measuring,0,4,9,1
112,heart,0,2,5,0
113,rate,0,2,4,0
114,respiratory,0,4,11,1
115,rate,0,2,4,0
116,Google,0,3,6,1
117,Health,0,2,6,0
118,director,0,3,8,1
119,health,0,2,6,0
120,technologies,0,0,12,0
121,Shwethak,0,2,8,0
122,Patel,0,2,5,0
123,explained,0,0,9,0
124,features,0,0,8,0
125,rely,0,1,4,0
126,sensors,0,2,7,0
127,built,0,2,5,0
128,smartphone,0,3,10,1
129,camera,0,3,6,1
130,microphone,0,4,10,1
131,accelerometer,0,6,13,1
132,Thanks,0,1,6,0
133,increasingly,0,4,12,1
134,power,0,2,5,0
135,sensors,0,2,7,0
136,even,0,2,4,0
137,affordable,1,4,10,1
138,smartphones,0,0,11,0
139,advancements,0,4,12,1
140,computer,0,3,8,1
141,vision,0,3,6,1
142,features,0,0,8,0
143,let,0,1,3,0
144,use,0,2,3,0
145,smartphone,0,3,10,1
146,camera,0,3,6,1
147,track,0,1,5,0
148,even,0,2,4,0
149,tiny,0,1,4,0
150,physical,0,2,8,0
151,signals,0,2,7,0
152,like,0,2,4,0
153,chest,0,1,5,0
154,movement,0,3,8,1
155,measure,0,4,7,1
156,respiratory,0,4,11,1
157,rate,0,2,4,0
158,subtle,0,2,6,0
159,changes,0,0,7,0
160,color,0,2,5,0
161,finger,0,2,6,0
162,heart,0,2,5,0
163,rate,0,2,4,0
164,Pixel,0,2,5,0
165,underwent,0,3,9,1
166,completed,0,0,9,0
167,initial,0,4,7,1
168,clinical,0,3,8,1
169,trials,0,2,6,0
170,validate,0,4,8,1
171,algorithm,0,3,9,1
172,cloud,0,2,5,0
173,work,1,1,4,0
174,variety,1,3,7,1
175,different,0,3,9,1
176,world,0,1,5,0
177,conditions,0,4,10,1
178,people,0,3,6,1
179,developing,0,4,10,1
180,features,0,0,8,0
181,Since,0,2,5,0
182,heart,0,2,5,0
183,rate,0,2,4,0
184,relies,0,0,6,0
185,approximating,0,5,13,1
186,blood,0,2,5,0
187,flow,0,1,4,0
188,color,0,2,5,0
189,changes,0,0,7,0
190,someone,0,4,7,1
191,fingertip,0,3,9,1
192,account,0,3,7,1
193,factors,0,2,7,0
194,lighting,0,2,8,0
195,skin,0,1,4,0
196,tone,0,2,4,0
197,age,0,2,3,0
198,Adding,0,2,6,0
199,able,0,2,4,0
200,measure,0,4,7,1
201,heart,0,2,5,0
202,respiratory,0,4,11,1
203,rate,0,2,4,0
204,Google,0,3,6,1
205,Fit,0,1,3,0
206,also,0,2,4,0
207,displays,0,2,8,0
208,user,0,2,4,0
209,daily,0,2,5,0
210,stats,0,1,5,0
211,daily,0,2,5,0
212,goals,0,2,5,0
213,weekly,0,2,6,0
214,goals,0,2,5,0
215,heart,0,2,5,0
216,points,0,2,6,0
217,workout,0,3,7,1
218,also,0,2,4,0
219,sleep,0,2,5,0
220,monitor,0,3,7,1
221,Blackcoffer,0,3,11,1
222,Insights,0,2,8,0
223,25,0,0,2,0
224,Sri,0,1,3,0
225,Vishnu,0,2,6,0
226,Kristu,0,2,6,0
227,Jayanti,0,3,7,1
228,College,0,3,7,1
229,Bangalore,0,4,9,1
