,Token,Score,Syllable_Count,Word_length,IsComplex
0,Artificial,0,5,10,1
1,intelligence,1,5,12,1
2,AI,0,2,2,0
3,important,1,3,9,1
4,branch,0,1,6,0
5,computer,0,3,8,1
6,science,0,3,7,1
7,era,0,2,3,0
8,big,0,1,3,0
9,data,0,2,4,0
10,AI,0,2,2,0
11,born,0,1,4,0
12,50,0,0,2,0
13,years,0,2,5,0
14,ago,0,2,3,0
15,came,0,2,4,0
16,long,0,1,4,0
17,way,0,1,3,0
18,making,0,2,6,0
19,encouraging,1,5,11,1
20,progress,1,2,8,0
21,especially,0,4,10,1
22,machine,0,3,7,1
23,learning,0,3,8,1
24,data,0,2,4,0
25,mining,0,2,6,0
26,computer,0,3,8,1
27,vision,0,3,6,1
28,expert,0,2,6,0
29,systems,0,1,7,0
30,natural,0,3,7,1
31,language,0,4,8,1
32,processing,0,3,10,1
33,robotics,0,3,8,1
34,related,0,0,7,0
35,applications,0,5,12,1
36,Machine,0,3,7,1
37,learning,0,3,8,1
38,popular,1,3,7,1
39,branch,0,1,6,0
40,AI,0,2,2,0
41,classes,0,0,7,0
42,AI,0,2,2,0
43,include,0,3,7,1
44,probabilistic,0,5,13,1
45,models,0,2,6,0
46,deep,0,2,4,0
47,learning,0,3,8,1
48,artificial,0,5,10,1
49,neural,0,3,6,1
50,network,0,2,7,0
51,systems,0,1,7,0
52,game,0,2,4,0
53,theory,0,2,6,0
54,classes,0,0,7,0
55,developed,0,0,9,0
56,applied,0,0,7,0
57,wide,0,2,4,0
58,range,0,2,5,0
59,sectors,0,2,7,0
60,Recently,0,2,8,0
61,leading,1,3,7,1
62,research,0,3,8,1
63,area,0,3,4,1
64,transportation,0,5,14,1
65,engineering,0,5,11,1
66,especially,0,4,10,1
67,traffic,0,2,7,0
68,congestion,-1,4,10,1
69,prediction,0,4,10,1
70,Traffic,0,2,7,0
71,congestion,-1,4,10,1
72,prediction,0,4,10,1
73,provides,0,0,8,0
74,authorities,0,0,11,0
75,required,0,0,8,0
76,time,0,2,4,0
77,plan,0,1,4,0
78,allocation,0,5,10,1
79,resources,0,0,9,0
80,make,0,2,4,0
81,journey,0,3,7,1
82,smooth,1,2,6,0
83,travelers,0,3,9,1
84,Fig,0,1,3,0
85,Traffic,0,2,7,0
86,management,0,4,10,1
87,AI,0,2,2,0
88,TACKLE,0,2,6,0
89,ROAD,0,2,4,0
90,TRAFFIC,0,2,7,0
91,CONGESTION,-1,4,10,1
92,AI,0,2,2,0
93,traffic,0,2,7,0
94,management,0,4,10,1
95,poised,1,0,6,0
96,revamp,0,2,6,0
97,urban,0,2,5,0
98,transportation,0,5,14,1
99,relieving,0,4,9,1
100,bottlenecks,0,3,11,1
101,choke,-1,2,5,0
102,points,0,2,6,0
103,routinely,0,4,9,1
104,snarl,-1,1,5,0
105,urban,0,2,5,0
106,traffic,0,2,7,0
107,help,0,1,4,0
108,us,0,1,2,0
109,reduce,0,3,6,1
110,congestion,-1,4,10,1
111,travel,0,2,6,0
112,time,0,2,4,0
113,also,0,2,4,0
114,reduce,0,3,6,1
115,emissions,0,4,9,1
116,Traffic,0,2,7,0
117,congestion,-1,4,10,1
118,mostly,0,1,6,0
119,occurs,0,2,6,0
120,due,0,2,3,0
121,negligence,-1,4,10,1
122,certain,0,3,7,1
123,factors,0,2,7,0
124,like,0,2,4,0
125,distance,0,3,8,1
126,maintained,0,0,10,0
127,moving,0,2,6,0
128,vehicles,0,0,8,0
129,traffic,0,2,7,0
130,lights,0,1,6,0
131,road,0,2,4,0
132,signs,0,1,5,0
133,congestion,-1,4,10,1
134,leads,1,2,5,0
135,higher,0,2,6,0
136,fuel,0,2,4,0
137,consumption,0,4,11,1
138,increased,0,0,9,0
139,air,0,2,3,0
140,pollution,0,4,9,1
141,unnecessarily,0,5,13,1
142,wastage,0,3,7,1
143,time,0,2,4,0
144,energy,0,2,6,0
145,chronic,-1,2,7,0
146,stress,-1,1,6,0
147,physiological,0,5,13,1
148,problems,-1,2,8,0
149,whereas,0,3,7,1
150,higher,0,2,6,0
151,traffic,0,2,7,0
152,violations,0,5,10,1
153,major,0,2,5,0
154,cause,0,3,5,1
155,road,0,2,4,0
156,fatalities,0,0,10,0
157,Intelligent,1,4,11,1
158,traffic,0,2,7,0
159,management,0,4,10,1
160,systems,0,1,7,0
161,refer,0,2,5,0
162,usage,0,3,5,1
163,AI,0,2,2,0
164,machine,0,3,7,1
165,learning,0,3,8,1
166,computer,0,3,8,1
167,vision,0,3,6,1
168,sensors,0,2,7,0
169,data,0,2,4,0
170,analysis,0,3,8,1
171,tools,0,2,5,0
172,collect,0,2,7,0
173,analyze,0,3,7,1
174,traffic,0,2,7,0
175,data,0,2,4,0
176,generate,0,4,8,1
177,solutions,0,4,9,1
178,apply,0,1,5,0
179,traffic,0,2,7,0
180,infrastructure,0,5,14,1
181,AI,0,2,2,0
182,use,0,2,3,0
183,live,0,2,4,0
184,camera,0,3,6,1
185,feeds,0,2,5,0
186,sensors,0,2,7,0
187,even,0,2,4,0
188,Google,0,3,6,1
189,Maps,0,1,4,0
190,develop,0,3,7,1
