,Token,Score,Syllable_Count,Word_length,IsComplex
0,people,0,3,6,1
1,hear,0,2,4,0
2,AI,0,2,2,0
3,often,0,2,5,0
4,think,0,1,5,0
5,sentient,0,3,8,1
6,robots,0,2,6,0
7,magic,1,2,5,0
8,boxes,0,0,5,0
9,AI,0,2,2,0
10,today,0,2,5,0
11,much,0,1,4,0
12,mundane,-1,3,7,1
13,simple,0,2,6,0
14,mean,0,2,4,0
15,powerful,1,3,8,1
16,Another,0,3,7,1
17,misconception,-1,5,13,1
18,high,0,1,4,0
19,profile,0,3,7,1
20,research,0,3,8,1
21,projects,0,2,8,0
22,applied,0,0,7,0
23,directly,0,2,8,0
24,business,0,3,8,1
25,situation,0,5,9,1
26,AI,0,2,2,0
27,done,0,2,4,0
28,right,0,1,5,0
29,create,0,3,6,1
30,extreme,0,3,7,1
31,return,0,2,6,0
32,investments,0,3,11,1
33,ROIs,0,2,4,0
34,instance,0,3,8,1
35,automation,0,6,10,1
36,precise,1,3,7,1
37,prediction,0,4,10,1
38,take,0,2,4,0
39,thought,0,2,7,0
40,time,0,2,4,0
41,proper,1,2,6,0
42,implementation,0,6,14,1
43,seen,0,2,4,0
44,success,1,2,7,0
45,value,0,3,5,1
46,generated,0,0,9,0
47,AI,0,2,2,0
48,projects,0,2,8,0
49,increased,0,0,9,0
50,grounded,0,0,8,0
51,understanding,0,4,13,1
52,expectation,0,5,11,1
53,technology,0,3,10,1
54,deliver,0,3,7,1
55,C,0,0,1,0
56,suite,0,3,5,1
57,Artificial,0,5,10,1
58,Intelligence,1,5,12,1
59,AI,0,2,2,0
60,science,0,3,7,1
61,set,0,1,3,0
62,computational,0,6,13,1
63,technologies,0,0,12,0
64,inspired,0,0,8,0
65,typically,0,2,9,0
66,operate,0,4,7,1
67,quite,0,3,5,1
68,differently,0,3,11,1
69,ways,0,1,4,0
70,people,0,3,6,1
71,use,0,2,3,0
72,nervous,-1,3,7,1
73,systems,0,1,7,0
74,bodies,0,0,6,0
75,sense,0,2,5,0
76,learn,0,2,5,0
77,reason,0,3,6,1
78,take,0,2,4,0
79,action,0,3,6,1
80,3,0,0,1,0
81,Lately,0,2,6,0
