,Token,Score,Syllable_Count,Word_length,IsComplex
0,Machine,0,3,7,1
1,learning,0,3,8,1
2,techniques,0,0,10,0
3,used,0,0,4,0
4,years,0,2,5,0
5,recently,0,2,8,0
6,explosion,0,4,9,1
7,applications,0,5,12,1
8,fact,0,1,4,0
9,recent,0,2,6,0
10,Q3,0,0,2,0
11,earnings,0,3,8,1
12,call,0,1,4,0
13,Google,0,3,6,1
14,CEO,0,2,3,0
15,Sundar,0,2,6,0
16,Pichai,0,3,6,1
17,said,0,2,4,0
18,Machine,0,3,7,1
19,learning,0,3,8,1
20,core,0,2,4,0
21,transformative,0,5,14,1
22,thinking,0,2,8,0
23,everything,0,3,10,1
24,far,0,1,3,0
25,business,0,3,8,1
26,making,0,2,6,0
27,claim,0,2,5,0
28,past,0,1,4,0
29,successful,1,3,10,1
30,use,0,2,3,0
31,machine,0,3,7,1
32,learning,0,3,8,1
33,algorithms,0,3,10,1
34,required,0,0,8,0
35,bespoke,0,3,7,1
36,algorithms,0,3,10,1
37,huge,0,2,4,0
38,R,0,0,1,0
39,budgets,0,2,7,0
40,changing,0,2,8,0
41,IBM,0,1,3,0
42,Watson,0,2,6,0
43,Microsoft,0,3,9,1
44,Azure,0,3,5,1
45,Amazon,0,3,6,1
46,Alibaba,0,4,7,1
47,launched,0,0,8,0
48,turnkey,0,2,7,0
49,cloud,0,2,5,0
50,based,0,0,5,0
51,machine,0,3,7,1
52,learning,0,3,8,1
53,SaaS,0,2,4,0
54,solutions,0,4,9,1
55,2015,0,0,4,0
56,time,0,2,4,0
57,startups,0,2,8,0
58,like,0,2,4,0
59,Idibon,0,3,6,1
60,MetaMind,0,3,8,1
61,Dato,0,2,4,0
62,MonkeyLearn,0,4,11,1
63,built,0,2,5,0
64,machine,0,3,7,1
65,learning,0,3,8,1
66,products,0,2,8,0
67,companies,0,0,9,0
68,take,0,2,4,0
69,advantage,1,4,9,1
70,Gartner,0,2,7,0
71,already,0,3,7,1
72,puts,0,1,4,0
73,machine,0,3,7,1
74,learning,0,3,8,1
75,top,1,1,3,0
76,hype,-1,1,4,0
77,curve,0,2,5,0
78,machine,0,3,7,1
79,learning,0,3,8,1
80,replace,0,3,7,1
81,employees,0,0,9,0
82,computers,0,3,9,1
83,suddenly,0,2,8,0
84,double,0,3,6,1
85,revenue,0,4,7,1
86,mean,0,2,4,0
87,give,0,2,4,0
88,every,0,2,5,0
89,business,0,3,8,1
90,competitive,1,5,11,1
91,advantage,1,4,9,1
92,plenty,0,1,6,0
93,business,0,3,8,1
94,processes,0,0,9,0
95,significantly,0,4,13,1
96,benefit,1,3,7,1
97,machine,0,3,7,1
98,learning,0,3,8,1
99,machine,0,3,7,1
100,learning,0,3,8,1
101,change,0,2,6,0
102,businesses,0,0,10,0
103,operate,0,4,7,1
104,Fig,0,1,3,0
105,Machine,0,3,7,1
106,learning,0,3,8,1
107,techniques,0,0,10,0
108,Business,0,3,8,1
109,Bigger,0,2,6,0
110,upfront,0,2,7,0
111,costs,0,1,5,0
112,First,0,1,5,0
113,thing,0,1,5,0
114,first,0,1,5,0
115,Machine,0,3,7,1
116,learning,0,3,8,1
117,needs,0,2,5,0
118,training,0,3,8,1
119,data,0,2,4,0
120,training,0,3,8,1
121,data,0,2,4,0
122,costs,0,1,5,0
123,money,0,2,5,0
124,Especially,0,4,10,1
125,training,0,3,8,1
126,data,0,2,4,0
127,labeled,0,0,7,0
128,humans,0,2,6,0
129,Let,0,1,3,0
130,explain,0,3,7,1
131,make,0,2,4,0
132,machine,0,3,7,1
133,learning,0,3,8,1
134,work,1,1,4,0
135,business,0,3,8,1
136,algorithm,0,3,9,1
137,needs,0,2,5,0
138,lots,0,1,4,0
139,lots,0,1,4,0
140,examples,0,0,8,0
141,supposed,0,0,8,0
142,want,0,1,4,0
143,algorithm,0,3,9,1
144,tell,0,1,4,0
145,sales,0,0,5,0
146,lead,1,2,4,0
147,good,0,2,4,0
148,need,0,0,4,0
149,show,0,1,4,0
150,lots,0,1,4,0
151,lots,0,1,4,0
152,examples,0,0,8,0
153,good,0,2,4,0
154,sales,0,0,5,0
155,leads,1,2,5,0
156,bad,-1,1,3,0
157,sales,0,0,5,0
158,leads,1,2,5,0
159,want,0,1,4,0
160,algorithm,0,3,9,1
161,tag,0,1,3,0
162,support,1,2,7,0
163,tickets,0,2,7,0
164,need,0,0,4,0
165,show,0,1,4,0
166,examples,0,0,8,0
167,support,1,2,7,0
168,tickets,0,2,7,0
169,localize,0,4,8,1
170,algorithm,0,3,9,1
171,language,0,4,8,1
172,probably,0,2,8,0
173,need,0,0,4,0
174,collect,0,2,7,0
175,lots,0,1,4,0
176,examples,0,0,8,0
177,language,0,4,8,1
178,instances,0,0,9,0
179,company,0,2,7,0
180,training,0,3,8,1
181,sets,0,1,4,0
182,house,0,3,5,1
183,example,0,3,7,1
184,bunch,0,1,5,0
185,disqualified,0,0,12,0
186,qualified,1,0,9,0
187,leads,1,2,5,0
188,say,0,1,3,0
189,labeled,0,0,7,0
190,support,1,2,7,0
191,tickets,0,2,7,0
192,come,0,2,4,0
193,year,0,2,4,0
194,need,0,0,4,0
195,people,0,3,6,1
196,either,0,3,6,1
197,house,0,3,5,1
198,en,0,1,2,0
199,masse,0,2,5,0
200,data,0,2,4,0
201,enrichment,1,3,10,1
202,platform,0,2,8,0
203,label,0,2,5,0
204,tickets,0,2,7,0
205,machine,0,3,7,1
206,look,0,2,4,0
207,judgments,0,2,9,0
208,start,0,1,5,0
209,finding,0,2,7,0
210,connections,0,4,11,1
211,patterns,0,2,8,0
212,learn,0,2,5,0
213,Much,0,1,4,0
214,lower,0,2,5,0
215,ongoing,0,3,7,1
216,costs,0,1,5,0
217,Machine,0,3,7,1
218,learning,0,3,8,1
219,much,0,1,4,0
220,cheaper,1,3,7,1
221,efficient,1,4,9,1
222,people,0,3,6,1
223,works,1,1,5,0
224,well,0,1,4,0
225,downside,-1,3,8,1
226,often,0,2,5,0
227,works,1,1,5,0
228,well,0,1,4,0
229,80,0,0,2,0
230,percent,0,2,7,0
231,cases,0,0,5,0
232,badly,-1,1,5,0
233,20,0,0,2,0
234,percent,0,2,7,0
235,cases,0,0,5,0
236,lowering,0,3,8,1
237,20,0,0,2,0
238,percent,0,2,7,0
239,error,-1,2,5,0
240,rate,0,2,4,0
241,hard,-1,1,4,0
242,impossible,-1,4,10,1
243,even,0,2,4,0
244,80,0,0,2,0
245,percent,0,2,7,0
246,accurate,1,4,8,1
247,algorithm,0,3,9,1
248,save,0,2,4,0
249,lot,0,1,3,0
250,money,0,2,5,0
251,good,0,2,4,0
252,machine,0,3,7,1
253,learning,0,3,8,1
