,Token,Score,Syllable_Count,Word_length,IsComplex
0,hear,0,2,4,0
1,day,0,1,3,0
2,day,0,1,3,0
3,amidst,0,2,6,0
4,technological,0,5,13,1
5,revolution,0,5,10,1
6,know,0,1,4,0
7,really,0,2,6,0
8,means,0,2,5,0
9,understand,0,3,10,1
10,going,0,2,5,0
11,impact,0,2,6,0
12,us,0,1,2,0
13,let,0,1,3,0
14,us,0,1,2,0
15,discuss,0,2,7,0
16,terms,0,1,5,0
17,really,0,2,6,0
18,mean,0,2,4,0
19,technological,0,5,13,1
20,revolution,0,5,10,1
21,simply,0,1,6,0
22,means,0,2,5,0
23,period,0,3,6,1
24,better,0,2,6,0
25,newer,0,2,5,0
26,technologies,0,0,12,0
27,replace,0,3,7,1
28,others,0,2,6,0
29,get,0,1,3,0
30,job,0,1,3,0
31,done,0,2,4,0
32,faster,1,2,6,0
33,better,0,2,6,0
34,era,0,2,3,0
35,rapid,1,2,5,0
36,innovations,0,5,11,1
37,machines,0,0,8,0
38,compared,0,0,8,0
39,humans,0,2,6,0
40,Fig,0,1,3,0
41,Technological,0,5,13,1
42,Revolution,0,5,10,1
43,Machine,0,3,7,1
44,Learning,0,3,8,1
45,Machine,0,3,7,1
46,Learning,0,3,8,1
47,basically,0,3,9,1
48,application,0,5,11,1
49,artificial,0,5,10,1
50,intelligence,1,5,12,1
51,electronic,0,4,10,1
52,systems,0,1,7,0
53,enable,0,3,6,1
54,learn,0,2,5,0
55,enhance,1,3,7,1
56,without,0,3,7,1
57,programmed,0,0,10,0
58,humans,0,2,6,0
59,evolution,0,5,9,1
60,development,0,4,11,1
61,computer,0,3,8,1
62,programs,0,2,8,0
63,access,0,2,6,0
64,data,0,2,4,0
65,use,0,2,3,0
66,advance,0,3,7,1
67,Whether,0,2,7,0
68,know,0,1,4,0
69,use,0,2,3,0
70,machine,0,3,7,1
71,learning,0,3,8,1
72,powered,0,0,7,0
73,applications,0,5,12,1
74,daily,0,2,5,0
75,Artificial,0,5,10,1
76,intelligence,1,5,12,1
77,simplest,1,2,8,0
78,form,0,1,4,0
79,artificial,0,5,10,1
80,intelligence,1,5,12,1
81,field,0,2,5,0
82,combines,0,0,8,0
83,computer,0,3,8,1
84,science,0,3,7,1
85,robust,1,2,6,0
86,datasets,0,3,8,1
87,enable,0,3,6,1
88,problem,-1,2,7,0
89,solving,0,2,7,0
90,simple,0,2,6,0
91,words,0,1,5,0
92,Artificial,0,5,10,1
93,Intelligence,1,5,12,1
94,technology,0,3,10,1
95,facilitates,0,0,11,0
96,machines,0,0,8,0
97,perform,0,2,7,0
98,human,0,2,5,0
99,like,0,2,4,0
100,behaviour,0,5,9,1
101,like,0,2,4,0
102,every,0,2,5,0
103,industry,0,2,8,0
104,machine,0,3,7,1
105,learning,0,3,8,1
106,playing,0,2,7,0
107,role,0,2,4,0
108,finance,0,3,7,1
109,banking,0,2,7,0
110,industry,0,2,8,0
111,cases,0,0,5,0
112,human,0,2,5,0
113,would,0,2,5,0
114,perform,0,2,7,0
115,task,0,1,4,0
116,performing,0,3,10,1
117,calculations,0,5,12,1
118,following,0,3,9,1
119,process,0,2,7,0
120,taught,0,2,6,0
121,machine,0,3,7,1
122,perform,0,2,7,0
123,Let,0,1,3,0
124,us,0,1,2,0
125,discuss,0,2,7,0
126,examples,0,0,8,0
127,applications,0,5,12,1
128,might,0,1,5,0
129,come,0,2,4,0
130,day,0,1,3,0
131,day,0,1,3,0
132,running,0,2,7,0
133,result,0,2,6,0
134,machine,0,3,7,1
135,learning,0,3,8,1
136,industry,0,2,8,0
137,Portfolio,0,4,9,1
138,Management,0,4,10,1
139,Risk,-1,1,4,0
140,Underwriting,0,4,12,1
141,Algorithmic,0,4,11,1
142,Trading,0,2,7,0
143,Fraud,-1,2,5,0
144,Detection,0,4,9,1
145,Process,0,2,7,0
146,Automation,0,6,10,1
147,Customer,0,3,8,1
148,onboarding,0,4,10,1
149,Customer,0,3,8,1
150,churn,0,1,5,0
151,Decision,0,4,8,1
152,Making,0,2,6,0
153,Process,0,2,7,0
154,Automation,0,6,10,1
155,Portfolio,0,4,9,1
156,Management,0,4,10,1
157,earlier,0,4,7,1
158,days,0,1,4,0
159,investor,0,3,8,1
160,would,0,2,5,0
161,need,0,0,4,0
162,consult,0,2,7,0
163,financial,0,4,9,1
164,advisor,0,3,7,1
165,understand,0,3,10,1
166,risk,-1,1,4,0
167,appetite,0,4,8,1
168,advise,0,3,6,1
169,accordingly,0,3,11,1
170,Today,0,2,5,0
171,using,0,2,5,0
172,machine,0,3,7,1
173,learning,0,3,8,1
174,algorithms,0,3,10,1
175,exists,0,2,6,0
176,concept,0,2,7,0
177,Robo,0,2,4,0
178,Advisor,0,3,7,1
179,requires,0,0,8,0
180,user,0,2,4,0
181,give,0,2,4,0
182,certain,0,3,7,1
183,inputs,0,2,6,0
184,financial,0,4,9,1
185,status,0,2,6,0
186,goals,0,2,5,0
187,calculates,0,0,10,0
188,risk,-1,1,4,0
189,tolerance,0,4,9,1
190,constructs,0,2,10,0
191,idle,-1,2,4,0
192,portfolio,0,4,9,1
193,allocation,0,5,10,1
194,Young,0,2,5,0
195,users,0,2,5,0
196,today,0,2,5,0
197,find,0,1,4,0
198,extremely,0,3,9,1
199,useful,0,3,6,1
200,rather,0,2,6,0
201,physically,0,2,10,0
202,visiting,0,3,8,1
203,advisor,0,3,7,1
204,paying,0,2,6,0
205,fee,0,2,3,0
206,Risk,-1,1,4,0
207,Underwriting,0,4,12,1
208,Underwriting,0,4,12,1
209,core,0,2,4,0
210,functions,0,3,9,1
211,financial,0,4,9,1
212,institutions,0,5,12,1
213,especially,0,4,10,1
214,banks,0,1,5,0
215,insurance,0,4,9,1
216,companies,0,0,9,0
217,required,0,0,8,0
218,underwrite,0,4,10,1
219,risk,-1,1,4,0
220,customers,0,3,9,1
221,loaning,0,3,7,1
222,money,0,2,5,0
223,insurance,0,4,9,1
224,policies,0,0,8,0
225,underwriting,0,4,12,1
226,activities,0,0,10,0
227,based,0,0,5,0
228,trends,0,1,6,0
229,thumb,0,1,5,0
230,rules,0,0,5,0
231,industrywide,0,4,12,1
232,introduced,0,0,10,0
233,machine,0,3,7,1
234,learning,0,3,8,1
235,able,0,2,4,0
236,underwrite,0,4,10,1
237,risks,-1,1,5,0
238,today,0,2,5,0
239,larger,0,2,6,0
240,accurate,1,4,8,1
241,scale,0,2,5,0
242,Algorithmic,0,4,11,1
243,Trading,0,2,7,0
244,Machine,0,3,7,1
245,learning,0,3,8,1
246,mathematical,0,5,12,1
247,model,0,2,5,0
248,tracks,0,1,6,0
249,market,0,2,6,0
250,information,0,5,11,1
251,analyses,0,0,8,0
252,massive,0,3,7,1
253,data,0,2,4,0
254,sources,0,0,7,0
255,study,0,1,5,0
256,market,0,2,6,0
257,conditions,0,4,10,1
258,simultaneously,0,6,14,1
259,detect,0,2,6,0
260,patterns,0,2,8,0
261,used,0,0,4,0
262,trading,0,2,7,0
263,humanly,0,2,7,0
264,impossible,-1,4,10,1
265,fraction,0,3,8,1
266,time,0,2,4,0
267,Algorithmic,0,4,11,1
268,systems,0,1,7,0
269,make,0,2,4,0
270,millions,0,3,8,1
271,trades,0,0,6,0
272,daily,0,2,5,0
273,often,0,2,5,0
274,known,0,1,5,0
275,high,0,1,4,0
276,frequency,0,3,9,1
277,trading,0,2,7,0
278,highly,0,1,6,0
279,believed,0,0,8,0
280,deep,0,2,4,0
281,learning,0,3,8,1
282,playing,0,2,7,0
283,role,0,2,4,0
284,calibrating,0,4,11,1
285,real,0,2,4,0
286,time,0,2,4,0
287,trading,0,2,7,0
288,decisions,0,4,9,1
