,Token,Score,Syllable_Count,Word_length,IsComplex
0,Everything,0,3,10,1
1,Need,0,0,4,0
2,Know,0,1,4,0
3,Future,0,3,6,1
4,Neural,0,3,6,1
5,Networks,0,2,8,0
6,Neural,0,3,6,1
7,networks,0,2,8,0
8,arguably,0,3,8,1
9,technological,0,5,13,1
10,development,0,4,11,1
11,potential,0,4,9,1
12,currently,0,2,9,0
13,horizon,0,3,7,1
14,neural,0,3,6,1
15,networks,0,2,8,0
16,could,0,2,5,0
17,feasibly,1,3,8,1
18,handle,0,2,6,0
19,almost,0,2,6,0
20,computational,0,6,13,1
21,contemplative,0,5,13,1
22,task,0,1,4,0
23,automatically,0,6,13,1
24,someday,0,3,7,1
25,greater,0,3,7,1
26,processing,0,3,10,1
27,power,0,2,5,0
28,human,0,2,5,0
29,brain,0,2,5,0
30,neural,0,3,6,1
31,networks,0,2,8,0
32,infancy,0,2,7,0
33,already,0,3,7,1
34,impressive,1,4,10,1
35,technology,0,3,10,1
36,responsible,0,4,11,1
37,tremendous,0,4,10,1
38,breakthroughs,1,4,13,1
39,everything,0,3,10,1
40,speech,0,2,6,0
41,recognition,0,5,11,1
42,medical,0,3,7,1
43,diagnoses,0,0,9,0
44,question,0,4,8,1
45,go,0,1,2,0
46,Neural,0,3,6,1
47,Networks,0,2,8,0
48,Work,1,1,4,0
49,Today,0,2,5,0
50,Let,0,1,3,0
51,start,0,1,5,0
52,talking,0,2,7,0
53,neural,0,3,6,1
54,networks,0,2,8,0
55,neural,0,3,6,1
56,nets,0,1,4,0
57,work,1,1,4,0
58,today,0,2,5,0
59,current,0,2,7,0
60,form,0,1,4,0
61,Neural,0,3,6,1
62,nets,0,1,4,0
63,computer,0,3,8,1
64,programs,0,2,8,0
65,assembled,0,0,9,0
66,thousands,0,3,9,1
67,millions,0,3,8,1
68,units,0,2,5,0
69,designed,0,0,8,0
70,function,0,3,8,1
71,artificial,0,5,10,1
72,neuron,0,3,6,1
73,trained,0,0,7,0
74,neural,0,3,6,1
75,network,0,2,7,0
76,typically,0,2,9,0
77,fed,0,0,3,0
78,information,0,5,11,1
79,allowing,0,3,8,1
80,recognize,0,4,9,1
81,patterns,0,2,8,0
82,like,0,2,4,0
83,spotting,0,2,8,0
84,familiar,0,4,8,1
85,faces,0,0,5,0
86,photos,0,2,6,0
87,identifying,0,4,11,1
88,correct,1,2,7,0
89,hit,0,1,3,0
90,tennis,0,2,6,0
91,ball,0,1,4,0
92,feedback,0,3,8,1
93,neural,0,3,6,1
94,networks,0,2,8,0
95,work,1,1,4,0
96,modify,0,2,6,0
97,processed,0,0,9,0
98,problem,-1,2,7,0
99,learning,0,3,8,1
100,better,0,2,6,0
101,long,0,1,4,0
102,periods,0,3,7,1
103,time,0,2,4,0
104,done,0,2,4,0
105,training,0,3,8,1
106,neural,0,3,6,1
107,nets,0,1,4,0
108,solve,0,2,5,0
109,wide,0,2,4,0
110,variety,1,3,7,1
111,different,0,3,9,1
112,problems,-1,2,8,0
113,notice,0,3,6,1
114,deviations,0,5,10,1
115,historical,0,4,10,1
116,patterns,0,2,8,0
117,proactively,0,4,11,1
118,receive,0,4,7,1
119,alerts,0,2,6,0
120,events,0,2,6,0
121,relevant,0,3,8,1
122,business,0,3,8,1
123,automatically,0,6,13,1
124,recognize,0,4,9,1
125,trigger,0,2,7,0
126,points,0,2,6,0
127,pattern,0,2,7,0
128,like,0,2,4,0
129,picking,0,2,7,0
130,face,0,2,4,0
131,photo,0,2,5,0
132,diagnosing,0,4,10,1
133,medical,0,3,7,1
134,condition,0,4,9,1
135,perform,0,2,7,0
136,complex,-1,2,7,0
137,operations,0,5,10,1
138,without,0,3,7,1
139,supervision,0,5,11,1
140,like,0,2,4,0
141,playing,0,2,7,0
142,game,0,2,4,0
143,Key,0,1,3,0
144,Strengths,0,1,9,0
145,Neural,0,3,6,1
146,Nets,0,1,4,0
147,several,0,3,7,1
148,key,0,1,3,0
149,strengths,0,1,9,0
150,neural,0,3,6,1
151,nets,0,1,4,0
152,make,0,2,4,0
153,favorite,1,4,8,1
154,choice,0,3,6,1
155,AI,0,2,2,0
156,developers,0,4,10,1
157,Performance,0,4,11,1
158,problems,-1,2,8,0
159,variables,0,0,9,0
160,problem,-1,2,7,0
161,strict,-1,1,6,0
162,set,0,1,3,0
163,rules,0,0,5,0
164,requirements,0,5,12,1
165,constrained,0,0,11,0
166,inputs,0,2,6,0
167,easy,1,2,4,0
168,machine,0,3,7,1
169,work,1,1,4,0
170,answer,0,2,6,0
171,go,0,1,2,0
172,example,0,3,7,1
173,calculator,0,4,10,1
174,rules,0,0,5,0
175,mathematics,0,4,11,1
176,never,0,2,5,0
177,broken,-1,2,6,0
178,relatively,0,4,10,1
179,simple,0,2,6,0
180,follow,0,2,6,0
181,Input,0,2,5,0
182,variables,0,0,9,0
183,real,0,2,4,0
184,numbers,0,2,7,0
185,get,0,1,3,0
186,sum,0,1,3,0
187,easily,0,3,6,1
188,identifying,0,4,11,1
189,speech,0,2,6,0
190,patterns,0,2,8,0
191,diagnosing,0,4,10,1
192,illnesses,0,0,9,0
193,require,0,4,7,1
194,far,0,1,3,0
195,variables,0,0,9,0
196,machines,0,0,8,0
197,need,0,0,4,0
198,understand,0,3,10,1
199,looking,0,3,7,1
200,differentiated,0,0,14,0
201,noise,-1,3,5,1
202,might,0,1,5,0
203,influenced,0,0,10,0
204,different,0,3,9,1
205,ways,0,1,4,0
206,Neural,0,3,6,1
207,nets,0,1,4,0
208,ridiculously,-1,5,12,1
209,good,0,2,4,0
210,solving,0,2,7,0
211,big,0,1,3,0
212,problems,-1,2,8,0
213,sometimes,0,0,9,0
214,even,0,2,4,0
215,better,0,2,6,0
216,humans,0,2,6,0
217,Feature,0,4,7,1
218,engineering,0,5,11,1
219,Neural,0,3,6,1
220,nets,0,1,4,0
221,also,0,2,4,0
222,incredibly,1,3,10,1
223,good,0,2,4,0
224,figuring,0,3,8,1
225,correct,1,2,7,0
226,features,0,0,8,0
227,ascribe,0,3,7,1
228,problem,-1,2,7,0
229,known,0,1,5,0
230,feature,0,4,7,1
231,engineering,0,5,11,1
232,Let,0,1,3,0
233,say,0,1,3,0
234,trying,0,1,6,0
235,teach,0,2,5,0
236,algorithm,0,3,9,1
237,play,0,1,4,0
238,win,1,1,3,0
239,game,0,2,4,0
240,Go,0,1,2,0
241,Google,0,3,6,1
242,Go,0,1,2,0
243,game,0,2,4,0
244,practically,0,3,11,1
245,limitless,0,3,9,1
246,move,0,2,4,0
247,possibilities,0,0,13,0
248,clear,1,2,5,0
249,determining,0,4,11,1
250,whether,0,2,7,0
251,move,0,2,4,0
252,good,0,2,4,0
253,bad,-1,1,3,0
254,especially,0,4,10,1
255,early,0,2,5,0
256,game,0,2,4,0
257,machine,0,3,7,1
258,learn,0,2,5,0
259,effectively,1,4,11,1
260,must,0,1,4,0
261,able,0,2,4,0
262,learn,0,2,5,0
263,identify,0,3,8,1
264,makes,0,0,5,0
265,move,0,2,4,0
266,less,0,1,4,0
267,likely,0,2,6,0
268,get,0,1,3,0
269,machine,0,3,7,1
270,closer,0,2,6,0
271,victory,1,2,7,0
272,Neural,0,3,6,1
273,nets,0,1,4,0
274,create,0,3,6,1
275,categories,0,0,10,0
276,consideration,0,6,13,1
277,apply,0,1,5,0
278,work,1,1,4,0
279,Applicability,0,5,13,1
280,Neural,0,3,6,1
281,nets,0,1,4,0
282,also,0,2,4,0
283,power,0,2,5,0
284,flexibility,1,4,11,1
285,established,0,0,11,0
286,applied,0,0,7,0
287,almost,0,2,6,0
288,anything,0,2,8,0
289,whether,0,2,7,0
290,helping,1,2,7,0
291,people,0,3,6,1
292,spot,0,1,4,0
293,issues,-1,0,6,0
294,interfering,0,4,11,1
295,productivity,0,4,12,1
296,improving,1,3,9,1
297,air,0,2,3,0
298,traffic,0,2,7,0
299,patterns,0,2,8,0
300,smoother,1,3,8,1
301,flights,0,1,7,0
302,core,0,2,4,0
303,functionality,0,5,13,1
304,neural,0,3,6,1
305,net,0,1,3,0
306,learn,0,2,5,0
307,something,0,3,9,1
308,efficiently,1,4,11,1
309,system,0,1,6,0
310,learn,0,2,5,0
311,recognize,0,4,9,1
312,patterns,0,2,8,0
313,could,0,2,5,0
314,feasibly,1,3,8,1
315,recognize,0,4,9,1
316,patterns,0,2,8,0
317,almost,0,2,6,0
318,domain,0,3,6,1
319,Key,0,1,3,0
320,Weaknesses,-1,0,10,0
321,Neural,0,3,6,1
322,Nets,0,1,4,0
323,said,0,2,4,0
324,key,0,1,3,0
325,weaknesses,-1,0,10,0
326,prevent,0,2,7,0
327,neural,0,3,6,1
328,nets,0,1,4,0
329,seeing,0,3,6,1
330,full,0,1,4,0
331,range,0,2,5,0
332,applications,0,5,12,1
333,Data,0,2,4,0
334,requirements,0,5,12,1
335,starters,0,2,8,0
336,neural,0,3,6,1
337,nets,0,1,4,0
338,must,0,1,4,0
339,go,0,1,2,0
340,learning,0,3,8,1
341,period,0,3,6,1
342,start,0,1,5,0
343,recognize,0,4,9,1
344,patterns,0,2,8,0
345,refine,1,3,6,1
346,able,0,2,4,0
347,teach,0,2,5,0
348,machines,0,0,8,0
349,efficiently,1,4,11,1
350,ever,0,2,4,0
351,massive,0,3,7,1
352,data,0,2,4,0
353,requirement,0,5,11,1
354,algorithms,0,3,10,1
355,start,0,1,5,0
356,effective,1,4,9,1
357,Depending,0,3,9,1
358,application,0,5,11,1
359,could,0,2,5,0
360,take,0,2,4,0
361,10,0,0,2,0
362,000,0,0,3,0
363,discrete,0,3,8,1
364,sets,0,1,4,0
365,data,0,2,4,0
366,could,0,2,5,0
367,substantially,0,4,13,1
368,increase,0,4,8,1
369,time,0,2,4,0
370,takes,0,0,5,0
371,make,0,2,4,0
372,neural,0,3,6,1
373,net,0,1,3,0
374,effective,1,4,9,1
375,limit,-1,2,5,0
376,possible,0,3,8,1
377,applications,0,5,12,1
378,Expensiveness,0,5,13,1
379,Neural,0,3,6,1
380,nets,0,1,4,0
381,also,0,2,4,0
382,expensive,-1,4,9,1
383,time,0,2,4,0
384,consuming,0,3,9,1
385,develop,0,3,7,1
386,computational,0,6,13,1
387,processes,0,0,9,0
388,needed,0,0,6,0
389,handle,0,2,6,0
390,variables,0,0,9,0
391,incoming,0,3,8,1
392,sets,0,1,4,0
393,data,0,2,4,0
394,demand,0,2,6,0
395,CPU,0,1,3,0
396,GPU,0,1,3,0
397,power,0,2,5,0
398,beyond,0,2,6,0
399,scope,0,2,5,0
400,normal,0,2,6,0
401,system,0,1,6,0
402,makes,0,0,5,0
403,discouraging,-1,5,12,1
404,endeavor,0,4,8,1
405,engineers,0,4,9,1
406,drives,0,0,6,0
407,price,0,2,5,0
408,functional,0,4,10,1
409,system,0,1,6,0
410,making,0,2,6,0
411,harder,0,2,6,0
412,use,0,2,3,0
413,intended,0,0,8,0
414,purposes,0,0,8,0
415,Difficulty,-1,3,10,1
416,blindness,0,2,9,0
417,might,0,1,5,0
418,imagine,0,4,7,1
419,realities,0,0,9,0
420,developing,0,4,10,1
421,neural,0,3,6,1
422,net,0,1,3,0
423,much,0,1,4,0
424,depth,0,1,5,0
425,complicated,-1,0,11,0
426,implied,0,0,7,0
427,simple,0,2,6,0
428,overarching,0,4,11,1
429,definition,0,5,10,1
430,incredibly,1,3,10,1
431,hard,-1,1,4,0
432,learn,0,2,5,0
433,develop,0,3,7,1
434,neural,0,3,6,1
435,net,0,1,3,0
436,engineers,0,4,9,1
437,begin,0,2,5,0
438,journey,0,3,7,1
439,eventually,0,4,10,1
440,drop,0,1,4,0
441,running,0,2,7,0
