,Token,Score,Syllable_Count,Word_length,IsComplex
0,Good,0,2,4,0
1,governance,0,4,10,1
2,key,0,1,3,0
3,growth,0,1,6,0
4,progress,1,2,8,0
5,country,0,2,7,0
6,achieved,0,0,8,0
7,better,0,2,6,0
8,policymaking,0,4,12,1
9,also,0,2,4,0
10,implementation,0,6,14,1
11,ground,0,2,6,0
12,level,0,2,5,0
13,real,0,2,4,0
14,time,0,2,4,0
15,leads,1,2,5,0
16,overall,0,3,7,1
17,development,0,4,11,1
18,economy,0,3,7,1
19,well,0,1,4,0
20,society,0,3,7,1
21,policies,0,0,8,0
22,made,0,2,4,0
23,benefit,1,3,7,1
24,society,0,3,7,1
25,whole,0,2,5,0
26,policymakers,0,4,12,1
27,responsibility,0,5,14,1
28,implement,0,3,9,1
29,decisions,0,4,9,1
30,betterment,0,3,10,1
31,people,0,3,6,1
32,Due,0,2,3,0
33,emergence,0,4,9,1
34,latest,0,2,6,0
35,technologies,0,0,12,0
36,like,0,2,4,0
37,big,0,1,3,0
38,data,0,2,4,0
39,effectiveness,1,5,13,1
40,policies,0,0,8,0
41,tracked,0,0,7,0
42,easily,0,3,6,1
43,real,0,2,4,0
44,time,0,2,4,0
45,collection,0,4,10,1
46,data,0,2,4,0
47,applying,0,2,8,0
48,data,0,2,4,0
49,analytics,0,3,9,1
50,measure,0,4,7,1
51,effect,0,2,6,0
52,achieved,0,0,8,0
53,example,0,3,7,1
54,advent,0,2,6,0
55,government,0,3,10,1
56,initiatives,0,0,11,0
57,like,0,2,4,0
58,Digital,0,3,7,1
59,India,0,3,5,1
60,infrastructure,0,5,14,1
61,set,0,1,3,0
62,government,0,3,10,1
63,services,0,0,8,0
64,made,0,2,4,0
65,available,0,5,9,1
66,deliver,0,3,7,1
67,services,0,0,8,0
68,online,0,3,6,1
69,leveraging,0,4,10,1
70,internet,0,3,8,1
71,information,0,5,11,1
72,technology,0,3,10,1
73,Political,0,4,9,1
74,leaders,0,3,7,1
75,several,0,3,7,1
76,states,0,0,6,0
77,India,0,3,5,1
78,started,0,0,7,0
79,adopting,0,3,8,1
80,technologies,0,0,12,0
81,real,0,2,4,0
82,time,0,2,4,0
83,governance,0,4,10,1
84,across,0,2,6,0
85,state,0,2,5,0
86,help,0,1,4,0
87,better,0,2,6,0
88,address,0,2,7,0
89,analytical,0,4,10,1
90,requirements,0,5,12,1
91,facilitate,1,5,10,1
92,state,0,2,5,0
93,level,0,2,5,0
94,decision,0,4,8,1
95,making,0,2,6,0
96,example,0,3,7,1
97,Andhra,0,2,6,0
98,Pradesh,0,2,7,0
99,government,0,3,10,1
100,used,0,0,4,0
101,digital,0,3,7,1
102,technology,0,3,10,1
103,every,0,2,5,0
104,department,0,3,10,1
105,launched,0,0,8,0
106,real,0,2,4,0
107,time,0,2,4,0
108,monitoring,0,4,10,1
109,Chief,0,2,5,0
110,Minister,0,3,8,1
111,monitors,0,3,8,1
112,performance,0,4,11,1
113,department,0,3,10,1
114,CM,0,0,2,0
115,Office,0,3,6,1
116,Real,0,2,4,0
117,Time,0,2,4,0
118,Executive,0,5,9,1
119,CORE,0,2,4,0
120,dashboard,0,3,9,1
121,data,0,2,4,0
122,updated,0,0,7,0
123,automatically,0,6,13,1
124,Another,0,3,7,1
125,example,0,3,7,1
126,state,0,2,5,0
127,Odisha,0,3,6,1
128,LPG,0,0,3,0
129,distribution,0,5,12,1
130,center,0,2,6,0
131,opened,0,0,6,0
132,areas,0,3,5,1
133,needed,0,0,6,0
134,LPG,0,0,3,0
135,companies,0,0,9,0
136,demand,0,2,6,0
137,done,0,2,4,0
138,using,0,2,5,0
139,geospatial,0,5,10,1
140,analytics,0,3,9,1
141,Also,0,2,4,0
142,profit,0,2,6,0
143,development,0,4,11,1
144,organizations,0,6,13,1
145,like,0,2,4,0
146,Swaniti,0,3,7,1
147,initiative,0,6,10,1
148,working,0,2,7,0
149,innovative,1,5,10,1
150,projects,0,2,8,0
151,analyzing,0,3,9,1
152,data,0,2,4,0
153,Indian,0,3,6,1
154,government,0,3,10,1
155,collect,0,2,7,0
156,analyze,0,3,7,1
157,visualize,0,5,9,1
158,data,0,2,4,0
159,used,0,0,4,0
160,design,0,2,6,0
161,development,0,4,11,1
162,programs,0,2,8,0
163,partnered,0,0,9,0
164,Andhra,0,2,6,0
165,Pradesh,0,2,7,0
166,CM,0,0,2,0
167,office,0,3,6,1
168,provide,0,3,7,1
169,data,0,2,4,0
170,insights,0,2,8,0
171,agriculture,0,5,11,1
172,helped,1,0,6,0
173,design,0,2,6,0
174,seed,0,0,4,0
175,dissemination,0,6,13,1
176,program,0,2,7,0
177,political,0,4,9,1
178,leaders,0,3,7,1
179,play,0,1,4,0
180,important,1,3,9,1
181,role,0,2,4,0
182,providing,0,3,9,1
183,effective,1,4,9,1
184,governance,0,4,10,1
185,leverage,1,4,8,1
186,technologies,0,0,12,0
187,Adoption,0,4,8,1
188,big,0,1,3,0
189,data,0,2,4,0
190,analytics,0,3,9,1
191,play,0,1,4,0
192,major,0,2,5,0
193,role,0,2,4,0
194,overall,0,3,7,1
195,development,0,4,11,1
196,society,0,3,7,1
197,political,0,4,9,1
198,leaders,0,3,7,1
199,take,0,2,4,0
200,advantage,1,4,9,1
201,power,0,2,5,0
202,infrastructure,0,5,14,1
203,respective,0,4,10,1
204,areas,0,3,5,1
205,use,0,2,3,0
206,technology,0,3,10,1
207,big,0,1,3,0
208,data,0,2,4,0
209,bring,0,1,5,0
210,transparency,0,3,12,1
211,accountability,0,6,14,1
212,governance,0,4,10,1
213,government,0,3,10,1
214,institutions,0,5,12,1
215,departments,0,3,11,1
216,like,0,2,4,0
217,Income,0,3,6,1
218,tax,0,1,3,0
219,department,0,3,10,1
220,use,0,2,3,0
221,data,0,2,4,0
222,analytics,0,3,9,1
223,scan,0,1,4,0
224,income,0,3,6,1
225,expenditure,0,5,11,1
226,patterns,0,2,8,0
227,tax,0,1,3,0
228,return,0,2,6,0
229,filers,0,2,6,0
230,use,0,2,3,0
231,detect,0,2,6,0
232,black,0,1,5,0
233,money,0,2,5,0
234,generation,0,5,10,1
235,Similarly,0,3,9,1
236,tools,0,2,5,0
237,also,0,2,4,0
238,used,0,0,4,0
239,detect,0,2,6,0
240,terror,-1,2,6,0
241,crime,-1,2,5,0
242,financing,0,3,9,1
243,analyzing,0,3,9,1
244,pattern,0,2,7,0
245,transactions,0,4,12,1
246,done,0,2,4,0
247,respective,0,4,10,1
248,accounts,0,3,8,1
249,tax,0,1,3,0
250,collection,0,4,10,1
251,major,0,2,5,0
252,source,0,3,6,1
253,income,0,3,6,1
254,government,0,3,10,1
255,strengthen,0,2,10,0
256,department,0,3,10,1
257,technologies,0,0,12,0
258,counter,0,3,7,1
259,tax,0,1,3,0
260,evasion,-1,4,7,1
261,problems,-1,2,8,0
262,faced,0,0,5,0
263,government,0,3,10,1
264,trace,0,2,5,0
265,loopholes,-1,0,9,0
266,system,0,1,6,0
267,Also,0,2,4,0
268,create,0,3,6,1
269,team,0,2,4,0
270,data,0,2,4,0
271,scientists,0,3,10,1
272,several,0,3,7,1
273,departments,0,3,11,1
274,government,0,3,10,1
275,keep,0,2,4,0
276,track,0,1,5,0
277,functions,0,3,9,1
278,administrations,0,6,15,1
279,everyone,0,4,8,1
280,come,0,2,4,0
281,lens,0,1,4,0
282,performance,0,4,11,1
283,check,0,1,5,0
284,data,0,2,4,0
285,based,0,0,5,0
286,results,0,2,7,0
287,Artificial,0,5,10,1
288,Intelligence,1,5,12,1
289,based,0,0,5,0
290,systems,0,1,7,0
291,used,0,0,4,0
292,fraud,-1,2,5,0
293,detection,0,4,9,1
294,several,0,3,7,1
295,government,0,3,10,1
296,institutions,0,5,12,1
297,hence,0,2,5,0
298,act,0,1,3,0
299,upon,0,2,4,0
300,also,0,2,4,0
301,within,0,2,6,0
302,time,0,2,4,0
303,avoid,0,3,5,1
304,setbacks,-1,2,8,0
305,Another,0,3,7,1
306,example,0,3,7,1
307,systems,0,1,7,0
308,used,0,0,4,0
309,extensively,0,4,11,1
310,areas,0,3,5,1
311,land,0,1,4,0
312,property,0,2,8,0
313,holding,0,2,7,0
314,records,0,2,7,0
315,detect,0,2,6,0
316,fraud,-1,2,5,0
317,forging,0,2,7,0
318,documents,0,3,9,1
319,documents,0,3,9,1
320,related,0,0,7,0
321,properties,0,0,10,0
322,paper,0,2,5,0
323,based,0,0,5,0
324,hence,0,2,5,0
325,needs,0,2,5,0
326,strengthened,0,0,12,0
327,advanced,1,0,8,0
328,big,0,1,3,0
329,data,0,2,4,0
330,analytics,0,3,9,1
331,systems,0,1,7,0
332,keep,0,2,4,0
333,proper,1,2,6,0
334,track,0,1,5,0
335,record,0,2,6,0
336,Also,0,2,4,0
337,used,0,0,4,0
338,judicial,0,4,8,1
339,system,0,1,6,0
340,track,0,1,5,0
341,number,0,2,6,0
342,pending,0,2,7,0
343,cases,0,0,5,0
344,well,0,1,4,0
345,important,1,3,9,1
346,cases,0,0,5,0
347,pending,0,2,7,0
348,long,0,1,4,0
349,time,0,2,4,0
350,yet,0,1,3,0
351,resolved,0,0,8,0
352,used,0,0,4,0
353,tracking,0,2,8,0
354,healthcare,0,4,10,1
355,facilities,0,0,10,0
356,monitoring,0,4,10,1
357,performance,0,4,11,1
358,artificial,0,5,10,1
359,intelligence,1,5,12,1
360,data,0,2,4,0
361,analytics,0,3,9,1
362,like,0,2,4,0
363,quality,0,3,7,1
364,treatment,0,3,9,1
365,facilities,0,0,10,0
366,offered,0,0,7,0
367,people,0,3,6,1
368,state,0,2,5,0
369,run,0,1,3,0
370,hospitals,0,3,9,1
371,whether,0,2,7,0
372,government,0,3,10,1
373,spending,0,2,8,0
374,healthcare,0,4,10,1
375,actually,0,3,8,1
376,utilized,0,0,8,0
377,effectively,1,4,11,1
378,things,0,1,6,0
379,achieved,0,0,8,0
380,political,0,4,9,1
381,leaders,0,3,7,1
382,try,0,0,3,0
383,inculcate,-1,4,9,1
384,data,0,2,4,0
385,driven,0,2,6,0
386,decision,0,4,8,1
387,making,0,2,6,0
388,practices,0,0,9,0
389,processes,0,0,9,0
390,first,0,1,5,0
391,need,0,0,4,0
392,invest,0,2,6,0
393,setting,0,2,7,0
394,data,0,2,4,0
395,warehouses,0,0,10,0
396,data,0,2,4,0
397,collected,0,0,9,0
398,stored,0,0,6,0
399,well,0,1,4,0
400,bring,0,1,5,0
401,data,0,2,4,0
402,scientists,0,3,10,1
403,work,1,1,4,0
404,areas,0,3,5,1
405,administration,0,6,14,1
406,monitored,0,0,9,0
407,real,0,2,4,0
408,time,0,2,4,0
409,government,0,3,10,1
410,function,0,3,8,1
411,data,0,2,4,0
412,based,0,0,5,0
413,results,0,2,7,0
414,government,0,3,10,1
415,spends,0,1,6,0
416,lots,0,1,4,0
417,money,0,2,5,0
418,several,0,3,7,1
419,schemes,0,0,7,0
420,public,0,2,6,0
421,welfare,0,3,7,1
422,effectiveness,1,5,13,1
423,schemes,0,0,7,0
424,plays,0,1,5,0
425,major,0,2,5,0
426,role,0,2,4,0
427,helping,1,2,7,0
428,society,0,3,7,1
429,also,0,2,4,0
430,Also,0,2,4,0
431,government,0,3,10,1
432,partner,0,2,7,0
433,several,0,3,7,1
434,institutions,0,5,12,1
435,well,0,1,4,0
436,companies,0,0,9,0
437,working,0,2,7,0
438,fields,0,2,6,0
439,provide,0,3,7,1
440,solutions,0,4,9,1
441,well,0,1,4,0
442,collaborative,0,6,13,1
443,research,0,3,8,1
444,done,0,2,4,0
445,find,0,1,4,0
446,solutions,0,4,9,1
447,real,0,2,4,0
448,world,0,1,5,0
449,problems,-1,2,8,0
450,Many,0,1,4,0
451,political,0,4,9,1
452,parties,0,0,7,0
453,already,0,3,7,1
454,used,0,0,4,0
455,data,0,2,4,0
456,analytics,0,3,9,1
457,electoral,0,4,9,1
458,campaign,0,3,8,1
459,program,0,2,7,0
460,understand,0,3,10,1
461,voter,0,2,5,0
462,stance,0,2,6,0
463,particular,0,4,10,1
464,demographic,0,4,11,1
465,campaigned,0,0,10,0
466,accordingly,0,3,11,1
467,resulted,0,0,8,0
468,better,0,2,6,0
469,outcome,0,4,7,1
470,electoral,0,4,9,1
471,results,0,2,7,0
472,example,0,3,7,1
473,2014,0,0,4,0
474,Lok,0,1,3,0
475,Sabha,0,2,5,0
476,elections,0,4,9,1
477,prime,0,2,5,0
478,example,0,3,7,1
479,using,0,2,5,0
480,data,0,2,4,0
481,driven,0,2,6,0
482,techniques,0,0,10,0
483,electoral,0,4,9,1
484,campaigning,0,4,11,1
485,political,0,4,9,1
486,leaders,0,3,7,1
487,also,0,2,4,0
488,understand,0,3,10,1
489,benefits,1,3,8,1
490,using,0,2,5,0
491,technologies,0,0,12,0
492,decision,0,4,8,1
493,making,0,2,6,0
494,hence,0,2,5,0
495,create,0,3,6,1
496,infrastructure,0,5,14,1
497,use,0,2,3,0
498,larger,0,2,6,0
499,scale,0,2,5,0
500,day,0,1,3,0
