,Token,Score,Syllable_Count,Word_length,IsComplex
0,Frankly,0,1,7,0
1,state,0,2,5,0
2,public,0,2,6,0
3,healthcare,0,4,10,1
4,system,0,1,6,0
5,vast,0,1,4,0
6,fragmented,-1,0,10,0
7,cannot,0,2,6,0
8,scale,0,2,5,0
9,rapidly,0,2,7,0
10,enough,0,3,6,1
11,face,0,2,4,0
12,challenge,0,3,9,1
13,pandemic,0,3,8,1
14,COVID,0,2,5,0
15,19,0,0,2,0
16,origin,0,3,6,1
17,public,0,2,6,0
18,healthcare,0,4,10,1
19,lies,-1,0,4,0
20,British,0,2,7,0
21,colonial,0,4,8,1
22,period,0,3,6,1
23,facilities,0,0,10,0
24,provided,0,0,8,0
25,British,0,2,7,0
26,officers,0,3,8,1
27,families,0,0,8,0
28,stationed,0,0,9,0
29,India,0,3,5,1
30,1960s,0,0,5,0
31,onwards,0,2,7,0
32,independent,0,4,11,1
33,government,0,3,10,1
34,India,0,3,5,1
35,stressed,0,0,8,0
36,upon,0,2,4,0
37,healthcare,0,4,10,1
38,led,1,0,3,0
39,creation,0,4,8,1
40,modern,1,2,6,0
41,public,0,2,6,0
42,healthcare,0,4,10,1
43,system,0,1,6,0
44,India,0,3,5,1
45,healthcare,0,4,10,1
46,system,0,1,6,0
47,organized,0,0,9,0
48,primary,0,2,7,0
49,secondary,0,3,9,1
50,tertiary,0,3,8,1
51,levels,0,2,6,0
52,primary,0,2,7,0
53,level,0,2,5,0
54,Sub,0,1,3,0
55,Centre,0,2,6,0
56,Primary,0,2,7,0
57,Health,0,2,6,0
58,Centre,0,2,6,0
59,PHCs,0,0,4,0
60,secondary,0,3,9,1
61,level,0,2,5,0
62,Community,0,3,9,1
63,Health,0,2,6,0
64,Centre,0,2,6,0
65,CHCs,0,0,4,0
66,smaller,0,2,7,0
67,Sub,0,1,3,0
68,District,0,2,8,0
69,hospitals,0,3,9,1
70,Finally,0,2,7,0
71,top,1,1,3,0
72,level,0,2,5,0
73,public,0,2,6,0
74,care,0,2,4,0
75,provided,0,0,8,0
76,government,0,3,10,1
77,tertiary,0,3,8,1
78,level,0,2,5,0
79,consists,0,2,8,0
