,Token,Score,Syllable_Count,Word_length,IsComplex
0,Data,0,2,4,0
1,Science,0,3,7,1
2,gaining,1,3,7,1
3,popularity,0,4,10,1
4,exponentially,0,5,13,1
5,past,0,1,4,0
6,decade,0,3,6,1
7,thanks,0,1,6,0
8,enjoying,1,3,8,1
9,better,0,2,6,0
10,products,0,2,8,0
11,recommendations,1,6,15,1
12,smoother,1,3,8,1
13,life,0,2,4,0
14,Data,0,2,4,0
15,science,0,3,7,1
16,interdisciplinary,0,6,17,1
17,subject,0,2,7,0
18,includes,0,0,8,0
19,statistics,0,3,10,1
20,math,0,1,4,0
21,etc,0,1,3,0
22,much,0,1,4,0
23,Data,0,2,4,0
24,Science,0,3,7,1
25,need,0,0,4,0
26,arrangement,0,4,11,1
27,accessible,1,4,10,1
28,place,0,2,5,0
29,hectic,-1,2,6,0
30,go,0,1,2,0
31,hundreds,0,2,8,0
32,different,0,3,9,1
33,resources,0,0,9,0
34,analysis,0,3,8,1
35,building,0,3,8,1
36,models,0,2,6,0
37,worry,-1,1,5,0
38,PYTHON,0,1,6,0
39,Yes,0,0,3,0
40,read,0,2,4,0
41,right,0,1,5,0
42,Python,0,1,6,0
43,general,0,3,7,1
44,programming,0,3,11,1
45,language,0,4,8,1
46,provide,0,3,7,1
47,everything,0,3,10,1
48,need,0,0,4,0
49,Data,0,2,4,0
50,Science,0,3,7,1
51,Several,0,3,7,1
52,features,0,0,8,0
53,made,0,2,4,0
54,Python,0,1,6,0
55,become,0,3,6,1
56,choice,0,3,6,1
57,data,0,2,4,0
58,science,0,3,7,1
59,past,0,1,4,0
60,times,0,0,5,0
61,1,0,0,1,0
62,Python,0,1,6,0
63,progressively,0,4,13,1
64,typed,0,0,5,0
65,language,0,4,8,1
66,variables,0,0,9,0
67,defined,0,0,7,0
68,automatically,0,6,13,1
69,2,0,0,1,0
70,Python,0,1,6,0
71,readable,1,4,8,1
72,uses,0,0,4,0
73,lesser,0,2,6,0
74,code,0,2,4,0
75,play,0,1,4,0
76,similar,0,3,7,1
77,task,0,1,4,0
78,contrasted,0,0,10,0
79,programming,0,3,11,1
80,languages,0,0,9,0
81,3,0,0,1,0
82,Python,0,1,6,0
83,specifically,0,4,12,1
84,typed,0,0,5,0
85,way,0,1,3,0
86,developers,0,4,10,1
87,need,0,0,4,0
88,cast,0,1,4,0
89,types,0,0,5,0
90,manually,0,3,8,1
91,4,0,0,1,0
92,Python,0,1,6,0
93,interpreted,0,0,11,0
94,language,0,4,8,1
