,Token,Score,Syllable_Count,Word_length,IsComplex
0,asked,0,0,5,0
1,thing,0,1,5,0
2,pandemic,0,3,8,1
3,taught,0,2,6,0
4,us,0,1,2,0
5,believe,0,4,7,1
6,word,0,1,4,0
7,Adaptability,0,5,12,1
8,ability,0,3,7,1
9,change,0,2,6,0
10,upgrade,0,3,7,1
11,adapt,0,2,5,0
12,changing,0,2,8,0
13,circumstances,0,0,13,0
14,without,0,3,7,1
15,losing,-1,2,6,0
16,individuality,0,6,13,1
17,crisis,-1,2,6,0
18,caused,0,0,6,0
19,Covid,0,2,5,0
20,19,0,0,2,0
21,tested,0,0,6,0
22,perseverance,1,5,12,1
23,strength,0,1,8,0
24,adaptability,0,5,12,1
25,possible,0,3,8,1
26,way,0,1,3,0
27,words,0,1,5,0
28,survival,1,3,8,1
29,fittest,0,2,7,0
30,begun,0,2,5,0
31,COVID,0,2,5,0
32,19,0,0,2,0
33,resulted,0,0,8,0
34,shutdown,0,2,8,0
35,schools,0,2,7,0
36,colleges,0,0,8,0
37,worldwide,0,3,9,1
38,1,0,0,1,0
39,2,0,0,1,0
40,billion,0,3,7,1
41,students,0,2,8,0
42,away,0,2,4,0
43,physical,0,2,8,0
44,classroom,0,3,9,1
45,result,0,2,6,0
46,education,0,5,9,1
47,dramatically,0,4,12,1
48,changed,0,0,7,0
49,rise,0,2,4,0
50,e,0,1,1,0
51,learning,0,3,8,1
52,Educational,0,6,11,1
53,Institutions,0,5,12,1
54,Universities,0,0,12,0
55,Schools,0,2,7,0
56,Colleges,0,0,8,0
57,across,0,2,6,0
58,world,0,1,5,0
59,specifically,0,4,12,1
60,India,0,3,5,1
61,followed,0,0,8,0
62,Traditional,0,5,11,1
63,setup,0,2,5,0
64,face,0,2,4,0
65,face,0,2,4,0
66,learning,0,3,8,1
67,classroom,0,3,9,1
68,outbreak,-1,4,8,1
69,deadly,-1,2,6,0
70,coronavirus,0,5,11,1
71,Even,0,2,4,0
72,though,0,2,6,0
73,last,0,1,4,0
74,ten,0,1,3,0
75,years,0,2,5,0
76,various,0,4,7,1
77,e,0,1,1,0
78,learning,0,3,8,1
79,platforms,0,2,9,0
80,emerged,0,0,7,0
81,like,0,2,4,0
82,Byjus,0,1,5,0
83,Unacademy,0,4,9,1
84,Vedantu,0,3,7,1
85,Upgrade,0,3,7,1
86,international,0,6,13,1
87,e,0,1,1,0
88,learning,0,3,8,1
89,platforms,0,2,9,0
90,like,0,2,4,0
91,edx,0,1,3,0
92,udemy,0,2,5,0
93,Coursera,0,4,8,1
94,pandemic,0,3,8,1
95,lockdown,0,2,8,0
96,worked,1,0,6,0
97,catalyst,0,2,8,0
98,amplified,0,0,9,0
99,speed,0,0,5,0
100,process,0,2,7,0
101,boosted,0,0,7,0
102,demand,0,2,6,0
103,e,0,1,1,0
104,learning,0,3,8,1
105,platform,0,2,8,0
106,manifold,0,3,8,1
107,times,0,0,5,0
108,Platforms,0,2,9,0
109,like,0,2,4,0
110,BYJU,0,1,4,0
111,world,0,1,5,0
112,highly,0,1,6,0
113,valued,0,0,6,0
114,ed,0,0,2,0
115,tech,0,1,4,0
116,company,0,2,7,0
117,seen,0,2,4,0
118,200,0,0,3,0
119,increase,0,4,8,1
120,number,0,2,6,0
121,students,0,2,8,0
122,using,0,2,5,0
123,product,0,2,7,0
124,according,0,3,9,1
125,company,0,2,7,0
126,Chief,0,2,5,0
127,Operating,0,4,9,1
128,Officer,0,3,7,1
129,Mrinal,0,2,6,0
130,Mohit,0,2,5,0
131,school,0,2,6,0
132,colleges,0,0,8,0
133,universities,0,0,12,0
134,reluctant,-1,3,9,1
135,change,0,2,6,0
136,traditional,0,5,11,1
137,pedagogical,0,5,11,1
138,approaches,0,0,10,0
139,shift,0,1,5,0
140,online,0,3,6,1
141,mode,0,2,4,0
142,teaching,0,3,8,1
143,learning,0,3,8,1
144,overnight,0,3,9,1
145,teachers,0,3,8,1
146,students,0,2,8,0
147,government,0,3,10,1
148,dependent,0,3,9,1
149,online,0,3,6,1
150,mode,0,2,4,0
151,education,0,5,9,1
152,even,0,2,4,0
153,come,0,2,4,0
154,pandemic,0,3,8,1
155,e,0,1,1,0
156,learning,0,3,8,1
157,online,0,3,6,1
158,mode,0,2,4,0
159,education,0,5,9,1
160,future,0,3,6,1
161,Fig,0,1,3,0
162,Online,0,3,6,1
163,teaching,0,3,8,1
164,done,0,2,4,0
165,Robo,0,2,4,0
166,make,0,2,4,0
167,experience,0,5,10,1
168,online,0,3,6,1
169,teaching,0,3,8,1
170,learning,0,3,8,1
171,better,0,2,6,0
172,robots,0,2,6,0
173,AI,0,2,2,0
174,help,0,1,4,0
175,doubt,-1,2,5,0
176,e,0,1,1,0
177,learning,0,3,8,1
178,flexible,1,3,8,1
179,time,0,2,4,0
180,saving,0,2,6,0
181,revolutionize,1,7,13,1
182,education,0,5,9,1
183,system,0,1,6,0
184,subsequent,0,4,10,1
185,challenges,0,0,10,0
186,well,0,1,4,0
187,work,1,1,4,0
188,upon,0,2,4,0
189,make,0,2,4,0
190,user,0,2,4,0
191,experience,0,5,10,1
192,better,0,2,6,0
193,effective,1,4,9,1
194,talking,0,2,7,0
195,challenges,0,0,10,0
196,main,0,2,4,0
197,problems,-1,2,8,0
198,Connectivity,0,4,12,1
199,crucial,0,3,7,1
200,problem,-1,2,7,0
201,students,0,2,8,0
202,teachers,0,3,8,1
203,faced,0,0,5,0
204,internet,0,3,8,1
205,connectivity,0,4,12,1
206,issues,-1,0,6,0
207,Internet,0,3,8,1
208,vital,0,2,5,0
209,part,0,1,4,0
210,e,0,1,1,0
211,learning,0,3,8,1
212,stable,1,2,6,0
213,good,0,2,4,0
214,internet,0,3,8,1
215,connection,0,4,10,1
216,compulsory,0,3,10,1
217,teach,0,2,5,0
218,learn,0,2,5,0
219,online,0,3,6,1
220,mode,0,2,4,0
221,poor,-1,2,4,0
222,unstable,-1,3,8,1
223,network,0,2,7,0
224,connectivity,0,4,12,1
225,major,0,2,5,0
226,obstacle,-1,3,8,1
227,specifically,0,4,12,1
228,India,0,3,5,1
229,learning,0,3,8,1
230,teaching,0,3,8,1
231,online,0,3,6,1
232,Gadgets,0,2,7,0
233,Technology,0,3,10,1
234,Effective,1,4,9,1
235,online,0,3,6,1
236,education,0,5,9,1
237,possible,0,3,8,1
238,without,0,3,7,1
239,right,0,1,5,0
240,equipment,0,4,9,1
241,gadgets,0,2,7,0
242,technical,0,3,9,1
243,glitch,-1,1,6,0
244,face,0,2,4,0
245,interrupt,-1,3,9,1
246,process,0,2,7,0
247,learning,0,3,8,1
248,Therefore,0,4,9,1
249,need,0,0,4,0
250,sustainable,1,5,11,1
251,efficient,1,4,9,1
252,affordable,1,4,10,1
253,tools,0,2,5,0
254,support,1,2,7,0
255,e,0,1,1,0
256,learning,0,3,8,1
257,Cost,0,1,4,0
258,main,0,2,4,0
259,problem,-1,2,7,0
260,e,0,1,1,0
261,learning,0,3,8,1
262,cost,0,1,4,0
263,maintenance,0,5,11,1
264,charges,0,0,7,0
265,brings,0,1,6,0
266,unaffordable,-1,5,12,1
267,many,0,1,4,0
268,Personal,0,3,8,1
269,Interaction,0,5,11,1
270,According,0,3,9,1
271,survey,0,2,6,0
272,conducted,0,0,9,0
273,writing,0,2,7,0
274,article,0,3,7,1
275,main,0,2,4,0
276,hurdle,0,2,6,0
277,online,0,3,6,1
278,education,0,5,9,1
279,Personal,0,3,8,1
280,Interaction,0,5,11,1
281,connection,0,4,10,1
282,teacher,0,3,7,1
283,student,0,2,7,0
284,Face,0,2,4,0
285,face,0,2,4,0
286,teaching,0,3,8,1
287,learning,0,3,8,1
288,help,0,1,4,0
289,build,0,2,5,0
290,ecosystem,0,3,9,1
291,environment,0,4,11,1
292,learning,0,3,8,1
293,subjects,0,2,8,0
294,network,0,2,7,0
295,relationship,0,5,12,1
296,build,0,2,5,0
297,teachers,0,3,8,1
298,classmates,0,0,10,0
299,makes,0,0,5,0
300,us,0,1,2,0
301,part,0,1,4,0
302,community,0,3,9,1
303,around,0,3,6,1
304,life,0,2,4,0
305,revolves,0,0,8,0
306,student,0,2,7,0
307,develop,0,3,7,1
308,individual,0,5,10,1
309,Authenticity,0,5,12,1
310,know,0,1,4,0
311,examination,0,6,11,1
312,crucial,0,3,7,1
313,part,0,1,4,0
314,learning,0,3,8,1
315,taking,0,2,6,0
316,exams,0,2,5,0
317,online,0,3,6,1
318,mode,0,2,4,0
319,great,1,2,5,0
320,difficulty,-1,3,10,1
321,impossible,-1,4,10,1
322,monitor,0,3,7,1
323,students,0,2,8,0
324,single,0,2,6,0
325,teacher,0,3,7,1
326,virtual,0,3,7,1
327,screen,0,2,6,0
328,Therefore,0,4,9,1
329,students,0,2,8,0
330,easily,0,3,6,1
331,take,0,2,4,0
332,help,0,1,4,0
333,unethical,-1,4,9,1
334,means,0,2,5,0
335,give,0,2,4,0
336,exams,0,2,5,0
337,online,0,3,6,1
338,mode,0,2,4,0
339,Hence,0,2,5,0
340,relevance,0,4,9,1
341,taking,0,2,6,0
342,exams,0,2,5,0
343,get,0,1,3,0
344,lost,-1,1,4,0
345,find,0,1,4,0
346,solution,0,4,8,1
347,problem,-1,2,7,0
348,Digital,0,3,7,1
349,Literacy,0,3,8,1
350,Many,0,1,4,0
351,people,0,3,6,1
352,particularly,0,4,12,1
353,ones,0,0,4,0
354,older,0,2,5,0
355,generations,0,5,11,1
356,others,0,2,6,0
357,neither,0,3,7,1
358,habituated,0,0,10,0
359,exposed,0,0,7,0
360,technology,0,3,10,1
361,early,0,2,5,0
362,age,0,2,3,0
363,Therefore,0,4,9,1
364,cannot,0,2,6,0
365,teach,0,2,5,0
366,learn,0,2,5,0
367,online,0,3,6,1
368,mode,0,2,4,0
369,efficiently,1,4,11,1
370,Last,0,1,4,0
371,year,0,2,4,0
372,due,0,2,3,0
373,lockdown,0,2,8,0
374,senior,0,3,6,1
375,school,0,2,6,0
376,teachers,0,3,8,1
377,faced,0,0,5,0
378,lot,0,1,3,0
379,difficulties,-1,0,12,0
380,teaching,0,3,8,1
381,online,0,3,6,1
382,sudden,0,2,6,0
383,countrywide,0,4,11,1
384,lockdown,0,2,8,0
385,made,0,2,4,0
386,shift,0,1,5,0
387,online,0,3,6,1
388,without,0,3,7,1
389,prior,0,2,5,0
390,experience,0,5,10,1
391,Hence,0,2,5,0
392,created,0,0,7,0
393,lot,0,1,3,0
394,challenges,0,0,10,0
395,Adaptability,0,5,12,1
396,E,0,1,1,0
397,learning,0,3,8,1
398,popular,1,3,7,1
399,adults,0,2,6,0
400,teenagers,0,4,9,1
401,amongst,0,2,7,0
402,young,0,2,5,0
403,kids,0,1,4,0
404,well,0,1,4,0
405,trained,0,0,7,0
406,learn,0,2,5,0
407,online,0,3,6,1
408,get,0,1,3,0
409,easily,0,3,6,1
410,distracted,0,0,10,0
411,face,0,2,4,0
412,difficulties,-1,0,12,0
413,learning,0,3,8,1
414,understanding,0,4,13,1
415,concepts,0,2,8,0
416,virtual,0,3,7,1
417,screen,0,2,6,0
418,need,0,0,4,0
419,undivided,0,0,9,0
420,attention,0,4,9,1
421,engaging,1,3,8,1
422,environment,0,4,11,1
423,learn,0,2,5,0
424,available,0,5,9,1
425,e,0,1,1,0
426,learning,0,3,8,1
427,platform,0,2,8,0
428,Health,0,2,6,0
429,Constantly,0,2,10,0
430,looking,0,3,7,1
431,virtual,0,3,7,1
432,screen,0,2,6,0
433,puts,0,1,4,0
434,strain,0,2,6,0
435,eyes,0,0,4,0
436,causes,0,0,6,0
437,eye,0,2,3,0
438,discomfort,-1,3,10,1
439,vision,0,3,6,1
440,problems,-1,2,8,0
441,problem,-1,2,7,0
442,severe,-1,3,6,1
443,amongst,0,2,7,0
444,young,0,2,5,0
445,kids,0,1,4,0
446,Children,0,2,8,0
447,spend,0,1,5,0
448,prolonged,0,0,9,0
449,period,0,3,6,1
450,front,0,1,5,0
451,computer,0,3,8,1
452,screen,0,2,6,0
453,e,0,1,1,0
454,learning,0,3,8,1
455,platforms,0,2,9,0
456,might,0,1,5,0
457,affect,0,2,6,0
458,eyes,0,0,4,0
459,long,0,1,4,0
460,run,0,1,3,0
461,Inclusion,0,4,9,1
462,E,0,1,1,0
463,learning,0,3,8,1
464,inclusive,0,4,9,1
465,ways,0,1,4,0
466,e,0,1,1,0
467,learning,0,3,8,1
468,platforms,0,2,9,0
469,take,0,2,4,0
470,consideration,0,6,13,1
471,specially,0,3,9,1
472,abled,0,0,5,0
473,individuals,0,5,11,1
