,Token,Score,Syllable_Count,Word_length,IsComplex
0,word,0,1,4,0
1,pandemic,0,3,8,1
2,used,0,0,4,0
3,word,0,1,4,0
4,last,0,1,4,0
5,decade,0,3,6,1
6,know,0,1,4,0
7,year,0,2,4,0
8,2020,0,0,4,0
9,comes,0,0,5,0
10,lot,0,1,3,0
11,unprecedented,0,0,13,0
12,threats,-1,2,7,0
13,humans,0,2,6,0
14,well,0,1,4,0
15,nature,0,3,6,1
16,business,0,3,8,1
17,left,0,1,4,0
18,insulated,0,0,9,0
19,effect,0,2,6,0
20,small,0,1,5,0
21,businesses,0,0,10,0
22,affected,0,0,8,0
23,rely,0,1,4,0
24,day,0,1,3,0
25,day,0,1,3,0
26,sales,0,0,5,0
27,keep,0,2,4,0
28,inventory,0,3,9,1
29,minimum,0,3,7,1
30,based,0,0,5,0
31,demand,0,2,6,0
32,customers,0,3,9,1
33,low,0,1,3,0
34,margin,0,2,6,0
35,maneuver,0,4,8,1
36,article,0,3,7,1
37,HSBC,0,0,4,0
38,Navigator,0,4,9,1
39,described,0,0,9,0
40,preparedness,0,4,12,1
41,contingency,0,3,11,1
42,plan,0,1,4,0
43,future,0,3,6,1
44,Indian,0,3,6,1
45,business,0,3,8,1
46,rated,0,0,5,0
47,high,0,1,4,0
48,peers,0,2,5,0
49,businesses,0,0,10,0
50,India,0,3,5,1
51,shown,0,1,5,0
52,resilience,0,5,10,1
53,face,0,2,4,0
54,adversity,-1,3,9,1
55,attributed,0,0,10,0
56,varying,0,2,7,0
57,degrees,0,0,7,0
58,adjustment,0,3,10,1
59,adaptability,0,5,12,1
60,businesses,0,0,10,0
61,able,0,2,4,0
62,adhere,0,3,6,1
63,government,0,3,10,1
64,guidelines,0,0,10,0
65,managed,0,0,7,0
66,facilitate,1,5,10,1
67,customers,0,3,9,1
68,efficiently,1,4,11,1
69,effectively,1,4,11,1
70,However,0,3,7,1
71,impact,0,2,6,0
72,micro,0,2,5,0
73,small,0,1,5,0
74,medium,0,3,6,1
75,enterprises,0,0,11,0
76,cannot,0,2,6,0
77,left,0,1,4,0
78,unattended,0,0,10,0
79,Indian,0,3,6,1
80,subcontinent,0,4,12,1
81,estimated,0,0,9,0
82,633,0,0,3,0
83,88,0,0,2,0
84,lakh,0,1,4,0
85,MSME,0,1,4,0
86,51,0,0,2,0
87,2,0,0,1,0
88,rural,0,2,5,0
89,areas,0,3,5,1
90,employ,0,2,6,0
91,44,0,0,2,0
92,84,0,0,2,0
93,total,0,2,5,0
94,employment,0,3,10,1
95,provided,0,0,8,0
96,Sector,0,2,6,0
97,MSME,0,1,4,0
98,sector,0,2,6,0
99,1170,0,0,4,0
100,lakh,0,1,4,0
101,people,0,3,6,1
102,constitutes,0,0,11,0
103,40,0,0,2,0
104,total,0,2,5,0
105,workforce,0,3,9,1
106,per,0,1,3,0
107,ministry,0,2,8,0
108,commerce,0,3,8,1
109,MSME,0,1,4,0
110,contribution,1,5,12,1
111,Gross,0,1,5,0
112,Domestic,0,3,8,1
113,Product,0,2,7,0
114,GDP,0,0,3,0
115,export,0,2,6,0
116,37,0,0,2,0
117,43,0,0,2,0
118,respectively,0,4,12,1
119,huge,0,2,4,0
120,contribution,1,5,12,1
121,toward,0,2,6,0
122,GDP,0,0,3,0
123,well,0,1,4,0
124,export,0,2,6,0
125,impact,0,2,6,0
126,national,0,4,8,1
127,economy,0,3,7,1
128,due,0,2,3,0
129,shock,-1,1,5,0
130,MSME,0,1,4,0
131,sector,0,2,6,0
132,pandemic,0,3,8,1
133,equally,0,3,7,1
134,devastating,-1,4,11,1
135,different,0,3,9,1
136,businesses,0,0,10,0
137,face,0,2,4,0
138,different,0,3,9,1
139,types,0,0,5,0
140,obstacles,0,0,9,0
141,pointed,0,0,7,0
142,8,0,0,1,0
143,common,0,2,6,0
144,issues,-1,0,6,0
145,faced,0,0,5,0
146,Low,0,1,3,0
147,Working,0,2,7,0
148,Capital,0,3,7,1
149,Small,0,1,5,0
150,Businesses,0,0,10,0
151,usually,0,3,7,1
152,low,0,1,3,0
153,working,0,2,7,0
154,capital,0,3,7,1
155,ratio,0,3,5,1
156,means,0,2,5,0
157,enough,0,3,6,1
158,capital,0,3,7,1
159,finance,0,3,7,1
160,daily,0,2,5,0
161,requirements,0,5,12,1
162,difficult,-1,3,9,1
163,times,0,0,5,0
164,problem,-1,2,7,0
165,gone,0,2,4,0
166,next,0,1,4,0
167,level,0,2,5,0
168,obligations,0,5,11,1
169,pay,0,1,3,0
170,due,0,2,3,0
171,less,0,1,4,0
172,revenue,0,4,7,1
173,months,0,1,6,0
174,high,0,1,4,0
175,chances,0,0,7,0
176,able,0,2,4,0
177,meet,0,2,4,0
178,Low,0,1,3,0
179,Cash,0,1,4,0
180,Cycle,0,1,5,0
181,According,0,3,9,1
182,survey,0,2,6,0
183,done,0,2,4,0
184,economic,0,4,8,1
185,times,0,0,5,0
186,found,0,2,5,0
187,small,0,1,5,0
188,businesses,0,0,10,0
189,usually,0,3,7,1
190,run,0,1,3,0
191,27,0,0,2,0
192,days,0,1,4,0
193,cash,0,1,4,0
194,cycle,0,1,5,0
195,due,0,2,3,0
196,pandemic,0,3,8,1
197,looming,0,3,7,1
198,around,0,3,6,1
199,able,0,2,4,0
200,operate,0,4,7,1
201,efficiently,1,4,11,1
202,half,0,1,4,0
203,small,0,1,5,0
204,businesses,0,0,10,0
205,country,0,2,7,0
206,either,0,3,6,1
207,exhausted,-1,0,9,0
208,funds,0,1,5,0
209,close,0,2,5,0
210,unprecedented,0,0,13,0
211,demand,0,2,6,0
212,crash,-1,1,5,0
213,due,0,2,3,0
214,lockdown,0,2,8,0
215,Registered,0,0,10,0
216,Many,0,1,4,0
217,small,0,1,5,0
218,businesses,0,0,10,0
219,India,0,3,5,1
220,registered,0,0,10,0
221,small,0,1,5,0
222,invisibility,0,5,12,1
223,advantage,1,4,9,1
224,disadvantage,-1,5,12,1
225,formal,0,2,6,0
226,system,0,1,6,0
227,maintain,0,4,8,1
228,proper,1,2,6,0
229,books,0,2,5,0
230,accounts,0,3,8,1
231,pay,0,1,3,0
232,taxes,0,0,5,0
233,follow,0,2,6,0
234,regulatory,0,4,10,1
235,norms,0,1,5,0
236,downside,-1,3,8,1
237,difficult,-1,3,9,1
238,access,0,2,6,0
239,government,0,3,10,1
240,programs,0,2,8,0
241,focused,0,0,7,0
242,make,0,2,4,0
243,use,0,2,3,0
244,Difficult,-1,3,9,1
245,get,0,1,3,0
246,financial,0,4,9,1
247,support,1,2,7,0
248,becomes,0,0,7,0
249,huge,0,2,4,0
250,task,0,1,4,0
251,small,0,1,5,0
252,businesses,0,0,10,0
253,comes,0,0,5,0
254,getting,0,2,7,0
255,loans,0,2,5,0
256,proper,1,2,6,0
257,accounts,0,3,8,1
258,assets,0,2,6,0
259,keep,0,2,4,0
260,mortgage,0,3,8,1
261,get,0,1,3,0
262,loans,0,2,5,0
263,banks,0,1,5,0
264,Due,0,2,3,0
265,use,0,2,3,0
266,traditional,0,5,11,1
267,method,0,2,6,0
268,lending,0,2,7,0
269,involves,0,0,8,0
270,high,0,1,4,0
271,rate,0,2,4,0
272,interest,0,3,8,1
273,times,0,0,5,0
274,also,0,2,4,0
275,getting,0,2,7,0
276,difficult,-1,3,9,1
277,get,0,1,3,0
278,loans,0,2,5,0
279,area,0,3,4,1
280,Existential,0,5,11,1
281,Crisis,-1,2,6,0
282,abrupt,-1,2,6,0
283,change,0,2,6,0
284,business,0,3,8,1
285,environment,0,4,11,1
286,businesses,0,0,10,0
287,either,0,3,6,1
288,low,0,1,3,0
289,production,0,4,10,1
290,cease,0,3,5,1
291,exist,0,2,5,0
292,low,0,1,3,0
293,production,0,4,10,1
294,put,0,1,3,0
295,burden,0,2,6,0
296,owner,0,2,5,0
297,pocket,0,2,6,0
298,closed,0,0,6,0
299,business,0,3,8,1
300,start,0,1,5,0
301,fresh,1,1,5,0
302,cost,0,1,4,0
303,starting,0,2,8,0
304,business,0,3,8,1
305,post,0,1,4,0
306,crisis,-1,2,6,0
307,high,0,1,4,0
308,limited,-1,0,7,0
309,creditworthiness,0,5,16,1
310,makes,0,0,5,0
311,business,0,3,8,1
312,difficult,-1,3,9,1
313,regain,0,3,6,1
314,lost,-1,1,4,0
315,market,0,2,6,0
316,share,0,2,5,0
317,Migration,0,4,9,1
318,starting,0,2,8,0
319,days,0,1,4,0
320,lockdown,0,2,8,0
321,small,0,1,5,0
322,businesses,0,0,10,0
323,able,0,2,4,0
324,pay,0,1,3,0
325,workers,0,2,7,0
326,led,1,0,3,0
327,migration,0,4,9,1
328,moved,0,0,5,0
329,back,0,1,4,0
330,hometowns,0,3,9,1
331,led,1,0,3,0
332,problem,-1,2,7,0
333,availability,0,6,12,1
334,suitable,1,4,8,1
335,workforce,0,3,9,1
336,businesses,0,0,10,0
337,trying,0,1,6,0
338,get,0,1,3,0
339,things,0,1,6,0
340,back,0,1,4,0
341,normal,0,2,6,0
342,Absence,-1,3,7,1
343,skills,0,1,6,0
344,required,0,0,8,0
345,hiring,0,2,6,0
346,workers,0,2,7,0
347,done,0,2,4,0
348,get,0,1,3,0
349,things,0,1,6,0
350,normal,0,2,6,0
351,getting,0,2,7,0
352,difficult,-1,3,9,1
353,provide,0,3,7,1
354,suitable,1,4,8,1
355,skills,0,1,6,0
356,needed,0,0,6,0
357,particular,0,4,10,1
358,jobs,0,1,4,0
359,also,0,2,4,0
360,existing,0,3,8,1
361,workforce,0,3,9,1
362,trained,0,0,7,0
363,enough,0,3,6,1
364,cope,0,2,4,0
365,normal,0,2,6,0
366,working,0,2,7,0
367,online,0,3,6,1
368,Creditworthiness,0,5,16,1
369,defined,0,0,7,0
370,extent,0,2,6,0
371,company,0,2,7,0
372,considered,0,0,10,0
373,suitable,1,4,8,1
374,receive,0,4,7,1
375,financial,0,4,9,1
376,credit,0,2,6,0
377,often,0,2,5,0
378,based,0,0,5,0
379,reliability,0,5,11,1
380,paying,0,2,6,0
381,money,0,2,5,0
382,past,0,1,4,0
383,businesses,0,0,10,0
384,dependent,0,3,9,1
385,upon,0,2,4,0
386,line,0,2,4,0
387,credit,0,2,6,0
388,supply,0,1,6,0
389,chain,0,2,5,0
390,gets,0,1,4,0
391,hampered,-1,0,8,0
392,result,0,2,6,0
393,loss,-1,1,4,0
394,revenue,0,4,7,1
395,well,0,1,4,0
396,reputation,1,5,10,1
397,business,0,3,8,1
398,cash,0,1,4,0
399,hand,0,1,4,0
400,oxygen,0,2,6,0
401,small,0,1,5,0
402,business,0,3,8,1
403,usually,0,3,7,1
404,1,0,0,1,0
405,month,0,1,5,0
406,cash,0,1,4,0
407,run,0,1,3,0
408,business,0,3,8,1
409,revenue,0,4,7,1
410,stream,0,2,6,0
411,dries,0,0,5,0
412,tough,1,2,5,0
413,time,0,2,4,0
414,improve,1,3,7,1
415,gradually,0,3,9,1
416,manage,0,3,6,1
417,optimal,1,3,7,1
418,cash,0,1,4,0
419,balance,0,3,7,1
420,key,0,1,3,0
421,success,1,2,7,0
422,tough,1,2,5,0
423,time,0,2,4,0
424,optimal,1,3,7,1
425,cash,0,1,4,0
426,balance,0,3,7,1
427,defined,0,0,7,0
428,less,0,1,4,0
429,amount,0,3,6,1
430,cash,0,1,4,0
431,outflow,0,3,7,1
432,form,0,1,4,0
433,rent,0,1,4,0
434,employee,0,4,8,1
435,salaries,0,0,8,0
436,raw,0,1,3,0
437,material,0,4,8,1
438,without,0,3,7,1
439,postponing,0,3,10,1
440,payable,0,3,7,1
441,banks,0,1,5,0
442,inflow,0,2,6,0
443,sale,0,2,4,0
444,Cash,0,1,4,0
445,Conversion,0,4,10,1
446,Cycle,0,1,5,0
447,refers,0,2,6,0
448,fast,0,1,4,0
449,cash,0,1,4,0
450,moves,0,0,5,0
451,business,0,3,8,1
452,times,0,0,5,0
453,lot,0,1,3,0
454,businesses,0,0,10,0
455,switching,0,2,9,0
456,online,0,3,6,1
457,platforms,0,2,9,0
458,think,0,1,5,0
459,improving,1,3,9,1
460,cash,0,1,4,0
461,cycle,0,1,5,0
462,maybe,0,2,5,0
463,making,0,2,6,0
464,changes,0,0,7,0
465,sales,0,0,5,0
466,cycle,0,1,5,0
467,reducing,0,3,8,1
468,inventory,0,3,9,1
469,hand,0,1,4,0
470,improving,1,3,9,1
471,upon,0,2,4,0
472,debtor,0,2,6,0
473,turnover,0,3,8,1
474,ratio,0,3,5,1
475,cash,0,1,4,0
476,collection,0,4,10,1
477,period,0,3,6,1
478,Prioritize,0,5,10,1
479,products,0,2,8,0
480,owner,0,2,5,0
481,business,0,3,8,1
482,analysis,0,3,8,1
483,products,0,2,8,0
484,services,0,0,8,0
485,offers,0,2,6,0
486,ranks,0,1,5,0
487,basis,0,2,5,0
488,profitability,0,5,13,1
489,focus,0,2,5,0
490,profitable,0,4,10,1
491,product,0,2,7,0
492,remove,0,3,6,1
493,least,0,2,5,0
494,profitable,0,4,10,1
495,product,0,2,7,0
496,portfolio,0,4,9,1
497,Labour,0,3,6,1
498,Productivity,0,4,12,1
499,difficult,-1,3,9,1
500,manage,0,3,6,1
501,business,0,3,8,1
502,current,0,2,7,0
503,scenario,0,4,8,1
504,business,0,3,8,1
505,manages,0,0,7,0
506,huge,0,2,4,0
507,advantage,1,4,9,1
508,others,0,2,6,0
509,productivity,0,4,12,1
510,employee,0,4,8,1
511,defined,0,0,7,0
512,unit,0,2,4,0
513,output,0,3,6,1
514,produced,0,0,8,0
515,per,0,1,3,0
516,employee,0,4,8,1
517,firing,0,2,6,0
518,underperforming,0,5,15,1
519,employees,0,0,9,0
520,reduce,0,3,6,1
521,salary,0,2,6,0
522,expense,0,3,7,1
523,variable,0,4,8,1
524,performance,0,4,11,1
525,based,0,0,5,0
526,compensation,0,5,12,1
527,strive,0,2,6,0
528,increase,0,4,8,1
529,productivity,0,4,12,1
530,Getting,0,2,7,0
531,skills,0,1,6,0
532,online,0,3,6,1
533,platforms,0,2,9,0
534,available,0,5,9,1
535,existing,0,3,8,1
536,employees,0,0,9,0
537,provided,0,0,8,0
538,skills,0,1,6,0
539,lower,0,2,5,0
540,cost,0,1,4,0
541,also,0,2,4,0
542,give,0,2,4,0
543,advantage,1,4,9,1
544,future,0,3,6,1
545,investment,0,3,10,1
546,strategically,0,4,13,1
547,done,0,2,4,0
548,Tapping,0,2,7,0
549,resources,0,0,9,0
550,provided,0,0,8,0
551,government,0,3,10,1
552,financial,0,4,9,1
553,institutions,0,5,12,1
554,government,0,3,10,1
555,India,0,3,5,1
556,launched,0,0,8,0
557,rescue,0,3,6,1
558,plan,0,1,4,0
559,small,0,1,5,0
560,businesses,0,0,10,0
561,get,0,1,3,0
562,loans,0,2,5,0
563,much,0,1,4,0
564,easier,1,4,6,1
565,compared,0,0,8,0
566,increased,0,0,9,0
567,upper,0,2,5,0
568,limit,-1,2,5,0
569,outstanding,1,4,11,1
570,loan,0,2,4,0
571,amount,0,3,6,1
572,25,0,0,2,0
573,crores,0,0,6,0
574,50,0,0,2,0
575,crores,0,0,6,0
576,financial,0,4,9,1
577,institutions,0,5,12,1
578,also,0,2,4,0
579,launched,0,0,8,0
580,schemes,0,0,7,0
581,like,0,2,4,0
582,COVID,0,2,5,0
583,19,0,0,2,0
584,Start,0,1,5,0
585,Assistance,0,4,10,1
