,Token,Score,Syllable_Count,Word_length,IsComplex
0,pandemic,0,3,8,1
1,shaken,0,2,6,0
2,world,0,1,5,0
3,hardly,0,1,6,0
4,imagined,0,0,8,0
5,impact,0,2,6,0
6,Jobs,0,1,4,0
7,Services,0,0,8,0
8,going,0,2,5,0
9,long,0,1,4,0
10,lasting,0,2,7,0
11,foundation,0,5,10,1
12,stone,0,2,5,0
13,revolution,0,5,10,1
14,sectors,0,2,7,0
15,work,1,1,4,0
16,home,0,2,4,0
17,social,0,3,6,1
18,distancing,0,3,10,1
19,norms,0,1,5,0
20,altering,0,3,8,1
21,work,1,1,4,0
22,interact,0,3,8,1
23,work,1,1,4,0
24,work,1,1,4,0
25,done,0,2,4,0
26,whatnot,0,2,7,0
27,give,0,2,4,0
28,example,0,3,7,1
29,middle,0,2,6,0
30,lockdown,0,2,8,0
31,FMCG,0,0,4,0
32,major,0,2,5,0
33,Hindustan,0,3,9,1
34,Unilever,0,4,8,1
35,HUL,0,1,3,0
36,went,0,1,4,0
37,ahead,0,3,5,1
38,merger,0,2,6,0
39,took,0,2,4,0
40,place,0,2,5,0
41,online,0,3,6,1
42,entirely,0,3,8,1
43,Yes,0,0,3,0
44,took,0,2,4,0
45,place,0,2,5,0
46,online,0,3,6,1
47,could,0,2,5,0
48,ever,0,2,4,0
49,imagined,0,0,8,0
50,merger,0,2,6,0
51,take,0,2,4,0
52,place,0,2,5,0
53,online,0,3,6,1
54,Change,0,2,6,0
55,inevitable,-1,5,10,1
56,changes,0,0,7,0
57,temporary,0,3,9,1
58,permanent,0,3,9,1
59,pandemic,0,3,8,1
60,bringing,0,2,8,0
61,changes,0,0,7,0
62,going,0,2,5,0
63,permanent,0,3,9,1
64,fact,0,1,4,0
65,changes,0,0,7,0
66,due,0,2,3,0
67,long,0,1,4,0
68,time,0,2,4,0
69,coming,0,2,6,0
70,slow,-1,1,4,0
71,pace,0,2,4,0
72,pandemic,0,3,8,1
73,done,0,2,4,0
74,become,0,3,6,1
75,catalyst,0,2,8,0
76,changes,0,0,7,0
77,raised,0,0,6,0
78,ante,0,2,4,0
79,change,0,2,6,0
80,exactly,0,2,7,0
81,changes,0,0,7,0
82,Let,0,1,3,0
83,look,0,2,4,0
84,one,0,2,3,0
85,change,0,2,6,0
86,going,0,2,5,0
87,extensive,0,4,9,1
88,use,0,2,3,0
89,digital,0,3,7,1
90,communication,0,6,13,1
91,onwards,0,2,7,0
92,Zoom,0,2,4,0
93,Jio,0,2,3,0
94,Meet,0,2,4,0
95,Google,0,3,6,1
96,Meet,0,2,4,0
97,derivatives,0,0,11,0
98,like,0,2,4,0
99,going,0,2,5,0
100,forever,0,3,7,1
101,meeting,0,3,7,1
102,rooms,0,2,5,0
103,important,1,3,9,1
104,discussions,0,4,11,1
105,held,0,1,4,0
106,bad,-1,1,3,0
107,news,0,1,4,0
108,employees,0,0,9,0
109,older,0,2,5,0
110,40,0,0,2,0
111,years,0,2,5,0
112,would,0,2,5,0
113,pictured,0,0,8,0
114,transformation,0,5,14,1
115,part,0,1,4,0
116,life,0,2,4,0
117,Experts,0,2,7,0
118,believe,0,4,7,1
119,normal,0,2,6,0
120,offices,0,0,7,0
121,going,0,2,5,0
122,hierarchy,0,3,9,1
123,less,0,1,4,0
124,older,0,2,5,0
125,employees,0,0,9,0
126,would,0,2,5,0
127,work,1,1,4,0
128,younger,0,3,7,1
129,ones,0,0,4,0
130,would,0,2,5,0
131,geographical,0,5,12,1
132,boundaries,0,0,10,0
133,communication,0,6,13,1
134,software,0,3,8,1
135,adaptability,0,5,12,1
136,employees,0,0,9,0
137,going,0,2,5,0
138,crucial,0,3,7,1
139,symbol,0,1,6,0
140,power,0,2,5,0
141,less,0,1,4,0
142,visible,0,3,7,1
143,decentralization,0,7,16,1
144,power,0,2,5,0
145,office,0,3,6,1
146,prominent,1,3,9,1
147,egalitarianism,0,7,14,1
148,companies,0,0,9,0
149,corporates,0,0,10,0
150,think,0,1,5,0
151,much,0,1,4,0
152,office,0,3,6,1
153,space,0,2,5,0
154,Rather,0,2,6,0
155,expending,0,3,9,1
156,much,0,1,4,0
157,physical,0,2,8,0
158,infrastructure,0,5,14,1
159,online,0,3,6,1
160,infrastructure,0,5,14,1
161,always,0,2,6,0
162,hindsight,0,2,9,0
163,impact,0,2,6,0
164,would,0,2,5,0
165,prudent,1,2,7,0
166,small,0,1,5,0
167,mid,0,1,3,0
168,sized,0,0,5,0
169,businesses,0,0,10,0
170,physical,0,2,8,0
171,offices,0,0,7,0
172,might,0,1,5,0
173,disappear,0,4,9,1
174,businesses,0,0,10,0
175,going,0,2,5,0
176,easy,1,2,4,0
177,companies,0,0,9,0
178,security,0,3,8,1
179,confidentiality,0,6,15,1
180,authentic,1,4,9,1
181,information,0,5,11,1
182,going,0,2,5,0
183,offices,0,0,7,0
184,building,0,3,8,1
185,going,0,2,5,0
186,largest,0,2,7,0
187,concern,-1,2,7,0
188,normal,0,2,6,0
189,world,0,1,5,0
190,would,0,2,5,0
191,surprise,0,3,8,1
192,lot,0,1,3,0
193,start,0,1,5,0
194,ups,0,1,3,0
195,bloom,0,2,5,0
196,near,0,2,4,0
197,future,0,3,6,1
198,providing,0,3,9,1
199,software,0,3,8,1
200,security,0,3,8,1
201,data,0,2,4,0
202,information,0,5,11,1
203,companies,0,0,9,0
204,Also,0,2,4,0
205,travel,0,2,6,0
206,going,0,2,5,0
207,reduced,0,0,7,0
208,major,0,2,5,0
209,component,0,3,9,1
210,CTC,0,0,3,0
211,companies,0,0,9,0
212,fooling,0,3,7,1
213,employees,0,0,9,0
214,must,0,1,4,0
215,find,0,1,4,0
216,way,0,1,3,0
217,change,0,2,6,0
218,going,0,2,5,0
219,struck,0,1,6,0
220,employees,0,0,9,0
221,Already,0,3,7,1
222,companies,0,0,9,0
223,start,0,1,5,0
224,ups,0,1,3,0
225,reducing,0,3,8,1
226,workforce,0,3,9,1
227,expected,0,0,8,0
228,normal,0,2,6,0
229,offices,0,0,7,0
230,would,0,2,5,0
231,work,1,1,4,0
232,80,0,0,2,0
233,workforce,0,3,9,1
234,current,0,2,7,0
235,workforce,0,3,9,1
236,Automation,0,6,10,1
237,verge,0,2,5,0
238,Due,0,2,3,0
239,safety,0,2,6,0
240,reasons,0,3,7,1
241,companies,0,0,9,0
242,going,0,2,5,0
243,leaned,0,0,6,0
244,towards,0,2,7,0
