,Token,Score,Syllable_Count,Word_length,IsComplex
0,Social,0,3,6,1
1,media,0,3,5,1
2,staple,0,2,6,0
3,evolving,0,3,8,1
4,digital,0,3,7,1
5,culture,0,3,7,1
6,almost,0,2,6,0
7,hard,-1,1,4,0
8,imagine,0,4,7,1
9,time,0,2,4,0
10,without,0,3,7,1
11,updates,0,0,7,0
12,likes,1,0,5,0
13,comments,0,2,8,0
14,shares,0,0,6,0
15,People,0,3,6,1
16,concerned,-1,0,9,0
17,food,0,2,4,0
18,looks,0,2,5,0
19,tastes,0,0,6,0
20,Thus,0,1,4,0
21,become,0,3,6,1
22,necessary,0,3,9,1
23,brand,0,1,5,0
24,social,0,3,6,1
25,media,0,3,5,1
26,presence,0,3,8,1
27,phrase,0,2,6,0
28,sight,0,1,5,0
29,mind,0,1,4,0
30,never,0,2,5,0
31,apt,0,1,3,0
32,today,0,2,5,0
33,time,0,2,4,0
34,Social,0,3,6,1
35,media,0,3,5,1
36,much,0,1,4,0
37,engagement,0,4,10,1
38,people,0,3,6,1
39,sharing,0,2,7,0
40,content,0,2,7,0
41,call,0,1,4,0
42,social,0,3,6,1
43,media,0,3,5,1
44,Social,0,3,6,1
45,media,0,3,5,1
46,engagement,0,4,10,1
47,simply,0,1,6,0
48,interaction,0,5,11,1
49,customer,0,3,8,1
50,brand,0,1,5,0
51,social,0,3,6,1
52,media,0,3,5,1
53,platforms,0,2,9,0
54,going,0,2,5,0
55,find,0,1,4,0
56,huge,0,2,4,0
57,database,0,4,8,1
58,target,0,2,6,0
59,demographic,0,4,11,1
60,already,0,3,7,1
61,mind,0,1,4,0
62,frame,0,2,5,0
63,read,0,2,4,0
64,click,0,1,5,0
65,share,0,2,5,0
66,message,0,3,7,1
67,practicality,0,4,12,1
68,one,0,2,3,0
69,communication,0,6,13,1
70,construction,0,4,12,1
71,long,0,1,4,0
72,term,0,1,4,0
73,relationship,0,5,12,1
74,target,0,2,6,0
75,customers,0,3,9,1
76,Hence,0,2,5,0
77,talk,0,1,4,0
78,relationship,0,5,12,1
79,imperative,0,5,10,1
80,consider,0,3,8,1
81,positive,1,4,8,1
82,actions,0,3,7,1
83,users,0,2,5,0
84,reaction,0,4,8,1
85,brand,0,1,5,0
86,engagement,0,4,10,1
87,tactics,0,2,7,0
88,fundamental,0,4,11,1
89,customer,0,3,8,1
90,journey,0,3,7,1
91,envisaged,0,0,9,0
92,form,0,1,4,0
93,customer,0,3,8,1
94,funnel,0,2,6,0
95,touchpoints,0,4,11,1
96,available,0,5,9,1
97,every,0,2,5,0
98,step,0,1,4,0
99,shown,0,1,5,0
100,Awareness,0,4,9,1
101,Consideration,0,6,13,1
102,Decision,0,4,8,1
103,Purchase,0,3,8,1
104,Post,0,1,4,0
105,purchase,0,3,8,1
106,Touchpoints,0,4,11,1
107,Word,0,1,4,0
108,mouth,0,2,5,0
109,social,0,3,6,1
110,media,0,3,5,1
111,regular,0,3,7,1
112,advertisements,0,5,14,1
113,customer,0,3,8,1
114,journey,0,3,7,1
115,map,0,1,3,0
116,Congruence,0,4,10,1
117,perceived,0,0,9,0
118,offered,0,0,7,0
119,benefits,1,3,8,1
120,cost,0,1,4,0
121,benefit,1,3,7,1
122,analysis,0,3,8,1
123,value,0,3,5,1
124,proposition,0,5,11,1
125,Place,0,2,5,0
126,time,0,2,4,0
127,utility,0,3,7,1
128,loyalty,1,2,7,0
129,towards,0,2,7,0
130,product,0,2,7,0
131,switching,0,2,9,0
132,costs,0,1,5,0
133,Retail,0,3,6,1
134,portal,0,2,6,0
135,conversion,0,4,10,1
136,levers,0,2,6,0
137,customer,0,3,8,1
138,schemes,0,0,7,0
139,Dissonance,-1,4,10,1
140,purchase,0,3,8,1
141,complexity,0,3,10,1
142,understand,0,3,10,1
143,reach,0,2,5,0
144,social,0,3,6,1
145,media,0,3,5,1
146,use,0,2,3,0
147,numbers,0,2,7,0
148,popular,1,3,7,1
149,social,0,3,6,1
150,networks,0,2,8,0
151,worldwide,0,3,9,1
152,July,0,1,4,0
