,Token,Score,Syllable_Count,Word_length,IsComplex
0,Covid,0,2,5,0
1,19,0,0,2,0
2,crisis,-1,2,6,0
3,fallout,-1,3,7,1
4,including,0,3,9,1
5,recession,-1,4,9,1
6,layoffs,0,2,7,0
7,uneven,-1,3,6,1
8,economic,0,4,8,1
9,pain,-1,2,4,0
10,well,0,1,4,0
11,recent,0,2,6,0
12,protests,-1,2,8,0
13,police,0,3,6,1
14,brutality,-1,3,9,1
15,demands,0,2,7,0
16,racial,0,3,6,1
17,justice,0,3,7,1
18,presented,0,0,9,0
19,us,0,1,2,0
20,challenges,0,0,10,0
21,encountered,0,0,11,0
22,high,0,1,4,0
23,stakes,0,0,6,0
24,unfamiliar,-1,5,10,1
25,nature,0,3,6,1
26,situations,0,5,10,1
27,left,0,1,4,0
28,people,0,3,6,1
29,feeling,0,3,7,1
30,fearful,-1,3,7,1
31,missteps,0,2,8,0
32,reduce,0,3,6,1
33,mistakes,-1,0,8,0
34,zero,0,2,4,0
35,learn,0,2,5,0
36,harness,0,2,7,0
37,drive,0,2,5,0
38,prevent,0,2,7,0
39,channel,0,2,7,0
40,better,0,2,6,0
41,decision,0,4,8,1
42,making,0,2,6,0
43,Use,0,2,3,0
44,tips,0,1,4,0
45,become,0,3,6,1
46,effective,1,4,9,1
47,worrier,-1,3,7,1
48,afraid,-1,3,6,1
49,ashamed,-1,0,7,0
50,fear,-1,2,4,0
51,culture,0,3,7,1
52,glorifies,0,0,9,0
53,fearlessness,0,4,12,1
54,traditional,0,5,11,1
55,image,0,3,5,1
56,leader,0,3,6,1
57,smart,0,1,5,0
58,tough,1,2,5,0
59,unafraid,0,4,8,1
60,fear,-1,2,4,0
61,like,0,2,4,0
62,emotion,0,4,7,1
63,evolutionary,0,6,12,1
64,purpose,0,3,7,1
65,upside,0,3,6,1
66,concern,-1,2,7,0
67,making,0,2,6,0
68,mistakes,-1,0,8,0
69,remind,0,2,6,0
70,challenging,-1,3,11,1
71,situation,0,5,9,1
72,cautious,0,5,8,1
73,leader,0,3,6,1
74,value,0,3,5,1
75,especially,0,4,10,1
76,true,0,2,4,0
77,times,0,0,5,0
78,like,0,2,4,0
79,get,0,1,3,0
80,caught,0,2,6,0
81,ruminating,0,4,10,1
82,fearful,-1,3,7,1
83,ashamed,-1,0,7,0
84,afraid,-1,3,6,1
85,fear,-1,2,4,0
86,making,0,2,6,0
87,mistakes,-1,0,8,0
88,interpret,0,3,9,1
89,evidence,0,4,8,1
90,indecisive,-1,5,10,1
91,leader,0,3,6,1
92,bold,0,1,4,0
93,visionary,1,4,9,1
94,natural,0,3,7,1
95,tendency,0,2,8,0
96,prevention,0,4,10,1
97,focused,0,0,7,0
98,channel,0,2,7,0
99,bold,0,1,4,0
100,visionary,1,4,9,1
101,struggle,-1,2,8,0
102,believe,0,4,7,1
103,identify,0,3,8,1
104,leaders,0,3,7,1
105,done,0,2,4,0
106,figuring,0,3,8,1
107,prevent,0,2,7,0
108,disasters,0,3,9,1
109,Use,0,2,3,0
110,emotional,0,5,9,1
111,agility,1,3,7,1
112,skills,0,1,6,0
113,Fear,-1,2,4,0
114,mistakes,-1,0,8,0
115,paralyze,0,3,8,1
116,people,0,3,6,1
117,Emotional,0,5,9,1
118,agility,1,3,7,1
119,skills,0,1,6,0
120,antidote,0,4,8,1
121,paralysis,0,3,9,1
122,process,0,2,7,0
123,starts,0,1,6,0
124,labeling,0,3,8,1
125,thoughts,0,2,8,0
126,feelings,0,3,8,1
127,feel,0,2,4,0
128,anxious,-1,4,7,1
129,going,0,2,5,0
130,able,0,2,4,0
131,control,0,2,7,0
132,customers,0,3,9,1
133,enough,0,3,6,1
134,keep,0,2,4,0
135,staff,0,1,5,0
136,safe,1,2,4,0
137,Stating,0,2,7,0
138,fears,0,2,5,0
139,loud,-1,2,4,0
140,helps,0,1,5,0
141,diffuse,0,3,7,1
142,like,0,2,4,0
143,turning,0,2,7,0
144,light,0,1,5,0
145,dark,-1,1,4,0
146,room,0,2,4,0
147,Next,0,1,4,0
148,comes,0,0,5,0
149,accepting,0,3,9,1
150,reality,0,3,7,1
151,example,0,3,7,1
152,understand,0,3,10,1
153,people,0,3,6,1
154,always,0,2,6,0
155,behave,0,3,6,1
156,ideal,1,3,5,1
157,ways,0,1,4,0
158,List,0,1,4,0
159,every,0,2,5,0
160,truth,0,1,5,0
161,need,0,0,4,0
162,accept,0,2,6,0
163,comes,0,0,5,0
164,acting,0,2,6,0
165,values,0,0,6,0
166,Let,0,1,3,0
167,say,0,1,3,0
168,highest,0,2,7,0
169,values,0,0,6,0
170,conscientiousness,0,7,17,1
171,might,0,1,5,0
172,value,0,3,5,1
173,apply,0,1,5,0
174,situation,0,5,9,1
175,example,0,3,7,1
176,might,0,1,5,0
177,involve,0,3,7,1
178,making,0,2,6,0
179,sure,0,2,4,0
180,employees,0,0,9,0
181,masks,0,1,5,0
182,fit,0,1,3,0
183,well,0,1,4,0
184,feel,0,2,4,0
185,comfortable,1,4,11,1
186,airing,0,3,6,1
187,grievances,-1,0,10,0
188,Identify,0,3,8,1
189,important,1,3,9,1
190,values,0,0,6,0
191,related,0,0,7,0
192,decision,0,4,8,1
193,making,0,2,6,0
194,crisis,-1,2,6,0
195,ask,0,1,3,0
196,relevant,0,3,8,1
197,important,1,3,9,1
198,choices,0,0,7,0
