,Token,Score,Syllable_Count,Word_length,IsComplex
0,reduce,0,3,6,1
1,mistakes,-1,0,8,0
2,zero,0,2,4,0
3,learn,0,2,5,0
4,harness,0,2,7,0
5,drive,0,2,5,0
6,prevent,0,2,7,0
7,channel,0,2,7,0
8,better,0,2,6,0
9,decision,0,4,8,1
10,making,0,2,6,0
11,Use,0,2,3,0
12,tips,0,1,4,0
13,become,0,3,6,1
14,effective,1,4,9,1
15,worrier,-1,3,7,1
16,afraid,-1,3,6,1
17,ashamed,-1,0,7,0
18,fear,-1,2,4,0
19,culture,0,3,7,1
20,glorifies,0,0,9,0
21,fearlessness,0,4,12,1
22,traditional,0,5,11,1
23,image,0,3,5,1
24,leader,0,3,6,1
25,smart,0,1,5,0
26,tough,1,2,5,0
27,unafraid,0,4,8,1
28,fear,-1,2,4,0
29,like,0,2,4,0
30,emotion,0,4,7,1
31,evolutionary,0,6,12,1
32,purpose,0,3,7,1
33,upside,0,3,6,1
34,concern,-1,2,7,0
35,making,0,2,6,0
36,mistakes,-1,0,8,0
37,remind,0,2,6,0
38,challenging,-1,3,11,1
39,situation,0,5,9,1
40,cautious,0,5,8,1
41,leader,0,3,6,1
42,value,0,3,5,1
43,especially,0,4,10,1
44,true,0,2,4,0
45,times,0,0,5,0
46,like,0,2,4,0
47,get,0,1,3,0
48,caught,0,2,6,0
49,ruminating,0,4,10,1
50,fearful,-1,3,7,1
51,ashamed,-1,0,7,0
52,afraid,-1,3,6,1
53,fear,-1,2,4,0
54,making,0,2,6,0
55,mistakes,-1,0,8,0
56,interpret,0,3,9,1
57,evidence,0,4,8,1
58,indecisive,-1,5,10,1
59,leader,0,3,6,1
60,bold,0,1,4,0
61,visionary,1,4,9,1
62,natural,0,3,7,1
63,tendency,0,2,8,0
64,prevention,0,4,10,1
65,focused,0,0,7,0
66,channel,0,2,7,0
67,bold,0,1,4,0
68,visionary,1,4,9,1
69,struggle,-1,2,8,0
70,believe,0,4,7,1
71,identify,0,3,8,1
72,leaders,0,3,7,1
73,done,0,2,4,0
74,figuring,0,3,8,1
75,prevent,0,2,7,0
76,disasters,0,3,9,1
77,Use,0,2,3,0
78,emotional,0,5,9,1
79,agility,1,3,7,1
80,skills,0,1,6,0
81,Fear,-1,2,4,0
82,mistakes,-1,0,8,0
83,paralyze,0,3,8,1
84,people,0,3,6,1
85,Emotional,0,5,9,1
86,agility,1,3,7,1
87,skills,0,1,6,0
88,antidote,0,4,8,1
89,paralysis,0,3,9,1
90,process,0,2,7,0
91,starts,0,1,6,0
92,labeling,0,3,8,1
93,thoughts,0,2,8,0
94,feelings,0,3,8,1
95,feel,0,2,4,0
96,anxious,-1,4,7,1
97,going,0,2,5,0
98,able,0,2,4,0
99,control,0,2,7,0
100,customers,0,3,9,1
101,enough,0,3,6,1
102,keep,0,2,4,0
103,staff,0,1,5,0
104,safe,1,2,4,0
105,Stating,0,2,7,0
106,fears,0,2,5,0
107,loud,-1,2,4,0
108,helps,0,1,5,0
109,diffuse,0,3,7,1
110,like,0,2,4,0
111,turning,0,2,7,0
112,light,0,1,5,0
113,dark,-1,1,4,0
114,room,0,2,4,0
115,Next,0,1,4,0
116,comes,0,0,5,0
117,accepting,0,3,9,1
118,reality,0,3,7,1
119,example,0,3,7,1
120,understand,0,3,10,1
121,people,0,3,6,1
122,always,0,2,6,0
123,behave,0,3,6,1
124,ideal,1,3,5,1
125,ways,0,1,4,0
126,List,0,1,4,0
127,every,0,2,5,0
128,truth,0,1,5,0
129,need,0,0,4,0
130,accept,0,2,6,0
131,comes,0,0,5,0
132,acting,0,2,6,0
133,values,0,0,6,0
134,Let,0,1,3,0
135,say,0,1,3,0
136,highest,0,2,7,0
137,values,0,0,6,0
138,conscientiousness,0,7,17,1
139,might,0,1,5,0
140,value,0,3,5,1
141,apply,0,1,5,0
142,situation,0,5,9,1
143,example,0,3,7,1
144,might,0,1,5,0
145,involve,0,3,7,1
146,making,0,2,6,0
147,sure,0,2,4,0
148,employees,0,0,9,0
149,masks,0,1,5,0
150,fit,0,1,3,0
151,well,0,1,4,0
152,feel,0,2,4,0
153,comfortable,1,4,11,1
154,airing,0,3,6,1
155,grievances,-1,0,10,0
156,Identify,0,3,8,1
157,important,1,3,9,1
158,values,0,0,6,0
159,related,0,0,7,0
160,decision,0,4,8,1
161,making,0,2,6,0
162,crisis,-1,2,6,0
163,ask,0,1,3,0
164,relevant,0,3,8,1
165,important,1,3,9,1
166,choices,0,0,7,0
167,face,0,2,4,0
168,Repeat,0,3,6,1
169,process,0,2,7,0
170,fears,0,2,5,0
171,help,0,1,4,0
172,tolerate,0,4,8,1
173,fact,0,1,4,0
174,sometimes,0,0,9,0
175,need,0,0,4,0
176,act,0,1,3,0
177,course,0,3,6,1
178,action,0,3,6,1
179,clear,1,2,5,0
180,avoid,0,3,5,1
181,common,0,2,6,0
182,anxiety,-1,3,7,1
183,trap,-1,1,4,0
184,whereby,0,2,7,0
185,people,0,3,6,1
186,try,0,0,3,0
187,reduce,0,3,6,1
188,uncertainty,0,4,11,1
189,zero,0,2,4,0
190,Focus,0,2,5,0
191,processes,0,0,9,0
192,Worrying,-1,2,8,0
193,help,0,1,4,0
194,make,0,2,4,0
195,better,0,2,6,0
196,decisions,0,4,9,1
197,effectively,1,4,11,1
198,people,0,3,6,1
199,worry,-1,1,5,0
200,solutions,0,4,9,1
201,focused,0,0,7,0
202,perseverating,0,5,13,1
203,presence,0,3,8,1
204,threat,-1,2,6,0
205,Direct,0,2,6,0
206,worry,-1,1,5,0
207,towards,0,2,7,0
208,behaviors,0,4,9,1
209,realistically,0,5,13,1
210,reduce,0,3,6,1
211,chances,0,0,7,0
212,failure,-1,4,7,1
213,control,0,2,7,0
214,systems,0,1,7,0
215,outcomes,0,0,8,0
216,systems,0,1,7,0
217,processes,0,0,9,0
218,avoiding,0,4,8,1
219,making,0,2,6,0
220,mistakes,-1,0,8,0
221,Direct,0,2,6,0
222,worries,-1,0,7,0
223,answering,0,3,9,1
224,questions,0,4,9,1
225,like,0,2,4,0
226,data,0,2,4,0
227,relying,0,2,7,0
228,reliable,1,4,8,1
229,limitations,-1,5,11,1
230,systems,0,1,7,0
231,help,0,1,4,0
232,prevent,0,2,7,0
233,groupthink,0,3,10,1
234,procedures,0,0,10,0
235,place,0,2,5,0
236,help,0,1,4,0
237,blind,-1,1,5,0
238,spots,0,1,5,0
239,ensure,0,3,6,1
240,hear,0,2,4,0
241,valuable,1,4,8,1
242,perspectives,0,0,12,0
243,underrepresented,0,0,16,0
244,stakeholders,0,4,12,1
245,processes,0,0,9,0
246,alerted,0,0,7,0
247,problem,-1,2,7,0
248,quickly,0,2,7,0
249,rectifying,1,3,10,1
250,decision,0,4,8,1
251,unexpected,-1,0,10,0
252,consequences,0,0,12,0
253,Broaden,0,3,7,1
254,thinking,0,2,8,0
255,scared,-1,0,6,0
256,making,0,2,6,0
257,mistake,-1,3,7,1
258,thinking,0,2,8,0
259,narrow,0,2,6,0
260,around,0,3,6,1
261,particular,0,4,10,1
262,scenario,0,4,8,1
263,Imagine,0,4,7,1
264,walking,0,2,7,0
265,night,0,1,5,0
266,worried,-1,0,7,0
267,tripping,0,2,8,0
268,keep,0,2,4,0
269,looking,0,3,7,1
270,feet,0,2,4,0
271,Next,0,1,4,0
272,thing,0,1,5,0
273,know,0,1,4,0
274,walked,0,0,6,0
275,lamp,0,1,4,0
276,post,0,1,4,0
277,imagine,0,4,7,1
278,person,0,2,6,0
279,scared,-1,0,6,0
280,flying,0,1,6,0
281,drive,0,2,5,0
282,everywhere,0,4,10,1
283,even,0,2,4,0
284,though,0,2,6,0
285,driving,0,2,7,0
286,objectively,0,4,11,1
287,dangerous,-1,4,9,1
288,open,0,2,4,0
289,aperture,0,4,8,1
290,help,0,1,4,0
291,greatest,1,3,8,1
292,fears,0,2,5,0
293,broader,0,3,7,1
294,context,0,2,7,0
295,threats,-1,2,7,0
296,help,0,1,4,0
297,get,0,1,3,0
298,better,0,2,6,0
299,perspective,0,4,11,1
300,fear,-1,2,4,0
301,might,0,1,5,0
302,seem,0,2,4,0
303,illogical,-1,4,9,1
304,could,0,2,5,0
305,reduce,0,3,6,1
306,fear,-1,2,4,0
307,making,0,2,6,0
308,mistake,-1,3,7,1
309,thinking,0,2,8,0
310,negative,-1,4,8,1
311,outcomes,0,0,8,0
312,strategy,0,2,8,0
313,help,0,1,4,0
314,kick,0,1,4,0
315,problem,-1,2,7,0
316,solving,0,2,7,0
317,mode,0,2,4,0
318,lessen,0,2,6,0
319,mental,0,2,6,0
320,grip,0,1,4,0
321,particular,0,4,10,1
322,fear,-1,2,4,0
323,leader,0,3,6,1
324,might,0,1,5,0
325,highly,0,1,6,0
326,focused,0,0,7,0
327,minimizing,0,4,10,1
328,optimizing,0,4,10,1
329,particular,0,4,10,1
330,thing,0,1,5,0
331,realize,0,4,7,1
332,people,0,3,6,1
333,care,0,2,4,0
334,something,0,3,9,1
335,else,0,2,4,0
336,Find,0,1,4,0
337,people,0,3,6,1
338,priorities,0,0,10,0
339,Recognize,0,4,9,1
340,value,0,3,5,1
341,leisure,0,4,7,1
342,Fear,-1,2,4,0
343,grabs,0,1,5,0
344,us,0,1,2,0
345,makes,0,0,5,0
346,difficult,-1,3,9,1
347,direct,0,2,6,0
348,attention,0,4,9,1
349,away,0,2,4,0
350,designed,0,0,8,0
351,work,1,1,4,0
352,ignore,-1,3,6,1
353,threats,-1,2,7,0
354,people,0,3,6,1
355,react,0,2,5,0
356,fear,-1,2,4,0
357,extreme,0,3,7,1
358,hypervigilance,0,5,14,1
359,want,0,1,4,0
360,guard,0,2,5,0
361,command,0,2,7,0
362,post,0,1,4,0
363,times,0,0,5,0
364,might,0,1,5,0
365,manifest,0,3,8,1
366,behavior,0,4,8,1
367,like,0,2,4,0
368,staying,0,2,7,0
369,night,0,1,5,0
370,work,1,1,4,0
371,type,0,1,4,0
372,adrenalin,0,4,9,1
373,fueled,0,0,6,0
374,behavior,0,4,8,1
375,short,0,1,5,0
376,term,0,1,4,0
377,value,0,3,5,1
378,also,0,2,4,0
379,myopic,0,2,6,0
380,different,0,3,9,1
381,approach,0,3,8,1
382,useful,0,3,6,1
383,bigger,0,2,6,0
384,picture,0,3,7,1
385,thinking,0,2,8,0
386,need,0,0,4,0
387,leisure,0,4,7,1
388,sleep,0,2,5,0
389,step,0,1,4,0
390,back,0,1,4,0
391,integrate,0,4,9,1
392,threads,0,2,7,0
393,thinking,0,2,8,0
394,blindspots,0,2,10,0
395,think,0,1,5,0
396,creatively,0,4,10,1
397,Get,0,1,3,0
398,silent,1,2,6,0
399,time,0,2,4,0
400,Although,0,3,8,1
401,much,0,1,4,0
402,maligned,0,0,8,0
403,game,0,2,4,0
404,golf,0,1,4,0
405,might,0,1,5,0
406,exactly,0,2,7,0
407,need,0,0,4,0
408,think,0,1,5,0
409,tough,1,2,5,0
410,problems,-1,2,8,0
411,holistically,0,4,12,1
412,Detach,0,2,6,0
413,judgment,0,2,8,0
414,clouding,-1,3,8,1
415,noise,-1,3,5,1
416,mentioned,0,0,9,0
