,Token,Score,Syllable_Count,Word_length,IsComplex
0,internet,0,3,8,1
1,information,0,5,11,1
2,ways,0,1,4,0
3,restricted,-1,0,10,0
4,centralized,0,0,11,0
5,mediums,0,3,7,1
6,information,0,5,11,1
7,books,0,2,5,0
8,newspapers,0,3,10,1
9,word,0,1,4,0
10,mouth,0,2,5,0
11,etc,0,1,3,0
12,advent,0,2,6,0
13,internet,0,3,8,1
14,improvements,1,4,12,1
15,computer,0,3,8,1
16,technology,0,3,10,1
17,Moore,0,3,5,1
18,Law,0,1,3,0
19,information,0,5,11,1
20,data,0,2,4,0
21,skyrocketed,0,0,11,0
22,become,0,3,6,1
23,open,0,2,4,0
24,system,0,1,6,0
25,information,0,5,11,1
26,distributed,0,0,11,0
27,people,0,3,6,1
28,without,0,3,7,1
29,kind,0,1,4,0
30,limits,-1,2,6,0
31,SECURING,0,3,8,1
32,DEVICES,0,0,7,0
33,NETWORKS,0,2,8,0
34,Encrypt,0,1,7,0
35,data,0,2,4,0
36,Various,0,4,7,1
37,publicly,0,2,8,0
38,available,0,5,9,1
39,tools,0,2,5,0
40,taken,0,2,5,0
41,rocket,0,2,6,0
42,science,0,3,7,1
43,encrypting,0,2,10,0
44,decrypting,0,2,10,0
45,email,0,3,5,1
46,files,0,0,5,0
47,Data,0,2,4,0
48,encryption,0,3,10,1
49,technology,0,3,10,1
50,geeks,0,2,5,0
51,modern,1,2,6,0
52,tools,0,2,5,0
53,make,0,2,4,0
54,possible,0,3,8,1
55,anyone,0,3,6,1
56,encrypt,0,1,7,0
57,emails,0,3,6,1
58,information,0,5,11,1
59,Encryption,0,3,10,1
60,used,0,0,4,0
61,sole,0,2,4,0
62,province,0,3,8,1
63,geeks,0,2,5,0
64,mathematicians,0,6,14,1
65,lot,0,1,3,0
66,changed,0,0,7,0
67,recent,0,2,6,0
68,years,0,2,5,0
69,particular,0,4,10,1
70,various,0,4,7,1
71,publicly,0,2,8,0
72,available,0,5,9,1
73,tools,0,2,5,0
74,taken,0,2,5,0
75,rocket,0,2,6,0
76,science,0,3,7,1
77,encrypting,0,2,10,0
78,decrypting,0,2,10,0
79,email,0,3,5,1
80,files,0,0,5,0
81,GPG,0,0,3,0
82,Mail,0,2,4,0
83,example,0,3,7,1
84,open,0,2,4,0
85,source,0,3,6,1
86,plug,0,1,4,0
87,Apple,0,2,5,0
88,Mail,0,2,4,0
89,program,0,2,7,0
90,makes,0,0,5,0
91,easy,1,2,4,0
92,encrypt,0,1,7,0
93,decrypt,0,1,7,0
94,sign,0,1,4,0
95,verify,0,2,6,0
96,emails,0,3,6,1
97,using,0,2,5,0
98,OpenPGP,0,2,7,0
99,standard,0,2,8,0
100,protecting,0,3,10,1
101,files,0,0,5,0
102,newer,0,2,5,0
103,versions,0,3,8,1
104,Apple,0,2,5,0
105,OS,0,1,2,0
106,operating,0,4,9,1
107,system,0,1,6,0
108,come,0,2,4,0
109,FileVault,0,4,9,1
110,program,0,2,7,0
111,encrypts,0,1,8,0
112,hard,-1,1,4,0
113,drive,0,2,5,0
114,computer,0,3,8,1
115,running,0,2,7,0
116,Microsoft,0,3,9,1
117,Windows,0,2,7,0
118,similar,0,3,7,1
119,program,0,2,7,0
120,software,0,3,8,1
121,scramble,-1,2,8,0
122,data,0,2,4,0
123,protect,1,2,7,0
124,government,0,3,10,1
125,authorities,0,0,11,0
126,demanding,0,3,9,1
127,encryption,0,3,10,1
128,key,0,1,3,0
129,Regulation,0,5,10,1
130,Investigatory,0,5,13,1
131,Powers,0,2,6,0
132,Act,0,1,3,0
133,2000,0,0,4,0
134,aficionados,0,6,11,1
135,recommend,1,3,9,1
136,TrueCrypt,0,2,9,0
137,program,0,2,7,0
138,interesting,1,4,11,1
139,facilities,0,0,10,0
140,might,0,1,5,0
141,useful,0,3,6,1
142,David,0,2,5,0
143,Miranda,0,3,7,1
144,explains,0,3,8,1
145,John,0,1,4,0
146,Naughton,0,3,8,1
147,article,0,3,7,1
148,Guardian,0,4,8,1
149,Backup,0,2,6,0
150,data,0,2,4,0
151,One,0,2,3,0
152,basic,0,2,5,0
153,yet,0,1,3,0
154,often,0,2,5,0
155,overlooked,0,0,10,0
156,data,0,2,4,0
157,protection,1,4,10,1
158,tips,0,1,4,0
159,backing,0,2,7,0
160,data,0,2,4,0
161,Basically,0,3,9,1
162,creates,0,0,7,0
163,duplicate,0,4,9,1
164,copy,0,1,4,0
165,data,0,2,4,0
166,device,0,3,6,1
167,lost,-1,1,4,0
168,stolen,-1,2,6,0
169,compromised,0,0,11,0
170,also,0,2,4,0
171,lose,-1,2,4,0
172,important,1,3,9,1
173,information,0,5,11,1
174,U,0,1,1,0
175,Chamber,0,2,7,0
176,Commerce,0,3,8,1
177,insurance,0,4,9,1
178,company,0,2,7,0
179,Nationwide,0,5,10,1
180,points,0,2,6,0
181,According,0,3,9,1
182,Nationwide,0,5,10,1
183,68,0,0,2,0
184,small,0,1,5,0
185,businesses,0,0,10,0
186,disaster,-1,3,8,1
187,recovery,1,3,8,1
188,plan,0,1,4,0
189,problem,-1,2,7,0
190,longer,0,2,6,0
191,takes,0,0,5,0
192,restore,0,3,7,1
193,data,0,2,4,0
194,money,0,2,5,0
195,lose,-1,2,4,0
196,Gartner,0,2,7,0
197,found,0,2,5,0
198,downtime,0,3,8,1
199,cost,0,1,4,0
200,companies,0,0,9,0
201,much,0,1,4,0
202,300,0,0,3,0
203,000,0,0,3,0
204,hour,0,2,4,0
205,cloud,0,2,5,0
206,provides,0,0,8,0
207,viable,0,3,6,1
208,backup,0,2,6,0
209,option,0,3,6,1
210,use,0,2,3,0
211,sound,0,2,5,0
212,security,0,3,8,1
213,practices,0,0,9,0
214,making,0,2,6,0
215,use,0,2,3,0
216,cloud,0,2,5,0
217,provide,0,3,7,1
218,ideal,1,3,5,1
219,solution,0,4,8,1
220,backing,0,2,7,0
221,data,0,2,4,0
222,Since,0,2,5,0
223,data,0,2,4,0
224,stored,0,0,6,0
225,local,0,2,5,0
226,device,0,3,6,1
227,easily,0,3,6,1
228,accessible,1,4,10,1
229,even,0,2,4,0
230,hardware,0,3,8,1
231,becomes,0,0,7,0
232,compromised,0,0,11,0
233,Cloud,0,2,5,0
234,storage,0,3,7,1
235,data,0,2,4,0
236,kept,0,1,4,0
237,offsite,0,3,7,1
238,provider,0,3,8,1
239,guarantee,1,5,9,1
240,adequate,1,5,8,1
241,disaster,-1,3,8,1
242,recovery,1,3,8,1
243,according,0,3,9,1
244,post,0,1,4,0
245,TechRadar,0,3,9,1
246,Twitter,0,2,7,0
247,techradar,0,3,9,1
248,Anti,0,2,4,0
249,malware,0,3,7,1
250,protection,1,4,10,1
251,must,0,1,4,0
252,Scammers,0,2,8,0
253,sneaky,-1,2,6,0
254,sometimes,0,0,9,0
255,malware,0,3,7,1
256,cleverly,1,2,8,0
257,disguised,0,0,9,0
258,email,0,3,5,1
259,friend,0,2,6,0
260,useful,0,3,6,1
261,website,0,3,7,1
262,Malware,0,3,7,1
263,serious,0,4,7,1
264,issue,-1,3,5,1
265,plaguing,0,3,8,1
266,computer,0,3,8,1
267,users,0,2,5,0
268,known,0,1,5,0
269,cropping,0,2,8,0
270,inconspicuous,0,6,13,1
271,places,0,0,6,0
272,unbeknownst,0,3,11,1
273,users,0,2,5,0
274,Anti,0,2,4,0
275,malware,0,3,7,1
276,protection,1,4,10,1
277,essential,0,4,9,1
278,laying,0,2,6,0
279,foundation,0,5,10,1
280,security,0,3,8,1
281,devices,0,0,7,0
282,Malware,0,3,7,1
283,short,0,1,5,0
284,malicious,-1,5,9,1
285,software,0,3,8,1
286,software,0,3,8,1
287,designed,0,0,8,0
288,infiltrate,0,4,10,1
289,damage,-1,3,6,1
290,computer,0,3,8,1
291,without,0,3,7,1
292,consent,0,2,7,0
293,Malware,0,3,7,1
294,includes,0,0,8,0
295,computer,0,3,8,1
296,viruses,0,0,7,0
297,worms,0,1,5,0
298,trojan,0,2,6,0
299,horses,0,0,6,0
300,spyware,0,2,7,0
301,scareware,0,4,9,1
302,present,0,2,7,0
303,websites,0,0,8,0
304,emails,0,3,6,1
305,hidden,0,2,6,0
306,downloadable,0,5,12,1
307,files,0,0,5,0
308,photos,0,2,6,0
309,videos,0,3,6,1
310,freeware,0,4,8,1
311,shareware,0,4,9,1
312,However,0,3,7,1
313,noted,0,0,5,0
314,websites,0,0,8,0
315,shareware,0,4,9,1
316,freeware,0,4,8,1
317,applications,0,5,12,1
318,come,0,2,4,0
319,malware,0,3,7,1
320,avoid,0,3,5,1
321,getting,0,2,7,0
322,infected,-1,0,8,0
323,run,0,1,3,0
324,good,0,2,4,0
325,anti,0,2,4,0
326,virus,-1,2,5,0
327,protection,1,4,10,1
328,program,0,2,7,0
329,periodic,0,4,8,1
330,scans,0,1,5,0
331,spyware,0,2,7,0
332,avoid,0,3,5,1
333,clicking,0,2,8,0
334,suspicious,-1,5,10,1
335,email,0,3,5,1
336,links,0,1,5,0
337,websites,0,0,8,0
338,scammers,0,2,8,0
339,sneaky,-1,2,6,0
340,sometimes,0,0,9,0
341,malware,0,3,7,1
342,cleverly,1,2,8,0
343,disguised,0,0,9,0
344,email,0,3,5,1
345,friend,0,2,6,0
346,useful,0,3,6,1
347,website,0,3,7,1
348,Even,0,2,4,0
349,cautious,0,5,8,1
350,web,0,1,3,0
351,surfers,0,2,7,0
352,likely,0,2,6,0
353,pick,0,1,4,0
354,infection,-1,4,9,1
355,point,0,2,5,0
356,explains,0,3,8,1
357,Clark,0,1,5,0
358,Howard,0,2,6,0
359,Twitter,0,2,7,0
360,ClarkHoward,0,3,11,1
361,Fig,0,1,3,0
362,Protect,1,2,7,0
363,Computer,0,3,8,1
364,Viruses,0,0,7,0
365,Make,0,2,4,0
366,old,0,1,3,0
367,computers,0,3,9,1
368,hard,-1,1,4,0
369,drives,0,0,6,0
370,unreadable,-1,5,10,1
371,Much,0,1,4,0
372,information,0,5,11,1
373,gleaned,0,0,7,0
374,old,0,1,3,0
375,computing,0,3,9,1
376,devices,0,0,7,0
377,protect,1,2,7,0
378,personal,0,3,8,1
379,data,0,2,4,0
