,Token,Score,Syllable_Count,Word_length,IsComplex
0,Finding,0,2,7,0
1,ways,0,1,4,0
2,make,0,2,4,0
3,using,0,2,5,0
4,Internet,0,3,8,1
5,easier,1,4,6,1
6,something,0,3,9,1
7,modern,1,2,6,0
8,consumers,0,3,9,1
9,passionate,1,5,10,1
10,Since,0,2,5,0
11,rise,0,2,4,0
12,AI,0,2,2,0
13,infused,0,0,7,0
14,technology,0,3,10,1
15,like,0,2,4,0
16,Amazon,0,3,6,1
17,Alexa,0,3,5,1
18,Apple,0,2,5,0
19,Siri,0,2,4,0
20,voice,0,3,5,1
21,search,0,2,6,0
22,grown,0,1,5,0
23,increasingly,0,4,12,1
24,popular,1,3,7,1
25,fact,0,1,4,0
26,nearly,0,2,6,0
27,60,0,0,2,0
28,percent,0,2,7,0
29,people,0,3,6,1
30,world,0,1,5,0
31,use,0,2,3,0
32,voice,0,3,5,1
33,search,0,2,6,0
34,least,0,2,5,0
35,day,0,1,3,0
36,technology,0,3,10,1
37,grows,0,1,5,0
38,popular,1,3,7,1
39,complex,-1,2,7,0
40,passing,0,2,7,0
41,day,0,1,3,0
42,business,0,3,8,1
43,owners,0,2,6,0
44,starting,0,2,8,0
45,take,0,2,4,0
46,notice,0,3,6,1
47,voice,0,3,5,1
48,search,0,2,6,0
49,Capitalizing,0,5,12,1
50,trend,0,1,5,0
51,possible,0,3,8,1
52,optimizing,0,4,10,1
53,content,0,2,7,0
54,website,0,3,7,1
55,voice,0,3,5,1
56,search,0,2,6,0
57,trying,0,1,6,0
58,make,0,2,4,0
59,website,0,3,7,1
60,voice,0,3,5,1
61,search,0,2,6,0
62,friendly,1,2,8,0
63,check,0,1,5,0
64,following,0,3,9,1
65,tips,0,1,4,0
66,1,0,0,1,0
67,Accuracy,0,3,8,1
68,voice,0,3,5,1
69,search,0,2,6,0
70,past,0,1,4,0
71,wanted,0,0,6,0
72,relevant,0,3,8,1
73,answers,0,2,7,0
74,voice,0,3,5,1
75,recognition,0,5,11,1
76,technology,0,3,10,1
77,well,0,1,4,0
78,good,0,2,4,0
79,luck,0,1,4,0
80,today,0,2,5,0
81,machine,0,3,7,1
82,learning,0,3,8,1
83,systems,0,1,7,0
84,compete,0,3,7,1
85,people,0,3,6,1
86,terms,0,1,5,0
87,accuracy,0,3,8,1
88,Google,0,3,6,1
89,voice,0,3,5,1
90,recognition,0,5,11,1
91,Google,0,3,6,1
92,able,0,2,4,0
93,understand,0,3,10,1
94,human,0,2,5,0
95,language,0,4,8,1
96,95,0,0,2,0
97,percent,0,2,7,0
98,accuracy,0,3,8,1
99,improvements,1,4,12,1
100,mean,0,2,4,0
101,trust,1,1,5,0
102,good,0,2,4,0
103,voice,0,3,5,1
104,systems,0,1,7,0
105,match,0,1,5,0
106,customers,0,3,9,1
107,right,0,1,5,0
108,products,0,2,8,0
109,services,0,0,8,0
110,information,0,5,11,1
111,increasing,0,4,10,1
112,degrees,0,0,7,0
113,nuance,0,3,6,1
114,leading,1,3,7,1
115,businesses,0,0,10,0
116,already,0,3,7,1
117,set,0,1,3,0
118,customer,0,3,8,1
119,expectations,0,5,12,1
120,delivery,0,3,8,1
