,Token,Score,Syllable_Count,Word_length,IsComplex
0,TECHNOLOGY,0,3,10,1
1,playing,0,2,7,0
2,dominant,0,3,8,1
3,role,0,2,4,0
4,human,0,2,5,0
5,life,0,2,4,0
6,daily,0,2,5,0
7,lifestyle,0,3,9,1
8,technology,0,3,10,1
9,used,0,0,4,0
10,every,0,2,5,0
11,place,0,2,5,0
12,human,0,2,5,0
13,beings,0,2,6,0
14,present,0,2,7,0
15,forecast,0,3,8,1
16,future,0,3,6,1
17,technologies,0,0,12,0
18,fact,0,1,4,0
19,technology,0,3,10,1
20,single,0,2,6,0
21,immutable,0,4,9,1
22,piece,0,3,5,1
23,hardware,0,3,8,1
24,orbit,0,2,5,0
25,chemistry,0,2,9,0
26,simply,0,1,6,0
27,knowledge,0,3,9,1
28,physical,0,2,8,0
29,relationships,0,5,13,1
30,systematically,0,4,14,1
31,applied,0,0,7,0
32,useful,0,3,6,1
33,arts,0,1,4,0
34,knowledge,0,3,9,1
35,vary,0,1,4,0
36,continuously,0,5,12,1
37,time,0,2,4,0
38,range,0,2,5,0
39,basic,0,2,5,0
40,phenomenon,0,4,10,1
41,applied,0,0,7,0
42,end,0,1,3,0
43,product,0,2,7,0
44,device,0,3,6,1
45,production,0,4,10,1
46,machine,0,3,7,1
47,mature,1,3,6,1
48,operating,0,4,9,1
49,system,0,1,6,0
50,Even,0,2,4,0
51,time,0,2,4,0
52,passes,0,0,6,0
53,performance,0,4,11,1
54,characteristics,0,5,15,1
55,machine,0,3,7,1
56,product,0,2,7,0
57,operating,0,4,9,1
58,system,0,1,6,0
59,normally,0,2,8,0
60,improved,1,0,8,0
61,small,0,1,5,0
62,continuous,0,5,10,1
63,increments,0,3,10,1
64,time,0,2,4,0
65,Advance,0,3,7,1
66,technology,0,3,10,1
67,usually,0,3,7,1
68,nothing,0,2,7,0
69,accumulation,0,6,12,1
70,small,0,1,5,0
71,advances,0,0,8,0
72,worth,0,1,5,0
73,introducing,0,4,11,1
74,individually,0,5,12,1
75,make,0,2,4,0
76,significant,1,4,11,1
77,change,0,2,6,0
78,total,0,2,5,0
79,technology,0,3,10,1
80,Forecast,0,3,8,1
81,future,0,3,6,1
82,technologies,0,0,12,0
83,matter,0,2,6,0
84,accurate,1,4,8,1
85,unless,0,2,6,0
86,eventually,0,4,10,1
87,influence,0,4,9,1
88,action,0,3,6,1
89,Blackcoffer,0,3,11,1
90,Insights,0,2,8,0
91,23,0,0,2,0
92,Arvind,0,2,6,0
93,Pal,0,1,3,0
94,PACIFIC,0,3,7,1
95,SCHOOL,0,2,6,0
96,ENGINEERING,0,5,11,1
97,SURAT,0,2,5,0
