,Token,Score,Syllable_Count,Word_length,IsComplex
0,Every,0,2,5,0
1,prophet,0,2,7,0
2,doom,-1,2,4,0
3,unless,0,2,6,0
4,also,0,2,4,0
5,happens,0,2,7,0
6,psychopath,0,2,10,0
7,hopes,0,0,5,0
8,predictions,0,4,11,1
9,borne,0,2,5,0
10,also,0,2,4,0
11,true,0,2,4,0
12,epidemiologists,0,7,15,1
13,virologists,0,4,11,1
14,warning,-1,2,7,0
15,world,0,1,5,0
16,since,0,2,5,0
17,January,0,3,7,1
18,novel,0,2,5,0
19,SARS,0,1,4,0
20,CoV,0,1,3,0
21,2,0,0,1,0
22,virus,-1,2,5,0
23,poses,0,0,5,0
24,severe,-1,3,6,1
25,threat,-1,2,6,0
26,public,0,2,6,0
27,health,0,2,6,0
28,around,0,3,6,1
29,world,0,1,5,0
30,name,0,2,4,0
31,Coronavirus,0,5,11,1
32,vicious,-1,4,7,1
33,enough,0,3,6,1
34,terrify,0,2,7,0
35,otherwise,0,4,9,1
36,fearless,1,3,8,1
37,face,0,2,4,0
38,ball,0,1,4,0
39,game,0,2,4,0
40,Tracing,0,2,7,0
41,back,0,1,4,0
42,origins,0,3,7,1
43,pandemic,0,3,8,1
44,find,0,1,4,0
45,coronavirus,0,5,11,1
46,emerged,0,0,7,0
47,Wuhan,0,2,5,0
48,city,0,1,4,0
49,11,0,0,2,0
50,million,0,3,7,1
51,people,0,3,6,1
52,China,0,2,5,0
53,Hubei,0,3,5,1
54,province,0,3,8,1
55,late,0,2,4,0
56,2019,0,0,4,0
57,Cases,0,0,5,0
58,disease,0,4,7,1
59,grew,0,1,4,0
60,several,0,3,7,1
61,thousand,0,3,8,1
62,per,0,1,3,0
63,day,0,1,3,0
64,China,0,2,5,0
65,late,0,2,4,0
66,January,0,3,7,1
67,early,0,2,5,0
68,February,0,3,8,1
69,peak,0,2,4,0
70,epidemic,-1,4,8,1
71,number,0,2,6,0
72,infections,-1,4,10,1
73,appearing,0,4,9,1
74,day,0,1,3,0
75,since,0,2,5,0
76,plummeted,0,0,9,0
77,China,0,2,5,0
78,making,0,2,6,0
79,outbreak,-1,4,8,1
80,global,0,2,6,0
81,pandemic,0,3,8,1
82,engulfed,0,0,8,0
83,214,0,0,3,0
84,countries,0,0,9,0
85,around,0,3,6,1
86,globe,0,2,5,0
87,Besides,0,0,7,0
88,health,0,2,6,0
89,crisis,-1,2,6,0
90,virus,-1,2,5,0
91,already,0,3,7,1
92,brought,0,2,7,0
93,major,0,2,5,0
94,downfall,-1,2,8,0
95,world,0,1,5,0
96,economy,0,3,7,1
97,IMF,0,1,3,0
98,estimating,0,4,10,1
99,coronavirus,0,5,11,1
100,induced,0,0,7,0
101,global,0,2,6,0
102,downturn,-1,2,8,0
103,way,0,1,3,0
104,worse,-1,2,5,0
105,financial,0,4,9,1
106,crisis,-1,2,6,0
107,coronavirus,0,5,11,1
108,spreads,0,2,7,0
109,across,0,2,6,0
110,globe,0,2,5,0
111,appears,0,3,7,1
112,setting,0,2,7,0
113,devastating,-1,4,11,1
114,feedback,0,3,8,1
115,loop,0,2,4,0
116,another,0,3,7,1
117,gravest,0,2,7,0
118,forces,0,0,6,0
119,time,0,2,4,0
120,economic,0,4,8,1
121,inequality,-1,5,10,1
122,Research,0,3,8,1
123,suggests,0,2,8,0
124,lower,0,2,5,0
125,economic,0,4,8,1
126,strata,0,2,6,0
127,likelier,0,4,8,1
128,catch,0,1,5,0
129,disease,0,4,7,1
130,owing,0,2,5,0
131,inability,-1,4,9,1
132,meet,0,2,4,0
133,rising,0,2,6,0
134,drug,0,1,4,0
135,prices,0,0,6,0
136,According,0,3,9,1
137,International,0,6,13,1
138,Labour,0,3,6,1
139,Organization,0,6,12,1
140,ILO,0,2,3,0
141,COVID,0,2,5,0
142,19,0,0,2,0
143,far,0,1,3,0
144,reaching,0,3,8,1
145,impacts,0,2,7,0
146,labor,0,2,5,0
147,market,0,2,6,0
148,outcomes,0,0,8,0
149,Beyond,0,2,6,0
150,urgent,-1,2,6,0
151,concerns,-1,2,8,0
152,health,0,2,6,0
153,workers,0,2,7,0
154,families,0,0,8,0
155,virus,-1,2,5,0
156,subsequent,0,4,10,1
157,economic,0,4,8,1
158,shocks,0,1,6,0
159,impact,0,2,6,0
160,world,0,1,5,0
161,work,1,1,4,0
162,across,0,2,6,0
163,key,0,1,3,0
164,dimensions,0,4,10,1
165,Initial,0,4,7,1
166,ILO,0,2,3,0
167,estimates,0,0,9,0
168,point,0,2,5,0
169,significant,1,4,11,1
