,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID19,0,2,7,0
1,affects,0,2,7,0
2,world,0,1,5,0
3,every,0,2,5,0
4,life,0,2,4,0
5,emotional,0,5,9,1
6,social,0,3,6,1
7,philosophy,0,3,10,1
8,physical,0,2,8,0
9,Economical,1,5,10,1
10,thread,0,2,6,0
11,life,0,2,4,0
12,known,0,1,5,0
13,present,0,2,7,0
14,part,0,1,4,0
15,life,0,2,4,0
16,tell,0,1,4,0
17,daily,0,2,5,0
18,base,0,2,4,0
19,world,0,1,5,0
20,stop,0,1,4,0
21,present,0,2,7,0
22,move,0,2,4,0
23,lose,-1,2,4,0
24,others,0,2,6,0
25,like,0,2,4,0
26,story,0,1,5,0
27,tells,0,1,5,0
28,listen,0,2,6,0
29,childhood,0,3,9,1
30,dirty,-1,1,5,0
31,fish,0,1,4,0
32,harm,-1,1,4,0
33,see,0,2,3,0
34,options,0,3,7,1
35,move,0,2,4,0
36,tell,0,1,4,0
37,work,1,1,4,0
38,working,0,2,7,0
39,3months,0,1,7,0
40,earlier,0,4,7,1
41,till,0,1,4,0
42,hope,0,2,4,0
43,living,0,2,6,0
44,make,0,2,4,0
45,invention,0,4,9,1
46,challenge,0,3,9,1
47,world,0,1,5,0
48,biggest,0,2,7,0
49,challenge,0,3,9,1
50,upto,0,2,4,0
51,time,0,2,4,0
52,stop,0,1,4,0
53,work,1,1,4,0
54,working,0,2,7,0
55,eailer,0,4,6,1
56,mean,0,2,4,0
57,essential,0,4,9,1
58,work,1,1,4,0
59,defince,0,3,7,1
60,throory,0,2,7,0
61,sanjvini,0,3,8,1
62,life,0,2,4,0
63,going,0,2,5,0
64,affect,0,2,6,0
65,world,0,1,5,0
66,work,1,1,4,0
67,mantion,0,3,7,1
68,understand,0,3,10,1
69,current,0,2,7,0
70,sanrio,0,3,6,1
71,wold,0,1,4,0
72,like,0,2,4,0
73,share,0,2,5,0
74,personal,0,3,8,1
75,life,0,2,4,0
76,experiences,0,0,11,0
77,belong,0,2,6,0
78,small,0,1,5,0
79,beautiful,1,5,9,1
80,city,0,1,4,0
81,far,0,1,3,0
82,250,0,0,3,0
83,km,0,0,2,0
84,india,0,3,5,1
85,capital,0,3,7,1
86,Delhi,0,2,5,0
87,story,0,1,5,0
88,today,0,2,5,0
89,city,0,1,4,0
90,mctah,0,1,5,0
91,complex,-1,2,7,0
92,big,0,1,3,0
93,metro,0,2,5,0
94,city,0,1,4,0
95,world,0,1,5,0
96,developed,0,0,9,0
97,nations,0,3,7,1
98,facings,0,2,7,0
99,problem,-1,2,7,0
100,covid,0,2,5,0
101,isolated,-1,0,8,0
102,face,0,2,4,0
103,city,0,1,4,0
104,ti,0,1,2,0
105,safe,1,2,4,0
106,problem,-1,2,7,0
107,tell,0,1,4,0
108,beautiful,1,5,9,1
109,stories,0,0,7,0
110,4week,0,2,5,0
111,earlier,0,4,7,1
112,lock,0,1,4,0
113,maid,0,2,4,0
114,came,0,2,4,0
115,work,1,1,4,0
116,home,0,2,4,0
117,mom,0,1,3,0
118,asked,0,0,5,0
119,stop,0,1,4,0
120,working,0,2,7,0
121,repided,0,0,7,0
122,beautiful,1,5,9,1
123,stop,0,1,4,0
124,working,0,2,7,0
125,going,0,2,5,0
126,take,0,2,4,0
127,care,0,2,4,0
128,family,0,2,6,0
129,directly,0,2,8,0
130,saying,0,2,6,0
131,moany,0,2,5,0
132,thing,0,1,5,0
