,Token,Score,Syllable_Count,Word_length,IsComplex
0,ever,0,2,4,0
1,wondered,0,0,8,0
2,common,0,2,6,0
3,Sir,0,1,3,0
4,Alex,0,2,4,0
5,Ferguson,0,3,8,1
6,Pep,1,1,3,0
7,Guardiola,0,5,9,1
8,Jose,0,2,4,0
9,Mourinho,0,4,8,1
10,know,0,1,4,0
11,might,0,1,5,0
12,look,0,2,4,0
13,lame,-1,2,4,0
14,question,0,4,8,1
15,especially,0,4,10,1
16,ardent,1,2,6,0
17,football,0,3,8,1
18,followers,0,3,9,1
19,instinct,0,2,8,0
20,answer,0,2,6,0
21,regarded,0,0,8,0
22,top,1,1,3,0
23,managers,0,3,8,1
24,football,0,3,8,1
25,universe,0,4,8,1
26,UCLwinners,0,3,10,1
27,given,0,2,5,0
28,closer,0,2,6,0
29,look,0,2,4,0
30,managers,0,3,8,1
31,great,1,2,5,0
32,came,0,2,4,0
33,careers,0,3,7,1
34,football,0,3,8,1
35,players,0,2,7,0
36,naïve,-1,2,5,0
37,observer,0,3,8,1
38,build,0,2,5,0
39,fallacy,-1,2,7,0
40,causation,0,5,9,1
41,correlation,0,5,11,1
42,great,1,2,5,0
43,career,0,3,6,1
44,football,0,3,8,1
45,player,0,2,6,0
46,go,0,1,2,0
47,become,0,3,6,1
48,great,1,2,5,0
49,football,0,3,8,1
50,manager,0,3,7,1
51,restricted,-1,0,10,0
52,football,0,3,8,1
53,Mike,0,2,4,0
54,Brearley,0,3,8,1
55,greatest,1,3,8,1
56,captains,0,3,8,1
57,history,0,2,7,0
58,cricket,0,2,7,0
59,author,0,3,6,1
60,book,0,2,4,0
61,art,0,1,3,0
62,captaincy,0,3,9,1
63,prolific,1,3,8,1
64,batsman,0,2,7,0
65,time,0,2,4,0
66,former,0,2,6,0
67,President,0,3,9,1
68,P,0,0,1,0
69,J,0,0,1,0
70,Abdul,0,2,5,0
71,Kalam,0,2,5,0
72,political,0,4,9,1
73,background,0,3,10,1
74,appointed,0,0,9,0
75,president,0,3,9,1
76,country,0,2,7,0
77,went,0,1,4,0
78,become,0,3,6,1
79,finest,1,2,6,0
80,presidents,0,3,10,1
81,country,0,2,7,0
82,ever,0,2,4,0
83,stated,0,0,6,0
84,confidence,1,4,10,1
85,great,1,2,5,0
