,Token,Score,Syllable_Count,Word_length,IsComplex
0,Climate,0,3,7,1
1,change,0,2,6,0
2,technological,0,5,13,1
3,advances,0,0,8,0
4,unprecedented,0,0,13,0
5,levels,0,2,6,0
6,inequality,-1,5,10,1
7,could,0,2,5,0
8,mean,0,2,4,0
9,global,0,2,6,0
10,disruption,-1,4,10,1
11,becomes,0,0,7,0
12,norm,0,1,4,0
13,coming,0,2,6,0
14,decades,0,0,7,0
15,changing,0,2,8,0
16,Read,0,2,4,0
17,discover,0,3,8,1
18,robot,0,2,5,0
19,Athena,0,3,6,1
20,found,0,2,5,0
21,future,0,3,6,1
22,topic,0,2,5,0
23,act,0,1,3,0
24,accordingly,0,3,11,1
25,family,0,2,6,0
26,organization,0,6,12,1
27,years,0,2,5,0
28,ahead,0,3,5,1
29,Make,0,2,4,0
30,notes,0,0,5,0
31,issues,-1,0,6,0
32,could,0,2,5,0
33,affect,0,2,6,0
34,go,0,1,2,0
35,foresight,1,3,9,1
36,recommend,1,3,9,1
37,view,0,2,4,0
38,slide,0,2,5,0
39,presentation,0,5,12,1
40,get,0,1,3,0
41,report,0,2,6,0
42,Speed,0,0,5,0
43,read,0,2,4,0
44,Athena,0,3,6,1
45,high,0,1,4,0
46,level,0,2,5,0
47,take,0,2,4,0
48,outs,0,2,4,0
49,left,0,1,4,0
50,slide,0,2,5,0
51,delve,0,2,5,0
52,deeper,0,3,6,1
53,findings,0,2,8,0
54,right,0,1,5,0
55,Analysis,0,3,8,1
56,detailed,0,0,8,0
57,explanation,0,5,11,1
58,graphics,0,2,8,0
59,used,0,0,4,0
60,presentation,0,5,12,1
61,please,0,3,6,1
62,click,0,1,5,0
63,outlooks,0,4,8,1
64,based,0,0,5,0
65,time,0,2,4,0
66,period,0,3,6,1
67,2020,0,0,4,0
68,2070,0,0,4,0
69,likely,0,2,6,0
70,happening,0,3,9,1
71,2025,0,0,4,0
72,95,0,0,2,0
73,confidence,1,4,10,1
74,level,0,2,5,0
75,unless,0,2,6,0
76,otherwise,0,4,9,1
77,stated,0,0,6,0
78,Please,0,3,6,1
79,contact,0,2,7,0
80,us,0,1,2,0
81,longer,0,2,6,0
82,term,0,1,4,0
83,outlooks,0,4,8,1
84,VIDEO,0,3,5,1
85,SUMMARY,0,2,7,0
86,read,0,2,4,0
87,video,0,3,5,1
88,summary,0,2,7,0
89,click,0,1,5,0
