,Token,Score,Syllable_Count,Word_length,IsComplex
0,AI,0,2,2,0
1,allows,0,2,6,0
2,training,0,3,8,1
3,go,0,1,2,0
4,naturalistic,0,5,12,1
5,simulations,0,5,11,1
6,simple,0,2,6,0
7,computer,0,3,8,1
8,driven,0,2,6,0
9,algorithms,0,3,10,1
10,cannot,0,2,6,0
11,advent,0,2,6,0
12,natural,0,3,7,1
13,speech,0,2,6,0
14,ability,0,3,7,1
15,AI,0,2,2,0
16,computer,0,3,8,1
17,draw,0,1,4,0
18,instantly,1,2,9,0
19,large,0,2,5,0
20,database,0,4,8,1
21,scenarios,0,4,9,1
22,means,0,2,5,0
23,response,0,3,8,1
24,questions,0,4,9,1
25,decisions,0,4,9,1
26,advice,0,3,6,1
27,trainee,0,4,7,1
28,challenge,0,3,9,1
29,humans,0,2,6,0
30,cannot,0,2,6,0
31,health,0,2,6,0
32,medicine,0,4,8,1
33,Health,0,2,6,0
34,monitoring,0,4,10,1
35,Wearable,0,4,8,1
36,health,0,2,6,0
37,trackers,0,2,8,0
38,like,0,2,4,0
39,FitBit,0,2,6,0
40,Apple,0,2,5,0
41,Garmin,0,2,6,0
42,others,0,2,6,0
43,monitor,0,3,7,1
44,health,0,2,6,0
45,rate,0,2,4,0
46,activity,0,3,8,1
47,levels,0,2,6,0
48,send,0,1,4,0
49,alerts,0,2,6,0
50,user,0,2,4,0
51,get,0,1,3,0
52,exercise,0,4,8,1
53,share,0,2,5,0
54,information,0,5,11,1
55,doctors,0,2,7,0
56,Technology,0,3,10,1
57,applications,0,5,12,1
58,apps,0,1,4,0
59,encourage,1,5,9,1
60,healthier,0,4,9,1
61,behavior,0,4,8,1
62,individuals,0,5,11,1
63,help,0,1,4,0
64,proactive,1,4,9,1
65,management,0,4,10,1
66,healthy,1,2,7,0
67,lifestyle,0,3,9,1
68,AI,0,2,2,0
69,increases,0,0,9,0
70,ability,0,3,7,1
71,healthcare,0,4,10,1
72,professionals,0,5,13,1
73,better,0,2,6,0
74,understand,0,3,10,1
75,day,0,1,3,0
76,day,0,1,3,0
77,patterns,0,2,8,0
78,needs,0,2,5,0
79,people,0,3,6,1
80,care,0,2,4,0
81,better,0,2,6,0
82,feedback,0,3,8,1
83,guidance,1,4,8,1
84,support,1,2,7,0
85,Medical,0,3,7,1
86,imaging,0,3,7,1
87,Machine,0,3,7,1
88,learning,0,3,8,1
89,algorithms,0,3,10,1
90,process,0,2,7,0
91,unimaginable,-1,6,12,1
92,amounts,0,3,7,1
93,information,0,5,11,1
94,blink,0,1,5,0
95,eye,0,2,3,0
96,provide,0,3,7,1
97,precision,0,4,9,1
98,humans,0,2,6,0
99,spotting,0,2,8,0
100,even,0,2,4,0
101,smallest,0,2,8,0
102,detail,0,3,6,1
103,medical,0,3,7,1
104,imaging,0,3,7,1
105,Blackford,0,2,9,0
106,Zebra,0,2,5,0
107,Enlitic,0,3,7,1
108,Lunit,0,2,5,0
109,company,0,2,7,0
110,Zebra,0,2,5,0
111,Medical,0,3,7,1
112,Vision,0,3,6,1
113,developed,0,0,9,0
114,platform,0,2,8,0
115,called,0,0,6,0
116,profound,1,3,8,1
117,analyzes,0,0,8,0
118,types,0,0,5,0
119,medical,0,3,7,1
120,imaging,0,3,7,1
121,reports,0,2,7,0
122,able,0,2,4,0
123,find,0,1,4,0
124,every,0,2,5,0
125,sign,0,1,4,0
126,potential,0,4,9,1
127,conditions,0,4,10,1
128,osteoporosis,0,6,12,1
129,aortic,0,3,6,1
130,aneurysms,0,3,9,1
131,90,0,0,2,0
132,accuracy,0,3,8,1
133,rate,0,2,4,0
134,Digital,0,3,7,1
135,consultation,0,5,12,1
136,eg,0,1,2,0
137,digital,0,3,7,1
138,health,0,2,6,0
139,firm,0,1,4,0
140,HealthTap,0,3,9,1
141,developed,0,0,9,0
142,Dr,0,0,2,0
143,AI,0,2,2,0
144,apps,0,1,4,0
145,like,0,2,4,0
146,Babylon,0,2,7,0
147,UK,0,1,2,0
148,use,0,2,3,0
