,Token,Score,Syllable_Count,Word_length,IsComplex
0,Coronavirus,0,5,11,1
1,disease,0,4,7,1
2,spread,0,2,6,0
3,humans,0,2,6,0
4,Coronavirus,0,5,11,1
5,affects,0,2,7,0
6,world,0,1,5,0
7,economy,0,3,7,1
8,Several,0,3,7,1
9,questions,0,4,9,1
10,come,0,2,4,0
11,mind,0,1,4,0
12,talk,0,1,4,0
13,Coronavirus,0,5,11,1
14,Coronavirus,0,5,11,1
15,disease,0,4,7,1
16,COVID,0,2,5,0
17,19,0,0,2,0
18,infectious,0,5,10,1
19,disease,0,4,7,1
20,caused,0,0,6,0
21,newly,0,1,5,0
22,discovered,0,0,10,0
23,coronavirus,0,5,11,1
24,type,0,1,4,0
25,virus,-1,2,5,0
26,creates,0,0,7,0
27,sickness,-1,2,8,0
28,humans,0,2,6,0
29,different,0,3,9,1
30,kinds,0,1,5,0
31,cause,0,3,5,1
32,disease,0,4,7,1
33,newly,0,1,5,0
34,identified,0,0,10,0
35,type,0,1,4,0
36,caused,0,0,6,0
37,recent,0,2,6,0
38,outbreak,-1,4,8,1
39,respiratory,0,4,11,1
40,illness,-1,2,7,0
41,called,0,0,6,0
42,COVID,0,2,5,0
43,19,0,0,2,0
44,COVID,0,2,5,0
45,19,0,0,2,0
46,virus,-1,2,5,0
47,spreads,0,2,7,0
48,primarily,0,3,9,1
49,droplets,0,2,8,0
50,saliva,0,3,6,1
51,discharge,0,3,9,1
52,nose,0,2,4,0
53,infected,-1,0,8,0
54,person,0,2,6,0
55,coughs,0,2,6,0
56,sneezes,0,0,7,0
57,Coronaviruses,0,0,13,0
58,vary,0,1,4,0
59,significantly,0,4,13,1
60,risk,-1,1,4,0
61,factors,0,2,7,0
62,kill,-1,1,4,0
63,30,0,0,2,0
64,infected,-1,0,8,0
65,relatively,0,4,10,1
66,harmless,1,2,8,0
67,common,0,2,6,0
68,cold,-1,1,4,0
69,Coronaviruses,0,0,13,0
70,cause,0,3,5,1
71,colds,0,1,5,0
72,major,0,2,5,0
73,symptoms,-1,1,8,0
74,fever,-1,2,5,0
75,sore,-1,2,4,0
76,throat,0,2,6,0
77,swollen,-1,2,7,0
78,adenoids,0,4,8,1
79,occurring,0,3,9,1
80,primarily,0,3,9,1
81,winter,0,2,6,0
82,early,0,2,5,0
83,spring,0,1,6,0
84,seasons,0,3,7,1
85,creates,0,0,7,0
86,much,0,1,4,0
87,chaos,-1,2,5,0
88,humans,0,2,6,0
89,also,0,2,4,0
90,affected,0,0,8,0
91,whole,0,2,5,0
92,human,0,2,5,0
93,diversity,0,3,9,1
94,also,0,2,4,0
95,creates,0,0,7,0
96,disturbance,-1,4,11,1
97,economy,0,3,7,1
98,economy,0,3,7,1
99,largest,0,2,7,0
100,system,0,1,6,0
101,trade,0,2,5,0
102,industry,0,2,8,0
103,wealth,0,2,6,0
104,country,0,2,7,0
105,made,0,2,4,0
106,used,0,0,4,0
107,economy,0,3,7,1
108,work,1,1,4,0
109,human,0,2,5,0
110,race,0,2,4,0
111,also,0,2,4,0
112,come,0,2,4,0
113,end,0,1,3,0
114,COVID,0,2,5,0
115,19,0,0,2,0
116,makes,0,0,5,0
117,humans,0,2,6,0
118,sick,-1,1,4,0
119,also,0,2,4,0
120,makes,0,0,5,0
121,economy,0,3,7,1
122,viral,0,2,5,0
123,whole,0,2,5,0
124,impact,0,2,6,0
125,coronavirus,0,5,11,1
126,firstly,0,1,7,0
127,affects,0,2,7,0
128,Economic,0,4,8,1
129,growth,0,1,6,0
130,factor,0,2,6,0
131,creates,0,0,7,0
132,nation,0,3,6,1
133,wealth,0,2,6,0
134,Economic,0,4,8,1
135,growth,0,1,6,0
136,creates,0,0,7,0
137,wealth,0,2,6,0
138,national,0,4,8,1
139,scale,0,2,5,0
140,government,0,3,10,1
141,form,0,1,4,0
142,taxation,0,4,8,1
143,redistributed,0,0,13,0
144,accordingly,0,3,11,1
145,services,0,0,8,0
146,communities,0,0,11,0
147,need,0,0,4,0
148,Due,0,2,3,0
149,COVID,0,2,5,0
150,19,0,0,2,0
151,industrial,0,4,10,1
152,production,0,4,10,1
153,sales,0,0,5,0
154,investment,0,3,10,1
155,fell,0,1,4,0
156,months,0,1,6,0
157,year,0,2,4,0
158,decline,-1,3,7,1
159,whole,0,2,5,0
160,economic,0,4,8,1
161,growth,0,1,6,0
162,slowdown,0,2,8,0
163,manufacturing,0,5,13,1
164,industries,0,0,10,0
165,hurt,0,1,4,0
166,countries,0,0,9,0
167,interlinked,0,0,11,0
168,terms,0,1,5,0
169,exports,0,2,7,0
170,e,0,1,1,0
171,Asia,0,3,4,1
172,Pacific,0,3,7,1
173,economies,0,0,9,0
174,sub,0,1,3,0
175,Saharan,0,3,7,1
176,economies,0,0,9,0
177,USA,0,2,3,0
178,economies,0,0,9,0
179,reduction,0,4,9,1
180,global,0,2,6,0
181,economic,0,4,8,1
182,activity,0,3,8,1
183,lowered,0,0,7,0
184,demand,0,2,6,0
185,oil,0,2,3,0
186,taking,0,2,6,0
187,oil,0,2,3,0
188,prices,0,0,6,0
189,multi,0,2,5,0
190,year,0,2,4,0
191,lows,0,1,4,0
192,happens,0,2,7,0
193,even,0,2,4,0
194,disagreement,-1,5,12,1
195,production,0,4,10,1
196,cuts,0,1,4,0
197,OPEC,0,2,4,0
198,allies,0,0,6,0
199,caused,0,0,6,0
200,plunge,0,2,6,0
201,oil,0,2,3,0
202,prices,0,0,6,0
203,Job,0,1,3,0
204,creation,0,4,8,1
205,employment,0,3,10,1
206,opportunities,0,0,13,0
207,factor,0,2,6,0
208,affected,0,0,8,0
209,coronavirus,0,5,11,1
210,often,0,2,5,0
211,requires,0,0,8,0
212,skills,0,1,6,0
213,wilful,0,2,6,0
214,hands,0,1,5,0
215,necessitate,0,5,11,1
216,long,0,1,4,0
217,term,0,1,4,0
218,business,0,3,8,1
219,Longer,0,2,6,0
220,lasting,0,2,7,0
221,intensive,0,4,9,1
222,outbreak,-1,4,8,1
223,half,0,1,4,0
224,growth,0,1,6,0
225,opportunities,0,0,13,0
226,2020,0,0,4,0
227,factories,0,0,9,0
228,suspend,0,2,7,0
229,activity,0,3,8,1
230,workers,0,2,7,0
231,stay,0,1,4,0
232,home,0,2,4,0
233,try,0,0,3,0
234,avoid,0,3,5,1
235,virus,-1,2,5,0
236,Poverty,-1,2,7,0
237,important,1,3,9,1
238,factor,0,2,6,0
239,diversely,0,3,9,1
240,affected,0,0,8,0
241,COVID,0,2,5,0
242,19,0,0,2,0
243,employment,0,3,10,1
244,everyone,0,4,8,1
245,ordered,0,0,7,0
246,stay,0,1,4,0
247,home,0,2,4,0
248,people,0,3,6,1
249,houses,0,0,6,0
250,automatically,0,6,13,1
251,poverty,-1,2,7,0
252,increase,0,4,8,1
253,complimenting,0,4,13,1
254,decrease,0,4,8,1
255,economic,0,4,8,1
256,growth,0,1,6,0
257,also,0,2,4,0
258,big,0,1,3,0
259,shift,0,1,5,0
260,stock,0,1,5,0
261,markets,0,2,7,0
262,shares,0,0,6,0
263,companies,0,0,9,0
264,bought,0,2,6,0
265,sold,0,1,4,0
266,affected,0,0,8,0
267,investments,0,3,11,1
268,investors,0,3,9,1
269,shareholders,0,4,12,1
270,individual,0,5,10,1
271,savings,1,2,7,0
272,accounts,0,3,8,1
273,Central,0,2,7,0
274,banks,0,1,5,0
275,countries,0,0,9,0
276,including,0,3,9,1
277,India,0,3,5,1
278,slashed,0,0,7,0
279,interest,0,3,8,1
280,rates,0,0,5,0
281,Supermarkets,0,4,12,1
282,online,0,3,6,1
283,delivery,0,3,8,1
284,services,0,0,8,0
285,also,0,2,4,0
286,huge,0,2,4,0
287,growth,0,1,6,0
288,demand,0,2,6,0
289,customers,0,3,9,1
290,stockpile,0,3,9,1
291,goods,0,2,5,0
292,hand,0,1,4,0
293,sanitizers,0,4,10,1
294,toilet,0,3,6,1
295,paper,0,2,5,0
296,rice,0,2,4,0
297,orange,0,3,6,1
298,juice,0,3,5,1
299,etc,0,1,3,0
300,pandemic,0,3,8,1
301,escalates,0,0,9,0
302,last,0,1,4,0
303,COVID,0,2,5,0
304,19,0,0,2,0
305,normally,0,2,8,0
306,called,0,0,6,0
307,coronavirus,0,5,11,1
308,affects,0,2,7,0
309,world,0,1,5,0
310,economy,0,3,7,1
