,Token,Score,Syllable_Count,Word_length,IsComplex
0,India,0,3,5,1
1,verge,0,2,5,0
2,unprecedented,0,0,13,0
3,economic,0,4,8,1
4,well,0,1,4,0
5,humanitarian,0,6,12,1
6,disaster,-1,3,8,1
7,COVID,0,2,5,0
8,19,0,0,2,0
9,India,0,3,5,1
10,facing,0,2,6,0
11,economic,0,4,8,1
12,pressure,0,3,8,1
13,due,0,2,3,0
14,coronavirus,0,5,11,1
15,outbreak,-1,4,8,1
16,outbreak,-1,4,8,1
17,resulted,0,0,8,0
18,steep,-1,2,5,0
19,slowdown,0,2,8,0
20,Indian,0,3,6,1
21,economy,0,3,7,1
22,whereby,0,2,7,0
23,India,0,3,5,1
24,GDP,0,0,3,0
25,reduced,0,0,7,0
26,4,0,0,1,0
27,5,0,0,1,0
28,seen,0,2,4,0
29,current,0,2,7,0
30,statistics,0,3,10,1
31,COVID,0,2,5,0
32,19,0,0,2,0
33,picture,0,3,7,1
34,Indian,0,3,6,1
35,economy,0,3,7,1
36,going,0,2,5,0
37,severe,-1,3,6,1
38,slowdown,0,2,8,0
39,top,1,1,3,0
40,multiple,0,3,8,1
41,problems,-1,2,8,0
42,hitting,0,2,7,0
43,world,0,1,5,0
44,work,1,1,4,0
45,directions,0,4,10,1
46,Companies,0,0,9,0
47,industries,0,0,10,0
48,finding,0,2,7,0
49,difficult,-1,3,9,1
50,sustain,0,3,7,1
51,environment,0,4,11,1
52,financial,0,4,9,1
53,crisis,-1,2,6,0
54,Industries,0,0,10,0
55,urged,0,0,5,0
56,take,0,2,4,0
57,certain,0,3,7,1
58,tough,1,2,5,0
59,decisions,0,4,9,1
60,like,0,2,4,0
61,layoff,-1,2,6,0
62,retrenchment,0,3,12,1
63,compulsive,-1,4,10,1
64,leave,0,3,5,1
65,without,0,3,7,1
66,pay,0,1,3,0
67,alternative,0,5,11,1
68,cost,0,1,4,0
69,effective,1,4,9,1
70,methods,0,2,7,0
71,sustain,0,3,7,1
72,present,0,2,7,0
73,economic,0,4,8,1
74,crisis,-1,2,6,0
75,like,0,2,4,0
76,cutting,0,2,7,0
77,salaries,0,0,8,0
78,handing,0,2,7,0
79,pink,0,1,4,0
80,slip,0,1,4,0
81,employees,0,0,9,0
82,opting,0,2,6,0
83,possible,0,3,8,1
84,sudden,0,2,6,0
85,outbreak,-1,4,8,1
86,presented,0,0,9,0
87,roadblocks,-1,3,10,1
88,Indian,0,3,6,1
89,workforce,0,3,9,1
90,especially,0,4,10,1
91,daily,0,2,5,0
92,wage,0,2,4,0
93,contractual,0,4,11,1
94,workers,0,2,7,0
95,According,0,3,9,1
96,latest,0,2,6,0
97,economy,0,3,7,1
98,forecast,0,3,8,1
99,UN,0,1,2,0
100,probability,0,4,11,1
101,countries,0,0,9,0
102,entering,0,3,8,1
103,recession,-1,4,9,1
104,companies,0,0,9,0
105,going,0,2,5,0
106,bankrupt,-1,2,8,0
107,increased,0,0,9,0
108,India,0,3,5,1
109,likely,0,2,6,0
110,remain,0,3,6,1
111,decoupled,0,0,9,0
112,global,0,2,6,0
113,meltdown,-1,2,8,0
114,Lockdown,0,2,8,0
115,across,0,2,6,0
116,country,0,2,7,0
117,causing,0,3,7,1
118,significant,1,4,11,1
119,disruption,-1,4,10,1
120,across,0,2,6,0
121,multiple,0,3,8,1
122,sectors,0,2,7,0
123,including,0,3,9,1
124,manufacturing,0,5,13,1
125,tourism,0,3,7,1
126,aviation,0,5,8,1
127,real,0,2,4,0
128,estate,0,3,6,1
129,etc,0,1,3,0
130,worst,-1,1,5,0
131,affected,0,0,8,0
132,Temporary,0,3,9,1
133,lockdown,0,2,8,0
134,resulting,0,3,9,1
135,closing,0,2,7,0
136,shopping,0,2,8,0
137,malls,0,1,5,0
138,affected,0,0,8,0
139,Indian,0,3,6,1
140,economy,0,3,7,1
141,disastrous,-1,4,10,1
142,manner,0,2,6,0
143,adversely,0,3,9,1
144,result,0,2,6,0
145,consumption,0,4,11,1
146,essential,0,4,9,1
147,items,0,2,5,0
148,reduced,0,0,7,0
149,turn,0,1,4,0
150,given,0,2,5,0
151,terrible,-1,3,8,1
152,blow,0,1,4,0
153,retail,0,3,6,1
154,sector,0,2,6,0
155,According,0,3,9,1
156,statistics,0,3,10,1
157,Economic,0,4,8,1
158,Times,0,0,5,0
159,India,0,3,5,1
160,live,0,2,4,0
161,event,0,2,5,0
162,industries,0,0,10,0
163,seen,0,2,4,0
164,estimated,0,0,9,0
165,loss,-1,1,4,0
166,3000,0,0,4,0
167,crores,0,0,6,0
168,number,0,2,6,0
169,young,0,2,5,0
170,startups,0,2,8,0
171,affected,0,0,8,0
172,funding,0,2,7,0
173,fallen,-1,2,6,0
174,would,0,2,5,0
175,lack,-1,1,4,0
176,investors,0,3,9,1
177,market,0,2,6,0
178,disruption,-1,4,10,1
179,economy,0,3,7,1
180,much,0,1,4,0
181,starker,0,2,7,0
182,alarming,-1,3,8,1
183,global,0,2,6,0
184,financial,0,4,9,1
185,crisis,-1,2,6,0
186,2008,0,0,4,0
187,hit,0,1,3,0
188,Indian,0,3,6,1
189,financial,0,4,9,1
190,sector,0,2,6,0
191,Besides,0,0,7,0
192,back,0,1,4,0
193,2008,0,0,4,0
194,Indian,0,3,6,1
195,economy,0,3,7,1
196,much,0,1,4,0
197,better,0,2,6,0
198,placed,0,0,6,0
199,handle,0,2,6,0
200,crisis,-1,2,6,0
201,According,0,3,9,1
202,data,0,2,4,0
203,2019,0,0,4,0
204,GST,0,0,3,0
205,collection,0,4,10,1
206,expected,0,0,8,0
207,approximately,0,5,13,1
208,7,0,0,1,0
209,4,0,0,1,0
210,lakh,0,1,4,0
211,crore,0,2,5,0
212,government,0,3,10,1
213,able,0,2,4,0
214,collect,0,2,7,0
215,total,0,2,5,0
216,5,0,0,1,0
217,8,0,0,1,0
218,lakh,0,1,4,0
219,crore,0,2,5,0
220,total,0,2,5,0
221,loss,-1,1,4,0
222,1,0,0,1,0
223,6,0,0,1,0
224,lakh,0,1,4,0
225,crore,0,2,5,0
226,government,0,3,10,1
227,also,0,2,4,0
228,faced,0,0,5,0
229,setback,-1,2,7,0
230,income,0,3,6,1
231,tax,0,1,3,0
232,sector,0,2,6,0
233,expected,0,0,8,0
234,revenue,0,4,7,1
235,collected,0,0,9,0
236,estimated,0,0,9,0
237,5,0,0,1,0
238,2,0,0,1,0
239,lakh,0,1,4,0
240,crore,0,2,5,0
241,government,0,3,10,1
242,faced,0,0,5,0
243,shortfall,0,2,9,0
244,50,0,0,2,0
245,000,0,0,3,0
246,crores,0,0,6,0
247,discrepancies,0,0,13,0
248,resulted,0,0,8,0
249,insufficient,-1,5,12,1
250,funds,0,1,5,0
251,government,0,3,10,1
252,Clearly,0,2,7,0
253,government,0,3,10,1
254,sufficient,1,4,10,1
255,funds,0,1,5,0
256,provide,0,3,7,1
257,relief,1,3,6,1
258,people,0,3,6,1
259,mainly,0,2,6,0
260,labor,0,2,5,0
261,class,0,1,5,0
262,contractual,0,4,11,1
263,workers,0,2,7,0
264,people,0,3,6,1
265,working,0,2,7,0
266,basis,0,2,5,0
267,daily,0,2,5,0
268,wages,0,0,5,0
269,major,0,2,5,0
270,industries,0,0,10,0
271,whose,0,2,5,0
272,figures,0,0,7,0
273,losses,-1,0,6,0
274,alarming,-1,3,8,1
275,Hospitality,0,4,11,1
276,tourism,0,3,7,1
277,industry,0,2,8,0
278,employs,0,2,7,0
279,approx,0,2,6,0
280,4,0,0,1,0
281,crore,0,2,5,0
282,people,0,3,6,1
283,next,0,1,4,0
284,10,0,0,2,0
285,12,0,0,2,0
286,months,0,1,6,0
287,expects,0,2,7,0
288,12,0,0,2,0
289,lakh,0,1,4,0
290,job,0,1,3,0
291,losses,-1,0,6,0
292,act,0,1,3,0
293,major,0,2,5,0
294,factor,0,2,6,0
295,revenue,0,4,7,1
296,lo,0,1,2,0
297,revenue,0,4,7,1
298,losses,-1,0,6,0
299,11,0,0,2,0
300,000,0,0,3,0
301,crores,0,0,6,0
302,aviation,0,5,8,1
303,industry,0,2,8,0
304,worth,0,1,5,0
305,2,0,0,1,0
306,2,0,0,1,0
307,lakh,0,1,4,0
308,crore,0,2,5,0
309,employing,0,3,9,1
310,3,0,0,1,0
311,5,0,0,1,0
312,lakh,0,1,4,0
313,people,0,3,6,1
314,expect,0,2,6,0
315,revenue,0,4,7,1
316,loss,-1,1,4,0
317,4,0,0,1,0
318,200,0,0,3,0
319,crores,0,0,6,0
320,April,0,2,5,0
321,June,0,2,4,0
322,India,0,3,5,1
323,retail,0,3,6,1
324,industry,0,2,8,0
