,Token,Score,Syllable_Count,Word_length,IsComplex
0,corona,0,3,6,1
1,outbreak,-1,4,8,1
2,hit,0,1,3,0
3,us,0,1,2,0
4,hard,-1,1,4,0
5,world,0,1,5,0
6,economy,0,3,7,1
7,suddenly,0,2,8,0
8,coming,0,2,6,0
9,standstill,-1,2,10,0
10,future,0,3,6,1
11,seems,0,2,5,0
12,uncertain,-1,4,9,1
13,pandemic,0,3,8,1
14,shown,0,1,5,0
15,worst,-1,1,5,0
16,effect,0,2,6,0
17,developed,0,0,9,0
18,countries,0,0,9,0
19,following,0,3,9,1
20,figure,0,3,6,1
21,depicts,0,2,7,0
22,affected,0,0,8,0
23,countries,0,0,9,0
24,March,0,1,5,0
25,31,0,0,2,0
26,2020,0,0,4,0
27,Source,0,3,6,1
28,However,0,3,7,1
29,cases,0,0,5,0
30,India,0,3,5,1
31,low,0,1,3,0
32,total,0,2,5,0
33,active,0,3,6,1
34,cases,0,0,5,0
35,1,0,0,1,0
36,500,0,0,3,0
37,1st,0,0,3,0
38,April,0,2,5,0
39,2020,0,0,4,0
40,low,0,1,3,0
41,number,0,2,6,0
42,tests,0,1,5,0
43,performed,0,0,9,0
44,remains,0,3,7,1
45,big,0,1,3,0
46,issue,-1,3,5,1
47,concern,-1,2,7,0
48,following,0,3,9,1
49,map,0,1,3,0
50,shows,0,1,5,0
51,affected,0,0,8,0
52,states,0,0,6,0
53,India,0,3,5,1
54,Source,0,3,6,1
55,Ministry,0,2,8,0
56,health,0,2,6,0
57,family,0,2,6,0
58,welfare,0,3,7,1
59,number,0,2,6,0
60,seem,0,2,4,0
61,small,0,1,5,0
62,closely,0,2,7,0
63,look,0,2,4,0
64,daily,0,2,5,0
65,cases,0,0,5,0
66,reported,0,0,8,0
67,situation,0,5,9,1
68,seems,0,2,5,0
69,alarming,-1,3,8,1
70,growth,0,1,6,0
71,looking,0,3,7,1
72,exponential,0,5,11,1
73,number,0,2,6,0
74,cases,0,0,5,0
75,doubt,-1,2,5,0
76,going,0,2,5,0
77,increase,0,4,8,1
78,future,0,3,6,1
79,hard,-1,1,4,0
80,predict,0,2,7,0
81,right,0,1,5,0
82,curve,0,2,5,0
83,expected,0,0,8,0
