,Token,Score,Syllable_Count,Word_length,IsComplex
0,14th,0,0,4,0
1,March,0,1,5,0
2,altogether,0,4,10,1
3,prepared,0,0,8,0
4,last,0,1,4,0
5,theater,0,3,7,1
6,competition,0,5,11,1
7,year,0,2,4,0
8,knew,0,1,4,0
9,core,0,2,4,0
10,much,0,1,4,0
11,competition,0,5,11,1
12,meant,0,2,5,0
13,morning,0,2,7,0
14,made,0,2,4,0
15,last,0,1,4,0
16,minute,0,3,6,1
17,calls,0,1,5,0
18,diligent,1,3,8,1
19,team,0,2,4,0
20,ceaselessly,0,4,11,1
21,practicing,0,3,10,1
22,past,0,1,4,0
23,days,0,1,4,0
24,confirm,0,2,7,0
25,coming,0,2,6,0
26,competition,0,5,11,1
27,alarming,-1,3,8,1
28,Coronavirus,0,5,11,1
29,ball,0,1,4,0
30,game,0,2,4,0
31,going,0,2,5,0
32,outside,0,4,7,1
33,market,0,2,6,0
34,like,0,2,4,0
35,aware,0,3,5,1
36,situation,0,5,9,1
37,believed,0,0,8,0
38,would,0,2,5,0
39,able,0,2,4,0
40,handle,0,2,6,0
41,quote,0,3,5,1
42,theatre,0,3,7,1
43,says,0,1,4,0
44,Fear,-1,2,4,0
45,deep,0,2,4,0
46,mind,0,1,4,0
47,allows,0,2,6,0
48,length,0,1,6,0
49,fearless,1,3,8,1
50,passion,1,3,7,1
51,fondness,1,2,8,0
52,attachment,0,3,10,1
53,theatre,0,3,7,1
54,notices,0,0,7,0
55,announcements,0,5,13,1
56,rolling,0,2,7,0
57,received,0,0,8,0
58,call,0,1,4,0
59,Mr,0,0,2,0
60,Sandeep,0,3,7,1
61,head,0,2,4,0
62,event,0,2,5,0
63,told,0,1,4,0
64,event,0,2,5,0
65,put,0,1,3,0
66,till,0,1,4,0
67,next,0,1,4,0
68,days,0,1,4,0
69,precise,1,3,7,1
70,moment,0,2,6,0
71,onwards,0,2,7,0
72,journey,0,3,7,1
73,hard,-1,1,4,0
74,strenuous,-1,4,9,1
75,days,0,1,4,0
76,began,0,2,5,0
77,point,0,2,5,0
78,fact,0,1,4,0
79,felt,0,1,4,0
80,like,0,2,4,0
81,meant,0,2,5,0
82,happen,0,2,6,0
83,competition,0,5,11,1
84,postponed,0,0,9,0
85,team,0,2,4,0
86,stuck,-1,1,5,0
87,homes,0,0,5,0
88,grudgingly,-1,2,10,0
89,time,0,2,4,0
90,haunting,-1,3,8,1
91,us,0,1,2,0
92,Coronavirus,0,5,11,1
93,cardinal,0,3,8,1
94,ways,0,1,4,0
95,virus,-1,2,5,0
96,affected,0,0,8,0
97,us,0,1,2,0
98,sickness,-1,2,8,0
99,sickness,-1,2,8,0
100,acted,0,0,5,0
101,like,0,2,4,0
102,sadist,0,2,6,0
103,impressed,1,0,9,0
104,found,0,2,5,0
105,someone,0,4,7,1
106,could,0,2,5,0
107,act,0,1,3,0
108,better,0,2,6,0
109,reversed,0,0,8,0
110,ways,0,1,4,0
111,used,0,0,4,0
112,work,1,1,4,0
113,play,0,1,4,0
114,exercise,0,4,8,1
115,world,0,1,5,0
116,solution,0,4,8,1
117,asked,0,0,5,0
118,practice,0,3,8,1
119,professionals,0,5,13,1
120,Social,0,3,6,1
121,Distancing,0,3,10,1
122,virus,-1,2,5,0
123,wild,0,1,4,0
124,dangerous,-1,4,9,1
125,towards,0,2,7,0
126,people,0,3,6,1
127,declining,-1,3,9,1
128,health,0,2,6,0
129,conditions,0,4,10,1
130,obviously,0,4,9,1
131,could,0,2,5,0
132,take,0,2,4,0
133,hands,0,1,5,0
134,young,0,2,5,0
135,people,0,3,6,1
136,well,0,1,4,0
137,Coronavirus,0,5,11,1
138,cases,0,0,5,0
139,deaths,0,2,6,0
140,heightening,0,4,11,1
141,great,1,2,5,0
142,extent,0,2,6,0
143,Also,0,2,4,0
144,major,0,2,5,0
145,problem,-1,2,7,0
146,came,0,2,4,0
147,light,0,1,5,0
148,people,0,3,6,1
149,fully,0,1,5,0
150,unprepared,-1,0,10,0
151,led,1,0,3,0
152,public,0,2,6,0
153,becoming,0,3,8,1
154,snappier,0,3,8,1
155,intolerant,0,4,10,1
156,non,0,1,3,0
157,supportive,1,4,10,1
158,needless,-1,3,8,1
159,say,0,1,3,0
160,virus,-1,2,5,0
161,acting,0,2,6,0
162,like,0,2,4,0
163,sadist,0,2,6,0
164,means,0,2,5,0
165,government,0,3,10,1
166,knows,0,1,5,0
167,handle,0,2,6,0
168,affairs,0,3,7,1
169,decided,0,0,7,0
170,shut,0,1,4,0
171,schools,0,2,7,0
172,colleges,0,0,8,0
173,bars,0,1,4,0
174,anything,0,2,8,0
175,would,0,2,5,0
176,involve,0,3,7,1
177,gathering,0,3,9,1
178,10,0,0,2,0
179,people,0,3,6,1
180,disinformation,0,6,14,1
181,coming,0,2,6,0
182,around,0,3,6,1
183,related,0,0,7,0
184,infection,-1,4,9,1
185,becomes,0,0,7,0
186,hard,-1,1,4,0
187,judge,0,2,5,0
188,audience,0,5,8,1
189,true,0,2,4,0
190,false,-1,2,5,0
191,worsens,0,2,7,0
192,public,0,2,6,0
193,consumes,0,0,8,0
194,information,0,5,11,1
195,working,0,2,7,0
196,home,0,2,4,0
197,virus,-1,2,5,0
198,hollowing,0,3,9,1
199,people,0,3,6,1
200,deep,0,2,4,0
201,inside,0,3,6,1
202,also,0,2,4,0
203,supporting,1,3,10,1
204,increasing,0,4,10,1
205,country,0,2,7,0
206,related,0,0,7,0
207,issues,-1,0,6,0
208,Fake,-1,2,4,0
209,news,0,1,4,0
210,serious,0,4,7,1
211,problem,-1,2,7,0
212,fake,-1,2,4,0
