,Token,Score,Syllable_Count,Word_length,IsComplex
0,INTRODUCTION,0,5,12,1
1,Coronavirus,0,5,11,1
2,disease,0,4,7,1
3,COVID,0,2,5,0
4,19,0,0,2,0
5,infectious,0,5,10,1
6,disease,0,4,7,1
7,caused,0,0,6,0
8,newly,0,1,5,0
9,discovered,0,0,10,0
10,coronavirus,0,5,11,1
11,people,0,3,6,1
12,infected,-1,0,8,0
13,COVID,0,2,5,0
14,19,0,0,2,0
15,virus,-1,2,5,0
16,experience,0,5,10,1
17,mild,0,1,4,0
18,moderate,0,4,8,1
19,respiratory,0,4,11,1
20,disease,0,4,7,1
21,recover,1,3,7,1
22,without,0,3,7,1
23,requiring,0,4,9,1
24,special,0,3,7,1
25,treatment,0,3,9,1
26,Older,0,2,5,0
27,age,0,2,3,0
28,people,0,3,6,1
29,underlying,0,3,10,1
30,medical,0,3,7,1
31,problems,-1,2,8,0
32,like,0,2,4,0
33,cardiovascular,0,6,14,1
34,disease,0,4,7,1
35,diabetes,0,0,8,0
36,chronic,-1,2,7,0
37,respiratory,0,4,11,1
38,disease,0,4,7,1
39,cancer,-1,2,6,0
40,likely,0,2,6,0
41,develop,0,3,7,1
42,serious,0,4,7,1
43,illness,-1,2,7,0
44,prevent,0,2,7,0
45,slow,-1,1,4,0
46,transmission,0,4,12,1
47,well,0,1,4,0
48,informed,0,0,8,0
49,COVID,0,2,5,0
50,19,0,0,2,0
51,virus,-1,2,5,0
52,disease,0,4,7,1
53,causes,0,0,6,0
54,spreads,0,2,7,0
55,Protect,1,2,7,0
56,others,0,2,6,0
57,infection,-1,4,9,1
58,washing,0,2,7,0
59,hands,0,1,5,0
60,using,0,2,5,0
61,alcohol,0,3,7,1
62,based,0,0,5,0
63,rub,0,1,3,0
64,frequently,0,3,10,1
65,touching,0,3,8,1
66,face,0,2,4,0
67,COVID,0,2,5,0
68,19,0,0,2,0
69,virus,-1,2,5,0
70,spreads,0,2,7,0
71,primarily,0,3,9,1
72,droplets,0,2,8,0
73,saliva,0,3,6,1
74,discharges,0,0,10,0
75,nose,0,2,4,0
76,infected,-1,0,8,0
77,person,0,2,6,0
78,suffering,-1,3,9,1
79,coughs,0,2,6,0
80,sneezes,0,0,7,0
81,important,1,3,9,1
82,also,0,2,4,0
83,practice,0,3,8,1
84,respiratory,0,4,11,1
85,etiquette,0,5,9,1
86,example,0,3,7,1
87,coughing,0,3,8,1
88,flexed,0,0,6,0
89,elbow,0,2,5,0
90,time,0,2,4,0
91,specific,0,3,8,1
92,vaccines,0,0,8,0
93,treatments,0,3,10,1
94,virus,-1,2,5,0
95,However,0,3,7,1
96,ongoing,0,3,7,1
97,clinical,0,3,8,1
98,trials,0,2,6,0
99,calculating,0,4,11,1
100,potential,0,4,9,1
101,treatments,0,3,10,1
102,continue,0,4,8,1
103,provide,0,3,7,1
104,regular,0,3,7,1
105,basis,0,2,5,0
106,information,0,5,11,1
107,clinical,0,3,8,1
108,findings,0,2,8,0
109,become,0,3,6,1
110,available,0,5,9,1
111,IMPACT,0,2,6,0
112,emergence,0,4,9,1
113,COVID,0,2,5,0
114,19,0,0,2,0
115,tragic,-1,2,6,0
116,public,0,2,6,0
117,health,0,2,6,0
118,emergency,-1,3,9,1
119,disease,0,4,7,1
120,hopes,0,0,5,0
121,brought,0,2,7,0
122,control,0,2,7,0
123,quickly,0,2,7,0
124,International,0,6,13,1
125,Monetary,0,3,8,1
126,Fund,0,1,4,0
127,already,0,3,7,1
128,warning,-1,2,7,0
129,economic,0,4,8,1
130,growth,0,1,6,0
131,China,0,2,5,0
132,slow,-1,1,4,0
133,watch,0,1,5,0
134,situation,0,5,9,1
135,unfold,0,2,6,0
136,broader,0,3,7,1
137,risks,-1,1,5,0
138,global,0,2,6,0
139,economy,0,3,7,1
140,also,0,2,4,0
141,becoming,0,3,8,1
142,apparent,0,3,8,1
143,clear,1,2,5,0
144,risk,-1,1,4,0
145,obviously,0,4,9,1
146,China,0,2,5,0
147,precise,1,3,7,1
148,origins,0,3,7,1
149,disease,0,4,7,1
150,remain,0,3,6,1
151,unclear,-1,3,7,1
152,hard,-1,1,4,0
153,take,0,2,4,0
154,definite,0,4,8,1
155,view,0,2,4,0
156,whether,0,2,7,0
157,outbreaks,0,4,9,1
158,kind,0,1,4,0
159,could,0,2,5,0
160,avoided,0,0,7,0
161,example,0,3,7,1
162,better,0,2,6,0
163,control,0,2,7,0
164,hygiene,0,3,7,1
165,food,0,2,4,0
166,markets,0,2,7,0
167,painfully,-1,3,9,1
168,obvious,0,4,7,1
169,lack,-1,1,4,0
170,transparency,0,3,12,1
171,China,0,2,5,0
172,contributed,0,0,11,0
173,fear,-1,2,4,0
174,even,0,2,4,0
175,signs,0,1,5,0
176,panic,-1,2,5,0
177,around,0,3,6,1
178,world,0,1,5,0
179,financial,0,4,9,1
180,markets,0,2,7,0
181,go,0,1,2,0
182,2007,0,0,4,0
183,2008,0,0,4,0
184,precise,1,3,7,1
185,incidence,0,4,9,1
186,big,0,1,3,0
187,risks,-1,1,5,0
188,well,0,1,4,0
189,understood,0,4,10,1
190,people,0,3,6,1
191,tend,0,1,4,0
192,assume,0,3,6,1
193,worse,-1,2,5,0
194,Rapidly,0,2,7,0
195,falling,-1,2,7,0
196,asset,0,2,5,0
197,prices,0,0,6,0
198,contain,0,3,7,1
199,much,0,1,4,0
200,information,0,5,11,1
201,except,0,2,6,0
202,much,0,1,4,0
203,information,0,5,11,1
204,Chinese,0,3,7,1
205,authorities,0,0,11,0
206,surely,0,2,6,0
207,answers,0,2,7,0
208,point,0,2,5,0
209,inclination,0,5,11,1
210,suppress,-1,2,8,0
211,data,0,2,4,0
212,interpretation,0,6,14,1
213,tremendously,1,4,12,1
214,unhelpful,-1,3,9,1
215,Second,0,2,6,0
216,lack,-1,1,4,0
217,American,0,4,8,1
218,leadership,0,4,10,1
219,painfully,-1,3,9,1
220,apparent,0,3,8,1
221,every,0,2,5,0
222,day,0,1,3,0
223,United,0,0,6,0
224,States,0,0,6,0
225,strongest,1,2,9,0
226,medical,0,3,7,1
227,health,0,2,6,0
228,system,0,1,6,0
229,facilities,0,0,10,0
230,world,0,1,5,0
231,capacity,0,3,8,1
232,research,0,3,8,1
233,development,0,4,11,1
234,government,0,3,10,1
235,private,0,3,7,1
236,none,0,2,4,0
237,Yet,0,1,3,0
238,President,0,3,9,1
239,Donald,0,2,6,0
240,Trump,1,1,5,0
241,administration,0,6,14,1
242,seems,0,2,5,0
243,concerned,-1,0,9,0
244,primarily,0,3,9,1
245,playing,0,2,7,0
246,risks,-1,1,5,0
247,keeping,0,3,7,1
248,virus,-1,2,5,0
249,United,0,0,6,0
250,States,0,0,6,0
251,America,0,4,7,1
252,nearly,0,2,6,0
253,impossible,-1,4,10,1
254,task,0,1,4,0
255,private,0,3,7,1
256,sector,0,2,6,0
257,working,0,2,7,0
258,hard,-1,1,4,0
259,vaccine,0,3,7,1
260,commendable,1,4,11,1
261,Unfortunately,0,5,13,1
