,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID,0,2,5,0
1,19,0,0,2,0
2,bought,0,2,6,0
3,world,0,1,5,0
4,knees,0,0,5,0
5,businesses,0,0,10,0
6,shut,0,1,4,0
7,travel,0,2,6,0
8,banned,0,0,6,0
9,schools,0,2,7,0
10,colleges,0,0,8,0
11,closed,0,0,6,0
12,observed,0,0,8,0
13,impeccable,1,4,10,1
14,amount,0,3,6,1
15,sorrow,-1,2,6,0
16,despise,-1,3,7,1
17,along,0,2,5,0
18,great,1,2,5,0
19,amount,0,3,6,1
20,mental,0,2,6,0
21,torture,-1,3,7,1
22,destruction,-1,4,11,1
23,Though,0,2,6,0
24,situations,0,5,10,1
25,improving,1,3,9,1
26,lockdowns,0,2,9,0
27,lifted,0,0,6,0
28,fact,0,1,4,0
29,cannot,0,2,6,0
30,shunned,-1,0,7,0
31,virus,-1,2,5,0
32,long,0,1,4,0
33,term,0,1,4,0
34,impact,0,2,6,0
35,people,0,3,6,1
36,effects,0,2,7,0
37,felt,0,1,4,0
38,economically,0,5,12,1
39,physically,0,2,10,0
40,also,0,2,4,0
41,mentally,0,2,8,0
42,reading,0,3,7,1
43,articles,0,0,8,0
44,regarding,0,3,9,1
45,impact,0,2,6,0
46,COVID,0,2,5,0
47,19,0,0,2,0
48,economy,0,3,7,1
49,education,0,5,9,1
50,mental,0,2,6,0
51,health,0,2,6,0
52,every,0,2,5,0
53,possible,0,3,8,1
54,aspect,0,2,6,0
55,topic,0,2,5,0
56,talked,0,0,6,0
57,much,0,1,4,0
58,impact,0,2,6,0
59,COVID,0,2,5,0
60,19,0,0,2,0
61,office,0,3,6,1
62,space,0,2,5,0
63,co,0,1,2,0
64,working,0,2,7,0
65,industries,0,0,10,0
66,Well,0,1,4,0
67,quite,0,3,5,1
68,obvious,0,4,7,1
69,offices,0,0,7,0
70,start,0,1,5,0
71,functioning,0,4,11,1
72,COVID,0,2,5,0
73,period,0,3,6,1
74,ended,0,0,5,0
75,means,0,2,5,0
76,social,0,3,6,1
77,distancing,0,3,10,1
78,also,0,2,4,0
79,followed,0,0,8,0
80,offices,0,0,7,0
81,problem,-1,2,7,0
82,lack,-1,1,4,0
83,adequate,1,5,8,1
84,infrastructure,0,5,14,1
85,space,0,2,5,0
86,condition,0,4,9,1
87,co,0,1,2,0
88,working,0,2,7,0
89,industries,0,0,10,0
90,wherein,0,3,7,1
91,employees,0,0,9,0
92,different,0,3,9,1
93,companies,0,0,9,0
94,come,0,2,4,0
95,work,1,1,4,0
96,together,0,3,8,1
97,roof,0,2,4,0
98,However,0,3,7,1
99,problems,-1,2,8,0
100,quite,0,3,5,1
101,obvious,0,4,7,1
102,though,0,2,6,0
103,people,0,3,6,1
104,thought,0,2,7,0
105,much,0,1,4,0
106,fact,0,1,4,0
107,people,0,3,6,1
108,fail,-1,2,4,0
109,notice,0,3,6,1
110,understand,0,3,10,1
111,meaning,0,3,7,1
112,space,0,2,5,0
113,limited,-1,0,7,0
114,infrastructural,0,5,15,1
115,space,0,2,5,0
116,measured,0,0,8,0
117,square,0,3,6,1
118,foot,0,2,4,0
119,square,0,3,6,1
120,meters,0,2,6,0
121,also,0,2,4,0
122,extends,0,2,7,0
123,metal,0,2,5,0
124,space,0,2,5,0
125,fact,0,1,4,0
126,space,0,2,5,0
127,minds,0,1,5,0
128,people,0,3,6,1
129,others,0,2,6,0
130,thoughts,0,2,8,0
131,well,0,1,4,0
132,opinions,0,4,8,1
133,Coronavirus,0,5,11,1
134,left,0,1,4,0
135,big,0,1,3,0
136,scratch,-1,1,7,0
137,country,0,2,7,0
138,car,0,1,3,0
139,needs,0,2,5,0
140,repair,0,3,6,1
141,accident,0,3,8,1
142,country,0,2,7,0
143,also,0,2,4,0
144,need,0,0,4,0
145,repair,0,3,6,1
146,control,0,2,7,0
147,virus,-1,2,5,0
148,unlike,0,3,6,1
149,car,0,1,3,0
150,country,0,2,7,0
151,require,0,4,7,1
152,large,0,2,5,0
153,amount,0,3,6,1
154,time,0,2,4,0
155,get,0,1,3,0
156,restored,1,0,8,0
157,stand,0,1,5,0
158,straight,0,2,8,0
159,without,0,3,7,1
160,support,1,2,7,0
161,Needless,-1,3,8,1
162,say,0,1,3,0
163,economic,0,4,8,1
164,stability,1,3,9,1
165,country,0,2,7,0
166,definitely,0,4,10,1
167,hit,0,1,3,0
168,reason,0,3,6,1
169,problem,-1,2,7,0
170,since,0,2,5,0
171,earnings,0,3,8,1
172,employers,0,3,9,1
173,reduce,0,3,6,1
174,subsequently,0,4,12,1
175,lead,1,2,4,0
176,drop,0,1,4,0
177,salary,0,2,6,0
178,employees,0,0,9,0
179,employees,0,0,9,0
180,might,0,1,5,0
181,preferred,0,0,9,0
182,bosses,0,0,6,0
183,receive,0,4,7,1
184,raise,0,3,5,1
185,regularly,0,3,9,1
186,others,0,2,6,0
187,might,0,1,5,0
188,subjected,-1,0,9,0
189,unfair,0,3,6,1
190,treatment,0,3,9,1
191,made,0,2,4,0
192,amount,0,3,6,1
193,work,1,1,4,0
194,lower,0,2,5,0
195,salary,0,2,6,0
196,People,0,3,6,1
197,tend,0,1,4,0
198,overlook,-1,4,8,1
199,thin,0,1,4,0
200,line,0,2,4,0
201,exists,0,2,6,0
202,cooperation,0,6,11,1
203,competition,0,5,11,1
204,problem,-1,2,7,0
