,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID,0,2,5,0
1,19,0,0,2,0
2,pandemic,0,3,8,1
3,caused,0,0,6,0
4,significant,1,4,11,1
5,disruption,-1,4,10,1
6,worldwide,0,3,9,1
7,sporting,0,2,8,0
8,calender,0,3,8,1
9,since,0,2,5,0
10,World,0,1,5,0
11,war,0,1,3,0
12,II,0,2,2,0
13,Across,0,2,6,0
14,world,0,1,5,0
15,varying,0,2,7,0
16,degrees,0,0,7,0
17,sports,0,1,6,0
18,events,0,2,6,0
19,canceled,0,0,8,0
20,postponed,0,0,9,0
21,2020,0,0,4,0
22,Summer,0,2,6,0
23,Olympics,0,2,8,0
24,Tokyo,0,2,5,0
25,rescheduled,0,0,11,0
26,2021,0,0,4,0
27,Spectators,0,3,10,1
28,games,0,0,5,0
29,watch,0,1,5,0
30,players,0,2,7,0
31,games,0,0,5,0
32,play,0,1,4,0
33,countries,0,0,9,0
34,Turkmenistan,0,4,12,1
35,Belarus,0,3,7,1
36,Nicaragua,0,5,9,1
37,continued,0,0,9,0
38,professional,0,5,12,1
39,sporting,0,2,8,0
40,matches,0,0,7,0
41,planned,0,0,7,0
42,SOCCER,0,2,6,0
43,overview,0,4,8,1
44,state,0,2,5,0
45,play,0,1,4,0
46,Europe,0,4,6,1
47,soccer,0,2,6,0
48,leagues,0,0,7,0
49,amid,0,2,4,0
50,coronavirus,0,5,11,1
51,outbreak,-1,4,8,1
52,click,0,1,5,0
53,Major,0,2,5,0
54,League,0,4,6,1
55,Soccer,0,2,6,0
56,players,0,2,7,0
57,returned,0,0,8,0
58,voluntary,0,3,9,1
59,training,0,3,8,1
60,May,0,1,3,0
61,6,0,0,1,0
62,2020,0,0,4,0
63,K,0,0,1,0
64,League,0,4,6,1
65,season,0,3,6,1
66,kicked,0,0,6,0
67,May,0,1,3,0
68,8,0,0,1,0
69,behind,0,2,6,0
70,closed,0,0,6,0
71,doors,0,2,5,0
72,Euro,0,3,4,1
73,2020,0,0,4,0
74,Copa,0,2,4,0
75,America,0,4,7,1
76,postponed,0,0,9,0
77,tournaments,0,4,11,1
78,staged,0,0,6,0
79,June,0,2,4,0
80,11,0,0,2,0
81,July,0,1,4,0
82,11,0,0,2,0
83,2021,0,0,4,0
84,Euro,0,3,4,1
85,2021,0,0,4,0
86,Women,0,2,5,0
87,Championship,0,4,12,1
88,pushed,0,0,6,0
89,back,0,1,4,0
90,July,0,1,4,0
91,6,0,0,1,0
92,31,0,0,2,0
93,2022,0,0,4,0
94,Asian,0,3,5,1
95,Champions,0,3,9,1
96,League,0,4,6,1
97,start,0,1,5,0
98,knockout,0,3,8,1
99,rounds,0,2,6,0
100,moved,0,0,5,0
101,back,0,1,4,0
102,September,0,3,9,1
103,Chinese,0,3,7,1
104,Football,0,3,8,1
105,Association,0,6,11,1
106,CFA,0,1,3,0
107,drawn,0,1,5,0
108,plans,0,1,5,0
109,complete,0,3,8,1
110,2020,0,0,4,0
111,Chinese,0,3,7,1
112,Super,1,2,5,0
113,League,0,4,6,1
114,CSL,0,0,3,0
115,season,0,3,6,1
116,would,0,2,5,0
117,campaign,0,3,8,1
118,begin,0,2,5,0
119,late,0,2,4,0
120,June,0,2,4,0
121,finish,0,2,6,0
122,December,0,3,8,1
123,women,0,2,5,0
124,Bundesliga,0,4,10,1
125,season,0,3,6,1
126,resume,0,3,6,1
127,May,0,1,3,0
128,29,0,0,2,0
129,Portuguese,0,5,10,1
130,league,0,4,6,1
131,approved,0,0,8,0
132,stadiums,0,3,8,1
133,league,0,4,6,1
134,restart,0,2,7,0
135,Costa,0,2,5,0
136,Rica,0,2,4,0
137,became,0,3,6,1
138,country,0,2,7,0
139,Americas,0,4,8,1
140,restart,0,2,7,0
141,professional,0,5,12,1
142,league,0,4,6,1
143,women,0,2,5,0
144,20,0,0,2,0
145,World,0,1,5,0
146,Cup,0,1,3,0
147,Costa,0,2,5,0
148,Rica,0,2,4,0
149,Panama,0,3,6,1
150,postponed,0,0,9,0
151,August,0,3,6,1
152,September,0,3,9,1
153,rescheduled,0,0,11,0
154,Jan,0,1,3,0
155,20,0,0,2,0
156,Feb,0,1,3,0
157,6,0,0,1,0
158,2021,0,0,4,0
159,National,0,4,8,1
160,Women,0,2,5,0
161,Soccer,0,2,6,0
162,League,0,4,6,1
163,NWSL,0,0,4,0
164,said,0,2,4,0
165,clubs,0,1,5,0
166,could,0,2,5,0
167,begin,0,2,5,0
168,small,0,1,5,0
169,group,0,2,5,0
170,training,0,3,8,1
171,sessions,0,3,8,1
172,May,0,1,3,0
173,25,0,0,2,0
174,league,0,4,6,1
175,aiming,0,3,6,1
176,late,0,2,4,0
177,June,0,2,4,0
178,return,0,2,6,0
179,single,0,2,6,0
180,city,0,1,4,0
181,month,0,1,5,0
182,long,0,1,4,0
183,tournament,0,4,10,1
184,OLYMPICS,0,2,8,0
185,postponed,0,0,9,0
186,Tokyo,0,2,5,0
187,Olympic,0,2,7,0
188,Games,0,0,5,0
189,begin,0,2,5,0
190,July,0,1,4,0
191,23,0,0,2,0
192,2021,0,0,4,0
193,run,0,1,3,0
194,Aug,0,2,3,0
195,8,0,0,1,0
196,World,0,1,5,0
197,Athletics,0,3,9,1
198,suspended,0,0,9,0
199,Olympic,0,2,7,0
200,qualification,0,7,13,1
201,December,0,3,8,1
