,Token,Score,Syllable_Count,Word_length,IsComplex
0,Coronavirus,0,5,11,1
1,pandemic,0,3,8,1
2,unfolds,0,2,7,0
3,industries,0,0,10,0
4,face,0,2,4,0
5,problems,-1,2,8,0
6,never,0,2,5,0
7,imagined,0,0,8,0
8,prepared,0,0,8,0
9,Aviation,0,5,8,1
10,Tourism,0,3,7,1
11,industries,0,0,10,0
12,face,0,2,4,0
13,highest,0,2,7,0
14,stress,-1,1,6,0
15,Coronavirus,0,5,11,1
16,spreads,0,2,7,0
17,usually,0,3,7,1
18,leisure,0,4,7,1
19,spending,0,2,8,0
20,also,0,2,4,0
21,nature,0,3,6,1
22,disease,0,4,7,1
23,directly,0,2,8,0
24,conflicts,-1,2,9,0
25,industries,0,0,10,0
26,innate,0,3,6,1
27,business,0,3,8,1
28,models,0,2,6,0
29,article,0,3,7,1
30,look,0,2,4,0
31,impact,0,2,6,0
32,COVID,0,2,5,0
33,19,0,0,2,0
34,pandemic,0,3,8,1
35,Tourism,0,3,7,1
36,Aviation,0,5,8,1
37,industries,0,0,10,0
38,demand,0,2,6,0
39,side,0,2,4,0
40,supply,0,1,6,0
41,side,0,2,4,0
42,Aviation,0,5,8,1
43,Tourism,0,3,7,1
44,industries,0,0,10,0
45,major,0,2,5,0
46,customers,0,3,9,1
47,tourists,0,3,8,1
48,business,0,3,8,1
49,travellers,0,3,10,1
50,Let,0,1,3,0
51,us,0,1,2,0
52,base,0,2,4,0
53,essay,0,2,5,0
54,India,0,3,5,1
55,reaction,0,4,8,1
56,customer,0,3,8,1
57,segments,0,2,8,0
58,expected,0,0,8,0
59,like,0,2,4,0
60,Almost,0,2,6,0
61,tourists,0,3,8,1
62,avoid,0,3,5,1
63,vacationing,0,5,11,1
64,foreseeable,0,6,11,1
65,future,0,3,6,1
66,Financial,0,4,9,1
67,hardship,-1,2,8,0
68,exceptionally,1,5,13,1
69,large,0,2,5,0
70,part,0,1,4,0
71,world,0,1,5,0
72,working,0,2,7,0
73,population,0,5,10,1
74,affected,0,0,8,0
75,financially,0,4,11,1
76,pandemic,0,3,8,1
77,Unemployment,0,4,12,1
78,rates,0,0,5,0
79,soaring,0,3,7,1
80,ones,0,0,4,0
81,job,0,1,3,0
82,facing,0,2,6,0
83,pay,0,1,3,0
84,cuts,0,1,4,0
85,furloughs,0,3,9,1
86,deferment,0,3,9,1
87,salaries,0,0,8,0
88,Risk,-1,1,4,0
89,contraction,0,4,11,1
90,disease,0,4,7,1
91,spreads,0,2,7,0
92,social,0,3,6,1
93,contact,0,2,7,0
94,safe,1,2,4,0
95,vacation,0,4,8,1
96,destination,0,5,11,1
97,regularly,0,3,9,1
98,sanitized,0,0,9,0
99,crowded,-1,0,7,0
100,Inherently,0,3,10,1
101,tourist,0,3,7,1
102,destinations,0,5,12,1
103,compliant,1,3,9,1
104,regulations,0,5,11,1
105,even,0,2,4,0
106,industry,0,2,8,0
107,makes,0,0,5,0
108,change,0,2,6,0
109,clean,1,2,5,0
110,introducing,0,4,11,1
111,social,0,3,6,1
