,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID,0,2,5,0
1,19,0,0,2,0
2,INTRODUCTION,0,5,12,1
3,Novel,0,2,5,0
4,Coronavirus,0,5,11,1
5,COVID,0,2,5,0
6,19,0,0,2,0
7,Initially,0,4,9,1
8,emerged,0,0,7,0
9,China,0,2,5,0
10,end,0,1,3,0
11,2019,0,0,4,0
12,end,0,1,3,0
13,January,0,3,7,1
14,2020,0,0,4,0
15,World,0,1,5,0
16,Health,0,2,6,0
17,Organization,0,6,12,1
18,declared,0,0,8,0
19,pandemic,0,3,8,1
20,Public,0,2,6,0
21,Health,0,2,6,0
22,Emergency,-1,3,9,1
23,International,0,6,13,1
24,Concern,-1,2,7,0
25,virus,-1,2,5,0
26,causes,0,0,6,0
27,respiratory,0,4,11,1
28,illness,-1,2,7,0
29,like,0,2,4,0
30,flu,0,1,3,0
31,symptoms,-1,1,8,0
32,cough,0,2,5,0
33,fever,-1,2,5,0
34,severe,-1,3,6,1
35,cases,0,0,5,0
36,difficulty,-1,3,10,1
37,breathing,0,3,9,1
38,cause,0,3,5,1
39,lung,0,1,4,0
40,disease,0,4,7,1
41,Senior,0,3,6,1
42,Citizens,0,3,8,1
43,people,0,3,6,1
44,medical,0,3,7,1
45,treatment,0,3,9,1
46,likely,0,2,6,0
47,acclimate,0,4,9,1
48,virus,-1,2,5,0
49,impact,0,2,6,0
50,outbreak,-1,4,8,1
51,rapidly,0,2,7,0
52,increasing,0,4,10,1
53,higher,0,2,6,0
54,rate,0,2,4,0
55,anything,0,2,8,0
56,economies,0,0,9,0
57,various,0,4,7,1
58,countries,0,0,9,0
59,world,0,1,5,0
60,outbreak,-1,4,8,1
61,considered,0,0,10,0
62,situation,0,5,9,1
63,like,0,2,4,0
64,recession,-1,4,9,1
65,slowdown,0,2,8,0
66,overall,0,3,7,1
67,economy,0,3,7,1
68,great,1,2,5,0
69,recession,-1,4,9,1
70,year,0,2,4,0
71,2008,0,0,4,0
72,India,0,3,5,1
73,fifth,0,1,5,0
74,largest,0,2,7,0
75,economy,0,3,7,1
76,world,0,1,5,0
77,population,0,5,10,1
78,133,0,0,3,0
79,92,0,0,2,0
80,Crores,0,0,6,0
81,India,0,3,5,1
82,developing,0,4,10,1
83,phase,0,2,5,0
84,uneven,-1,3,6,1
85,development,0,4,11,1
86,across,0,2,6,0
87,regions,0,3,7,1
88,communities,0,0,11,0
89,adds,0,1,4,0
90,various,0,4,7,1
91,complexities,0,0,12,0
92,coping,0,2,6,0
93,kind,0,1,4,0
94,pandemic,0,3,8,1
95,also,0,2,4,0
96,reflects,0,2,8,0
97,huge,0,2,4,0
98,scope,0,2,5,0
99,social,0,3,6,1
100,schism,0,1,6,0
101,people,0,3,6,1
102,different,0,3,9,1
103,communities,0,0,11,0
104,India,0,3,5,1
105,case,0,2,4,0
106,reported,0,0,8,0
107,end,0,1,3,0
108,January,0,3,7,1
109,month,0,1,5,0
110,people,0,3,6,1
111,travel,0,2,6,0
112,China,0,2,5,0
113,India,0,3,5,1
114,government,0,3,10,1
115,India,0,3,5,1
116,made,0,2,4,0
117,special,0,3,7,1
118,arrangements,0,4,12,1
119,students,0,2,8,0
120,people,0,3,6,1
121,Wuhan,0,2,5,0
122,studies,0,0,7,0
123,work,1,1,4,0
124,India,0,3,5,1
125,save,0,2,4,0
126,people,0,3,6,1
127,effect,0,2,6,0
128,novel,0,2,5,0
129,coronavirus,0,5,11,1
130,infection,-1,4,9,1
131,rate,0,2,4,0
132,virus,-1,2,5,0
133,relatively,0,4,10,1
134,low,0,1,3,0
135,India,0,3,5,1
136,compared,0,0,8,0
137,population,0,5,10,1
138,size,0,2,4,0
139,rapid,1,2,5,0
140,actions,0,3,7,1
141,taken,0,2,5,0
142,government,0,3,10,1
143,quarantine,0,5,10,1
144,people,0,3,6,1
145,shut,0,1,4,0
146,borders,0,2,7,0
147,Also,0,2,4,0
148,government,0,3,10,1
149,India,0,3,5,1
150,announces,0,0,9,0
151,suspension,0,4,10,1
152,various,0,4,7,1
153,activities,0,0,10,0
154,country,0,2,7,0
155,like,0,2,4,0
156,shut,0,1,4,0
157,educational,0,6,11,1
158,institutes,0,0,10,0
159,corporate,0,4,9,1
160,houses,0,0,6,0
161,deferring,0,3,9,1
162,tourist,0,3,7,1
163,visas,0,2,5,0
164,postal,0,2,6,0
165,services,0,0,8,0
166,cease,0,3,5,1
167,interstate,0,4,10,1
168,intrastate,0,4,10,1
169,borders,0,2,7,0
170,within,0,2,6,0
171,country,0,2,7,0
172,terminate,0,4,9,1
173,transportation,0,5,14,1
174,facilities,0,0,10,0
175,drive,0,2,5,0
176,social,0,3,6,1
177,distancing,0,3,10,1
178,isolation,-1,5,9,1
179,infected,-1,0,8,0
180,people,0,3,6,1
181,also,0,2,4,0
182,takes,0,0,5,0
183,place,0,2,5,0
184,initiatives,0,0,11,0
185,taken,0,2,5,0
186,government,0,3,10,1
187,India,0,3,5,1
188,accordance,0,4,10,1
189,pandemic,0,3,8,1
190,outbreak,-1,4,8,1
191,affect,0,2,6,0
192,economy,0,3,7,1
193,drastic,-1,2,7,0
194,way,0,1,3,0
195,changes,0,0,7,0
196,country,0,2,7,0
197,developing,0,4,10,1
198,lot,0,1,3,0
199,disruption,-1,4,10,1
200,happening,0,3,9,1
201,around,0,3,6,1
