,Token,Score,Syllable_Count,Word_length,IsComplex
0,Nathan,0,2,6,0
1,Wolfe,0,2,5,0
2,Impact,0,2,6,0
3,said,0,2,4,0
4,commonalities,0,0,13,0
5,pandemics,0,3,9,1
6,occur,0,2,5,0
7,learn,0,2,5,0
8,One,0,2,3,0
9,commonality,0,4,11,1
10,comes,0,0,5,0
11,animals,0,3,7,1
12,wait,0,2,4,0
13,long,0,1,4,0
14,year,0,2,4,0
15,1720,0,0,4,0
16,plague,-1,3,6,1
17,year,0,2,4,0
18,1820,0,0,4,0
19,cholera,0,3,7,1
20,outbreak,-1,4,8,1
21,recent,0,2,6,0
22,pandemic,0,3,8,1
23,Spanish,0,2,7,0
24,flu,0,1,3,0
25,1920,0,0,4,0
26,researchers,0,4,11,1
27,said,0,2,4,0
28,pandemics,0,3,9,1
29,exactly,0,2,7,0
30,pattern,0,2,7,0
31,coronavirus,0,5,11,1
32,outbreak,-1,4,8,1
33,However,0,3,7,1
34,precision,0,4,9,1
35,pandemics,0,3,9,1
36,occur,0,2,5,0
37,exactly,0,2,7,0
38,100,0,0,3,0
39,years,0,2,5,0
40,age,0,2,3,0
41,makes,0,0,5,0
42,us,0,1,2,0
43,think,0,1,5,0
44,better,0,2,6,0
45,topic,0,2,5,0
46,Coronavirus,0,5,11,1
47,disease,0,4,7,1
48,COVID,0,2,5,0
49,19,0,0,2,0
50,infectious,0,5,10,1
51,disease,0,4,7,1
52,declared,0,0,8,0
53,global,0,2,6,0
54,pandemic,0,3,8,1
55,people,0,3,6,1
56,infected,-1,0,8,0
57,COVID,0,2,5,0
58,19,0,0,2,0
59,virus,-1,2,5,0
60,experience,0,5,10,1
61,mild,0,1,4,0
62,moderate,0,4,8,1
63,illness,-1,2,7,0
64,recover,1,3,7,1
65,without,0,3,7,1
66,requiring,0,4,9,1
67,special,0,3,7,1
68,treatment,0,3,9,1
69,Older,0,2,5,0
70,people,0,3,6,1
71,underlying,0,3,10,1
72,medical,0,3,7,1
