,Token,Score,Syllable_Count,Word_length,IsComplex
0,Petty,0,1,5,0
1,Entrepreneurs,0,5,13,1
2,like,0,2,4,0
3,Streetside,0,4,10,1
4,Food,0,2,4,0
5,Stalls,-1,1,6,0
6,form,0,1,4,0
7,essential,0,4,9,1
8,part,0,1,4,0
9,economy,0,3,7,1
10,plays,0,1,5,0
11,significant,1,4,11,1
12,role,0,2,4,0
13,balancing,0,3,9,1
14,development,0,4,11,1
15,nation,0,3,6,1
16,economy,0,3,7,1
17,importance,0,4,10,1
18,street,0,2,6,0
19,food,0,2,4,0
20,vendors,0,2,7,0
21,helps,0,1,5,0
22,increasing,0,4,10,1
23,country,0,2,7,0
24,per,0,1,3,0
25,capita,0,3,6,1
26,income,0,3,6,1
27,also,0,2,4,0
28,helps,0,1,5,0
29,make,0,2,4,0
30,living,0,2,6,0
31,unemployed,-1,0,10,0
32,society,0,3,7,1
33,limited,-1,0,7,0
34,investment,0,3,10,1
35,sole,0,2,4,0
36,breadwinners,0,4,12,1
37,families,0,0,8,0
38,Covid,0,2,5,0
39,19,0,0,2,0
40,wreaking,0,3,8,1
41,havoc,-1,2,5,0
42,uncertainty,0,4,11,1
43,lockdown,0,2,8,0
44,policies,0,0,8,0
45,increased,0,0,9,0
46,concern,-1,2,7,0
47,people,0,3,6,1
48,hygiene,0,3,7,1
49,lack,-1,1,4,0
50,investment,0,3,10,1
51,upgrade,0,3,7,1
52,businesses,0,0,10,0
53,provide,0,3,7,1
54,better,0,2,6,0
55,hygiene,0,3,7,1
56,facilities,0,0,10,0
57,take,0,2,4,0
58,away,0,2,4,0
59,food,0,2,4,0
60,mouths,0,2,6,0
61,Various,0,4,7,1
62,states,0,0,6,0
63,provided,0,0,8,0
64,relief,1,3,6,1
65,packages,0,0,8,0
66,support,1,2,7,0
67,country,0,2,7,0
68,populous,0,4,8,1
69,hardly,0,1,6,0
70,appropriately,0,5,13,1
71,implemented,0,0,11,0
72,Delhi,0,2,5,0
73,instance,0,3,8,1
74,recently,0,2,8,0
75,announced,0,0,9,0
76,rupee,0,3,5,1
77,500,0,0,3,0
78,million,0,3,7,1
79,stimulus,0,3,8,1
80,package,0,3,7,1
81,nearly,0,2,6,0
82,500,0,0,3,0
83,000,0,0,3,0
84,rupees,0,0,6,0
85,recognizing,0,4,11,1
86,severe,-1,3,6,1
87,consequences,0,0,12,0
88,loss,-1,1,4,0
89,livelihoods,0,5,11,1
90,seller,0,2,6,0
91,intended,0,0,8,0
92,remedy,1,2,6,0
93,credit,0,2,6,0
94,loan,0,2,4,0
95,provides,0,0,8,0
96,sellers,0,2,7,0
97,initial,0,4,7,1
98,working,0,2,7,0
99,capital,0,3,7,1
100,Rs,0,0,2,0
101,10,0,0,2,0
102,000,0,0,3,0
103,enough,0,3,6,1
104,Instead,0,3,7,1
105,loans,0,2,5,0
106,government,0,3,10,1
107,consider,0,3,8,1
108,converting,0,3,10,1
109,directly,0,2,8,0
110,income,0,3,6,1
111,benefits,1,3,8,1
112,cash,0,1,4,0
113,subsidies,0,0,9,0
114,secure,1,3,6,1
115,livelihood,0,5,10,1
116,order,0,2,5,0
117,initiate,0,5,8,1
118,income,0,3,6,1
119,generating,0,4,10,1
120,activities,0,0,10,0
121,regular,0,3,7,1
122,basis,0,2,5,0
123,Sellers,0,2,7,0
124,need,0,0,4,0
125,income,0,3,6,1
126,support,1,2,7,0
127,get,0,1,3,0
128,back,0,1,4,0
129,work,1,1,4,0
130,never,0,2,5,0
131,able,0,2,4,0
132,repay,0,2,5,0
133,loan,0,2,4,0
134,amount,0,3,6,1
135,ever,0,2,4,0
136,changing,0,2,8,0
137,crisis,-1,2,6,0
138,organizations,0,6,13,1
139,need,0,0,4,0
140,take,0,2,4,0
141,step,0,1,4,0
142,forward,0,2,7,0
143,ensure,0,3,6,1
144,providers,0,3,9,1
145,provided,0,0,8,0
146,resources,0,0,9,0
147,need,0,0,4,0
148,make,0,2,4,0
149,living,0,2,6,0
150,Pandemics,0,3,9,1
151,vast,0,1,4,0
152,economic,0,4,8,1
153,impact,0,2,6,0
154,every,0,2,5,0
155,sector,0,2,6,0
156,vulnerable,-1,4,10,1
157,sectors,0,2,7,0
158,street,0,2,6,0
159,vendors,0,2,7,0
160,suffer,-1,2,6,0
161,Decreased,0,0,9,0
162,income,0,3,6,1
163,affect,0,2,6,0
164,necessities,0,0,11,0
165,payments,0,2,8,0
166,family,0,2,6,0
167,Due,0,2,3,0
168,lack,-1,1,4,0
169,fixed,0,0,5,0
170,salaries,0,0,8,0
171,stalls,-1,1,6,0
172,cannot,0,2,6,0
173,quit,0,2,4,0
174,jobs,0,1,4,0
175,possible,0,3,8,1
176,might,0,1,5,0
177,days,0,1,4,0
178,unlike,0,3,6,1
179,regular,0,3,7,1
180,employees,0,0,9,0
181,risk,-1,1,4,0
182,infection,-1,4,9,1
183,far,0,1,3,0
184,less,0,1,4,0
185,frightening,-1,3,11,1
186,hunger,0,2,6,0
187,Unlike,0,3,6,1
188,businesses,0,0,10,0
189,food,0,2,4,0
190,vendors,0,2,7,0
