,Token,Score,Syllable_Count,Word_length,IsComplex
0,COVID,0,2,5,0
1,19,0,0,2,0
2,pandemic,0,3,8,1
3,grown,0,1,5,0
4,major,0,2,5,0
5,socially,0,3,8,1
6,disruptive,-1,4,10,1
7,health,0,2,6,0
8,crises,0,0,6,0
9,recent,0,2,6,0
10,memory,0,2,6,0
11,growing,0,2,7,0
12,worried,-1,0,7,0
13,pandemic,0,3,8,1
14,catastrophic,-1,4,12,1
15,economic,0,4,8,1
16,social,0,3,6,1
17,repercussions,0,5,13,1
18,affecting,0,3,9,1
19,food,0,2,4,0
20,systems,0,1,7,0
21,global,0,2,6,0
22,local,0,2,5,0
23,levels,0,2,6,0
24,Given,0,2,5,0
25,importance,0,4,10,1
26,retail,0,3,6,1
27,food,0,2,4,0
28,environment,0,4,11,1
29,establishing,0,4,12,1
30,sustaining,0,4,10,1
31,healthy,1,2,7,0
32,diets,0,2,5,0
33,interruptions,-1,5,13,1
34,specific,0,3,8,1
35,aspects,0,2,7,0
36,availability,0,6,12,1
37,fresh,1,1,5,0
38,vegetables,0,0,10,0
39,could,0,2,5,0
40,negative,-1,4,8,1
41,influence,0,4,9,1
42,population,0,5,10,1
43,health,0,2,6,0
44,already,0,3,7,1
45,noted,0,0,5,0
46,source,0,3,6,1
47,worry,-1,1,5,0
48,Despite,0,3,7,1
49,dominance,0,4,9,1
50,national,0,4,8,1
51,international,0,6,13,1
52,supermarket,0,4,11,1
53,chains,0,2,6,0
54,warehouse,0,5,9,1
55,clubs,0,1,5,0
56,supercenters,0,4,12,1
57,grocery,0,2,7,0
58,retail,0,3,6,1
59,vegetables,0,0,10,0
60,offered,0,0,7,0
61,number,0,2,6,0
62,food,0,2,4,0
63,retail,0,3,6,1
64,settings,0,2,8,0
65,Fresh,1,1,5,0
66,vegetable,0,4,9,1
67,vendors,0,2,7,0
68,typically,0,2,9,0
69,smaller,0,2,7,0
70,community,0,3,9,1
71,oriented,0,0,8,0
72,restaurant,0,4,10,1
73,retail,0,3,6,1
74,food,0,2,4,0
75,outlets,0,3,7,1
76,include,0,3,7,1
77,chain,0,2,5,0
78,independent,0,4,11,1
79,grocery,0,2,7,0
80,stores,0,0,6,0
81,greengrocers,0,4,12,1
82,storefront,0,3,10,1
83,stands,0,1,6,0
84,street,0,2,6,0
85,carts,0,1,5,0
86,even,0,2,4,0
87,makeshift,0,3,9,1
88,platforms,0,2,9,0
89,dedicated,1,0,9,0
90,sale,0,2,4,0
91,fresh,1,1,5,0
92,vegetables,0,0,10,0
93,Smaller,0,2,7,0
94,community,0,3,9,1
95,fresh,1,1,5,0
96,vegetable,0,4,9,1
97,vendors,0,2,7,0
98,conduct,0,2,7,0
99,business,0,3,8,1
100,sides,0,0,5,0
101,major,0,2,5,0
102,streets,0,2,7,0
103,storefronts,0,3,11,1
104,played,0,0,6,0
105,integral,1,3,8,1
106,role,0,2,4,0
107,food,0,2,4,0
108,environment,0,4,11,1
109,large,0,2,5,0
110,urban,0,2,5,0
111,centers,0,2,7,0
112,New,0,1,3,0
113,York,0,1,4,0
114,City,0,1,4,0
115,NYC,0,0,3,0
116,particularly,0,4,12,1
117,ethnic,0,2,6,0
118,enclaves,0,0,8,0
119,despite,0,3,7,1
120,fact,0,1,4,0
121,fresh,1,1,5,0
122,produce,0,3,7,1
123,significantly,0,4,13,1
124,higher,0,2,6,0
125,nutritional,0,5,11,1
126,value,0,3,5,1
127,fresh,1,1,5,0
128,produce,0,3,7,1
129,also,0,2,4,0
130,purchased,0,0,9,0
131,larger,0,2,6,0
132,food,0,2,4,0
133,retailers,0,4,9,1
134,Since,0,2,5,0
135,COVID,0,2,5,0
136,19,0,0,2,0
137,pandemic,0,3,8,1
138,began,0,2,5,0
139,fresh,1,1,5,0
140,fruit,0,2,5,0
141,vegetable,0,4,9,1
142,vendors,0,2,7,0
143,notably,1,2,7,0
144,street,0,2,6,0
145,carts,0,1,5,0
146,selling,0,2,7,0
147,fresh,1,1,5,0
148,vegetables,0,0,10,0
149,cities,0,0,6,0
150,across,0,2,6,0
151,United,0,0,6,0
152,States,0,0,6,0
153,including,0,3,9,1
154,New,0,1,3,0
155,York,0,1,4,0
156,City,0,1,4,0
157,forced,0,0,6,0
158,close,0,2,5,0
159,owing,0,2,5,0
160,combination,0,5,11,1
161,falling,-1,2,7,0
162,demand,0,2,6,0
163,fear,-1,2,4,0
164,catching,0,2,8,0
165,COVID,0,2,5,0
166,19,0,0,2,0
167,importance,0,4,10,1
168,fresh,1,1,5,0
169,vegetable,0,4,9,1
170,vendors,0,2,7,0
171,varies,0,0,6,0
172,neighborhood,0,5,12,1
173,within,0,2,6,0
174,cities,0,0,6,0
175,Furthermore,0,4,11,1
176,fresh,1,1,5,0
177,vegetable,0,4,9,1
178,vendors,0,2,7,0
179,attract,0,2,7,0
180,visitors,0,3,8,1
181,interborough,0,5,12,1
182,shoppers,0,2,8,0
183,variety,1,3,7,1
184,cultural,0,3,8,1
185,backgrounds,0,3,11,1
186,Asian,0,3,5,1
187,ones,0,0,4,0
188,looking,0,3,7,1
189,things,0,1,6,0
190,available,0,5,9,1
191,elsewhere,0,4,9,1
192,city,0,1,4,0
193,low,0,1,3,0
194,prices,0,0,6,0
195,fresh,1,1,5,0
196,vegetable,0,4,9,1
197,vendors,0,2,7,0
198,unlike,0,3,6,1
