,Token,Score,Syllable_Count,Word_length,IsComplex
0,vendors,0,2,7,0
1,fruit,0,2,5,0
2,vegetable,0,4,9,1
3,sellers,0,2,7,0
4,began,0,2,5,0
5,venturing,0,3,9,1
6,days,0,1,4,0
7,without,0,3,7,1
8,explicit,0,3,8,1
9,permission,0,4,10,1
10,immediately,0,5,11,1
11,faced,0,0,5,0
12,police,0,3,6,1
13,harassment,-1,3,10,1
14,weeks,0,2,5,0
15,government,0,3,10,1
16,eased,1,0,5,0
17,restrictions,0,4,12,1
18,essential,0,4,9,1
19,vendors,0,2,7,0
20,permitted,0,0,9,0
21,vend,0,1,4,0
22,due,0,2,3,0
23,large,0,2,5,0
24,part,0,1,4,0
25,advocacy,0,3,8,1
26,vendor,0,2,6,0
27,organizations,0,6,13,1
28,activist,0,3,8,1
29,networks,0,2,8,0
30,However,0,3,7,1
31,cost,0,1,4,0
32,business,0,3,8,1
33,well,0,1,4,0
34,risk,-1,1,4,0
35,gone,0,2,4,0
36,significantly,0,4,13,1
37,vendors,0,2,7,0
38,access,0,2,6,0
39,wholesale,0,4,9,1
40,markets,0,2,7,0
41,suppliers,0,3,9,1
42,spend,0,1,5,0
43,travel,0,2,6,0
44,costs,0,1,5,0
45,due,0,2,3,0
46,travel,0,2,6,0
47,restrictions,0,4,12,1
48,place,0,2,5,0
49,city,0,1,4,0
50,Also,0,2,4,0
51,lockdown,0,2,8,0
52,partially,0,3,9,1
53,place,0,2,5,0
54,number,0,2,6,0
55,buyers,0,2,6,0
56,gone,0,2,4,0
57,earnings,0,3,8,1
58,Due,0,2,3,0
59,harsh,-1,1,5,0
60,summer,0,2,6,0
61,heat,0,2,4,0
62,perishable,0,4,10,1
63,fruits,0,2,6,0
64,vegetables,0,0,10,0
65,also,0,2,4,0
66,reduced,0,0,7,0
67,shelf,0,1,5,0
68,life,0,2,4,0
69,vendors,0,2,7,0
70,unable,-1,3,6,1
71,capitalize,0,5,10,1
72,whatever,0,3,8,1
73,produce,0,3,7,1
74,state,0,2,5,0
75,recently,0,2,8,0
76,announced,0,0,9,0
77,stimulus,0,3,8,1
78,package,0,3,7,1
79,INR,0,1,3,0
80,5000,0,0,4,0
81,crore,0,2,5,0
82,nearly,0,2,6,0
83,50,0,0,2,0
84,lakh,0,1,4,0
85,vendors,0,2,7,0
86,acknowledging,0,4,13,1
87,grave,0,2,5,0
88,impact,0,2,6,0
89,loss,-1,1,4,0
90,livelihood,0,5,10,1
91,intended,0,0,8,0
92,relief,1,3,6,1
93,vendors,0,2,7,0
94,credit,0,2,6,0
95,loan,0,2,4,0
96,provide,0,3,7,1
