,Token,Score,Syllable_Count,Word_length,IsComplex
0,future,0,3,6,1
1,upcoming,0,3,8,1
2,years,0,2,5,0
3,humans,0,2,6,0
4,machines,0,0,8,0
5,going,0,2,5,0
6,work,1,1,4,0
7,together,0,3,8,1
8,every,0,2,5,0
9,field,0,2,5,0
10,work,1,1,4,0
11,upcoming,0,3,8,1
12,days,0,1,4,0
13,machines,0,0,8,0
14,need,0,0,4,0
15,every,0,2,5,0
16,human,0,2,5,0
17,Machines,0,0,8,0
18,AI,0,2,2,0
19,technology,0,3,10,1
20,work,1,1,4,0
21,humans,0,2,6,0
22,incapable,-1,4,9,1
23,Machines,0,0,8,0
24,partner,0,2,7,0
25,co,0,1,2,0
26,operate,0,4,7,1
27,humans,0,2,6,0
28,According,0,3,9,1
29,professor,0,3,9,1
30,university,0,4,10,1
31,Washington,0,3,10,1
32,explained,0,0,9,0
33,result,0,2,6,0
34,AI,0,2,2,0
35,demand,0,2,6,0
36,existing,0,3,8,1
37,jobs,0,1,4,0
38,jobs,0,1,4,0
39,created,0,0,7,0
40,unimaginable,-1,6,12,1
41,today,0,2,5,0
42,Human,0,2,5,0
43,workers,0,2,7,0
44,machines,0,0,8,0
45,work,1,1,4,0
46,together,0,3,8,1
47,flawlessly,1,2,10,0
48,complementing,0,4,13,1
49,Machines,0,0,8,0
50,learn,0,2,5,0
51,carry,0,1,5,0
52,easier,1,4,6,1
53,tasks,0,1,5,0
54,following,0,3,9,1
55,processes,0,0,9,0
56,crunching,0,2,9,0
57,data,0,2,4,0
58,also,0,2,4,0
59,help,0,1,4,0
60,humans,0,2,6,0
61,difficult,-1,3,9,1
62,Machines,0,0,8,0
63,AI,0,2,2,0
64,create,0,3,6,1
65,great,1,2,5,0
66,job,0,1,3,0
67,opportunities,0,0,13,0
68,humans,0,2,6,0
69,future,0,3,6,1
70,John,0,1,4,0
71,Kelly,0,1,5,0
72,executive,0,5,9,1
73,vice,0,2,4,0
74,president,0,3,9,1
75,IBM,0,1,3,0
76,said,0,2,4,0
77,Man,0,1,3,0
78,Machines,0,0,8,0
79,working,0,2,7,0
80,together,0,3,8,1
81,always,0,2,6,0
82,beat,0,2,4,0
83,make,0,2,4,0
84,better,0,2,6,0
85,decision,0,4,8,1
86,man,0,1,3,0
87,machine,0,3,7,1
88,independently,0,4,13,1
89,future,0,3,6,1
90,sectors,0,2,7,0
91,country,0,2,7,0
92,like,0,2,4,0
93,agriculture,0,5,11,1
94,sector,0,2,6,0
95,industrial,0,4,10,1
96,sector,0,2,6,0
97,service,0,3,7,1
98,sector,0,2,6,0
99,going,0,2,5,0
100,utilize,0,4,7,1
101,machines,0,0,8,0
102,work,1,1,4,0
103,becomes,0,0,7,0
104,difficult,-1,3,9,1
105,agriculture,0,5,11,1
106,purposes,0,0,8,0
107,various,0,4,7,1
108,kinds,0,1,5,0
109,machines,0,0,8,0
110,used,0,0,4,0
111,called,0,0,6,0
112,modern,1,2,6,0
113,farming,0,2,7,0
114,method,0,2,6,0
115,major,0,2,5,0
116,technologies,0,0,12,0
117,machines,0,0,8,0
118,harvest,0,2,7,0
119,automation,0,6,10,1
120,autonomous,1,6,10,1
121,tractors,0,2,8,0
122,seeding,0,3,7,1
123,weeing,0,3,6,1
124,drones,-1,0,6,0
125,result,0,2,6,0
126,farms,0,1,5,0
127,agriculture,0,5,11,1
128,peacefully,1,4,10,1
129,industrial,0,4,10,1
130,sector,0,2,6,0
131,also,0,2,4,0
132,humans,0,2,6,0
133,machines,0,0,8,0
134,working,0,2,7,0
135,together,0,3,8,1
136,increase,0,4,8,1
137,production,0,4,10,1
138,Various,0,4,7,1
139,types,0,0,5,0
140,machines,0,0,8,0
141,used,0,0,4,0
142,industries,0,0,10,0
143,packing,0,2,7,0
144,machines,0,0,8,0
145,loading,0,3,7,1
146,machine,0,3,7,1
147,etc,0,1,3,0
148,humans,0,2,6,0
149,provide,0,3,7,1
150,instructions,0,4,12,1
151,machines,0,0,8,0
152,maintain,0,4,8,1
153,management,0,4,10,1
154,company,0,2,7,0
155,Soon,0,2,4,0
156,robots,0,2,6,0
157,machines,0,0,8,0
158,assist,0,2,6,0
159,doctors,0,2,7,0
160,surgeries,0,0,9,0
161,instance,0,3,8,1
162,doctor,0,2,6,0
163,remote,0,3,6,1
164,location,0,4,8,1
165,could,0,2,5,0
166,direct,0,2,6,0
167,surgical,0,3,8,1
168,robot,0,2,5,0
169,perform,0,2,7,0
170,open,0,2,4,0
171,heart,0,2,5,0
172,surgery,0,2,7,0
173,approaches,0,0,10,0
174,option,0,3,6,1
175,decision,0,4,8,1
176,left,0,1,4,0
177,experience,0,5,10,1
178,wisdom,0,2,6,0
179,doctor,0,2,6,0
180,robot,0,2,5,0
181,think,0,1,5,0
182,machines,0,0,8,0
183,make,0,2,4,0
