,Token,Score,Syllable_Count,Word_length,IsComplex
0,jumping,0,2,7,0
1,pros,1,1,4,0
2,cons,-1,1,4,0
3,industrial,0,4,10,1
4,revolution,0,5,10,1
5,4,0,0,1,0
6,0,0,0,1,0
7,important,1,3,9,1
8,understand,0,3,10,1
9,industrial,0,4,10,1
10,revolution,0,5,10,1
11,4,0,0,1,0
12,0,0,0,1,0
13,Industrial,0,4,10,1
14,Revolution,0,5,10,1
15,4,0,0,1,0
16,0,0,0,1,0
17,Industrial,0,4,10,1
18,revolution,0,5,10,1
19,4,0,0,1,0
20,0,0,0,1,0
21,term,0,1,4,0
22,used,0,0,4,0
23,describe,0,3,8,1
24,transition,0,4,10,1
25,electronic,0,4,10,1
26,based,0,0,5,0
27,industry,0,2,8,0
28,dominated,1,0,9,0
29,fusion,0,3,6,1
30,emerging,0,3,8,1
31,fields,0,2,6,0
32,ideas,0,3,5,1
33,like,0,2,4,0
34,Artificial,0,5,10,1
35,Intelligence,1,5,12,1
36,robotics,0,3,8,1
37,green,0,2,5,0
38,energy,0,2,6,0
39,etc,0,1,3,0
40,Industry,0,2,8,0
41,4,0,0,1,0
42,0,0,0,1,0
43,era,0,2,3,0
44,digitalization,0,7,14,1
45,term,0,1,4,0
46,originated,0,0,10,0
47,Hanover,0,3,7,1
48,Messe,0,2,5,0
49,2011,0,0,4,0
50,incorporated,0,0,12,0
51,German,0,2,6,0
52,high,0,1,4,0
53,tech,0,1,4,0
54,strategy,0,2,8,0
55,Much,0,1,4,0
56,attributed,0,0,10,0
57,Klaus,0,2,5,0
58,Schwab,0,1,6,0
59,German,0,2,6,0
60,engineer,0,4,8,1
61,founded,0,0,7,0
62,World,0,1,5,0
63,Economic,0,4,8,1
64,Forum,0,2,5,0
65,Two,0,1,3,0
66,years,0,2,5,0
67,later,0,2,5,0
68,Industry,0,2,8,0
69,4,0,0,1,0
70,0,0,0,1,0
71,Platform,0,2,8,0
72,central,0,2,7,0
73,network,0,2,7,0
74,digital,0,3,7,1
75,transformation,0,5,14,1
76,set,0,1,3,0
77,make,0,2,4,0
78,work,1,1,4,0
79,characterized,0,0,13,0
80,4,0,0,1,0
81,physical,0,2,8,0
82,digital,0,3,7,1
83,trends,0,1,6,0
84,1,0,0,1,0
85,Autonomous,1,6,10,1
86,motor,0,2,5,0
87,vehicles,0,0,8,0
88,cars,0,1,4,0
89,trucks,0,1,6,0
90,drones,-1,0,6,0
91,aircraft,0,3,8,1
92,water,0,2,5,0
93,vessels,0,2,7,0
94,2,0,0,1,0
95,3D,0,0,2,0
96,printing,0,2,8,0
97,medical,0,3,7,1
98,implants,0,2,8,0
99,3,0,0,1,0
100,Advanced,1,0,8,0
101,robotics,0,3,8,1
102,Agri,0,2,4,0
103,health,0,2,6,0
104,care,0,2,4,0
105,4,0,0,1,0
106,New,0,1,3,0
107,materials,0,4,9,1
108,graphene,0,3,8,1
109,Benefits,1,3,8,1
110,benefits,1,3,8,1
111,follows,0,2,7,0
112,helps,0,1,5,0
113,relieve,0,4,7,1
114,poverty,-1,2,7,0
115,improve,1,3,7,1
116,people,0,3,6,1
117,standard,0,2,8,0
118,living,0,2,6,0
119,artificial,0,5,10,1
120,intelligence,1,5,12,1
121,fast,0,1,4,0
122,paced,0,0,5,0
123,internet,0,3,8,1
124,like,0,2,4,0
125,5G,0,0,2,0
126,better,0,2,6,0
127,diagnosis,0,4,9,1
128,cheaper,1,3,7,1
129,better,0,2,6,0
130,medical,0,3,7,1
131,services,0,0,8,0
132,emergency,-1,3,9,1
133,innovative,1,5,10,1
134,technologies,0,0,12,0
135,helps,0,1,5,0
136,better,0,2,6,0
137,undertake,0,4,9,1
138,better,0,2,6,0
139,security,0,3,8,1
140,surveillance,0,5,12,1
141,search,0,2,6,0
142,rescue,0,3,6,1
143,operations,0,5,10,1
144,India,0,3,5,1
145,currently,0,2,9,0
146,announced,0,0,9,0
147,drone,0,2,5,0
148,policy,0,2,6,0
149,allows,0,2,6,0
150,efficient,1,4,9,1
151,security,0,3,8,1
152,traffic,0,2,7,0
153,mapping,0,2,7,0
154,help,0,1,4,0
155,connect,0,2,7,0
156,every,0,2,5,0
157,last,0,1,4,0
158,village,0,3,7,1
159,country,0,2,7,0
160,ensure,0,3,6,1
161,better,0,2,6,0
162,government,0,3,10,1
163,services,0,0,8,0
164,improved,1,0,8,0
165,infrastructure,0,5,14,1
166,Artificial,0,5,10,1
167,intelligence,1,5,12,1
168,play,0,1,4,0
169,significant,1,4,11,1
170,role,0,2,4,0
171,changing,0,2,8,0
172,lives,0,0,5,0
173,specially,0,3,9,1
174,abled,0,0,5,0
175,able,0,2,4,0
176,promotes,0,0,8,0
177,ease,1,3,4,1
178,business,0,3,8,1
179,ease,1,3,4,1
180,living,0,2,6,0
181,improved,1,0,8,0
182,early,0,2,5,0
183,warning,-1,2,7,0
184,systems,0,1,7,0
185,weather,0,3,7,1
186,forecasting,0,4,11,1
187,systems,0,1,7,0
188,etc,0,1,3,0
189,assure,1,3,6,1
190,improved,1,0,8,0
191,disaster,-1,3,8,1
192,management,0,4,10,1
193,reduce,0,3,6,1
194,causality,0,4,9,1
195,faster,1,2,6,0
196,evacuations,0,6,11,1
197,improvement,1,4,11,1
198,fields,0,2,6,0
199,biotechnology,0,5,13,1
200,AI,0,2,2,0
201,pest,-1,1,4,0
202,control,0,2,7,0
203,mechanism,0,3,9,1
204,innovative,1,5,10,1
205,irrigation,0,5,10,1
206,system,0,1,6,0
207,etc,0,1,3,0
208,allows,0,2,6,0
209,increased,0,0,9,0
210,crop,0,1,4,0
211,production,0,4,10,1
212,Pros,1,1,4,0
213,cons,-1,1,4,0
214,industrial,0,4,10,1
215,revolution,0,5,10,1
216,4,0,0,1,0
217,0,0,0,1,0
218,PROS,1,1,4,0
219,CONS,-1,1,4,0
220,Industry,0,2,8,0
221,4,0,0,1,0
222,0,0,0,1,0
223,helps,0,1,5,0
224,us,0,1,2,0
225,improve,1,3,7,1
226,operational,0,6,11,1
227,performance,0,4,11,1
228,efficiency,0,4,10,1
229,minimum,0,3,7,1
230,machine,0,3,7,1
231,downtimes,0,0,9,0
232,produce,0,3,7,1
233,faster,1,2,6,0
234,allocating,0,4,10,1
235,resources,0,0,9,0
236,cost,0,1,4,0
237,effectively,1,4,11,1
238,efficiently,1,4,11,1
239,Data,0,2,4,0
240,security,0,3,8,1
241,issues,-1,0,6,0
242,main,0,2,4,0
243,concerns,-1,2,8,0
244,manufacturers,0,5,13,1
245,believe,0,4,7,1
246,investing,0,3,9,1
247,smart,0,1,5,0
248,factories,0,0,9,0
249,increase,0,4,8,1
