,Token,Score,Syllable_Count,Word_length,IsComplex
0,perfection,1,4,10,1
1,really,0,2,6,0
2,every,0,2,5,0
3,person,0,2,6,0
4,expect,0,2,6,0
5,perfection,1,4,10,1
6,oneself,0,3,7,1
7,someone,0,4,7,1
8,else,0,2,4,0
9,certain,0,3,7,1
10,amounts,0,3,7,1
11,Many,0,1,4,0
12,times,0,0,5,0
13,certain,0,3,7,1
14,question,0,4,8,1
15,comes,0,0,5,0
16,mind,0,1,4,0
17,think,0,1,5,0
18,deem,0,2,4,0
19,perfect,1,2,7,0
20,verify,0,2,6,0
21,Let,0,1,3,0
22,us,0,1,2,0
23,understand,0,3,10,1
24,work,1,1,4,0
25,individuals,0,5,11,1
26,know,0,1,4,0
27,put,0,1,3,0
28,task,0,1,4,0
29,carpentry,0,2,9,0
30,budget,0,2,6,0
31,given,0,2,5,0
32,Rs,0,0,2,0
33,5000,0,0,4,0
34,Assumed,0,0,7,0
35,complete,0,3,8,1
36,task,0,1,4,0
37,go,0,1,2,0
38,beyond,0,2,6,0
39,budget,0,2,6,0
40,Manish,0,2,6,0
41,Vinay,0,2,5,0
42,Sameer,0,3,6,1
43,need,0,0,4,0
44,make,0,2,4,0
45,stool,0,2,5,0
46,Manish,0,2,6,0
47,understanding,0,4,13,1
48,carpentry,0,2,9,0
49,learns,0,2,6,0
50,YouTube,0,4,7,1
51,Vinay,0,2,5,0
52,took,0,2,4,0
53,carpentry,0,2,9,0
54,lessons,0,2,7,0
55,engineering,0,5,11,1
56,practical,0,3,9,1
57,idea,0,3,4,1
58,make,0,2,4,0
59,stool,0,2,5,0
60,Sameer,0,3,6,1
61,Carpenter,0,3,9,1
62,total,0,2,5,0
63,understanding,0,4,13,1
64,material,0,4,8,1
65,process,0,2,7,0
66,final,0,2,5,0
67,product,0,2,7,0
68,Let,0,1,3,0
69,us,0,1,2,0
70,start,0,1,5,0
71,Manish,0,2,6,0
72,Understand,0,3,10,1
73,task,0,1,4,0
74,get,0,1,3,0
75,jobs,0,1,4,0
76,done,0,2,4,0
77,Manish,0,2,6,0
78,options,0,3,7,1
79,either,0,3,6,1
80,order,0,2,5,0
81,parts,0,1,5,0
82,assemble,0,3,8,1
83,order,0,2,5,0
84,material,0,4,8,1
85,required,0,0,8,0
86,wood,0,2,4,0
87,glue,0,2,4,0
88,nails,0,2,5,0
89,etc,0,1,3,0
90,work,1,1,4,0
91,assembly,0,2,8,0
92,final,0,2,5,0
93,product,0,2,7,0
94,difference,0,4,10,1
95,lack,-1,1,4,0
96,expertise,0,4,9,1
97,field,0,2,5,0
98,Vinay,0,2,5,0
99,options,0,3,7,1
100,practical,0,3,9,1
101,experience,0,5,10,1
102,carpentry,0,2,9,0
103,classes,0,0,7,0
104,workshop,0,2,8,0
105,Engineering,0,5,11,1
106,Sameer,0,3,6,1
107,advantage,1,4,9,1
108,since,0,2,5,0
109,skill,1,1,5,0
110,experience,0,5,10,1
111,perfected,0,0,9,0
112,course,0,3,6,1
113,time,0,2,4,0
114,given,0,2,5,0
115,days,0,1,4,0
116,task,0,1,4,0
117,Since,0,2,5,0
118,Manish,0,2,6,0
119,finds,0,1,5,0
120,easy,1,2,4,0
121,assemble,0,3,8,1
122,stool,0,2,5,0
123,using,0,2,5,0
124,parts,0,1,5,0
125,procured,0,0,8,0
126,another,0,3,7,1
127,carpenter,0,3,9,1
128,talks,0,1,5,0
129,carpenter,0,3,9,1
130,knows,0,1,5,0
131,orders,0,2,6,0
132,3,0,0,1,0
133,leg,0,1,3,0
134,parts,0,1,5,0
135,6,0,0,1,0
136,horizontal,0,4,10,1
137,support,1,2,7,0
138,bars,0,1,4,0
139,circular,0,3,8,1
140,base,0,2,4,0
141,sit,0,1,3,0
142,top,1,1,3,0
143,Vinay,0,2,5,0
144,thinks,0,1,6,0
145,able,0,2,4,0
146,shape,0,2,5,0
147,parts,0,1,5,0
148,experience,0,5,10,1
149,student,0,2,7,0
150,orders,0,2,6,0
151,several,0,3,7,1
152,cylindrical,0,3,11,1
153,wooden,0,3,6,1
154,leg,0,1,3,0
155,parts,0,1,5,0
156,cuboidal,0,4,8,1
157,bars,0,1,4,0
158,thick,0,1,5,0
159,sheet,0,2,5,0
160,Sameer,0,3,6,1
161,required,0,0,8,0
162,material,0,4,8,1
163,shop,0,1,4,0
164,begins,0,2,6,0
165,work,1,1,4,0
166,stool,0,2,5,0
167,day,0,1,3,0
168,Manish,0,2,6,0
169,Vinay,0,2,5,0
170,wait,0,2,4,0
171,day,0,1,3,0
172,parts,0,1,5,0
173,come,0,2,4,0
174,begin,0,2,5,0
175,work,1,1,4,0
176,day,0,1,3,0
177,Manish,0,2,6,0
178,uses,0,0,4,0
179,tricks,0,1,6,0
180,learned,0,0,7,0
181,YouTube,0,4,7,1
182,videos,0,3,6,1
183,uses,0,0,4,0
184,hammer,0,2,6,0
185,place,0,2,5,0
186,nails,0,2,5,0
187,purchased,0,0,9,0
188,nearby,0,2,6,0
189,shop,0,1,4,0
190,pre,0,1,3,0
191,made,0,2,4,0
192,hole,0,2,4,0
193,applies,0,0,7,0
194,glue,0,2,4,0
195,certain,0,3,7,1
196,areas,0,3,5,1
197,directed,0,0,8,0
198,video,0,3,5,1
199,places,0,0,6,0
200,weight,0,2,6,0
201,assembled,0,0,9,0
202,stool,0,2,5,0
203,waits,0,2,5,0
204,glue,0,2,4,0
205,cure,1,2,4,0
206,Vinay,0,2,5,0
207,uses,0,0,4,0
208,borrowed,0,0,8,0
209,drill,0,1,5,0
210,bits,0,1,4,0
211,drill,0,1,5,0
212,machines,0,0,8,0
213,cutters,0,2,7,0
214,sandpapers,0,3,10,1
215,purchased,0,0,9,0
216,shop,0,1,4,0
217,etc,0,1,3,0
218,starts,0,1,6,0
219,working,0,2,7,0
220,wooden,0,3,6,1
221,parts,0,1,5,0
222,parts,0,1,5,0
223,arrive,0,3,6,1
224,morning,0,2,7,0
225,able,0,2,4,0
226,recall,0,2,6,0
227,carpentry,0,2,9,0
228,instructions,0,4,12,1
229,attempts,0,2,8,0
230,shape,0,2,5,0
231,parts,0,1,5,0
232,based,0,0,5,0
233,drawing,0,2,7,0
234,product,0,2,7,0
235,made,0,2,4,0
236,last,0,1,4,0
237,night,0,1,5,0
238,Sameer,0,3,6,1
239,meanwhile,0,4,9,1
240,completed,0,0,9,0
241,assembly,0,2,8,0
242,put,0,1,3,0
243,assembly,0,2,8,0
244,rest,0,1,4,0
245,glue,0,2,4,0
246,cure,1,2,4,0
247,day,0,1,3,0
248,stool,0,2,5,0
249,ready,0,2,5,0
250,evaluate,0,5,8,1
251,work,1,1,4,0
252,notice,0,3,6,1
253,certain,0,3,7,1
254,facts,0,1,5,0
255,Manish,0,2,6,0
256,notices,0,0,7,0
257,complete,0,3,8,1
258,task,0,1,4,0
259,stool,0,2,5,0
260,wobbly,0,1,6,0
261,glued,0,0,5,0
262,well,0,1,4,0
263,could,0,2,5,0
264,fall,-1,1,4,0
265,moment,0,2,6,0
266,sits,0,1,4,0
267,Also,0,2,4,0
268,forgets,0,2,7,0
269,polish,0,2,6,0
270,wooden,0,3,6,1
271,parts,0,1,5,0
272,give,0,2,4,0
273,professional,0,5,12,1
274,finish,0,2,6,0
275,since,0,2,5,0
276,forgot,0,2,6,0
277,watch,0,1,5,0
278,bit,0,1,3,0
279,video,0,3,5,1
280,YouTube,0,4,7,1
281,Vinay,0,2,5,0
282,completes,0,0,9,0
283,task,0,1,4,0
284,stool,0,2,5,0
285,sturdy,1,1,6,0
286,cured,0,0,5,0
287,well,0,1,4,0
288,overnight,0,3,9,1
289,minor,0,2,5,0
290,issues,-1,0,6,0
291,One,0,2,3,0
292,legs,0,1,4,0
293,cut,0,1,3,0
294,short,0,1,5,0
295,mm,0,0,2,0
296,stool,0,2,5,0
297,tad,0,1,3,0
298,unstable,-1,3,8,1
299,Sameer,0,3,6,1
300,hand,0,1,4,0
301,completes,0,0,9,0
302,task,0,1,4,0
303,good,0,2,4,0
304,product,0,2,7,0
305,stool,0,2,5,0
306,well,0,1,4,0
307,balanced,1,0,8,0
308,polished,1,0,8,0
309,expected,0,0,8,0
310,Sameer,0,3,6,1
311,satisfied,1,0,9,0
312,work,1,1,4,0
313,finds,0,1,5,0
314,stool,0,2,5,0
315,Perfect,1,2,7,0
316,Manish,0,2,6,0
317,thinks,0,1,6,0
318,considering,0,4,11,1
319,experience,0,5,10,1
320,task,0,1,4,0
321,done,0,2,4,0
322,satisfied,1,0,9,0
323,work,1,1,4,0
324,Vinay,0,2,5,0
325,unhappy,-1,2,7,0
326,could,0,2,5,0
327,done,0,2,4,0
328,better,0,2,6,0
329,made,0,2,4,0
330,product,0,2,7,0
331,better,0,2,6,0
332,find,0,1,4,0
333,efforts,0,2,7,0
334,well,0,1,4,0
335,put,0,1,3,0
336,thinks,0,1,6,0
337,productive,1,4,10,1
338,enough,0,3,6,1
339,hence,0,2,5,0
340,stool,0,2,5,0
341,nowhere,0,3,7,1
342,perfect,1,2,7,0
343,Understand,0,3,10,1
344,set,0,1,3,0
345,skills,0,1,6,0
346,experience,0,5,10,1
347,Sameer,0,3,6,1
348,right,0,1,5,0
349,skills,0,1,6,0
350,experience,0,5,10,1
351,produce,0,3,7,1
352,perfect,1,2,7,0
353,product,0,2,7,0
354,Manish,0,2,6,0
355,Sameer,0,3,6,1
356,satisfied,1,0,9,0
357,happy,1,1,5,0
358,work,1,1,4,0
359,Manish,0,2,6,0
360,made,0,2,4,0
361,wobbly,0,1,6,0
362,stool,0,2,5,0
363,could,0,2,5,0
364,break,-1,2,5,0
365,moment,0,2,6,0
366,someone,0,4,7,1
367,sat,0,1,3,0
368,happy,1,1,5,0
369,gave,0,2,4,0
370,task,0,1,4,0
371,go,0,1,2,0
372,thinks,0,1,6,0
373,put,0,1,3,0
374,efforts,0,2,7,0
375,good,0,2,4,0
376,job,0,1,3,0
377,Vinay,0,2,5,0
378,could,0,2,5,0
379,overcome,0,4,8,1
380,fact,0,1,4,0
381,work,1,1,4,0
382,perfect,1,2,7,0
383,Vinay,0,2,5,0
384,case,0,2,4,0
385,observed,0,0,8,0
386,could,0,2,5,0
387,deliver,0,3,7,1
388,learned,0,0,7,0
389,carpentry,0,2,9,0
390,classes,0,0,7,0
391,reason,0,3,6,1
392,simple,0,2,6,0
393,put,0,1,3,0
394,effort,0,2,6,0
395,experience,0,5,10,1
396,Experience,0,5,10,1
397,mattered,0,0,8,0
398,Since,0,2,5,0
399,Vinay,0,2,5,0
400,thinks,0,1,6,0
