,Token,Score,Syllable_Count,Word_length,IsComplex
0,beginning,0,3,9,1
1,upon,0,2,4,0
2,time,0,2,4,0
3,fairytale,0,4,9,1
4,advent,0,2,6,0
5,deadly,-1,2,6,0
6,virus,-1,2,5,0
7,called,0,0,6,0
8,Coronavirus,0,5,11,1
9,love,0,2,4,0
10,might,0,1,5,0
11,want,0,1,4,0
12,call,0,1,4,0
13,COVID,0,2,5,0
14,19,0,0,2,0
15,life,0,2,4,0
16,smooth,1,2,6,0
17,people,0,3,6,1
18,cribbing,0,2,8,0
19,written,0,2,7,0
20,Adam,0,2,4,0
21,Smith,0,1,5,0
22,Human,0,2,5,0
23,wants,0,1,5,0
24,endless,0,2,7,0
25,thus,0,1,4,0
26,know,0,1,4,0
27,humans,0,2,6,0
28,never,0,2,5,0
29,satisfied,1,0,9,0
30,busy,0,1,4,0
31,work,1,1,4,0
32,stressful,-1,2,9,0
33,lives,0,0,5,0
34,wanted,0,0,6,0
35,breaks,-1,2,6,0
36,used,0,0,4,0
37,crib,0,1,4,0
38,cry,-1,0,3,0
39,getting,0,2,7,0
40,time,0,2,4,0
41,family,0,2,6,0
42,friends,0,2,7,0
43,time,0,2,4,0
44,self,0,1,4,0
45,Coronavirus,0,5,11,1
46,outbreak,-1,4,8,1
47,taught,0,2,6,0
48,us,0,1,2,0
49,important,1,3,9,1
50,thankful,1,2,8,0
51,everything,0,3,10,1
52,lives,0,0,5,0
53,sitting,0,2,7,0
54,realize,0,4,7,1
55,lucky,0,1,5,0
56,go,0,1,2,0
57,amidst,0,2,6,0
58,crisis,-1,2,6,0
59,work,1,1,4,0
60,earn,0,2,4,0
61,bread,0,2,5,0
62,sorry,0,1,5,0
63,daily,0,2,5,0
64,wage,0,2,4,0
65,workers,0,2,7,0
66,go,0,1,2,0
67,lesson,0,2,6,0
68,survive,0,3,7,1
69,without,0,3,7,1
70,fast,0,1,4,0
71,food,0,2,4,0
72,chefs,0,1,5,0
73,made,0,2,4,0
74,lot,0,1,3,0
75,appealing,1,4,9,1
76,tasty,0,1,5,0
77,dishes,0,0,6,0
78,without,0,3,7,1
79,spending,0,2,8,0
80,huge,0,2,4,0
81,bogus,-1,2,5,0
82,amount,0,3,6,1
83,lesson,0,2,6,0
84,family,0,2,6,0
85,everything,0,3,10,1
86,quarantine,0,5,10,1
87,realized,0,0,8,0
88,spending,0,2,8,0
89,time,0,2,4,0
90,family,0,2,6,0
91,stress,-1,1,6,0
92,busting,0,2,7,0
93,helps,0,1,5,0
94,creative,1,4,8,1
95,need,0,0,4,0
96,hobbies,0,0,7,0
97,going,0,2,5,0
98,chilling,0,2,8,0
99,need,0,0,4,0
100,look,0,2,4,0
101,weather,0,3,7,1
102,April,0,2,5,0
103,scorching,-1,2,9,0
104,heat,0,2,4,0
105,used,0,0,4,0
106,face,0,2,4,0
107,lovely,0,2,6,0
108,nature,0,3,6,1
109,recovering,0,4,10,1
110,Whenever,0,3,8,1
111,wake,0,2,4,0
112,morning,0,2,7,0
113,go,0,1,2,0
114,terrace,0,3,7,1
115,Yoga,0,2,4,0
116,find,0,1,4,0
117,families,0,0,8,0
118,walking,0,2,7,0
119,gossiping,0,3,9,1
120,brought,0,2,7,0
121,everyone,0,4,8,1
122,close,0,2,5,0
123,Mended,0,0,6,0
124,relation,0,4,8,1
125,Instagram,0,3,9,1
126,stories,0,0,7,0
127,make,0,2,4,0
128,realize,0,4,7,1
129,talent,1,2,6,0
130,time,0,2,4,0
131,introspect,0,3,10,1
132,running,0,2,7,0
133,race,0,2,4,0
134,best,0,1,4,0
135,economic,0,4,8,1
136,point,0,2,5,0
137,view,0,2,4,0
138,though,0,2,6,0
139,savings,1,2,7,0
140,leakage,-1,4,7,1
141,money,0,2,5,0
142,flow,0,1,4,0
143,savings,1,2,7,0
144,important,1,3,9,1
145,unforeseen,-1,5,10,1
146,circumstances,0,0,13,0
147,lockdown,0,2,8,0
148,given,0,2,5,0
149,us,0,1,2,0
150,time,0,2,4,0
151,reconnect,0,3,9,1
152,get,0,1,3,0
153,together,0,3,8,1
154,loved,1,0,5,0
155,ones,0,0,4,0
156,want,0,1,4,0
157,main,0,2,4,0
158,lesson,0,2,6,0
159,enjoy,1,2,5,0
160,life,0,2,4,0
161,every,0,2,5,0
162,moment,0,2,6,0
163,never,0,2,5,0
164,know,0,1,4,0
165,might,0,1,5,0
166,happen,0,2,6,0
167,anyone,0,3,6,1
