,Token,Score,Syllable_Count,Word_length,IsComplex
0,current,0,2,7,0
1,topic,0,2,5,0
2,burning,-1,2,7,0
3,world,0,1,5,0
4,alive,0,3,5,1
5,deadly,-1,2,6,0
6,coronavirus,0,5,11,1
7,Let,0,1,3,0
8,us,0,1,2,0
9,understand,0,3,10,1
10,coronavirus,0,5,11,1
11,actually,0,3,8,1
12,According,0,3,9,1
13,World,0,1,5,0
14,Health,0,2,6,0
15,Organization,0,6,12,1
16,Coronavirus,0,5,11,1
17,disease,0,4,7,1
18,called,0,0,6,0
19,COVID,0,2,5,0
20,19,0,0,2,0
21,infectious,0,5,10,1
22,disease,0,4,7,1
23,caused,0,0,6,0
24,newly,0,1,5,0
25,discovered,0,0,10,0
26,Coronavirus,0,5,11,1
27,COVID,0,2,5,0
28,19,0,0,2,0
29,virus,-1,2,5,0
30,virus,-1,2,5,0
31,affects,0,2,7,0
32,different,0,3,9,1
33,people,0,3,6,1
34,world,0,1,5,0
35,different,0,3,9,1
36,ways,0,1,4,0
37,COVID,0,2,5,0
38,19,0,0,2,0
39,disease,0,4,7,1
40,respiratory,0,4,11,1
41,disease,0,4,7,1
42,infected,-1,0,8,0
43,people,0,3,6,1
44,develop,0,3,7,1
45,mild,0,1,4,0
46,moderate,0,4,8,1
47,symptoms,-1,1,8,0
48,recover,1,3,7,1
49,without,0,3,7,1
50,even,0,2,4,0
51,requiring,0,4,9,1
52,special,0,3,7,1
53,treatment,0,3,9,1
54,people,0,3,6,1
55,already,0,3,7,1
56,underlying,0,3,10,1
57,medical,0,3,7,1
58,conditions,0,4,10,1
59,people,0,3,6,1
60,60,0,0,2,0
61,years,0,2,5,0
62,old,0,1,3,0
63,higher,0,2,6,0
64,risk,-1,1,4,0
65,developing,0,4,10,1
66,severe,-1,3,6,1
67,disease,0,4,7,1
68,death,-1,2,5,0
69,Common,0,2,6,0
70,symptoms,-1,1,8,0
71,include,0,3,7,1
72,fever,-1,2,5,0
73,tiredness,0,3,9,1
74,dry,0,0,3,0
75,cough,0,2,5,0
76,symptoms,-1,1,8,0
77,include,0,3,7,1
78,shortness,-1,2,9,0
79,breath,0,2,6,0
