,Token,Score,Syllable_Count,Word_length,IsComplex
0,Introduction,0,5,12,1
1,disruptive,-1,4,10,1
2,technology,0,3,10,1
3,taking,0,2,6,0
4,us,0,1,2,0
5,Take,0,2,4,0
6,leave,0,3,5,1
7,disruptive,-1,4,10,1
8,technology,0,3,10,1
9,always,0,2,6,0
10,creates,0,0,7,0
11,jobs,0,1,4,0
12,much,0,1,4,0
13,depleted,0,0,8,0
14,jobs,0,1,4,0
15,might,0,1,5,0
16,notice,0,3,6,1
17,certain,0,3,7,1
18,jobs,0,1,4,0
19,disappearing,0,5,12,1
20,jobs,0,1,4,0
21,jobs,0,1,4,0
22,transform,0,2,9,0
23,humans,0,2,6,0
24,robots,0,2,6,0
25,machines,0,0,8,0
26,technology,0,3,10,1
27,creating,0,3,8,1
28,machines,0,0,8,0
29,replace,0,3,7,1
30,Technology,0,3,10,1
31,creates,0,0,7,0
32,data,0,2,4,0
33,analysis,0,3,8,1
34,tools,0,2,5,0
35,manipulate,-1,5,10,1
36,create,0,3,6,1
37,custom,0,2,6,0
38,scenarios,0,4,9,1
39,using,0,2,5,0
40,artificial,0,5,10,1
41,intelligence,1,5,12,1
42,AI,0,2,2,0
43,Big,0,1,3,0
44,Data,0,2,4,0
45,Machine,0,3,7,1
46,Learning,0,3,8,1
47,ML,0,0,2,0
48,algorithms,0,3,10,1
49,predict,0,2,7,0
50,drive,0,2,5,0
51,consumer,0,3,8,1
52,behavior,0,4,8,1
53,Data,0,2,4,0
54,Analytics,0,3,9,1
55,tools,0,2,5,0
56,Google,0,3,6,1
57,Analytics,0,3,9,1
58,others,0,2,6,0
59,available,0,5,9,1
60,today,0,2,5,0
61,free,0,2,4,0
62,used,0,0,4,0
63,correctly,1,2,9,0
64,help,0,1,4,0
65,organizations,0,6,13,1
66,save,0,2,4,0
67,millions,0,3,8,1
68,maybe,0,2,5,0
69,billions,0,3,8,1
70,dollars,0,2,7,0
71,sales,0,0,5,0
72,marketing,0,3,9,1
73,machine,0,3,7,1
74,replace,0,3,7,1
75,humans,0,2,6,0
76,go,0,1,2,0
77,think,0,1,5,0
78,level,0,2,5,0
79,set,0,1,3,0
80,constitutes,0,0,11,0
81,machines,0,0,8,0
82,context,0,2,7,0
83,article,0,3,7,1
84,machines,0,0,8,0
85,describe,0,3,8,1
86,computers,0,3,9,1
87,computerized,0,0,12,0
88,equipment,0,4,9,1
89,like,0,2,4,0
90,robots,0,2,6,0
91,programmed,0,0,10,0
92,learn,0,2,5,0
93,sometimes,0,0,9,0
94,like,0,2,4,0
95,humans,0,2,6,0
96,Occasionally,0,5,12,1
97,call,0,1,4,0
98,Artificial,0,5,10,1
99,Intelligence,1,5,12,1
100,AI,0,2,2,0
101,times,0,0,5,0
102,call,0,1,4,0
103,machine,0,3,7,1
104,learning,0,3,8,1
105,times,0,0,5,0
106,call,0,1,4,0
107,robotics,0,3,8,1
108,yes,0,0,3,0
109,technically,0,3,11,1
110,different,0,3,9,1
111,things,0,1,6,0
112,bots,0,1,4,0
113,efficient,1,4,9,1
114,humans,0,2,6,0
115,specific,0,3,8,1
116,domains,0,3,7,1
117,growing,0,2,7,0
118,smarter,1,2,7,0
119,passing,0,2,7,0
120,day,0,1,3,0
121,really,0,2,6,0
122,tough,1,2,5,0
123,tasks,0,1,5,0
124,considered,0,0,10,0
125,difficult,-1,3,9,1
126,human,0,2,5,0
127,within,0,2,6,0
128,broad,0,2,5,0
129,discussion,0,4,10,1
130,related,0,0,7,0
131,future,0,3,6,1
132,work,1,1,4,0
133,totally,0,2,7,0
134,interrelated,0,0,12,0
135,Factory,0,2,7,0
136,floors,0,2,6,0
137,deploy,0,2,6,0
138,robots,0,2,6,0
139,increasingly,0,4,12,1
140,driven,0,2,6,0
141,machine,0,3,7,1
142,learning,0,3,8,1
143,algorithms,0,3,10,1
144,adjust,0,2,6,0
145,people,0,3,6,1
146,working,0,2,7,0
147,alongside,0,4,9,1
148,machine,0,3,7,1
149,work,1,1,4,0
150,efficiently,1,4,11,1
151,abundant,1,3,8,1
152,data,0,2,4,0
153,information,0,5,11,1
154,work,1,1,4,0
155,imparted,0,0,8,0
156,daily,0,2,5,0
157,every,0,2,5,0
158,forward,0,2,7,0
159,step,0,1,4,0
160,advancement,0,4,11,1
161,technology,0,3,10,1
162,threat,-1,2,6,0
163,proliferating,0,5,13,1
164,threat,-1,2,6,0
165,replaced,0,0,8,0
166,work,1,1,4,0
167,front,0,1,5,0
168,Every,0,2,5,0
169,passing,0,2,7,0
170,day,0,1,3,0
171,sealing,0,3,7,1
172,jobs,0,1,4,0
173,humans,0,2,6,0
174,globe,0,2,5,0
175,Similarly,0,3,9,1
176,AI,0,2,2,0
177,used,0,0,4,0
178,turn,0,1,4,0
179,hand,0,1,4,0
180,drawn,0,1,5,0
181,sketches,0,0,8,0
182,done,0,2,4,0
183,humans,0,2,6,0
184,digital,0,3,7,1
185,source,0,3,6,1
186,code,0,2,4,0
187,Role,0,2,4,0
188,Machines,0,0,8,0
189,Companies,0,0,9,0
190,future,0,3,6,1
191,Companies,0,0,9,0
192,clearly,0,2,7,0
193,developing,0,4,10,1
194,AI,0,2,2,0
195,robotics,0,3,8,1
196,expertise,0,4,9,1
197,idea,0,3,4,1
198,technological,0,5,13,1
199,innovations,0,5,11,1
200,able,0,2,4,0
201,cut,0,1,3,0
202,costs,0,1,5,0
203,increase,0,4,8,1
204,efficiencies,0,0,12,0
205,offer,0,2,5,0
206,value,0,3,5,1
207,propositions,0,5,12,1
208,execute,0,4,7,1
209,business,0,3,8,1
210,models,0,2,6,0
211,course,0,3,6,1
212,machines,0,0,8,0
213,creatives,0,0,9,0
214,working,0,2,7,0
215,together,0,3,8,1
216,either,0,3,6,1
217,another,0,3,7,1
218,example,0,3,7,1
219,Amazon,0,3,6,1
220,employed,0,0,8,0
221,100,0,0,3,0
222,000,0,0,3,0
223,robots,0,2,6,0
224,warehouses,0,0,10,0
225,efficiently,1,4,11,1
226,move,0,2,4,0
227,things,0,1,6,0
228,around,0,3,6,1
229,increased,0,0,9,0
230,warehouse,0,5,9,1
231,workforce,0,3,9,1
232,80,0,0,2,0
233,000,0,0,3,0
234,Humans,0,2,6,0
235,Amazon,0,3,6,1
236,case,0,2,4,0
237,picking,0,2,7,0
238,packing,0,2,7,0
239,goods,0,2,5,0
240,robots,0,2,6,0
241,move,0,2,4,0
242,orders,0,2,6,0
243,around,0,3,6,1
244,giant,0,2,5,0
245,warehouses,0,0,10,0
246,essentially,0,4,11,1
247,cutting,0,2,7,0
248,walking,0,2,7,0
249,required,0,0,8,0
250,workers,0,2,7,0
251,making,0,2,6,0
252,Amazon,0,3,6,1
253,pickers,0,2,7,0
254,efficient,1,4,9,1
255,less,0,1,4,0
256,tired,-1,0,5,0
257,Plus,0,1,4,0
258,robots,0,2,6,0
259,allow,0,2,5,0
260,Amazon,0,3,6,1
261,pack,0,1,4,0
262,shelves,0,0,7,0
263,together,0,3,8,1
264,like,0,2,4,0
265,cars,0,1,4,0
266,rush,0,1,4,0
267,hour,0,2,4,0
268,traffic,0,2,7,0
269,longer,0,2,6,0
270,need,0,0,4,0
271,aisle,0,3,5,1
272,space,0,2,5,0
273,humans,0,2,6,0
274,greater,0,3,7,1
275,density,0,2,7,0
276,shelf,0,1,5,0
277,space,0,2,5,0
278,means,0,2,5,0
279,inventory,0,3,9,1
280,roof,0,2,4,0
281,means,0,2,5,0
282,better,0,2,6,0
283,selection,0,4,9,1
284,customers,0,3,9,1
285,Machines,0,0,8,0
286,replace,0,3,7,1
287,humans,0,2,6,0
288,next,0,1,4,0
289,decades,0,0,7,0
290,maybe,0,2,5,0
291,sooner,0,3,6,1
292,notion,0,3,6,1
293,work,1,1,4,0
294,whether,0,2,7,0
295,handled,0,0,7,0
296,human,0,2,5,0
297,virtual,0,3,7,1
298,hinge,0,2,5,0
299,predictability,0,5,14,1
300,starting,0,2,8,0
301,today,0,2,5,0
302,machines,0,0,8,0
303,manage,0,3,6,1
304,routine,0,4,7,1
305,humans,0,2,6,0
306,take,0,2,4,0
307,unpredictable,-1,5,13,1
308,tasks,0,1,5,0
309,require,0,4,7,1
310,creativity,0,4,10,1
311,problem,-1,2,7,0
312,solving,0,2,7,0
313,flexibility,1,4,11,1
314,context,0,2,7,0
315,robotics,0,3,8,1
316,seen,0,2,4,0
317,means,0,2,5,0
318,improve,1,3,7,1
319,operations,0,5,10,1
320,efficiency,0,4,10,1
321,also,0,2,4,0
322,improve,1,3,7,1
323,quality,0,3,7,1
324,life,0,2,4,0
325,workers,0,2,7,0
326,Although,0,3,8,1
327,obvious,0,4,7,1
328,human,0,2,5,0
329,factors,0,2,7,0
330,involved,0,0,8,0
331,work,1,1,4,0
332,activity,0,3,8,1
333,impact,0,2,6,0
334,job,0,1,3,0
335,automation,0,6,10,1
336,also,0,2,4,0
337,true,0,2,4,0
338,highly,0,1,6,0
339,repetitive,-1,5,10,1
340,tasks,0,1,5,0
341,even,0,2,4,0
342,mechanical,0,4,10,1
343,ones,0,0,4,0
344,ideal,1,3,5,1
345,robots,0,2,6,0
346,Besides,0,0,7,0
347,greater,0,3,7,1
348,efficiency,0,4,10,1
349,speed,0,0,5,0
350,automation,0,6,10,1
351,leads,1,2,5,0
352,lower,0,2,5,0
353,risk,-1,1,4,0
354,accidents,0,3,9,1
355,greater,0,3,7,1
356,control,0,2,7,0
357,autonomy,0,4,8,1
358,fewer,0,2,5,0
359,costs,0,1,5,0
360,organizations,0,6,13,1
361,Machines,0,0,8,0
362,diligent,1,3,8,1
363,humans,0,2,6,0
364,Although,0,3,8,1
365,artificial,0,5,10,1
366,intelligence,1,5,12,1
367,machine,0,3,7,1
368,learning,0,3,8,1
369,make,0,2,4,0
370,us,0,1,2,0
371,believe,0,4,7,1
372,robots,0,2,6,0
373,endowed,0,0,7,0
374,superior,1,4,8,1
375,intelligence,1,5,12,1
376,fact,0,1,4,0
377,yet,0,1,3,0
378,ability,0,3,7,1
379,learn,0,2,5,0
380,experience,0,5,10,1
381,respond,0,2,7,0
382,unknowns,0,2,8,0
383,things,0,1,6,0
384,stand,0,1,5,0
385,however,0,3,7,1
386,much,0,1,4,0
387,processing,0,3,10,1
388,speed,0,0,5,0
389,automatic,0,5,9,1
390,learning,0,3,8,1
391,robot,0,2,5,0
392,beat,0,2,4,0
393,factors,0,2,7,0
394,innate,0,3,6,1
395,human,0,2,5,0
396,brain,0,2,5,0
397,Humans,0,2,6,0
398,essential,0,4,9,1
399,part,0,1,4,0
400,process,0,2,7,0
401,Think,0,1,5,0
402,delivering,0,4,10,1
403,services,0,0,8,0
404,client,0,2,6,0
405,customer,0,3,8,1
406,challenges,0,0,10,0
407,routine,0,4,7,1
408,humans,0,2,6,0
409,play,0,1,4,0
410,important,1,3,9,1
411,role,0,2,4,0
412,addressing,0,3,10,1
413,issues,-1,0,6,0
414,solving,0,2,7,0
415,time,0,2,4,0
416,appear,0,3,6,1
417,consolidating,0,5,13,1
418,process,0,2,7,0
419,system,0,1,6,0
420,Machines,0,0,8,0
421,vs,0,0,2,0
422,Humans,0,2,6,0
423,premium,0,3,7,1
424,machines,0,0,8,0
425,humans,0,2,6,0
426,placed,0,0,6,0
427,proximity,0,3,9,1
428,robots,0,2,6,0
429,expensive,-1,4,9,1
430,apply,0,1,5,0
431,types,0,0,5,0
432,especially,0,4,10,1
433,based,0,0,5,0
434,Robotic,0,3,7,1
435,Process,0,2,7,0
436,Automation,0,6,10,1
437,RPA,0,1,3,0
438,development,0,4,11,1
439,process,0,2,7,0
440,incorporates,0,0,12,0
441,algorithms,0,3,10,1
442,significantly,0,4,13,1
443,reduce,0,3,6,1
444,costs,0,1,5,0
445,Moreover,0,4,8,1
446,think,0,1,5,0
447,domestic,0,3,8,1
448,robots,0,2,6,0
449,vacuum,0,3,6,1
450,cleaner,1,3,7,1
451,lawn,0,1,4,0
452,mower,0,2,5,0
453,pool,0,2,4,0
454,cleaner,1,3,7,1
455,increasingly,0,4,12,1
456,part,0,1,4,0
457,daily,0,2,5,0
458,lives,0,0,5,0
459,level,0,2,5,0
460,consumption,0,4,11,1
461,robotics,0,3,8,1
462,attained,0,0,8,0
463,makes,0,0,5,0
464,affordable,1,4,10,1
465,automate,0,5,8,1
466,tasks,0,1,5,0
467,modern,1,2,6,0
468,homes,0,0,5,0
469,obtain,0,3,6,1
470,greater,0,3,7,1
471,control,0,2,7,0
472,security,0,3,8,1
473,comfort,1,2,7,0
474,Man,0,1,3,0
475,Machines,0,0,8,0
476,together,0,3,8,1
477,division,0,4,8,1
478,humans,0,2,6,0
479,machines,0,0,8,0
480,clear,1,2,5,0
481,machine,0,3,7,1
482,boundary,0,3,8,1
483,getting,0,2,7,0
484,fuzzier,0,3,7,1
485,Smart,0,1,5,0
486,prosthetics,0,3,11,1
487,fuse,0,2,4,0
488,seamlessly,0,3,10,1
489,bodies,0,0,6,0
490,making,0,2,6,0
491,lost,-1,1,4,0
492,limbs,0,1,5,0
493,providing,0,3,9,1
494,additional,0,5,10,1
495,strength,0,1,8,0
496,stability,1,3,9,1
497,resilience,0,5,10,1
498,seen,0,2,4,0
499,exoskeletons,0,5,12,1
500,donned,0,0,6,0
501,assembly,0,2,8,0
502,line,0,2,4,0
503,workers,0,2,7,0
504,use,0,2,3,0
505,smartphones,0,0,11,0
506,symbiotically,0,4,13,1
507,integrated,1,0,10,0
508,directly,0,2,8,0
509,bodies,0,0,6,0
510,Think,0,1,5,0
511,smartphone,0,3,10,1
512,form,0,1,4,0
513,contact,0,2,7,0
514,lens,0,1,4,0
515,capable,1,3,7,1
516,transparently,0,3,13,1
517,delivering,0,4,10,1
518,augmented,0,0,9,0
519,reality,0,3,7,1
520,images,0,0,6,0
521,straight,0,2,8,0
522,brain,0,2,5,0
523,Think,0,1,5,0
524,sounds,0,2,6,0
525,like,0,2,4,0
526,science,0,3,7,1
527,fiction,-1,3,7,1
528,Think,0,1,5,0
529,prototypes,0,0,10,0
530,already,0,3,7,1
531,built,0,2,5,0
532,Soon,0,2,4,0
533,brain,0,2,5,0
534,computer,0,3,8,1
535,interfaces,0,0,10,0
536,could,0,2,5,0
537,become,0,3,6,1
538,seamless,1,3,8,1
539,well,0,1,4,0
540,creating,0,3,8,1
541,synergistic,0,3,11,1
542,relationship,0,5,12,1
543,cloud,0,2,5,0
544,us,0,1,2,0
545,point,0,2,5,0
546,question,0,4,8,1
547,knows,0,1,5,0
548,would,0,2,5,0
549,moot,-1,2,4,0
550,ask,0,1,3,0
551,question,0,4,8,1
552,know,0,1,4,0
553,answer,0,2,6,0
554,Sometimes,0,0,9,0
555,answer,0,2,6,0
556,stored,0,0,6,0
557,neural,0,3,6,1
558,circuitry,0,3,9,1
559,time,0,2,4,0
560,would,0,2,5,0
561,come,0,2,4,0
562,connection,0,4,10,1
563,neurons,0,3,7,1
564,web,0,1,3,0
565,brain,0,2,5,0
566,decision,0,4,8,1
567,process,0,2,7,0
568,influenced,0,0,10,0
569,educated,1,0,8,0
570,cultural,0,3,8,1
571,context,0,2,7,0
572,external,0,3,8,1
573,factors,0,2,7,0
574,influencing,0,4,11,1
575,decision,0,4,8,1
576,processes,0,0,9,0
577,point,0,2,5,0
578,certain,0,3,7,1
579,situations,0,5,10,1
580,legitimately,0,5,12,1
581,claim,0,2,5,0
582,influence,0,4,9,1
583,strong,0,1,6,0
584,brains,0,2,6,0
585,held,0,1,4,0
586,accountable,0,5,11,1
587,choices,0,0,7,0
588,made,0,2,4,0
589,point,0,2,5,0
590,trying,0,1,6,0
591,make,0,2,4,0
592,humans,0,2,6,0
593,symbiosis,0,3,9,1
594,cultural,0,3,8,1
595,environment,0,4,11,1
596,tools,0,2,5,0
597,physical,0,2,8,0
598,conceptual,0,4,10,1
599,taught,0,2,6,0
600,use,0,2,3,0
601,guess,0,2,5,0
602,transformation,0,5,14,1
603,subtle,0,2,6,0
604,Conclusion,0,4,10,1
605,Practically,0,3,11,1
606,speaking,0,3,8,1
607,robots,0,2,6,0
608,growing,0,2,7,0
609,point,0,2,5,0
610,take,0,2,4,0
611,world,0,1,5,0
612,start,0,1,5,0
613,creating,0,3,8,1
614,smarter,1,2,7,0
615,better,0,2,6,0
616,robots,0,2,6,0
