,Token,Score,Syllable_Count,Word_length,IsComplex
0,Management,0,4,10,1
1,acts,0,1,4,0
2,guide,0,3,5,1
3,group,0,2,5,0
4,people,0,3,6,1
5,working,0,2,7,0
6,organization,0,6,12,1
7,coordinating,0,5,12,1
8,efforts,0,2,7,0
9,towards,0,2,7,0
10,attainment,0,4,10,1
11,common,0,2,6,0
12,objective,0,4,9,1
13,Management,0,4,10,1
14,challenges,0,0,10,0
15,future,0,3,6,1
16,digitalization,0,7,14,1
17,healthcare,0,4,10,1
18,services,0,0,8,0
19,CHARACTERISTICS,0,5,15,1
20,future,0,3,6,1
21,digitalization,0,7,14,1
22,healthcare,0,4,10,1
23,Universal,0,4,9,1
24,organizations,0,6,13,1
25,whether,0,2,7,0
26,profit,0,2,6,0
27,making,0,2,6,0
28,require,0,4,7,1
29,management,0,4,10,1
30,managing,0,3,8,1
31,activities,0,0,10,0
32,Hence,0,2,5,0
33,universal,0,4,9,1
34,nature,0,3,6,1
35,Goal,0,2,4,0
36,Oriented,0,0,8,0
37,Every,0,2,5,0
38,organization,0,6,12,1
39,set,0,1,3,0
40,predetermined,0,0,13,0
41,objective,0,4,9,1
42,management,0,4,10,1
43,helps,0,1,5,0
44,reaching,0,3,8,1
45,goals,0,2,5,0
46,timely,1,2,6,0
47,smoothly,1,2,8,0
48,Continuous,0,5,10,1
49,Process,0,2,7,0
50,ongoing,0,3,7,1
51,process,0,2,7,0
52,tends,0,1,5,0
53,persist,0,2,7,0
54,long,0,1,4,0
55,organization,0,6,12,1
56,exists,0,2,6,0
57,required,0,0,8,0
58,every,0,2,5,0
59,sphere,0,2,6,0
60,organization,0,6,12,1
61,whether,0,2,7,0
62,production,0,4,10,1
63,human,0,2,5,0
64,resource,0,4,8,1
65,finance,0,3,7,1
66,marketing,0,3,9,1
67,Multi,0,2,5,0
68,dimensional,0,5,11,1
69,Management,0,4,10,1
70,confined,-1,0,8,0
71,administration,0,6,14,1
72,people,0,3,6,1
73,also,0,2,4,0
74,manages,0,0,7,0
75,work,1,1,4,0
76,processes,0,0,9,0
77,operations,0,5,10,1
78,makes,0,0,5,0
79,multi,0,2,5,0
80,disciplinary,0,4,12,1
81,activity,0,3,8,1
82,Group,0,2,5,0
83,activity,0,3,8,1
84,organization,0,6,12,1
85,consists,0,2,8,0
86,various,0,4,7,1
87,members,0,2,7,0
88,different,0,3,9,1
89,needs,0,2,5,0
90,expectations,0,5,12,1
91,beliefs,0,3,7,1
92,Every,0,2,5,0
93,person,0,2,6,0
94,joins,0,2,5,0
95,organization,0,6,12,1
96,different,0,3,9,1
97,motive,0,3,6,1
98,becoming,0,3,8,1
99,part,0,1,4,0
100,organization,0,6,12,1
101,work,1,1,4,0
102,achieving,0,4,9,1
103,goal,0,2,4,0
104,requires,0,0,8,0
105,supervision,0,5,11,1
106,teamwork,0,3,8,1
107,coordination,0,6,12,1
108,way,0,1,3,0
109,management,0,4,10,1
110,comes,0,0,5,0
111,picture,0,3,7,1
112,LEVELS,0,2,6,0
113,MANAGEMENT,0,4,10,1
114,Top,1,1,3,0
115,Level,0,2,5,0
116,Management,0,4,10,1
117,highest,0,2,7,0
118,level,0,2,5,0
119,organizational,0,7,14,1
120,hierarchy,0,3,9,1
121,includes,0,0,8,0
122,Board,0,2,5,0
123,Directors,0,3,9,1
