,Token,Score,Syllable_Count,Word_length,IsComplex
0,British,0,2,7,0
1,ruled,0,0,5,0
2,India,0,3,5,1
3,Indians,0,3,7,1
4,accepted,0,0,8,0
5,work,1,1,4,0
6,policy,0,2,6,0
7,try,0,0,3,0
8,rebel,0,2,5,0
9,British,0,2,7,0
10,presence,0,3,8,1
11,Indian,0,3,6,1
12,lands,0,1,5,0
13,recognized,0,0,10,0
14,benefits,1,3,8,1
15,British,0,2,7,0
16,rule,0,2,4,0
17,factor,0,2,6,0
18,made,0,2,4,0
19,Indians,0,3,7,1
20,accept,0,2,6,0
21,British,0,2,7,0
22,government,0,3,10,1
23,perception,0,4,10,1
24,British,0,2,7,0
25,policies,0,0,8,0
26,trading,0,2,7,0
27,pay,0,1,3,0
28,scale,0,2,5,0
29,positioning,0,5,11,1
30,military,0,3,8,1
31,done,0,2,4,0
32,various,0,4,7,1
33,marketing,0,3,9,1
34,channels,0,2,8,0
35,brainwashed,0,0,11,0
36,people,0,3,6,1
37,nation,0,3,6,1
38,ready,0,2,5,0
39,accept,0,2,6,0
40,British,0,2,7,0
41,Marketing,0,3,9,1
42,like,0,2,4,0
43,fire,0,2,4,0
44,smartly,1,1,7,0
45,handled,0,0,7,0
46,destroy,-1,2,7,0
47,enemies,-1,0,7,0
48,burn,-1,1,4,0
49,Marketing,0,3,9,1
50,design,0,2,6,0
51,develop,0,3,7,1
52,pathway,0,2,7,0
53,product,0,2,7,0
54,service,0,3,7,1
55,customer,0,3,8,1
56,product,0,2,7,0
57,price,0,2,5,0
58,place,0,2,5,0
59,promotion,0,4,9,1
60,strategies,0,0,10,0
61,Marketing,0,3,9,1
62,depends,0,2,7,0
63,variety,1,3,7,1
64,parameters,0,4,10,1
65,classified,0,0,10,0
66,broadly,0,2,7,0
67,boiling,-1,3,7,1
68,vital,0,2,5,0
69,three,0,2,5,0
70,type,0,1,4,0
71,customer,0,3,8,1
72,marketing,0,3,9,1
73,team,0,2,4,0
74,focusing,0,3,8,1
75,based,0,0,5,0
76,gender,0,2,6,0
77,age,0,2,3,0
78,location,0,4,8,1
79,customer,0,3,8,1
80,class,0,1,5,0
81,W1,0,0,2,0
82,Product,0,2,7,0
83,Specification,0,6,13,1
84,Applications,0,5,12,1
85,need,0,0,4,0
86,bring,0,1,5,0
87,front,0,1,5,0
88,customer,0,3,8,1
89,W2,0,0,2,0
90,Product,0,2,7,0
91,Promotion,0,4,9,1
92,flow,0,1,4,0
93,path,0,1,4,0
94,W3,0,0,2,0
95,much,0,1,4,0
96,time,0,2,4,0
97,takes,0,0,5,0
98,convey,0,2,6,0
99,product,0,2,7,0
100,information,0,5,11,1
101,customer,0,3,8,1
102,H1,0,0,2,0
103,criteria,0,4,8,1
104,call,0,1,4,0
105,3W1H,0,0,4,0
106,forms,0,1,5,0
107,basics,0,2,6,0
108,need,0,0,4,0
109,taken,0,2,5,0
110,care,0,2,4,0
111,developing,0,4,10,1
112,marketing,0,3,9,1
113,strategy,0,2,8,0
114,upcoming,0,3,8,1
115,product,0,2,7,0
116,However,0,3,7,1
117,enough,0,3,6,1
118,parameter,0,4,9,1
119,called,0,0,6,0
120,Feedback,0,3,8,1
121,mechanism,0,3,9,1
122,FM,0,0,2,0
123,Generally,0,3,9,1
124,machines,0,0,8,0
125,use,0,2,3,0
126,feedback,0,3,8,1
127,mechanism,0,3,9,1
128,check,0,1,5,0
129,output,0,3,6,1
130,generated,0,0,9,0
131,per,0,1,3,0
132,input,0,2,5,0
133,given,0,2,5,0
134,input,0,2,5,0
135,corrected,0,0,9,0
136,get,0,1,3,0
137,required,0,0,8,0
138,output,0,3,6,1
139,comes,0,0,5,0
140,human,0,2,5,0
141,beings,0,2,6,0
142,surrounded,0,0,10,0
143,multiple,0,3,8,1
144,products,0,2,8,0
145,daily,0,2,5,0
146,social,0,3,6,1
147,media,0,3,5,1
148,TV,0,0,2,0
149,advertising,0,4,11,1
150,forth,0,1,5,0
151,Slight,0,1,6,0
152,uncertainties,0,0,13,0
153,either,0,3,6,1
154,side,0,2,4,0
155,observation,0,5,11,1
156,make,0,2,4,0
157,positive,1,4,8,1
158,negative,-1,4,8,1
159,impact,0,2,6,0
160,product,0,2,7,0
161,consumer,0,3,8,1
162,mind,0,1,4,0
163,feedback,0,3,8,1
164,mechanism,0,3,9,1
165,marketing,0,3,9,1
166,team,0,2,4,0
167,needs,0,2,5,0
168,answer,0,2,6,0
169,question,0,4,8,1
170,kind,0,1,4,0
171,product,0,2,7,0
172,image,0,3,5,1
173,built,0,2,5,0
174,customer,0,3,8,1
175,mind,0,1,4,0
176,promotional,0,5,11,1
177,activities,0,0,10,0
178,product,0,2,7,0
179,image,0,3,5,1
180,built,0,2,5,0
181,per,0,1,3,0
