,Token,Score,Syllable_Count,Word_length,IsComplex
0,buying,0,2,6,0
1,shares,0,0,6,0
2,playing,0,2,7,0
3,betting,0,2,7,0
4,game,0,2,4,0
5,might,0,1,5,0
6,used,0,0,4,0
7,heard,0,2,5,0
8,word,0,1,4,0
9,RISK,-1,1,4,0
10,word,0,1,4,0
11,risk,-1,1,4,0
12,mean,0,2,4,0
13,fear,-1,2,4,0
14,losing,-1,2,6,0
15,something,0,3,9,1
16,value,0,3,5,1
17,times,0,0,5,0
18,monetary,0,3,8,1
19,terms,0,1,5,0
20,saying,0,2,6,0
21,goes,0,0,4,0
22,financial,0,4,9,1
23,institution,0,5,11,1
24,Bank,0,1,4,0
25,operates,0,0,8,0
26,dynamic,1,2,7,0
27,business,0,3,8,1
28,environment,0,4,11,1
29,faces,0,0,5,0
30,multiple,0,3,8,1
31,risks,-1,1,5,0
32,risk,-1,1,4,0
33,comes,0,0,5,0
34,concept,0,2,7,0
35,risk,-1,1,4,0
36,management,0,4,10,1
37,Risk,-1,1,4,0
38,management,0,4,10,1
39,refers,0,2,6,0
40,identification,0,7,14,1
41,assessment,0,3,10,1
42,potential,0,4,9,1
43,risk,-1,1,4,0
44,development,0,4,11,1
45,execution,0,5,9,1
46,plans,0,1,5,0
47,deal,0,2,4,0
48,risks,-1,1,5,0
49,banking,0,2,7,0
50,industry,0,2,8,0
51,risk,-1,1,4,0
52,management,0,4,10,1
53,focuses,0,0,7,0
54,managing,0,3,8,1
55,bank,0,1,4,0
56,exposure,0,4,8,1
57,losses,-1,0,6,0
58,risk,-1,1,4,0
59,protect,1,2,7,0
60,value,0,3,5,1
61,assets,0,2,6,0
62,revenue,0,4,7,1
63,operations,0,5,10,1
64,business,0,3,8,1
65,reputation,1,5,10,1
66,understand,0,3,10,1
67,future,0,3,6,1
68,Bank,0,1,4,0
69,risk,-1,1,4,0
70,management,0,4,10,1
71,let,0,1,3,0
72,us,0,1,2,0
73,quickly,0,2,7,0
74,go,0,1,2,0
75,major,0,2,5,0
76,banking,0,2,7,0
77,risk,-1,1,4,0
78,Liquidity,0,4,9,1
79,Risk,-1,1,4,0
80,Risk,-1,1,4,0
81,banks,0,1,5,0
82,able,0,2,4,0
83,meet,0,2,4,0
84,short,0,1,5,0
85,term,0,1,4,0
86,financial,0,4,9,1
87,obligations,0,5,11,1
88,day,0,1,3,0
89,day,0,1,3,0
90,operational,0,6,11,1
91,expense,0,3,7,1
92,leading,1,3,7,1
93,cash,0,1,4,0
94,crunch,0,1,6,0
95,Credit,0,2,6,0
96,Risk,-1,1,4,0
97,Risk,-1,1,4,0
98,default,0,3,7,1
99,debt,-1,1,4,0
100,payment,0,2,7,0
101,borrower,0,3,8,1
102,attributes,0,0,10,0
103,credit,0,2,6,0
104,risk,-1,1,4,0
105,One,0,2,3,0
106,relate,0,3,6,1
107,credit,0,2,6,0
108,risk,-1,1,4,0
109,2007,0,0,4,0
110,08,0,0,2,0
111,financial,0,4,9,1
112,crises,0,0,6,0
113,credit,0,2,6,0
114,fell,0,1,4,0
115,borrower,0,3,8,1
116,unable,-1,3,6,1
117,pay,0,1,3,0
118,debts,-1,1,5,0
119,turned,0,0,6,0
120,liquidity,0,4,9,1
121,crises,0,0,6,0
122,banks,0,1,5,0
123,Strategic,0,3,9,1
124,Risk,-1,1,4,0
125,Risk,-1,1,4,0
126,arising,0,3,7,1
127,bank,0,1,4,0
128,long,0,1,4,0
129,term,0,1,4,0
130,strategy,0,2,8,0
131,bank,0,1,4,0
132,needs,0,2,5,0
133,agile,1,3,5,1
134,needs,0,2,5,0
135,changing,0,2,8,0
136,business,0,3,8,1
137,environment,0,4,11,1
138,lose,-1,2,4,0
139,market,0,2,6,0
140,share,0,2,5,0
141,Compliance,0,4,10,1
142,Risk,-1,1,4,0
143,Risk,-1,1,4,0
144,arising,0,3,7,1
145,failure,-1,4,7,1
146,comply,0,1,6,0
147,enforced,0,0,8,0
148,laws,0,1,4,0
149,regulations,0,5,11,1
150,Reserve,0,3,7,1
151,Bank,0,1,4,0
152,India,0,3,5,1
153,fine,0,2,4,0
154,19,0,0,2,0
155,banks,0,1,5,0
156,including,0,3,9,1
157,ICICI,0,3,5,1
158,failing,-1,3,7,1
159,comply,0,1,6,0
160,guidelines,0,0,10,0
161,use,0,2,3,0
162,global,0,2,6,0
163,payment,0,2,7,0
164,network,0,2,7,0
165,SWIFT,0,1,5,0
166,good,0,2,4,0
167,example,0,3,7,1
168,compliance,0,4,10,1
169,risk,-1,1,4,0
170,Cyber,0,1,5,0
171,Security,0,3,8,1
172,Risk,-1,1,4,0
173,Phishing,0,2,8,0
174,malware,0,3,7,1
175,crypto,0,1,6,0
176,jacking,0,2,7,0
177,denial,-1,3,6,1
178,service,0,3,7,1
179,attack,-1,2,6,0
180,could,0,2,5,0
181,affect,0,2,6,0
182,integrity,0,3,9,1
183,confidentiality,0,6,15,1
184,information,0,5,11,1
185,Reputational,0,6,12,1
186,risk,-1,1,4,0
187,Risk,-1,1,4,0
188,loss,-1,1,4,0
189,confidence,1,4,10,1
190,public,0,2,6,0
191,Like,0,2,4,0
192,Punjab,0,2,6,0
193,National,0,4,8,1
194,Bank,0,1,4,0
195,largest,0,2,7,0
196,public,0,2,6,0
197,sector,0,2,6,0
198,bank,0,1,4,0
199,India,0,3,5,1
200,defrauded,0,0,9,0
201,1,0,0,1,0
202,8,0,0,1,0
203,billion,0,3,7,1
204,largest,0,2,7,0
205,diamond,0,3,7,1
206,jewelry,0,2,7,0
207,businesses,0,0,10,0
208,country,0,2,7,0
209,making,0,2,6,0
210,largest,0,2,7,0
211,fraud,-1,2,5,0
212,detected,0,0,8,0
213,Operation,0,5,9,1
214,Risk,-1,1,4,0
215,Faulty,-1,2,6,0
216,Internal,0,3,8,1
217,process,0,2,7,0
218,systems,0,1,7,0
219,human,0,2,5,0
220,errors,-1,2,6,0
221,lead,1,2,4,0
222,operational,0,6,11,1
223,risk,-1,1,4,0
224,future,0,3,6,1
225,Bank,0,1,4,0
226,Risk,-1,1,4,0
227,Management,0,4,10,1
228,look,0,2,4,0
229,like,0,2,4,0
230,Process,0,2,7,0
231,Automation,0,6,10,1
232,coming,0,2,6,0
233,decade,0,3,6,1
234,routine,0,4,7,1
235,operational,0,6,11,1
236,business,0,3,8,1
237,process,0,2,7,0
238,risk,-1,1,4,0
239,dealing,0,3,7,1
240,customers,0,3,9,1
241,automated,0,0,9,0
242,AI,0,2,2,0
243,algorithms,0,3,10,1
244,Machine,0,3,7,1
245,learning,0,3,8,1
246,lead,1,2,4,0
247,increase,0,4,8,1
248,productivity,0,4,12,1
249,help,0,1,4,0
250,banks,0,1,5,0
251,reduce,0,3,6,1
252,operational,0,6,11,1
253,cost,0,1,4,0
254,chances,0,0,7,0
255,human,0,2,5,0
256,error,-1,2,5,0
257,thereby,0,2,7,0
258,managing,0,3,8,1
259,operational,0,6,11,1
260,risk,-1,1,4,0
261,compliance,0,4,10,1
262,risk,-1,1,4,0
263,credit,0,2,6,0
264,rate,0,2,4,0
265,banks,0,1,5,0
266,already,0,3,7,1
267,started,0,0,7,0
268,investing,0,3,9,1
269,process,0,2,7,0
270,automation,0,6,10,1
271,BNY,0,0,3,0
272,Mellon,0,2,6,0
273,American,0,4,8,1
274,banking,0,2,7,0
275,company,0,2,7,0
276,efforts,0,2,7,0
277,transition,0,4,10,1
278,staff,0,1,5,0
279,members,0,2,7,0
280,robotics,0,3,8,1
281,automation,0,6,10,1
