,Token,Score,Syllable_Count,Word_length,IsComplex
0,Data,0,2,4,0
1,held,0,1,4,0
2,companies,0,0,9,0
3,real,0,2,4,0
4,treasure,1,4,8,1
5,reveals,0,3,7,1
6,value,0,3,5,1
7,creating,0,3,8,1
8,services,0,0,8,0
9,Monetization,0,6,12,1
10,data,0,2,4,0
11,selling,0,2,7,0
12,foremost,1,3,8,1
13,creation,0,4,8,1
14,digital,0,3,7,1
15,products,0,2,8,0
16,services,0,0,8,0
17,fostered,0,0,8,0
18,data,0,2,4,0
19,services,0,0,8,0
20,key,0,1,3,0
21,differentiators,0,6,15,1
22,innovative,1,5,10,1
23,companies,0,0,9,0
24,Service,0,3,7,1
25,Design,0,2,6,0
26,approach,0,3,8,1
27,innovate,0,4,8,1
28,create,0,3,6,1
29,data,0,2,4,0
30,monetization,0,6,12,1
31,applications,0,5,12,1
32,framework,0,3,9,1
33,data,0,2,4,0
34,monetization,0,6,12,1
35,Today,0,2,5,0
36,mega,0,2,4,0
37,companies,0,0,9,0
38,Facebook,0,4,8,1
39,Google,0,3,6,1
40,derive,0,3,6,1
41,large,0,2,5,0
42,portion,0,3,7,1
43,revenue,0,4,7,1
44,effective,1,4,9,1
45,utilization,0,6,11,1
46,data,0,2,4,0
47,mastered,0,0,8,0
48,art,0,1,3,0
49,data,0,2,4,0
50,monetization,0,6,12,1
51,turning,0,2,7,0
52,data,0,2,4,0
53,assets,0,2,6,0
54,cold,-1,1,4,0
55,hard,-1,1,4,0
56,cash,0,1,4,0
57,companies,0,0,9,0
58,offer,0,2,5,0
59,free,0,2,4,0
60,public,0,2,6,0
61,service,0,3,7,1
62,allows,0,2,6,0
63,harvest,0,2,7,0
64,massive,0,3,7,1
65,amounts,0,3,7,1
66,data,0,2,4,0
67,users,0,2,5,0
68,provide,0,3,7,1
69,data,0,2,4,0
70,fee,0,2,3,0
71,advertisers,0,4,11,1
72,want,0,1,4,0
73,create,0,3,6,1
74,personalized,1,0,12,0
75,marketing,0,3,9,1
76,experience,0,5,10,1
77,several,0,3,7,1
78,potential,0,4,9,1
79,opportunities,0,0,13,0
80,data,0,2,4,0
81,monetization,0,6,12,1
82,Identifying,0,4,11,1
83,revenue,0,4,7,1
84,opportunities,0,0,13,0
85,products,0,2,8,0
86,markets,0,2,7,0
87,customer,0,3,8,1
88,segments,0,2,8,0
89,Improving,1,3,9,1
90,marketing,0,3,9,1
91,impact,0,2,6,0
92,personalization,0,7,15,1
93,Identifying,0,4,11,1
94,proactively,0,4,11,1
95,responding,0,3,10,1
96,customer,0,3,8,1
97,satisfaction,0,5,12,1
98,levels,0,2,6,0
99,Minimizing,0,4,10,1
100,customer,0,3,8,1
101,churn,0,1,5,0
102,extending,0,3,9,1
103,customer,0,3,8,1
104,retention,0,4,9,1
105,Optimizing,0,4,10,1
106,supply,0,1,6,0
107,chain,0,2,5,0
108,data,0,2,4,0
109,sharing,0,2,7,0
110,partners,0,2,8,0
111,Diagnosing,0,4,10,1
112,revenue,0,4,7,1
113,leaks,-1,2,5,0
114,instituting,0,4,11,1
115,corrective,0,4,10,1
116,measures,0,0,8,0
117,Detecting,0,3,9,1
118,preventing,0,3,10,1
119,fraud,-1,2,5,0
120,piracy,0,2,6,0
121,Start,0,1,5,0
122,monetize,0,4,8,1
123,data,0,2,4,0
124,today,0,2,5,0
125,really,0,2,6,0
126,know,0,1,4,0
127,ready,0,2,5,0
128,monetize,0,4,8,1
129,need,0,0,4,0
130,access,0,2,6,0
131,attempt,0,2,7,0
132,earn,0,2,4,0
133,revenue,0,4,7,1
134,information,0,5,11,1
135,make,0,2,4,0
136,sure,0,2,4,0
137,Dependable,1,4,10,1
138,Relevant,0,3,8,1
139,Segment,0,2,7,0
140,Secure,1,3,6,1
141,anonymized,0,0,10,0
142,Developing,0,4,10,1
143,Capability,1,4,10,1
144,Data,0,2,4,0
145,Monetization,0,6,12,1
146,Business,0,3,8,1
147,models,0,2,6,0
148,already,0,3,7,1
149,changing,0,2,8,0
150,exploitation,-1,6,12,1
151,information,0,5,11,1
152,successful,1,3,10,1
153,age,0,2,3,0
154,data,0,2,4,0
155,monetization,0,6,12,1
156,must,0,1,4,0
157,think,0,1,5,0
158,creatively,0,4,10,1
159,hire,0,2,4,0
160,talent,1,2,6,0
161,develop,0,3,7,1
162,leaders,0,3,7,1
163,C,0,0,1,0
164,suite,0,3,5,1
165,executives,0,0,10,0
166,help,0,1,4,0
167,business,0,3,8,1
168,succeed,1,0,7,0
169,today,0,2,5,0
170,certainly,0,3,9,1
171,tomorrow,0,3,8,1
172,different,0,3,9,1
173,people,0,3,6,1
174,led,1,0,3,0
175,blue,0,2,4,0
176,chip,0,1,4,0
177,firms,0,1,5,0
178,30,0,0,2,0
179,20,0,0,2,0
180,even,0,2,4,0
181,10,0,0,2,0
182,years,0,2,5,0
183,ago,0,2,3,0
184,route,0,3,5,1
185,take,0,2,4,0
186,data,0,2,4,0
187,monetization,0,6,12,1
188,impact,0,2,6,0
189,resources,0,0,9,0
190,capabilities,0,0,12,0
191,organization,0,6,12,1
192,needs,0,2,5,0
193,steal,-1,2,5,0
194,march,0,1,5,0
195,rivals,0,2,6,0
196,people,0,3,6,1
197,must,0,1,4,0
198,adapt,0,2,5,0
199,wave,0,2,4,0
200,big,0,1,3,0
201,data,0,2,4,0
202,exploitation,-1,6,12,1
203,insight,0,2,7,0
204,shapes,0,0,6,0
205,product,0,2,7,0
206,service,0,3,7,1
207,development,0,4,11,1
208,make,0,2,4,0
209,dollars,0,2,7,0
210,data,0,2,4,0
211,organization,0,6,12,1
212,people,0,3,6,1
213,must,0,1,4,0
214,make,0,2,4,0
215,shift,0,1,5,0
216,Get,0,1,3,0
217,capability,1,4,10,1
218,ready,0,2,5,0
219,Business,0,3,8,1
220,Model,0,2,5,0
221,Spectrum,0,2,8,0
222,External,0,3,8,1
223,data,0,2,4,0
224,monetization,0,6,12,1
225,models,0,2,6,0
226,vary,0,1,4,0
227,level,0,2,5,0
228,value,0,3,5,1
229,impact,0,2,6,0
230,customers,0,3,9,1
231,analytics,0,3,9,1
232,sophistication,0,6,14,1
233,revenue,0,4,7,1
234,potential,0,4,9,1
235,Data,0,2,4,0
236,service,0,3,7,1
237,Also,0,2,4,0
238,known,0,1,5,0
239,data,0,2,4,0
240,syndication,0,4,11,1
241,simplest,1,2,8,0
242,business,0,3,8,1
243,models,0,2,6,0
244,Anonymized,0,0,10,0
245,aggregated,0,0,10,0
246,data,0,2,4,0
247,sold,0,1,4,0
248,either,0,3,6,1
249,intermediate,0,6,12,1
250,companies,0,0,9,0
251,end,0,1,3,0
252,customers,0,3,9,1
253,mine,0,2,4,0
254,data,0,2,4,0
255,insights,0,2,8,0
256,Insight,0,2,7,0
257,service,0,3,7,1
258,Companies,0,0,9,0
259,also,0,2,4,0
260,combine,0,3,7,1
261,internal,0,3,8,1
262,external,0,3,8,1
263,data,0,2,4,0
264,sources,0,0,7,0
265,applying,0,2,8,0
266,advanced,1,0,8,0
267,analytics,0,3,9,1
268,provide,0,3,7,1
269,actionable,0,5,10,1
270,insights,0,2,8,0
271,AkzoNobel,0,4,9,1
272,created,0,0,7,0
273,decision,0,4,8,1
274,support,1,2,7,0
275,model,0,2,5,0
276,ship,0,1,4,0
277,operators,0,4,9,1
278,enable,0,3,6,1
279,fuel,0,2,4,0
280,CO2,0,1,3,0
281,savings,1,2,7,0
282,make,0,2,4,0
283,available,0,5,9,1
284,ship,0,1,4,0
285,operators,0,4,9,1
286,owners,0,2,6,0
287,advanced,1,0,8,0
288,analytics,0,3,9,1
289,enabled,0,0,7,0
290,mobile,0,3,6,1
291,iOS,0,2,3,0
292,app,0,1,3,0
293,provides,0,0,8,0
294,continuous,0,5,10,1
295,performance,0,4,11,1
296,prediction,0,4,10,1
297,coating,0,3,7,1
298,technologies,0,0,12,0
299,approach,0,3,8,1
300,empowers,0,3,8,1
301,vessel,0,2,6,0
302,operators,0,4,9,1
303,allowing,0,3,8,1
304,financial,0,4,9,1
305,performance,0,4,11,1
306,benefit,1,3,7,1
307,analysis,0,3,8,1
308,coating,0,3,7,1
309,choices,0,0,7,0
310,thus,0,1,4,0
311,optimizing,0,4,10,1
312,important,1,3,9,1
313,investment,0,3,10,1
314,decisions,0,4,9,1
315,Analytics,0,3,9,1
316,enabled,0,0,7,0
317,platform,0,2,8,0
318,service,0,3,7,1
319,complex,-1,2,7,0
320,business,0,3,8,1
321,models,0,2,6,0
322,offers,0,2,6,0
323,greatest,1,3,8,1
324,value,0,3,5,1
325,customers,0,3,9,1
326,Companies,0,0,9,0
327,use,0,2,3,0
328,sophisticated,1,0,13,0
329,proprietary,-1,4,11,1
330,algorithms,0,3,10,1
331,generate,0,4,8,1
332,enriched,0,0,8,0
333,highly,0,1,6,0
334,transformed,0,0,11,0
335,customized,0,0,10,0
336,real,0,2,4,0
337,time,0,2,4,0
338,data,0,2,4,0
339,delivered,0,0,9,0
