,Token,Score,Syllable_Count,Word_length,IsComplex
0,Sometimes,0,0,9,0
1,illness,-1,2,7,0
2,sits,0,1,4,0
3,body,0,1,4,0
4,waiting,0,3,7,1
5,right,0,1,5,0
6,time,0,2,4,0
7,bloom,0,2,5,0
8,remarked,0,0,8,0
9,Bob,0,1,3,0
10,consultant,0,3,10,1
11,globe,0,2,5,0
12,trotting,0,2,8,0
13,15,0,0,2,0
14,days,0,1,4,0
15,week,0,2,4,0
16,finally,0,2,7,0
17,taken,0,2,5,0
18,toll,-1,1,4,0
19,health,0,2,6,0
20,sat,0,1,3,0
21,recuperating,0,5,12,1
22,plush,1,1,5,0
23,hospital,0,3,8,1
24,room,0,2,4,0
25,miles,0,0,5,0
26,away,0,2,4,0
27,home,0,2,4,0
28,New,0,1,3,0
29,York,0,1,4,0
30,Gazing,0,2,6,0
31,window,0,2,6,0
32,suddenly,0,2,8,0
33,remembered,0,0,10,0
34,Jacob,0,2,5,0
35,physician,0,3,9,1
36,back,0,1,4,0
37,home,0,2,4,0
38,calling,0,2,7,0
39,work,1,1,4,0
40,days,0,1,4,0
41,ago,0,2,3,0
42,warning,-1,2,7,0
43,take,0,2,4,0
44,sufficient,1,4,10,1
45,rest,0,1,4,0
46,control,0,2,7,0
47,stress,-1,1,6,0
48,levels,0,2,6,0
49,heartbeat,0,4,9,1
50,started,0,0,7,0
51,showing,0,2,7,0
52,irregularities,0,0,14,0
53,Jacob,0,2,5,0
54,remotely,0,3,8,1
55,monitoring,0,4,10,1
56,Bob,0,1,3,0
57,cardiac,0,3,7,1
58,information,0,5,11,1
59,since,0,2,5,0
60,cardiac,0,3,7,1
61,arrest,0,2,6,0
62,2,0,0,1,0
63,years,0,2,5,0
64,ago,0,2,3,0
65,able,0,2,4,0
66,guide,0,3,5,1
67,Bob,0,1,3,0
68,medication,0,5,10,1
69,doses,0,0,5,0
70,diet,0,2,4,0
71,based,0,0,5,0
72,real,0,2,4,0
73,time,0,2,4,0
74,data,0,2,4,0
75,realized,0,0,8,0
76,Jacob,0,2,5,0
77,crying,0,1,6,0
78,wolf,0,1,4,0
79,predicted,0,0,9,0
80,something,0,3,9,1
81,might,0,1,5,0
82,go,0,1,2,0
83,wrong,-1,1,5,0
84,Bob,0,1,3,0
85,conference,0,4,10,1
86,felt,0,1,4,0
87,shooting,0,3,8,1
88,pain,-1,2,4,0
89,hand,0,1,4,0
90,knew,0,1,4,0
91,another,0,3,7,1
92,cardiac,0,3,7,1
93,arrest,0,2,6,0
94,could,0,2,5,0
95,alert,0,2,5,0
96,anybody,0,2,7,0
97,vision,0,3,6,1
98,blurred,-1,0,7,0
99,fell,0,1,4,0
100,ground,0,2,6,0
101,Ray,0,1,3,0
102,conference,0,4,10,1
103,rushed,0,0,6,0
104,Bob,0,1,3,0
105,reached,0,0,7,0
106,wallet,0,2,6,0
107,find,0,1,4,0
108,Health,0,2,6,0
109,Information,0,5,11,1
110,Card,0,1,4,0
111,carried,0,0,7,0
112,Unique,0,4,6,1
113,Patient,1,3,7,1
114,Identity,0,3,8,1
115,UPI,0,2,3,0
116,details,0,3,7,1
117,Every,0,2,5,0
118,counted,0,0,7,0
119,Bob,0,1,3,0
120,breathing,0,3,9,1
121,slowed,-1,0,6,0
122,sirens,0,2,6,0
123,blared,0,0,6,0
124,ears,0,2,4,0
125,Ray,0,1,3,0
126,could,0,2,5,0
127,paramedics,0,4,10,1
128,jump,0,1,4,0
129,ambulance,0,4,9,1
130,complete,0,3,8,1
131,charts,0,1,6,0
132,Bob,0,1,3,0
133,previous,0,4,8,1
134,medical,0,3,7,1
135,records,0,2,7,0
136,available,0,5,9,1
137,UPI,0,2,3,0
138,Ray,0,1,3,0
139,provided,0,0,8,0
140,Ray,0,1,3,0
141,climbed,0,0,7,0
142,ambulance,0,4,9,1
143,saw,0,1,3,0
144,paramedics,0,4,10,1
145,started,0,0,7,0
146,preliminary,0,4,11,1
147,round,0,2,5,0
148,treatment,0,3,9,1
149,based,0,0,5,0
150,real,0,2,4,0
151,time,0,2,4,0
152,vital,0,2,5,0
153,stats,0,1,5,0
154,past,0,1,4,0
155,medical,0,3,7,1
156,history,0,2,7,0
157,inputs,0,2,6,0
158,cardiologist,0,5,12,1
159,remotely,0,3,8,1
160,monitoring,0,4,10,1
161,situation,0,5,9,1
162,hospital,0,3,8,1
163,Bob,0,1,3,0
164,safe,1,2,4,0
165,technology,0,3,10,1
166,achieve,0,4,7,1
167,empowering,0,4,10,1
168,every,0,2,5,0
169,healthcare,0,4,10,1
170,provider,0,3,8,1
171,make,0,2,4,0
172,efforts,0,2,7,0
173,save,0,2,4,0
174,lives,0,0,5,0
175,backed,0,0,6,0
176,powerful,1,3,8,1
177,insights,0,2,8,0
178,data,0,2,4,0
179,story,0,1,5,0
180,could,0,2,5,0
181,tale,0,2,4,0
182,present,0,2,7,0
183,huge,0,2,4,0
184,volumes,0,0,7,0
185,data,0,2,4,0
186,generated,0,0,9,0
187,every,0,2,5,0
188,step,0,1,4,0
189,healthcare,0,4,10,1
190,value,0,3,5,1
191,chain,0,2,5,0
192,enough,0,3,6,1
193,advances,0,0,8,0
194,technology,0,3,10,1
195,explore,0,3,7,1
196,varied,0,0,6,0
197,data,0,2,4,0
198,stopping,0,2,8,0
199,us,0,1,2,0
200,using,0,2,5,0
201,technology,0,3,10,1
202,data,0,2,4,0
203,driven,0,2,6,0
204,healthcare,0,4,10,1
205,today,0,2,5,0
206,industry,0,2,8,0
207,data,0,2,4,0
208,driven,0,2,6,0
209,main,0,2,4,0
210,element,0,3,7,1
211,decision,0,4,8,1
212,making,0,2,6,0
213,guessed,0,0,7,0
214,right,0,1,5,0
215,Data,0,2,4,0
216,exactly,0,2,7,0
217,problem,-1,2,7,0
218,lies,-1,0,4,0
219,data,0,2,4,0
220,driven,0,2,6,0
221,approach,0,3,8,1
222,making,0,2,6,0
223,complex,-1,2,7,0
224,decisions,0,4,9,1
225,imperative,0,5,10,1
226,collect,0,2,7,0
227,relevant,0,3,8,1
228,high,0,1,4,0
229,quality,0,3,7,1
230,consistent,1,3,10,1
231,reliable,1,4,8,1
232,data,0,2,4,0
233,utilized,0,0,8,0
234,derive,0,3,6,1
235,useful,0,3,6,1
236,insights,0,2,8,0
237,predict,0,2,7,0
238,future,0,3,6,1
239,outcomes,0,0,8,0
240,high,0,1,4,0
241,accuracy,0,3,8,1
242,Thus,0,1,4,0
243,healthcare,0,4,10,1
244,needs,0,2,5,0
245,fully,0,1,5,0
246,exploit,-1,3,7,1
247,data,0,2,4,0
248,analytics,0,3,9,1
249,needs,0,2,5,0
250,develop,0,3,7,1
251,strong,0,1,6,0
252,capabilities,0,0,12,0
253,integration,0,5,11,1
254,data,0,2,4,0
255,multiple,0,3,8,1
256,sources,0,0,7,0
257,capability,1,4,10,1
258,build,0,2,5,0
259,develop,0,3,7,1
260,advanced,1,0,8,0
261,analytical,0,4,10,1
262,models,0,2,6,0
263,lower,0,2,5,0
264,error,-1,2,5,0
265,margins,0,2,7,0
266,ability,0,3,7,1
267,transform,0,2,9,0
268,organization,0,6,12,1
269,breeding,0,3,8,1
270,ground,0,2,6,0
271,deep,0,2,4,0
272,insights,0,2,8,0
273,predictive,0,4,10,1
274,prognosis,0,3,9,1
275,right,0,1,5,0
276,mindset,0,2,7,0
277,inclined,0,0,8,0
278,adopting,0,3,8,1
279,transformation,0,5,14,1
280,analytical,0,4,10,1
281,models,0,2,6,0
282,drive,0,2,5,0
283,results,0,2,7,0
284,Data,0,2,4,0
285,collection,0,4,10,1
286,integration,0,5,11,1
287,Finding,0,2,7,0
288,right,0,1,5,0
289,data,0,2,4,0
290,major,0,2,5,0
291,challenge,0,3,9,1
292,analytics,0,3,9,1
293,project,0,2,7,0
294,healthcare,0,4,10,1
295,major,0,2,5,0
296,reason,0,3,6,1
297,low,0,1,3,0
298,adoption,0,4,8,1
299,rates,0,0,5,0
300,digital,0,3,7,1
301,data,0,2,4,0
302,capturing,0,3,9,1
303,methods,0,2,7,0
304,high,0,1,4,0
305,data,0,2,4,0
306,fragmentation,0,5,13,1
307,Low,0,1,3,0
308,adoption,0,4,8,1
309,digital,0,3,7,1
310,practices,0,0,9,0
311,means,0,2,5,0
312,healthcare,0,4,10,1
313,providers,0,3,9,1
314,rely,0,1,4,0
315,manual,0,3,6,1
316,modes,0,0,5,0
317,data,0,2,4,0
318,entry,0,1,5,0
319,like,0,2,4,0
320,notes,0,0,5,0
321,oral,0,2,4,0
322,recommendations,1,6,15,1
323,convey,0,2,6,0
324,patient,1,3,7,1
325,medical,0,3,7,1
326,information,0,5,11,1
