,Token,Score,Syllable_Count,Word_length,IsComplex
0,Introduction,0,5,12,1
1,video,0,3,5,1
2,game,0,2,4,0
3,software,0,3,8,1
4,program,0,2,7,0
5,played,0,0,6,0
6,computing,0,3,9,1
7,device,0,3,6,1
8,personal,0,3,8,1
9,computer,0,3,8,1
10,gaming,0,2,6,0
11,console,0,3,7,1
12,mobile,0,3,6,1
13,device,0,3,6,1
14,Video,0,3,5,1
15,games,0,0,5,0
16,existence,0,4,9,1
17,since,0,2,5,0
18,early,0,2,5,0
19,1970s,0,0,5,0
20,become,0,3,6,1
21,increasingly,0,4,12,1
22,popular,1,3,7,1
23,spanning,0,2,8,0
24,different,0,3,9,1
25,mobile,0,3,6,1
26,smartphones,0,0,11,0
27,tablets,0,2,7,0
28,stationary,0,4,10,1
29,computer,0,3,8,1
30,console,0,3,7,1
31,platforms,0,2,9,0
32,Advances,0,0,8,0
33,particularly,0,4,12,1
34,mobile,0,3,6,1
35,devices,0,0,7,0
36,given,0,2,5,0
37,birth,0,1,5,0
38,social,0,3,6,1
39,networks,0,2,8,0
40,group,0,2,5,0
41,gaming,0,2,6,0
42,Although,0,3,8,1
43,nature,0,3,6,1
44,gaming,0,2,6,0
45,require,0,4,7,1
46,physical,0,2,8,0
47,stamina,0,3,7,1
48,therefore,0,4,9,1
49,limited,-1,0,7,0
50,factors,0,2,7,0
51,age,0,2,3,0
52,gender,0,2,6,0
53,fitness,0,2,7,0
54,popular,1,3,7,1
55,adolescents,0,4,11,1
56,2018,0,0,4,0
57,World,0,1,5,0
58,Health,0,2,6,0
59,Organization,0,6,12,1
60,classified,0,0,10,0
61,gaming,0,2,6,0
62,disorder,-1,3,8,1
63,International,0,6,13,1
64,Classification,0,6,14,1
65,Diseases,0,0,8,0
66,ICD,0,1,3,0
67,11,0,0,2,0
68,ICD,0,1,3,0
69,11,0,0,2,0
70,list,0,1,4,0
71,diseases,0,0,8,0
72,medical,0,3,7,1
73,conditions,0,4,10,1
74,aids,0,2,4,0
75,health,0,2,6,0
76,professionals,0,5,13,1
77,making,0,2,6,0
78,diagnoses,0,0,9,0
79,treatment,0,3,9,1
80,plans,0,1,5,0
81,patients,0,3,8,1
82,various,0,4,7,1
83,disorders,0,3,9,1
84,noted,0,0,5,0
85,inclusion,0,4,9,1
86,gaming,0,2,6,0
87,disorder,-1,3,8,1
88,ICD,0,1,3,0
89,11,0,0,2,0
90,generated,0,0,9,0
91,vigorous,0,4,8,1
92,sometimes,0,0,9,0
93,contentious,-1,5,11,1
94,debate,0,3,6,1
95,discussion,0,4,10,1
96,within,0,2,6,0
97,medical,0,3,7,1
98,mental,0,2,6,0
99,health,0,2,6,0
100,community,0,3,9,1
101,Although,0,3,8,1
102,recognized,0,0,10,0
103,area,0,3,4,1
104,clinical,0,3,8,1
105,interest,0,3,8,1
106,Diagnostic,0,4,10,1
107,Statistical,0,4,11,1
108,Manual,0,3,6,1
109,Mental,0,2,6,0
110,Disorders,0,3,9,1
111,DSM,0,0,3,0
112,5,0,0,1,0
113,published,0,0,9,0
114,American,0,4,8,1
115,Psychiatric,0,3,11,1
116,Association,0,6,11,1
117,suggests,0,2,8,0
118,clinical,0,3,8,1
119,research,0,3,8,1
120,required,0,0,8,0
121,Gaming,0,2,6,0
122,Disorder,-1,3,8,1
123,formally,0,2,8,0
124,considered,0,0,10,0
125,psychiatric,0,3,11,1
126,disorder,-1,3,8,1
127,Similarly,0,3,9,1
128,notes,0,0,5,0
129,inclusion,0,4,9,1
130,gaming,0,2,6,0
131,disorder,-1,3,8,1
132,ICD,0,1,3,0
133,11,0,0,2,0
134,encourage,1,5,9,1
135,research,0,3,8,1
136,excessive,-1,4,9,1
137,gaming,0,2,6,0
138,behavior,0,4,8,1
139,including,0,3,9,1
140,prevention,0,4,10,1
141,treatment,0,3,9,1
142,Online,0,3,6,1
143,gaming,0,2,6,0
144,disorder,-1,3,8,1
145,2018,0,0,4,0
146,draft,0,1,5,0
147,11th,0,0,4,0
148,Revision,0,4,8,1
149,ICD,0,1,3,0
150,11,0,0,2,0
151,denotes,0,0,7,0
152,disorder,-1,3,8,1
153,pattern,0,2,7,0
154,digital,0,3,7,1
155,gaming,0,2,6,0
156,video,0,3,5,1
157,gaming,0,2,6,0
158,behavior,0,4,8,1
159,characterized,0,0,13,0
160,impaired,-1,0,8,0
161,control,0,2,7,0
162,gaming,0,2,6,0
163,activity,0,3,8,1
164,increasing,0,4,10,1
165,priority,0,3,8,1
166,given,0,2,5,0
167,gaming,0,2,6,0
168,activities,0,0,10,0
169,extent,0,2,6,0
170,gaming,0,2,6,0
171,takes,0,0,5,0
172,precedence,0,4,10,1
173,interests,1,3,9,1
174,daily,0,2,5,0
175,activities,0,0,10,0
176,continuation,0,6,12,1
177,escalation,0,5,10,1
178,gaming,0,2,6,0
179,despite,0,3,7,1
180,occurrence,0,4,10,1
181,negative,-1,4,8,1
182,consequences,0,0,12,0
183,Online,0,3,6,1
184,Gaming,0,2,6,0
185,disorder,-1,3,8,1
186,similarities,0,0,12,0
187,Internet,0,3,8,1
188,gaming,0,2,6,0
189,disorder,-1,3,8,1
190,IGD,0,1,3,0
191,condition,0,4,9,1
192,American,0,4,8,1
193,Psychiatric,0,3,11,1
194,Association,0,6,11,1
195,APA,0,2,3,0
196,noted,0,0,5,0
197,DSM,0,0,3,0
198,5,0,0,1,0
199,area,0,3,4,1
200,need,0,0,4,0
201,additional,0,5,10,1
202,study,0,1,5,0
203,APA,0,2,3,0
204,currently,0,2,9,0
205,recognize,0,4,9,1
206,IGD,0,1,3,0
207,official,0,4,8,1
208,condition,0,4,9,1
209,gaming,0,2,6,0
210,disorder,-1,3,8,1
211,diagnosed,0,0,9,0
212,criteria,0,4,8,1
213,require,0,4,7,1
214,behavioral,0,5,10,1
215,pattern,0,2,7,0
216,gamer,0,2,5,0
217,must,0,1,4,0
