,Token,Score,Syllable_Count,Word_length,IsComplex
0,ACADEMIA,0,5,8,1
1,RESEARCHERS,0,4,11,1
2,DECISION,0,4,8,1
3,MAKERS,0,2,6,0
4,POLICY,0,2,6,0
5,MAKERS,0,2,6,0
6,MANAGE,0,3,6,1
7,CHALLENGES,0,0,10,0
8,BROADER,0,3,7,1
9,COLLABORATION,0,6,13,1
10,PRIVACY,0,2,7,0
11,HARNESS,0,2,7,0
12,VALUE,0,3,5,1
13,BIG,0,1,3,0
14,DATA,0,2,4,0
15,academia,0,5,8,1
16,researchers,0,4,11,1
17,decision,0,4,8,1
18,makers,0,2,6,0
19,sectors,0,2,7,0
20,like,0,2,4,0
21,retail,0,3,6,1
22,healthcare,0,4,10,1
23,insurance,0,4,9,1
24,finance,0,3,7,1
25,capital,0,3,7,1
26,markets,0,2,7,0
27,real,0,2,4,0
28,estate,0,3,6,1
29,pharmaceutical,0,6,14,1
30,oil,0,2,3,0
31,gas,0,1,3,0
32,big,0,1,3,0
33,data,0,2,4,0
34,looks,0,2,5,0
35,like,0,2,4,0
36,Eldorado,0,4,8,1
37,fantastic,1,3,9,1
38,mine,0,2,4,0
39,information,0,5,11,1
40,hope,0,2,4,0
41,find,0,1,4,0
42,key,0,1,3,0
43,great,1,2,5,0
44,discoveries,0,0,11,0
45,social,0,3,6,1
46,sciences,0,0,8,0
47,humanities,0,0,10,0
48,etc,0,1,3,0
49,example,0,3,7,1
50,questions,0,4,9,1
51,social,0,3,6,1
52,media,0,3,5,1
53,data,0,2,4,0
54,telling,0,2,7,0
55,us,0,1,2,0
56,societies,0,0,9,0
57,humanities,0,0,10,0
58,consumers,0,3,9,1
59,people,0,3,6,1
60,live,0,2,4,0
61,nearby,0,2,6,0
62,big,0,1,3,0
63,data,0,2,4,0
64,used,0,0,4,0
65,efficiently,1,4,11,1
66,allocate,0,4,8,1
67,resources,0,0,9,0
68,energy,0,2,6,0
69,capital,0,3,7,1
70,technology,0,3,10,1
71,manpower,0,3,8,1
72,becoming,0,3,8,1
73,frequent,0,3,8,1
74,Quite,0,3,5,1
75,naturally,0,3,9,1
76,academia,0,5,8,1
77,abuzz,0,2,5,0
78,thinking,0,2,8,0
79,use,0,2,3,0
80,big,0,1,3,0
81,data,0,2,4,0
82,big,0,1,3,0
83,data,0,2,4,0
84,technologies,0,0,12,0
85,platforms,0,2,9,0
86,also,0,2,4,0
87,teeming,0,3,7,1
88,competitiveness,0,6,15,1
89,researchers,0,4,11,1
90,race,0,2,4,0
91,make,0,2,4,0
92,discoveries,0,0,11,0
93,waiting,0,3,7,1
94,us,0,1,2,0
95,massive,0,3,7,1
96,data,0,2,4,0
97,centers,0,2,7,0
98,cautious,0,5,8,1
99,approach,0,3,8,1
100,said,0,2,4,0
101,academics,0,4,9,1
102,researchers,0,4,11,1
103,especially,0,4,10,1
104,universities,0,0,12,0
105,must,0,1,4,0
106,exercise,0,4,8,1
107,caution,0,4,7,1
108,unique,0,4,6,1
109,risks,-1,1,5,0
110,must,0,1,4,0
111,taken,0,2,5,0
112,account,0,3,7,1
113,risks,-1,1,5,0
114,stem,0,1,4,0
115,academic,0,4,8,1
116,research,0,3,8,1
117,cases,0,0,5,0
