,Token,Score,Syllable_Count,Word_length,IsComplex
0,ongoing,0,3,7,1
1,digitalization,0,7,14,1
2,business,0,3,8,1
3,world,0,1,5,0
4,putting,0,2,7,0
5,companies,0,0,9,0
6,risk,-1,1,4,0
7,cyber,0,1,5,0
8,attacks,-1,2,7,0
9,ever,0,2,4,0
10,Big,0,1,3,0
11,data,0,2,4,0
12,analysis,0,3,8,1
13,potential,0,4,9,1
14,offer,0,2,5,0
15,protection,1,4,10,1
16,attacks,-1,2,7,0
17,Cyber,0,1,5,0
18,Security,0,3,8,1
19,Threats,-1,2,7,0
20,Rising,0,2,6,0
21,Since,0,2,5,0
22,notion,0,3,6,1
23,corporate,0,4,9,1
24,security,0,3,8,1
25,perimeter,0,4,9,1
26,disappeared,0,0,11,0
27,recent,0,2,6,0
28,years,0,2,5,0
29,thanks,0,1,6,0
30,growing,0,2,7,0
31,adoption,0,4,8,1
32,cloud,0,2,5,0
33,mobile,0,3,6,1
34,services,0,0,8,0
35,information,0,5,11,1
36,security,0,3,8,1
37,experienced,0,0,11,0
38,profound,1,3,8,1
39,paradigm,0,3,8,1
40,shift,0,1,5,0
41,traditional,0,5,11,1
42,perimeter,0,4,9,1
43,protection,1,4,10,1
44,tools,0,2,5,0
45,towards,0,2,7,0
46,monitoring,0,4,10,1
47,detecting,0,3,9,1
48,malicious,-1,5,9,1
49,activities,0,0,10,0
50,within,0,2,6,0
51,corporate,0,4,9,1
52,networks,0,2,8,0
53,Increasingly,0,4,12,1
54,sophisticated,1,0,13,0
55,attack,-1,2,6,0
56,methods,0,2,7,0
57,used,0,0,4,0
58,cybercriminals,0,4,14,1
59,growing,0,2,7,0
60,role,0,2,4,0
61,malicious,-1,5,9,1
62,insiders,0,3,8,1
63,several,0,3,7,1
64,recent,0,2,6,0
65,large,0,2,5,0
66,scale,0,2,5,0
67,security,0,3,8,1
68,breaches,0,0,8,0
69,clearly,0,2,7,0
70,indicate,0,4,8,1
71,traditional,0,5,11,1
72,approaches,0,0,10,0
73,information,0,5,11,1
74,security,0,3,8,1
75,longer,0,2,6,0
76,keep,0,2,4,0
77,Companies,0,0,9,0
78,Rethink,0,2,7,0
79,Cyber,0,1,5,0
80,Security,0,3,8,1
81,Concepts,0,2,8,0
82,Analytics,0,3,9,1
83,key,0,1,3,0
84,element,0,3,7,1
85,leveraging,0,4,10,1
86,cyber,0,1,5,0
87,resilience,0,5,10,1
88,increasingly,0,4,12,1
89,advanced,1,0,8,0
90,persistent,0,3,10,1
91,attacks,-1,2,7,0
92,simple,0,2,6,0
93,fact,0,1,4,0
94,every,0,2,5,0
95,organization,0,6,12,1
96,must,0,1,4,0
97,protect,1,2,7,0
98,varieties,0,0,9,0
99,attacks,-1,2,7,0
100,attacker,0,3,8,1
101,needs,0,2,5,0
102,successful,1,3,10,1
103,attempt,0,2,7,0
104,organizations,0,6,13,1
105,must,0,1,4,0
106,rethink,0,2,7,0
107,cybersecurity,0,4,13,1
108,concepts,0,2,8,0
109,move,0,2,4,0
110,beyond,0,2,6,0
111,pure,1,2,4,0
112,prevention,0,4,10,1
113,towards,0,2,7,0
114,PDR,0,0,3,0
115,paradigm,0,3,8,1
