,Token,Score,Syllable_Count,Word_length,IsComplex
0,Challenges,0,0,10,0
1,currently,0,2,9,0
2,explosion,0,4,9,1
3,electronic,0,4,10,1
4,clinical,0,3,8,1
5,data,0,2,4,0
6,analyzed,0,0,8,0
7,glean,0,2,5,0
8,insights,0,2,8,0
9,improve,1,3,7,1
10,overall,0,3,7,1
11,health,0,2,6,0
12,healthcare,0,4,10,1
13,Two,0,1,3,0
14,data,0,2,4,0
15,quality,0,3,7,1
16,issues,-1,0,6,0
17,systematic,0,3,10,1
18,data,0,2,4,0
19,inaccuracies,-1,0,12,0
20,data,0,2,4,0
21,fragmentation,0,5,13,1
22,need,0,0,4,0
23,addressed,0,0,9,0
24,order,0,2,5,0
25,ensure,0,3,6,1
26,insight,0,2,7,0
27,electronic,0,4,10,1
28,clinical,0,3,8,1
29,data,0,2,4,0
30,valid,0,2,5,0
31,issues,-1,0,6,0
32,require,0,4,7,1
33,specific,0,3,8,1
34,attention,0,4,9,1
35,policymakers,0,4,12,1
36,practitioners,0,5,13,1
37,lessened,0,0,8,0
38,promoting,0,3,9,1
39,greater,0,3,7,1
40,interoperability,0,7,16,1
41,reducing,0,3,8,1
42,burdensome,-1,4,10,1
43,documentation,0,6,13,1
44,requirements,0,5,12,1
45,enormous,0,4,8,1
46,enthusiasm,1,4,10,1
47,big,0,1,3,0
48,data,0,2,4,0
49,address,0,2,7,0
50,persistent,0,3,10,1
51,cost,0,1,4,0
52,quality,0,3,7,1
53,deficiencies,-1,0,12,0
54,healthcare,0,4,10,1
55,system,0,1,6,0
56,notion,0,3,6,1
57,simply,0,1,6,0
58,analyzing,0,3,9,1
59,massive,0,3,7,1
60,amount,0,3,6,1
61,clinical,0,3,8,1
62,information,0,5,11,1
63,newly,0,1,5,0
64,available,0,5,9,1
65,digital,0,3,7,1
66,format,0,2,6,0
67,enable,0,3,6,1
68,groundbreaking,1,5,14,1
69,insights,0,2,8,0
70,Earlier,0,4,7,1
71,detection,0,4,9,1
72,effective,1,4,9,1
73,treatments,0,3,10,1
74,Better,0,2,6,0
75,targeted,0,0,8,0
76,clinical,0,3,8,1
77,decision,0,4,8,1
78,support,1,2,7,0
79,Real,0,2,4,0
80,time,0,2,4,0
81,biosurveillance,0,7,15,1
82,Accurate,1,4,8,1
83,predictions,0,4,11,1
84,likely,0,2,6,0
85,get,0,1,3,0
86,sick,-1,1,4,0
87,Transforming,0,3,12,1
88,Healthcare,0,4,10,1
89,Deliver,0,3,7,1
90,Promises,1,0,8,0
91,take,0,2,4,0
92,harnessing,0,3,10,1
93,data,0,2,4,0
94,create,0,3,6,1
95,Institute,0,4,9,1
96,Medicine,0,4,8,1
97,calls,0,1,5,0
98,learning,0,3,8,1
99,health,0,2,6,0
100,system,0,1,6,0
101,healthcare,0,4,10,1
102,continuously,0,5,12,1
103,identify,0,3,8,1
104,adopt,0,2,5,0
105,approaches,0,0,10,0
106,deliver,0,3,7,1
107,better,0,2,6,0
108,care,0,2,4,0
109,lower,0,2,5,0
110,costs,0,1,5,0
111,Big,0,1,3,0
112,data,0,2,4,0
113,generated,0,0,9,0
114,even,0,2,4,0
115,excitement,1,4,10,1
116,since,0,2,5,0
117,recent,0,2,6,0
118,election,0,4,8,1
119,analysts,0,2,8,0
120,able,0,2,4,0
121,use,0,2,3,0
122,vast,0,1,4,0
123,amounts,0,3,7,1
124,disparate,0,4,9,1
125,data,0,2,4,0
126,polls,0,1,5,0
127,economic,0,4,8,1
128,indicators,0,4,10,1
129,historical,0,4,10,1
130,trends,0,1,6,0
131,predict,0,2,7,0
132,election,0,4,8,1
133,outcomes,0,0,8,0
134,astounding,1,4,10,1
135,accuracy,0,3,8,1
136,Yet,0,1,3,0
137,excitement,1,4,10,1
138,big,0,1,3,0
139,data,0,2,4,0
140,analytics,0,3,9,1
141,requires,0,0,8,0
142,appears,0,3,7,1
143,gotten,0,2,6,0
144,ahead,0,3,5,1
145,reality,0,3,7,1
146,Without,0,3,7,1
147,specific,0,3,8,1
148,attention,0,4,9,1
149,challenges,0,0,10,0
150,important,1,3,9,1
151,tool,0,2,4,0
152,transforming,0,3,12,1
153,healthcare,0,4,10,1
154,fail,-1,2,4,0
155,deliver,0,3,7,1
156,promise,1,3,7,1
157,Healthcare,0,4,10,1
158,Data,0,2,4,0
159,Big,0,1,3,0
160,Good,0,2,4,0
161,set,0,1,3,0
162,challenges,0,0,10,0
163,confront,-1,2,8,0
164,big,0,1,3,0
165,data,0,2,4,0
166,efforts,0,2,7,0
167,Healthcare,0,4,10,1
168,needs,0,2,5,0
169,continual,0,4,9,1
170,technical,0,3,9,1
171,advances,0,0,8,0
172,store,0,2,5,0
173,efficiently,1,4,11,1
174,access,0,2,6,0
175,rapidly,0,2,7,0
176,expanding,0,3,9,1
177,amount,0,3,6,1
178,data,0,2,4,0
179,also,0,2,4,0
180,challenges,0,0,10,0
181,particularly,0,4,12,1
182,salient,0,3,7,1
183,healthcare,0,4,10,1
184,challenge,0,3,9,1
185,demands,0,2,7,0
186,significantly,0,4,13,1
187,attention,0,4,9,1
188,ensuring,0,3,8,1
189,data,0,2,4,0
190,big,0,1,3,0
191,good,0,2,4,0
192,Healthcare,0,4,10,1
193,problem,-1,2,7,0
194,big,0,1,3,0
195,rate,0,2,4,0
196,electronic,0,4,10,1
197,health,0,2,6,0
198,record,0,2,6,0
199,adoption,0,4,8,1
200,continues,0,0,9,0
201,climb,0,1,5,0
202,inpatient,0,4,9,1
203,ambulatory,0,4,10,1
204,settings,0,2,8,0
205,Health,0,2,6,0
206,record,0,2,6,0
207,adoption,0,4,8,1
208,used,0,0,4,0
209,large,0,2,5,0
210,scale,0,2,5,0
211,capture,0,3,7,1
212,clinical,0,3,8,1
213,care,0,2,4,0
214,hospitals,0,3,9,1
215,outpatient,0,5,10,1
216,visits,0,2,6,0
217,countless,0,3,9,1
218,pharmacies,0,0,10,0
219,laboratories,0,0,12,0
220,sites,0,0,5,0
221,increasingly,0,4,12,1
222,patients,0,3,8,1
223,using,0,2,5,0
224,devices,0,0,7,0
225,track,0,1,5,0
226,health,0,2,6,0
227,health,0,2,6,0
228,related,0,0,7,0
229,behaviors,0,4,9,1
230,generate,0,4,8,1
231,substantial,0,4,11,1
232,data,0,2,4,0
233,Healthcare,0,4,10,1
234,space,0,2,5,0
235,achieved,0,0,8,0
236,big,0,1,3,0
237,exponential,0,5,11,1
238,growth,0,1,6,0
239,ahead,0,3,5,1
240,Healthcare,0,4,10,1
241,Data,0,2,4,0
242,Quality,0,3,7,1
243,problem,-1,2,7,0
244,healthcare,0,4,10,1
245,lies,-1,0,4,0
246,quality,0,3,7,1
247,data,0,2,4,0
248,derive,0,3,6,1
249,insights,0,2,8,0
250,data,0,2,4,0
251,critical,-1,3,8,1
252,accurate,1,4,8,1
253,relatively,0,4,10,1
254,complete,0,3,8,1
255,data,0,2,4,0
256,systematically,0,4,14,1
257,biased,-1,0,6,0
258,either,0,3,6,1
259,errors,-1,2,6,0
260,omissions,0,4,9,1
261,correlations,0,5,12,1
262,give,0,2,4,0
263,rise,0,2,4,0
264,insights,0,2,8,0
265,missed,-1,0,6,0
266,spurious,-1,4,8,1
267,could,0,2,5,0
268,result,0,2,6,0
269,misguided,-1,0,9,0
270,confidence,1,4,10,1
271,scarce,-1,2,6,0
272,resources,0,0,9,0
273,dedicated,1,0,9,0
274,chasing,0,2,7,0
275,dead,-1,2,4,0
276,ends,0,1,4,0
277,Healthcare,0,4,10,1
278,disproportionately,0,7,18,1
279,concerned,-1,0,9,0
280,data,0,2,4,0
281,quality,0,3,7,1
282,2,0,0,1,0
283,reasons,0,3,7,1
284,First,0,1,5,0
285,large,0,2,5,0
286,fraction,0,3,8,1
287,data,0,2,4,0
288,entered,0,0,7,0
289,humans,0,2,6,0
290,intentionally,0,5,13,1
291,unintentionally,0,6,15,1
292,introduce,0,4,9,1
293,systematic,0,3,10,1
294,errors,-1,2,6,0
295,domains,0,3,7,1
296,data,0,2,4,0
297,natural,0,3,7,1
298,byproduct,0,2,9,0
299,healthcare,0,4,10,1
300,increasing,0,4,10,1
301,reliance,0,4,8,1
302,technology,0,3,10,1
303,Internet,0,3,8,1
304,searches,0,0,8,0
305,online,0,3,6,1
306,purchases,0,0,9,0
307,cell,0,1,4,0
308,phone,0,2,5,0
309,calls,0,1,5,0
310,create,0,3,6,1
311,treasure,1,4,8,1
312,trove,0,2,5,0
313,data,0,2,4,0
314,mined,0,0,5,0
315,patterns,0,2,8,0
316,eg,0,1,2,0
317,flu,0,1,3,0
318,symptom,-1,1,7,0
319,searches,0,0,8,0
320,used,0,0,4,0
321,experimentation,0,7,15,1
322,buy,0,1,3,0
323,cart,0,1,4,0
324,upper,0,2,5,0
325,right,0,1,5,0
326,upper,0,2,5,0
327,left,0,1,4,0
328,opportunities,0,0,13,0
329,data,0,2,4,0
330,error,-1,2,5,0
331,relatively,0,4,10,1
332,limited,-1,0,7,0
333,easily,0,3,6,1
334,identified,0,0,10,0
335,algorithms,0,3,10,1
336,Hard,-1,1,4,0
337,Way,0,1,3,0
338,Solve,0,2,5,0
339,Healthcare,0,4,10,1
340,Data,0,2,4,0
341,Quality,0,3,7,1
342,Issue,-1,3,5,1
343,healthcare,0,4,10,1
344,critical,-1,3,8,1
345,clinical,0,3,8,1
346,data,0,2,4,0
347,symptoms,-1,1,8,0
348,physical,0,2,8,0
349,signs,0,1,5,0
350,orders,0,2,6,0
351,progress,1,2,8,0
352,notes,0,0,5,0
353,rely,0,1,4,0
354,heavily,0,3,7,1
355,human,0,2,5,0
356,entry,0,1,5,0
357,foreseeable,0,6,11,1
358,future,0,3,6,1
359,Beyond,0,2,6,0
360,simple,0,2,6,0
361,data,0,2,4,0
362,entry,0,1,5,0
363,errors,-1,2,6,0
364,bigger,0,2,6,0
365,systemic,0,2,8,0
366,problems,-1,2,8,0
367,clinical,0,3,8,1
368,data,0,2,4,0
369,electronic,0,4,10,1
370,format,0,2,6,0
371,Current,0,2,7,0
372,reimbursement,0,5,13,1
373,policies,0,0,8,0
374,require,0,4,7,1
375,extensive,0,4,9,1
376,documentation,0,6,13,1
377,clinicians,0,4,10,1
378,often,0,2,5,0
379,respond,0,2,7,0
380,using,0,2,5,0
381,templates,0,0,9,0
382,automatically,0,6,13,1
383,populate,0,4,8,1
384,large,0,2,5,0
385,quantities,0,0,10,0
386,data,0,2,4,0
387,using,0,2,5,0
388,copy,0,1,4,0
389,paste,0,2,5,0
390,features,0,0,8,0
391,propagate,0,4,9,1
392,mistakes,-1,0,8,0
393,outdated,0,0,8,0
394,information,0,5,11,1
395,physician,0,3,9,1
396,documentation,0,6,13,1
397,styles,0,0,6,0
398,vary,0,1,4,0
399,substantially,0,4,13,1
400,making,0,2,6,0
401,errors,-1,2,6,0
402,omissions,0,4,9,1
403,difficult,-1,3,9,1
404,identify,0,3,8,1
405,instance,0,3,8,1
406,patient,1,3,7,1
407,empty,0,1,5,0
408,medication,0,5,10,1
409,list,0,1,4,0
410,patient,1,3,7,1
411,taking,0,2,6,0
412,medications,0,5,11,1
413,patient,1,3,7,1
414,informed,0,0,8,0
415,physician,0,3,9,1
416,medication,0,5,10,1
417,taking,0,2,6,0
418,physician,0,3,9,1
419,chosen,0,2,6,0
420,document,0,3,8,1
421,medications,0,5,11,1
422,elsewhere,0,4,9,1
423,Systematic,0,3,10,1
424,data,0,2,4,0
425,inaccuracies,-1,0,12,0
426,quick,0,2,5,0
427,fixes,0,0,5,0
428,helpful,1,2,7,0
429,long,0,1,4,0
430,term,0,1,4,0
431,solution,0,4,8,1
432,would,0,2,5,0
433,payers,0,2,6,0
434,especially,0,4,10,1
435,Medicare,0,4,8,1
436,relax,0,2,5,0
437,documentation,0,6,13,1
438,requirements,0,5,12,1
439,providers,0,3,9,1
440,focus,0,2,5,0
441,data,0,2,4,0
442,entry,0,1,5,0
443,clinical,0,3,8,1
444,billing,0,2,7,0
445,needs,0,2,5,0
446,Technical,0,3,9,1
447,Solutions,0,4,9,1
448,Healthcare,0,4,10,1
449,Data,0,2,4,0
450,Quality,0,3,7,1
451,Issue,-1,3,5,1
452,Alternatively,0,5,13,1
453,promising,1,3,9,1
454,technical,0,3,9,1
455,solutions,0,4,9,1
456,machine,0,3,7,1
457,learning,0,3,8,1
458,form,0,1,4,0
459,artificial,0,5,10,1
460,intelligence,1,5,12,1
461,trains,0,2,6,0
462,systems,0,1,7,0
463,make,0,2,4,0
464,predictions,0,4,11,1
465,certain,0,3,7,1
466,characteristics,0,5,15,1
467,data,0,2,4,0
468,machine,0,3,7,1
469,learning,0,3,8,1
470,proved,0,0,6,0
471,successful,1,3,10,1
472,identifying,0,4,11,1
473,missing,0,2,7,0
474,diagnoses,0,0,9,0
475,limited,-1,0,7,0
476,use,0,2,3,0
477,critical,-1,3,8,1
478,clinical,0,3,8,1
479,data,0,2,4,0
480,like,0,2,4,0
481,symptoms,-1,1,8,0
482,physical,0,2,8,0
483,exam,0,2,4,0
484,findings,0,2,8,0
485,addition,0,4,8,1
486,richest,0,2,7,0
487,source,0,3,6,1
488,clinical,0,3,8,1
489,data,0,2,4,0
490,clinicians,0,4,10,1
491,notes,0,0,5,0
492,remains,0,3,7,1
493,largely,0,2,7,0
494,beyond,0,2,6,0
495,reach,0,2,5,0
496,big,0,1,3,0
497,data,0,2,4,0
498,substantial,0,4,11,1
499,improvements,1,4,12,1
500,natural,0,3,7,1
501,language,0,4,8,1
502,processing,0,3,10,1
503,NLP,0,0,3,0
504,identify,0,3,8,1
505,key,0,1,3,0
506,information,0,5,11,1
507,clinical,0,3,8,1
508,notes,0,0,5,0
509,However,0,3,7,1
510,quality,0,3,7,1
511,notes,0,0,5,0
512,improves,1,0,8,0
513,hard,-1,1,4,0
514,NLP,0,0,3,0
515,programs,0,2,8,0
516,glean,0,2,5,0
517,important,1,3,9,1
518,information,0,5,11,1
519,Continued,0,0,9,0
520,investment,0,3,10,1
521,technical,0,3,9,1
522,solutions,0,4,9,1
523,undoubtedly,0,4,11,1
524,improve,1,3,7,1
525,data,0,2,4,0
526,accuracy,0,3,8,1
527,without,0,3,7,1
528,fundamental,0,4,11,1
529,changes,0,0,7,0
530,care,0,2,4,0
531,documented,0,0,10,0
532,healthcare,0,4,10,1
533,circumspect,0,3,11,1
534,healthcare,0,4,10,1
535,ability,0,3,7,1
536,rid,0,1,3,0
537,data,0,2,4,0
538,systematic,0,3,10,1
539,errors,-1,2,6,0
540,Data,0,2,4,0
541,Fragmentation,0,5,13,1
542,Healthcare,0,4,10,1
543,Even,0,2,4,0
544,healthcare,0,4,10,1
545,achieves,0,0,8,0
546,perfect,1,2,7,0
547,data,0,2,4,0
548,accuracy,0,3,8,1
549,daunting,-1,3,8,1
550,challenge,0,3,9,1
551,remains,0,3,7,1
552,data,0,2,4,0
553,fragmentation,0,5,13,1
554,Incomplete,-1,4,10,1
555,data,0,2,4,0
556,common,0,2,6,0
557,clinical,0,3,8,1
558,practice,0,3,8,1
559,reflect,0,2,7,0
560,healthcare,0,4,10,1
561,space,0,2,5,0
562,highly,0,1,6,0
563,fragmented,-1,0,10,0
564,healthcare,0,4,10,1
565,system,0,1,6,0
566,patients,0,3,8,1
567,multiple,0,3,8,1
568,clinicians,0,4,10,1
569,whose,0,2,5,0
570,electronic,0,4,10,1
571,health,0,2,6,0
572,record,0,2,6,0
573,communicate,0,5,11,1
574,Despite,0,3,7,1
575,significant,1,4,11,1
576,policy,0,2,6,0
577,interest,0,3,8,1
578,healthcare,0,4,10,1
579,yet,0,1,3,0
580,achieve,0,4,7,1
581,meaningful,1,4,10,1
582,level,0,2,5,0
583,interoperability,0,7,16,1
584,without,0,3,7,1
585,creating,0,3,8,1
586,comprehensive,1,5,13,1
587,picture,0,3,7,1
588,patients,0,3,8,1
589,care,0,2,4,0
590,nearly,0,2,6,0
591,impossible,-1,4,10,1
592,Incomplete,-1,4,10,1
593,data,0,2,4,0
594,like,0,2,4,0
595,inaccurate,-1,5,10,1
596,data,0,2,4,0
597,also,0,2,4,0
598,lead,1,2,4,0
599,missed,-1,0,6,0
600,spurious,-1,4,8,1
601,associations,0,6,12,1
602,wasteful,-1,3,8,1
603,even,0,2,4,0
604,harmful,-1,2,7,0
605,patient,1,3,7,1
606,care,0,2,4,0
607,solutions,0,4,9,1
608,addressing,0,3,10,1
609,fragmented,-1,0,10,0
610,data,0,2,4,0
611,easier,1,4,6,1
612,address,0,2,7,0
613,inaccurate,-1,5,10,1
614,data,0,2,4,0
615,Achieving,0,4,9,1
616,greater,0,3,7,1
617,interoperability,0,7,16,1
618,electronic,0,4,10,1
619,clinical,0,3,8,1
620,systems,0,1,7,0
621,pursued,0,0,7,0
622,policymakers,0,4,12,1
623,nearly,0,2,6,0
624,2,0,0,1,0
625,decades,0,0,7,0
626,success,1,2,7,0
627,policymakers,0,4,12,1
628,recently,0,2,8,0
629,renewed,1,0,7,0
630,efforts,0,2,7,0
631,primary,0,2,7,0
632,focus,0,2,5,0
633,moving,0,2,6,0
634,specific,0,3,8,1
635,pieces,0,0,6,0
636,clinical,0,3,8,1
637,information,0,5,11,1
638,laboratory,0,4,10,1
639,test,0,1,4,0
640,result,0,2,6,0
641,individual,0,5,10,1
642,healthcare,0,4,10,1
643,providers,0,3,9,1
644,ensure,0,3,6,1
645,provider,0,3,8,1
646,organization,0,6,12,1
647,comprehensive,1,5,13,1
648,picture,0,3,7,1
649,patient,1,3,7,1
650,care,0,2,4,0
651,across,0,2,6,0
652,care,0,2,4,0
653,sites,0,0,5,0
