,Token,Score,Syllable_Count,Word_length,IsComplex
0,Introduction,0,5,12,1
1,Inventory,0,3,9,1
2,planning,0,2,8,0
3,fundamental,0,4,11,1
4,part,0,1,4,0
5,retail,0,3,6,1
6,operations,0,5,10,1
7,Proper,1,2,6,0
8,retail,0,3,6,1
9,inventory,0,3,9,1
10,management,0,4,10,1
11,helps,0,1,5,0
12,balance,0,3,7,1
13,supply,0,1,6,0
14,demand,0,2,6,0
15,relies,0,0,6,0
16,heavily,0,3,7,1
17,accurate,1,4,8,1
18,forecast,0,3,8,1
19,future,0,3,6,1
20,demand,0,2,6,0
21,fact,0,1,4,0
22,sales,0,0,5,0
23,forecasting,0,4,11,1
24,refers,0,2,6,0
25,predicting,0,3,10,1
26,future,0,3,6,1
27,demand,0,2,6,0
28,sales,0,0,5,0
29,assuming,0,3,8,1
30,factors,0,2,7,0
31,affected,0,0,8,0
32,demand,0,2,6,0
33,past,0,1,4,0
34,affecting,0,3,9,1
35,present,0,2,7,0
36,influence,0,4,9,1
37,future,0,3,6,1
38,important,1,3,9,1
39,task,0,1,4,0
40,difficult,-1,3,9,1
41,accomplish,1,3,10,1
42,retailing,0,4,9,1
43,industry,0,2,8,0
44,defined,0,0,7,0
45,retailing,0,4,9,1
46,business,0,3,8,1
47,products,0,2,8,0
48,including,0,3,9,1
49,apparel,0,3,7,1
50,shoes,0,0,5,0
51,fashion,0,3,7,1
52,beauty,1,3,6,1
53,products,0,2,8,0
54,forecasting,0,4,11,1
55,treated,0,0,7,0
56,like,0,2,4,0
57,service,0,3,7,1
58,represents,0,3,10,1
59,set,0,1,3,0
60,analytical,0,4,10,1
61,tools,0,2,5,0
62,facilitate,1,5,10,1
63,companies,0,0,9,0
64,make,0,2,4,0
65,decisions,0,4,9,1
66,predicting,0,3,10,1
67,future,0,3,6,1
68,Undoubtedly,0,4,11,1
69,good,0,2,4,0
70,forecasting,0,4,11,1
71,service,0,3,7,1
72,system,0,1,6,0
73,help,0,1,4,0
74,avoid,0,3,5,1
75,understocking,0,4,13,1
76,stocking,0,2,8,0
77,retail,0,3,6,1
78,inventory,0,3,9,1
79,planning,0,2,8,0
80,relates,0,0,7,0
81,critical,-1,3,8,1
82,operations,0,5,10,1
83,whole,0,2,5,0
84,supply,0,1,6,0
85,chain,0,2,5,0
86,due,0,2,3,0
87,date,0,2,4,0
88,management,0,4,10,1
89,production,0,4,10,1
90,planning,0,2,8,0
91,pricing,0,2,7,0
92,achieving,0,4,9,1
93,high,0,1,4,0
94,customer,0,3,8,1
95,service,0,3,7,1
96,level,0,2,5,0
97,order,0,2,5,0
98,achieve,0,4,7,1
99,economics,0,4,9,1
100,sustainability,1,6,14,1
101,highly,0,1,6,0
102,competitive,1,5,11,1
103,environment,0,4,11,1
104,company,0,2,7,0
105,adopt,0,2,5,0
106,consumer,0,3,8,1
107,demand,0,2,6,0
108,driven,0,2,6,0
109,pull,0,1,4,0
110,operational,0,6,11,1
111,strategy,0,2,8,0
112,means,0,2,5,0
113,forecasting,0,4,11,1
114,becomes,0,0,7,0
115,critically,0,3,10,1
116,important,1,3,9,1
117,task,0,1,4,0
118,Compared,0,0,8,0
119,retailing,0,4,9,1
120,service,0,3,7,1
121,industries,0,0,10,0
122,well,0,1,4,0
123,argued,0,0,6,0
124,sales,0,0,5,0
125,forecasting,0,4,11,1
126,difficult,-1,3,9,1
127,task,0,1,4,0
128,fashion,0,3,7,1
129,retailing,0,4,9,1
130,fashion,0,3,7,1
131,product,0,2,7,0
132,demand,0,2,6,0
133,highly,0,1,6,0
134,volatile,-1,4,8,1
135,ever,0,2,4,0
136,changing,0,2,8,0
137,taste,0,2,5,0
138,consumers,0,3,9,1
139,fashion,0,3,7,1
140,product,0,2,7,0
141,life,0,2,4,0
142,cycle,0,1,5,0
143,short,0,1,5,0
144,addition,0,4,8,1
145,sales,0,0,5,0
146,fashion,0,3,7,1
147,products,0,2,8,0
148,strongly,0,1,8,0
149,affected,0,0,8,0
150,stochastically,0,4,14,1
151,seasonal,0,4,8,1
152,factors,0,2,7,0
153,fashion,0,3,7,1
154,trend,0,1,5,0
155,factors,0,2,7,0
156,tricky,-1,1,6,0
157,variables,0,0,9,0
158,e,0,1,1,0
159,g,0,0,1,0
160,weather,0,3,7,1
161,marketing,0,3,9,1
162,strategy,0,2,8,0
163,political,0,4,9,1
164,climate,0,3,7,1
165,item,0,2,4,0
166,features,0,0,8,0
167,macroeconomic,0,6,13,1
168,trend,0,1,5,0
169,together,0,3,8,1
170,fact,0,1,4,0
171,fashion,0,3,7,1
172,retailers,0,4,9,1
173,carrying,0,2,8,0
174,large,0,2,5,0
175,number,0,2,6,0
176,stock,0,1,5,0
177,keeping,0,3,7,1
178,units,0,2,5,0
179,SKUs,0,1,4,0
180,limited,-1,0,7,0
181,historical,0,4,10,1
182,sales,0,0,5,0
183,data,0,2,4,0
184,make,0,2,4,0
185,sales,0,0,5,0
186,forecasting,0,4,11,1
187,challenging,-1,3,11,1
188,call,0,1,4,0
189,sophisticated,1,0,13,0
190,versatile,1,4,9,1
191,analytical,0,4,10,1
192,tools,0,2,5,0
193,hand,0,1,4,0
194,known,0,1,5,0
195,fashion,0,3,7,1
196,apparel,0,3,7,1
197,supply,0,1,6,0
198,chain,0,2,5,0
199,relatively,0,4,10,1
