,Token,Score,Syllable_Count,Word_length,IsComplex
0,today,0,2,5,0
1,day,0,1,3,0
2,age,0,2,3,0
3,hyper,0,1,5,0
4,connectivity,0,4,12,1
5,celebrities,0,0,11,0
6,dubbed,0,0,6,0
7,Fraser,0,2,6,0
8,Brown,0,1,5,0
9,2002,0,0,4,0
10,people,0,3,6,1
11,famous,1,3,6,1
12,famous,1,3,6,1
13,always,0,2,6,0
14,serve,0,2,5,0
15,others,0,2,6,0
16,sacrificially,0,5,13,1
17,live,0,2,4,0
18,glass,0,1,5,0
19,houses,0,0,6,0
20,open,0,2,4,0
21,prying,0,1,6,0
22,eyes,0,0,4,0
23,public,0,2,6,0
24,Notification,0,6,12,1
25,bars,0,1,4,0
26,ever,0,2,4,0
27,abuzz,0,2,5,0
28,news,0,1,4,0
29,celebrities,0,0,11,0
30,wake,0,2,4,0
31,wear,0,2,4,0
32,gym,0,0,3,0
33,eat,0,2,3,0
34,go,0,1,2,0
35,vacations,0,4,9,1
36,idealized,0,0,9,0
37,idolized,1,0,8,0
38,eyes,0,0,4,0
39,society,0,3,7,1
40,views,0,2,5,0
41,celebrities,0,0,11,0
42,unceasing,0,4,9,1
43,visibility,0,4,10,1
44,gives,0,0,5,0
45,pervasive,-1,4,9,1
46,influence,0,4,9,1
47,dominance,0,4,9,1
48,celebrities,0,0,11,0
49,swaying,0,2,7,0
50,opinions,0,4,8,1
51,acolyte,0,3,7,1
52,well,0,1,4,0
53,established,0,0,11,0
54,advertisements,0,5,14,1
55,print,0,1,5,0
56,pixel,0,2,5,0
57,mediums,0,3,7,1
58,brand,0,1,5,0
59,endorsements,0,4,12,1
60,integrations,0,5,12,1
61,evidence,0,4,8,1
62,exploiting,0,4,10,1
63,celebrity,0,3,9,1
64,influence,0,4,9,1
65,vast,0,1,4,0
66,However,0,3,7,1
67,today,0,2,5,0
68,ever,0,2,4,0
69,influence,0,4,9,1
70,creeping,-1,3,8,1
71,away,0,2,4,0
72,world,0,1,5,0
73,consumerism,0,4,11,1
74,governance,0,4,10,1
75,policy,0,2,6,0
76,politics,0,3,8,1
77,increasing,0,4,10,1
78,number,0,2,6,0
79,public,0,2,6,0
80,figures,0,0,7,0
81,overtly,0,2,7,0
82,taking,0,2,6,0
83,strong,0,1,6,0
84,stronger,1,2,8,0
85,political,0,4,9,1
86,stances,0,0,7,0
87,making,0,2,6,0
88,moves,0,0,5,0
89,charged,0,0,7,0
90,political,0,4,9,1
91,motive,0,3,6,1
92,eventually,0,4,10,1
93,entering,0,3,8,1
94,sphere,0,2,6,0
95,legislature,0,5,11,1
96,bureaucracy,0,5,11,1
97,scope,0,2,5,0
98,public,0,2,6,0
99,influence,0,4,9,1
100,come,0,2,4,0
101,mean,0,2,4,0
102,much,0,1,4,0
103,used,0,0,4,0
104,thereby,0,2,7,0
105,begging,-1,2,7,0
106,question,0,4,8,1
107,well,0,1,4,0
108,placed,0,0,6,0
109,personage,0,4,9,1
110,world,0,1,5,0
111,politics,0,3,8,1
112,celebrities,0,0,11,0
113,allowed,0,0,7,0
114,join,0,2,4,0
115,politics,0,3,8,1
116,interplay,0,3,9,1
117,seemingly,0,3,9,1
118,contrasting,0,3,11,1
119,worlds,0,1,6,0
120,celebrities,0,0,11,0
121,policy,0,2,6,0
122,makers,0,2,6,0
123,come,0,2,4,0
124,increasing,0,4,10,1
125,contact,0,2,7,0
126,India,0,3,5,1
127,rest,0,1,4,0
128,world,0,1,5,0
129,leading,1,3,7,1
130,pop,0,1,3,0
131,music,0,2,5,0
132,artists,0,2,7,0
133,back,0,1,4,0
134,presidential,0,5,12,1
135,candidates,0,0,10,0
136,internationally,0,6,15,1
137,acclaimed,1,0,9,0
138,actors,0,2,6,0
139,attempt,0,2,7,0
