,Token,Score,Syllable_Count,Word_length,IsComplex
0,evidence,0,4,8,1
1,whether,0,2,7,0
2,fabric,0,2,6,0
3,bare,0,2,4,0
4,hands,0,1,5,0
5,would,0,2,5,0
6,spread,0,2,6,0
7,covid,0,2,5,0
8,19,0,0,2,0
9,surface,0,3,7,1
10,another,0,3,7,1
11,e,0,1,1,0
12,g,0,0,1,0
13,opening,0,3,7,1
14,door,0,2,4,0
15,using,0,2,5,0
16,fabric,0,2,6,0
17,glove,0,2,5,0
18,Assuming,0,3,8,1
19,fabric,0,2,6,0
20,touch,0,2,5,0
21,face,0,2,4,0
22,like,0,2,4,0
23,bare,0,2,4,0
24,hands,0,1,5,0
25,easily,0,3,6,1
26,even,0,2,4,0
27,efforts,0,2,7,0
28,remember,0,3,8,1
29,people,0,3,6,1
30,struggle,-1,2,8,0
31,remember,0,3,8,1
32,thinking,0,2,8,0
33,prompts,0,1,7,0
34,prevent,0,2,7,0
35,face,0,2,4,0
36,touching,0,3,8,1
37,wearing,0,3,7,1
38,fabric,0,2,6,0
39,gloves,0,0,6,0
40,want,0,1,4,0
41,promote,0,3,7,1
42,unless,0,2,6,0
43,fabric,0,2,6,0
44,least,0,2,5,0
45,worse,-1,2,5,0
46,hands,0,1,5,0
47,transferring,0,3,12,1
48,virus,-1,2,5,0
49,surfaces,0,0,8,0
50,talking,0,2,7,0
51,use,0,2,3,0
52,community,0,3,9,1
53,instance,0,3,8,1
54,people,0,3,6,1
55,travel,0,2,6,0
56,go,0,1,2,0
57,food,0,2,4,0
58,shops,0,1,5,0
59,healthcare,0,4,10,1
60,context,0,2,7,0
61,gloves,0,0,6,0
62,changed,0,0,7,0
63,different,0,3,9,1
64,settings,0,2,8,0
65,e,0,1,1,0
66,g,0,0,1,0
67,apartment,0,3,9,1
68,block,0,1,5,0
69,bus,0,1,3,0
70,shop,0,1,4,0
71,switch,0,1,6,0
72,pair,0,2,4,0
73,gloves,0,0,6,0
74,gloves,0,0,6,0
75,ironed,0,0,6,0
76,hot,1,1,3,0
77,end,0,1,3,0
78,day,0,1,3,0
79,far,0,1,3,0
80,tell,0,1,4,0
81,attempts,0,2,8,0
82,searching,0,3,9,1
83,evidence,0,4,8,1
84,based,0,0,5,0
85,keen,0,2,4,0
86,know,0,1,4,0
87,someone,0,4,7,1
88,better,0,2,6,0
89,interpreting,0,4,12,1
90,evidence,0,4,8,1
91,field,0,2,5,0
92,sensible,0,3,8,1
93,Use,0,2,3,0
94,fabric,0,2,6,0
95,gloves,0,0,6,0
96,avoid,0,3,5,1
97,spreading,0,3,9,1
98,Coronavirus,0,5,11,1
99,outside,0,4,7,1
100,every,0,2,5,0
101,person,0,2,6,0
102,going,0,2,5,0
103,daily,0,2,5,0
104,work,1,1,4,0
105,touching,0,3,8,1
106,every,0,2,5,0
107,using,0,2,5,0
108,gloves,0,0,6,0
109,entering,0,3,8,1
110,house,0,3,5,1
111,remove,0,3,6,1
112,glove,0,2,5,0
113,outside,0,4,7,1
114,home,0,2,4,0
115,clean,1,2,5,0
116,hand,0,1,4,0
117,sanitizer,0,4,9,1
118,kill,-1,1,4,0
119,virus,-1,2,5,0
120,Use,0,2,3,0
121,glove,0,2,5,0
122,wash,0,1,4,0
123,sanitizer,0,4,9,1
124,bowling,0,2,7,0
125,water,0,2,5,0
126,60,0,0,2,0
127,70c,0,0,3,0
128,put,0,1,3,0
129,outside,0,4,7,1
130,home,0,2,4,0
131,drying,0,1,6,0
132,night,0,1,5,0
133,time,0,2,4,0
134,morning,0,2,7,0
135,gloves,0,0,6,0
136,used,0,0,4,0
137,time,0,2,4,0
138,go,0,1,2,0
139,outside,0,4,7,1
140,come,0,2,4,0
141,back,0,1,4,0
142,come,0,2,4,0
143,better,0,2,6,0
144,avoid,0,3,5,1
145,spreading,0,3,9,1
146,Coronavirus,0,5,11,1
147,Well,0,1,4,0
148,risk,-1,1,4,0
149,conducting,0,3,10,1
150,covid19,0,2,7,0
151,using,0,2,5,0
152,gloves,0,0,6,0
153,gloves,0,0,6,0
154,remember,0,3,8,1
155,us,0,1,2,0
156,touch,0,2,5,0
157,eyes,0,0,4,0
158,mouth,0,2,5,0
159,nose,0,2,4,0
160,get,0,1,3,0
161,infection,-1,4,9,1
162,properly,1,2,8,0
163,contact,0,2,7,0
164,infected,-1,0,8,0
165,patient,1,3,7,1
166,time,0,2,4,0
167,wearing,0,3,7,1
168,gloves,0,0,6,0
169,become,0,3,6,1
170,must,0,1,4,0
