,Token,Score,Syllable_Count,Word_length,IsComplex
0,today,0,2,5,0
1,world,0,1,5,0
2,telemedicine,0,6,12,1
3,technology,0,3,10,1
4,technologies,0,0,12,0
5,brought,0,2,7,0
6,change,0,2,6,0
7,Compared,0,0,8,0
8,early,0,2,5,0
9,days,0,1,4,0
10,remarkable,1,4,10,1
11,differences,0,0,11,0
12,methods,0,2,7,0
13,consultation,0,5,12,1
14,doctor,0,2,6,0
15,years,0,2,5,0
16,passed,0,0,6,0
17,consultation,0,5,12,1
18,disease,0,4,7,1
19,doctor,0,2,6,0
20,quite,0,3,5,1
21,hectic,-1,2,6,0
22,involved,0,0,8,0
23,waiting,0,3,7,1
24,traveling,0,3,9,1
25,etc,0,1,3,0
26,advent,0,2,6,0
27,telemedicine,0,6,12,1
28,opportunities,0,0,13,0
29,completely,0,3,10,1
30,changed,0,0,7,0
31,rural,0,2,5,0
32,area,0,3,4,1
33,completely,0,3,10,1
34,blessed,0,0,7,0
35,invention,0,4,9,1
36,telemedicine,0,6,12,1
37,Today,0,2,5,0
38,considerable,0,5,12,1
39,amount,0,3,6,1
40,people,0,3,6,1
41,able,0,2,4,0
42,consult,0,2,7,0
43,doctors,0,2,7,0
44,remotely,0,3,8,1
45,doctors,0,2,7,0
46,specialists,0,4,11,1
47,various,0,4,7,1
48,fields,0,2,6,0
49,medicine,0,4,8,1
50,great,1,2,5,0
51,importance,0,4,10,1
52,far,0,1,3,0
53,rural,0,2,5,0
54,people,0,3,6,1
55,concerned,-1,0,9,0
56,lot,0,1,3,0
57,telemedicine,0,6,12,1
58,tools,0,2,5,0
59,found,0,2,5,0
60,lot,0,1,3,0
61,areas,0,3,5,1
62,like,0,2,4,0
63,ophthalmology,0,4,13,1
64,oncology,0,3,8,1
65,dermatology,0,4,11,1
66,etc,0,1,3,0
67,facility,0,3,8,1
68,telemedicine,0,6,12,1
69,practiced,0,0,9,0
70,patients,0,3,8,1
71,truly,0,1,5,0
72,benefitting,0,4,11,1
73,telemedicine,0,6,12,1
74,Patients,0,3,8,1
75,pretty,1,1,6,0
76,satisfied,1,0,9,0
77,consultation,0,5,12,1
78,getting,0,2,7,0
79,travel,0,2,6,0
80,consult,0,2,7,0
81,doctors,0,2,7,0
82,specialists,0,4,11,1
83,remote,0,3,6,1
84,areas,0,3,5,1
85,cost,0,1,4,0
86,consultation,0,5,12,1
87,become,0,3,6,1
88,pretty,1,1,6,0
89,much,0,1,4,0
90,affordable,1,4,10,1
91,Moreover,0,4,8,1
92,get,0,1,3,0
93,exposed,0,0,7,0
94,highly,0,1,6,0
95,efficient,1,4,9,1
96,qualified,1,0,9,0
97,experts,0,2,7,0
98,field,0,2,5,0
99,medicine,0,4,8,1
100,hand,0,1,4,0
101,patients,0,3,8,1
102,fully,0,1,5,0
103,get,0,1,3,0
104,satisfied,1,0,9,0
105,virtual,0,3,7,1
106,consultation,0,5,12,1
107,Rather,0,2,6,0
108,might,0,1,5,0
109,feel,0,2,4,0
110,need,0,0,4,0
111,direct,0,2,6,0
112,talk,0,1,4,0
113,doctor,0,2,6,0
114,boost,1,2,5,0
115,confidence,1,4,10,1
116,also,0,2,4,0
117,helps,0,1,5,0
118,maintain,0,4,8,1
119,better,0,2,6,0
120,relationship,0,5,12,1
121,doctor,0,2,6,0
122,patient,1,3,7,1
123,patients,0,3,8,1
124,feel,0,2,4,0
125,trust,1,1,5,0
126,talk,0,1,4,0
127,doctors,0,2,7,0
128,face,0,2,4,0
129,face,0,2,4,0
130,Moreover,0,4,8,1
131,doctors,0,2,7,0
132,also,0,2,4,0
133,might,0,1,5,0
134,able,0,2,4,0
135,console,0,3,7,1
136,patients,0,3,8,1
137,direct,0,2,6,0
138,interaction,0,5,11,1
139,patients,0,3,8,1
140,could,0,2,5,0
141,also,0,2,4,0
142,patients,0,3,8,1
143,doubt,-1,2,5,0
144,virtual,0,3,7,1
145,methodologies,0,0,13,0
146,really,0,2,6,0
147,trusted,1,0,7,0
148,worthy,0,1,6,0
149,patients,0,3,8,1
150,direct,0,2,6,0
151,contact,0,2,7,0
152,patients,0,3,8,1
153,qualifications,0,7,14,1
154,visible,0,3,7,1
155,patients,0,3,8,1
156,shall,0,1,5,0
157,question,0,4,8,1
158,distrust,-1,2,8,0
159,major,0,2,5,0
160,challenges,0,0,10,0
161,like,0,2,4,0
162,better,0,2,6,0
163,connectivity,0,4,12,1
164,internet,0,3,8,1
165,without,0,3,7,1
166,patients,0,3,8,1
167,able,0,2,4,0
168,continuous,0,5,10,1
169,interaction,0,5,11,1
170,doctors,0,2,7,0
171,Technical,0,3,9,1
172,glitches,-1,0,8,0
173,hinder,-1,2,6,0
174,consultation,0,5,12,1
175,Moreover,0,4,8,1
176,emergency,-1,3,9,1
177,situations,0,5,10,1
178,cannot,0,2,6,0
179,addressed,0,0,9,0
180,beyond,0,2,6,0
181,limit,-1,2,5,0
182,telemedicine,0,6,12,1
183,Blackcoffer,0,3,11,1
184,Insights,0,2,8,0
185,23,0,0,2,0
186,Miriam,0,3,6,1
187,sam,0,1,3,0
188,Scms,0,0,4,0
189,school,0,2,6,0
190,technology,0,3,10,1
191,management,0,4,10,1
